"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"56000","Wyoming","7","SA45","10","...","Cash receipts from marketings (thousands of dollars)",251321,255131,287340,368964,460449,391799,393496,398684,458547,551219,727709,682913,625924,566095,628047,623234,616256,598333,645797,753216,792585,795701,906689,852285,891255,839674,780411,724307,876547,873773,884035,1003618,1066575,944387,968370,1131816,1009825,1042927,1034526,997300,1025440,1113494,1417535,1601959,1652015,1755649,1527366,1308036
"56000","Wyoming","7","SA45","20","...","  Cash receipts: Livestock and products",215766,216391,245660,313644,373095,271834,291375,310674,381828,468774,621926,539194,486913,453654,510788,494392,483118,468460,524667,595515,626673,632954,719181,653994,710135,679899,598104,535184,685784,698591,707592,842493,907839,809150,818464,981849,858848,876638,855774,718317,723409,861123,1048981,1165661,1222060,1381722,1217039,1002333
"56000","Wyoming","7","SA45","30","...","    Meat animals and other livestock",207473,208186,237623,304693,363150,261087,281368,299164,369511,456391,608114,522879,469459,435971,493407,477036,466424,453023,510932,581372,611740,617591,707066,641463,698107,668767,588579,523062,675353,687632,697124,833920,898828,801792,811808,971619,847844,861202,830603,691919,701162,832291,1015127,1129094,1171465,1318520,1144611,952594
"56000","Wyoming","7","SA45","31","...","      Cattle and calves",174541,179878,211981,274549,319873,224411,248280,263326,330000,412503,565164,482379,429838,391841,453994,434795,419192,402057,464264,525243,558308,578072,666861,588241,642142,616374,515160,451403,583352,609540,630857,763630,813866,731415,706177,865437,740411,765139,722684,606114,624467,737020,866145,988148,1057010,1194399,1057536,868455
"56000","Wyoming","7","SA45","32","...","      Hogs and pigs",2268,2604,2392,2992,4800,3424,4176,3713,3439,3788,3886,4327,5049,6512,4648,3305,4161,7023,5717,5226,4332,3937,4671,5313,7927,6705,10143,17630,29413,19652,19178,30313,38938,21031,25783,29944,29304,29096,41466,61704,51120,71431,117586,103910,75953,88852,57328,60576
"56000","Wyoming","7","SA45","33","...","      Sheep and other livestock",30664,25704,23250,27152,38477,33252,28912,32125,36072,40100,39064,36173,34572,37618,34765,38936,43071,43943,40951,50903,49100,35582,35534,47909,48038,45688,63276,54029,62588,58440,47089,39977,46024,49346,79848,76238,78129,66967,66453,24101,25575,23840,31396,37036,38502,35269,29747,23563
"56000","Wyoming","7","SA45","40","...","    Dairy products",7128,7212,7201,8024,8647,9553,8855,10450,11481,11831,13328,15875,17157,17030,16770,16637,16128,15000,13338,13800,14632,15104,11856,12375,11867,10910,9180,11358,10028,10672,10166,8184,8733,7102,6336,9828,10582,14912,24457,23351,14242,19619,23834,23134,25467,29952,24504,23096
"56000","Wyoming","7","SA45","50","...","    Poultry and poultry products",1165,993,836,927,1298,1194,1152,1060,836,552,484,440,297,653,611,719,566,437,397,343,301,259,259,156,161,222,345,764,403,287,302,389,278,256,320,402,422,524,714,3047,8005,9213,10020,13433,25128,33250,47924,26643
"56000","Wyoming","7","SA45","60","...","  Cash receipts: Crops",35555,38740,41680,55320,87354,119965,102121,88010,76719,82445,105783,143719,139011,112441,117259,128842,133138,129873,121130,157701,165912,162747,187508,198291,181120,159775,182307,189123,190763,175182,176443,161125,158736,135237,149906,149967,150977,166289,178752,278983,302031,252371,368554,436298,429955,373927,310327,305703
"56000","Wyoming","7","SA45","70","...","    Total grains",11149,13495,11108,20967,28338,41459,43621,32381,24154,30912,38676,46755,69762,52665,55175,60123,55191,42425,46174,63771,68726,63308,77095,70584,68684,61394,80468,94670,80053,68278,65177,61191,58287,45724,57141,58438,57386,53871,69691,102305,112520,96368,120931,149646,134434,122182,106035,103432
"56000","Wyoming","7","SA45","71","...","      Corn",979,1037,874,1246,2643,2416,2641,1649,1490,2098,2578,3122,4549,3778,3326,7060,6215,3013,2412,9429,6797,6502,10258,9880,8111,8945,13434,14540,15736,14448,12100,12845,12020,9619,10759,13172,10797,12025,18663,21254,24748,24519,35212,53844,43345,30290,26451,27910
"56000","Wyoming","7","SA45","72","...","      Oats",601,691,967,812,1287,1260,1208,1293,795,1195,1387,1067,1361,1473,1831,2138,1358,1258,1727,1944,1202,986,847,965,1376,974,1409,1745,1576,1052,920,1167,1136,820,779,738,789,1077,1034,505,732,830,1147,1113,1434,1319,1240,741
"56000","Wyoming","7","SA45","73","...","      Sorghum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56000","Wyoming","7","SA45","74","...","      Wheat",6239,8193,6414,13911,18147,28321,30159,18320,13148,15295,25745,27157,29823,29168,28334,27043,20063,16884,20926,23745,19958,16045,16123,19019,18425,19048,27652,32173,24083,20243,17233,13030,10015,9133,11328,14006,13899,16478,19481,23407,22915,21740,24985,24411,16776,22449,16543,12846
"56000","Wyoming","7","SA45","75","...","      Soybeans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56000","Wyoming","7","SA45","76","...","      Other grains",3330,3574,2853,4998,6261,9462,9613,11119,8721,12324,8966,15409,34029,18246,21684,23882,27555,21270,21109,28653,40769,39775,49867,40720,40772,32427,37973,46212,38658,32535,34924,34149,35116,26152,34275,30522,31901,24291,30513,57139,64125,49279,59587,70278,72879,68124,61801,61935
"56000","Wyoming","7","SA45","80","...","    Hay, silage, etc.",5065,5224,5289,6726,9961,10286,12406,16980,13288,12374,18088,21953,21593,22581,37405,43272,41946,47607,29942,38176,40480,41429,53702,62033,54385,49878,48644,38713,58193,55184,56318,54987,56091,50537,50109,45806,47335,62872,69950,134314,141182,99227,173981,209208,225992,195408,142533,137499
"56000","Wyoming","7","SA45","100","...","    Vegetables",1621,1513,2048,2715,4986,4450,5346,4564,3537,3822,3735,7440,6147,4107,3141,3068,1526,1793,1812,2401,3485,3154,2560,2715,3427,3287,2598,1849,1137,1146,545,562,665,780,2046,2191,2332,2476,2615,534,515,519,504,509,509,509,509,509
"56000","Wyoming","7","SA45","110","...","    Fruits and nuts","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",65,"(L)","(L)",100,140,144,191,239,296,344,108,114,139,124,256,256,256,256,256
"56000","Wyoming","7","SA45","111","...","    Greenhouse, nursery and mushroom products",172,180,195,211,241,261,283,328,454,486,361,542,300,1439,250,1200,1200,1237,1671,1782,1600,1600,1600,4300,2800,2900,3000,3100,2840,4945,4240,3540,5645,6375,6475,6351,6137,6027,6155,6381,6607,6833,7059,7283,8987,7263,7972,8365
"56000","Wyoming","7","SA45","112","...","    Forest and maple products",65,70,67,94,136,146,110,162,162,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"56000","Wyoming","7","SA45","113","...","    Tobacco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
