"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"98000","Far West","8","SA4","10","...","Personal income (thousands of dollars)",7353201,6763919,5779979,4497767,4271680,4862589,5434492,6511816,6904945,6829257,7132384,7875767,10111276,14194309,18709093,20283425,20809379,22029146,22849084,24557998,24897074,29034336,33466183,36861937,39242951,40270595,43883200,47595755,50746091,53060264,57734574,60982224,64546216,69551271,74000134,79846854,85529968,93233448,100395153,110329943,121614128,131426091,140460901,154141482,170172717,190690590,212219107,235796974,261469941,298380888,338429909,383701003,429247487,458008109,494014766,545001484,586907512,628744627,674634044,733923275,796053804,857059080,892213369,946821359,977869636,1016044964,1071607247,1141289142,1216589265,1318818557,1403755746,1536971987,1586350068,1618003753,1697300017,1826512238,1936476098,2088412938,2183767768,2242389987,2160484549,2229798925,2373116476,2525722441,2559477354,2732550722,2927727800,3037622148,3162144692
"98000","Far West","8","SA4","11","...","  Nonfarm personal income 1/",6751822,6215604,5397631,4255539,3963067,4448866,4948165,5957094,6360881,6360935,6683108,7377180,9350623,12997157,17037949,18550947,19010070,19910559,20924840,22833705,23433700,27324321,31388087,34704665,37268699,38392236,41948463,45560462,48799791,51246373,55829249,59035256,62699015,67595996,72108419,77851419,83545448,91005585,98301831,107983386,119182491,129037299,138048722,151089830,165999646,185397208,207503305,231105965,256917460,293759087,332664746,376482759,423535274,452212794,488176226,538539379,580677975,621600146,666314065,725126205,787313381,847909569,883962588,937852022,967592189,1006388228,1062416969,1130566628,1205566159,1308143082,1392717064,1525787028,1575781527,1606826533,1684179541,1811097425,1921364990,2075095670,2167687009,2228658729,2145820467,2214195304,2354569661,2505246683,2536370395,2708535039,2902899925,3015935881,3143122305
"98000","Far West","8","SA4","12","...","  Farm income 2/",601379,548315,382348,242228,308613,413723,486327,554722,544064,468322,449276,498587,760653,1197152,1671144,1732478,1799309,2118587,1924244,1724293,1463374,1710015,2078096,2157272,1974252,1878359,1934737,2035293,1946300,1813891,1905325,1946968,1847201,1955275,1891715,1995435,1984520,2227863,2093322,2346557,2431637,2388792,2412179,3051652,4173071,5293382,4715802,4691009,4552481,4621801,5765163,7218244,5712213,5795315,5838540,6462105,6229537,7144481,8319979,8797070,8740423,9149511,8250781,8969337,10277447,9656736,9190278,10722514,11023106,10675475,11038682,11184959,10568541,11177220,13120476,15414813,15111108,13317268,16080759,13731258,14664082,15603621,18546815,20475758,23106959,24015683,24827875,21686267,19022387
"98000","Far West","8","SA4","20","...","Population (persons) 3/",8123000,8327000,8465000,8546000,8629000,8753000,8905000,9120000,9360000,9526000,9688000,9889000,10254000,10985000,12025000,12803000,13264000,13514000,13650000,13880000,14219000,15392000,15942000,16530000,17217000,17820000,18384000,19101000,19764000,20469000,21159000,21659000,22378000,23114000,23811000,24389000,24908000,25311000,25779000,26151000,26635000,27101402,27570486,27918162,28327835,28800911,29346033,29929494,30553208,31285112,31964927,32779936,33433990,34086401,34716476,35321190,36037077,36815133,37640660,38542275,39534189,40610409,41427985,42225887,42797622,43271002,43744822,44314342,45053779,45798042,46505506,47188420,47891178,48493357,49053068,49601761,50090268,50570529,51031362,51608614,52167532,52686778,53176406,53679832,54161802,54695081,55249155,55772858,56250544
"98000","Far West","8","SA4","30","...","Per capita personal income (dollars) 4/",905,812,683,526,495,556,610,714,738,717,736,796,986,1292,1556,1584,1569,1630,1674,1769,1751,1886,2099,2230,2279,2260,2387,2492,2568,2592,2729,2816,2884,3009,3108,3274,3434,3684,3894,4219,4566,4849,5095,5521,6007,6621,7232,7878,8558,9537,10588,11705,12839,13437,14230,15430,16286,17078,17923,19042,20136,21104,21536,22423,22849,23481,24497,25754,27003,28796,30185,32571,33124,33365,34601,36824,38660,41297,42793,43450,41414,42322,44627,47052,47256,49960,52991,54464,56215
"98000","Far West","8","SA4","35","...","  Earnings by place of work",5483715,5090909,4217384,3260589,3173660,3752910,4257554,5045857,5554756,5441919,5713212,6319509,8377831,12519806,17031959,18492570,18653433,19344234,19629206,20802892,20685753,23868148,28367287,31378776,33107470,33483495,36523954,39853624,42074668,43376252,47735430,50223209,52835450,57294197,61057536,65572236,69806312,77178217,82466658,90983496,99229315,104641738,110597327,122336166,135822308,150695207,164981326,185379507,206871761,237352537,270307864,299864231,327238089,344405937,370901601,410588258,443802293,479444497,522425211,573040122,612273378,660131780,687109396,727273206,747033641,774064212,808482445,859858594,923647617,1006536619,1088644461,1200526348,1232852038,1256618046,1315355666,1417918032,1492526987,1586211943,1638163070,1647881831,1581315439,1621442639,1701810336,1801500014,1853743576,1950839375,2073843771,2166274061,2261808411
"98000","Far West","8","SA4","36","...","  Less: Contributions for government social insurance 5/",5970,5867,5671,5841,5321,5824,5762,65899,132045,145303,167199,175471,226935,337943,511309,602590,715034,963371,769799,621944,643933,758656,876697,943828,940623,1083428,1244661,1348527,1529732,1585206,1984498,2357292,2495650,2978485,3460559,3581840,3731522,4926486,5451979,6122714,6625545,6894440,7515490,8728854,11057687,12600108,13655654,15727116,17861855,21059107,25060430,27353696,32526354,34874994,38249396,43877087,48005557,52251170,56780817,64107101,69059505,74731449,78399395,82246991,84533695,88381485,91651093,95355333,101059082,108701310,116479950,127413400,132590111,136597927,143112228,155432948,163439141,170460113,174720664,177404504,172434028,174514216,164162569,170837192,199249435,210629737,222981267,232540129,246187432
"98000","Far West","8","SA4","37","...","    Employee and self-employed contributions for government social insurance",5414,5381,5320,5273,5033,5534,5397,9321,46672,50359,53928,58027,75960,126772,224528,292561,313278,243178,227627,207404,183478,251161,296113,336573,362062,435436,499153,552789,652803,681092,814072,989153,1045131,1157514,1396600,1479087,1584424,2199612,2510530,2795118,3204677,3337415,3601963,4114270,5199269,5949890,6438528,7188578,8120075,9442587,11326015,12311850,14925646,16207127,17643513,19905183,22396591,24803682,27453807,31287268,33988729,36702084,38849110,40609305,41816824,43923647,45955071,47874859,50730196,54616515,58928218,64693800,67203475,68877762,71030414,76375679,81027049,86037402,89504938,92543662,90887640,91919929,77113184,79625324,104970902,111258955,117841292,123816538,131082771
"98000","Far West","8","SA4","38","...","    Employer contributions for government social insurance",556,486,351,568,288,290,365,56578,85373,94944,113271,117444,150975,211171,286781,310029,401756,720193,542172,414540,460455,507495,580584,607255,578561,647992,745508,795738,876929,904114,1170426,1368139,1450519,1820971,2063959,2102753,2147098,2726874,2941449,3327596,3420868,3557025,3913527,4614584,5858418,6650218,7217126,8538538,9741780,11616520,13734415,15041846,17600708,18667867,20605883,23971904,25608966,27447488,29327010,32819833,35070776,38029365,39550285,41637686,42716871,44457838,45696022,47480474,50328886,54084795,57551732,62719600,65386636,67720165,72081814,79057269,82412092,84422711,85215726,84860842,81546388,82594287,87049385,91211868,94278533,99370782,105139975,108723591,115104661
"98000","Far West","8","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-6203,-19637,-13473,-40440,-46415,-47835,-74090,-83617,-88525,-88747,69,-238,-879,-1511,-2639,-4909,-6123,-7026,-8395,-9772,-12261,-210959,-197213,-212464,-215454,-214926,-296046,-486233,-598126,-401756,-319904,-296509,-417504,-169497,-204712,-229906,-303052,-362542,-375362,-447849,-540001,-638379,-752377,-749064,-736701,-729090,-755714,-787907,-857779,-935447,-1026284,-1095983,-1198350,-1181361,943275,1154340,2051858,1629363,692062,-627579,-2296264,-2228333,-2298242,-2380942,-2570114,-2611064,-2873959,-3037317,-3154589,-3344672
