"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"15000","Hawaii*","8","SA4","10","...","Personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",790965,926770,1022518,1061261,1071414,1122694,1177852,1249297,1296804,1436756,1624793,1761303,1885302,2013717,2191059,2406434,2611648,2831058,3181535,3646550,4229452,4589275,5053789,5594397,6365247,6935988,7463349,8075045,8963468,10050552,11460741,12391045,13076982,14419849,15454096,16453428,17468188,18623163,20461349,22865408,24931086,26366349,28424752,29472164,30121287,30776621,30785523,31791726,32450676,33645376,35680722,37214473,38922238,40763715,43952173,47220711,50618308,53206947,56050035,55852773,56908597,59072082,61836090,62784498,66122066,69637831,71946077,74144368
"15000","Hawaii*","8","SA4","11","...","  Nonfarm personal income 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",715339,842997,936866,974808,982034,1032900,1086260,1157587,1233835,1364876,1544611,1687664,1808095,1927999,2104354,2317303,2518997,2735618,3067136,3530604,4099816,4462639,4926774,5461689,6031622,6736713,7293434,7894180,8798824,9860609,11089961,12195683,12850461,14088681,15223410,16240006,17220295,18393156,20209922,22629438,24683090,26147813,28220934,29270166,29925166,30589311,30601677,31597402,32242543,33412718,35452044,36990556,38684613,40526329,43714970,46971611,50371793,52972056,55877159,55671048,56747269,58914078,61610906,62539553,65860603,69414140,71700317,73880347
"15000","Hawaii*","8","SA4","12","...","  Farm income 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",75626,83773,85652,86453,89380,89794,91592,91710,62969,71880,80182,73639,77207,85718,86705,89131,92651,95440,114399,115946,129636,126636,127015,132708,333625,199275,169915,180865,164644,189943,370780,195362,226521,331168,230686,213422,247893,230007,251427,235970,247996,218536,203818,201998,196121,187310,183846,194324,208133,232658,228678,223917,237625,237386,237203,249100,246515,234891,172876,181725,161328,158004,225184,244945,261463,223691,245760,264021
"15000","Hawaii*","8","SA4","20","...","Population (persons) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",499000,502000,495000,499000,504000,529000,548000,573000,605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538
"15000","Hawaii*","8","SA4","30","...","Per capita personal income (dollars) 4/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1585,1846,2066,2127,2126,2122,2149,2180,2143,2310,2531,2673,2756,2953,3130,3418,3678,3916,4335,4908,5544,5798,6177,6645,7418,7926,8364,8818,9650,10579,11843,12667,13159,14239,15034,15825,16608,17439,18949,20890,22390,23194,24533,25129,25365,25715,25575,26239,26703,27799,29403,30356,31399,32581,34511,36528,38648,40441,42073,41473,41727,42858,44398,44590,46640,48823,50358,51939
"15000","Hawaii*","8","SA4","35","...","  Earnings by place of work","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",675985,820855,913103,938660,928929,963347,1007017,1069727,1107350,1225739,1360925,1459175,1551145,1668775,1815539,1980291,2174077,2340330,2660721,3045387,3475403,3714822,4081960,4522831,5129371,5497282,5912709,6413305,7075871,7957756,9011121,9525770,10151681,11007669,11691846,12472421,13360465,14451244,16084480,17855721,19800335,21018369,22433707,22956594,23158692,23166196,23133098,23777542,24160389,25118695,26703608,28109846,29873588,31826093,34093847,36590128,38642191,39786042,40898060,40287867,40706941,42208706,44203125,45423233,47220028,49516517,51239211,52682872
"15000","Hawaii*","8","SA4","36","...","  Less: Contributions for government social insurance 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",17810,21601,23612,25672,25952,29133,31586,35964,40307,45043,52333,57035,60868,75786,82262,85479,113511,131348,153183,182336,211188,235647,273546,348219,399942,442188,483695,522277,597365,700452,777294,896182,946020,1036284,1135299,1237204,1350897,1476513,1695822,1886964,2178010,2344975,2493977,2542966,2587928,2585644,2589811,2630063,2671330,2740108,2889203,3047811,3256583,3503497,3679716,3948368,4248387,4440602,4529566,4473557,4705138,4480824,4632522,5415836,5447839,5687612,5854468,6075432
"15000","Hawaii*","8","SA4","37","...","    Employee and self-employed contributions for government social insurance","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4807,6582,7347,8808,9266,11736,13196,16088,18478,20212,23803,26120,27879,34580,36243,38286,53605,62468,71320,80319,91252,100600,114469,149626,173574,188669,202321,221983,256300,301305,338772,398120,429215,464537,499328,562924,621955,687778,799371,904093,1043967,1127347,1184931,1214566,1251561,1272806,1281862,1304516,1343937,1386782,1458778,1541650,1638212,1732187,1857545,1994552,2144631,2278783,2353173,2314984,2337248,1913901,1966665,2601419,2735998,2888349,3036184,3163383
"15000","Hawaii*","8","SA4","38","...","    Employer contributions for government social insurance","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",13003,15019,16265,16864,16686,17397,18390,19876,21829,24831,28530,30915,32989,41206,46019,47193,59906,68880,81863,102017,119936,135047,159077,198593,226368,253519,281374,300294,341065,399147,438522,498062,516805,571747,635971,674280,728942,788735,896451,982871,1134043,1217628,1309046,1328400,1336367,1312838,1307949,1325547,1327393,1353326,1430425,1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2367890,2566923,2665857,2814417,2711841,2799263,2818284,2912049
"15000","Hawaii*","8","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
