"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"26000","Michigan","3","SA4","10","...","Personal income (thousands of dollars)",3795607,3178111,2592612,1885359,1661212,2179062,2571734,3035334,3415119,2904500,3239748,3632012,4559898,5874541,7400051,7658154,7334551,7866806,8956659,9690548,9634178,10994905,12312257,13184086,14993087,14614792,16237553,16941407,17417933,17079633,18076327,18837597,18912124,20272536,21650297,23749771,26372945,28754364,29956184,33115209,35930901,37166325,40419874,44882437,50073719,53567368,57302941,64001599,71984775,80263659,87967096,94142514,100693108,103937962,110447808,122143721,132507384,141065411,146705873,156538879,168621581,176444356,180155777,191165165,201354672,216514159,228975422,241000500,253799739,269316721,283455635,302464029,307585685,307775244,314347960,323453268,329803615,337588867,346957762,354545792,336321819,347723348,369367635,382627062,388175044,404864143,427199321,439361467,450847081
"26000","Michigan","3","SA4","11","...","  Nonfarm personal income 1/",3636508,3040764,2472513,1814019,1575735,2091632,2406959,2883451,3235529,2759238,3098428,3479134,4373405,5565842,7084976,7308588,6963566,7441773,8537910,9192466,9282569,10678566,11910644,12795884,14651233,14343651,16005830,16692552,17201318,16781463,17855664,18599316,18613826,19998627,21352425,23456409,26101203,28407600,29682676,32814293,35581926,36828103,40112776,44458836,49516168,52922697,56732320,63533226,71435775,79764035,87432865,93616418,100188492,103538324,110235262,121603432,131855196,140583189,146052512,155967677,167658609,175690465,179514205,190436729,200648688,215984202,228305100,240415770,253223098,268718833,282667795,301896715,307062219,307209586,313672110,322340883,328781325,336490783,345795166,353100293,335291153,346273300,366526931,380964271,385809455,403311136,425743894,438373942,450057359
"26000","Michigan","3","SA4","12","...","  Farm income 2/",159099,137347,120099,71340,85477,87430,164775,151883,179590,145262,141320,152878,186493,308699,315075,349566,370985,425033,418749,498082,351609,316339,401613,388202,341854,271141,231723,248855,216615,298170,220663,238281,298298,273909,297872,293362,271742,346764,273508,300916,348975,338222,307098,423601,557551,644671,570621,468373,549000,499624,534231,526096,504616,399638,212546,540289,652188,482222,653361,571202,962972,753891,641572,728436,705984,529957,670322,584730,576641,597888,787840,567314,523466,565658,675850,1112385,1022290,1098084,1162596,1445499,1030666,1450048,2840704,1662791,2365589,1553007,1455427,987525,789722
"26000","Michigan","3","SA4","20","...","Population (persons) 3/",4795000,4834000,4798000,4780000,4780000,4798000,4838000,4889000,4968000,5056000,5156000,5315000,5468000,5552000,5396000,5459000,5468000,5874000,6075000,6213000,6332000,6407000,6497000,6650000,6822000,7066000,7285000,7467000,7569000,7667000,7767000,7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
"26000","Michigan","3","SA4","30","...","Per capita personal income (dollars) 4/",792,657,540,394,348,454,532,621,687,574,628,683,834,1058,1371,1403,1341,1339,1474,1560,1522,1716,1895,1983,2198,2068,2229,2269,2301,2228,2327,2405,2396,2555,2687,2901,3156,3378,3471,3808,4092,4178,4505,4973,5520,5880,6292,7020,7861,8722,9511,10171,10934,11403,12207,13497,14599,15455,15968,16982,18223,18949,19165,20167,21106,22559,23664,24696,25874,27348,28640,30391,30786,30729,31306,32167,32813,33638,34691,35644,33966,35206,37400,38702,39213,40835,43072,44231,45255
"26000","Michigan","3","SA4","35","...","  Earnings by place of work",2907128,2452166,1962515,1473347,1356534,1812881,2148686,2484448,2950217,2469216,2769502,3157046,4075317,5274055,6787118,7011722,6529970,6840243,7753682,8590207,8403662,9484392,10893829,11695684,13263423,12733941,14166405,14638194,14987035,14341864,15431796,16097157,15793039,17069593,18385710,20166790,22430648,24813706,25490563,28312740,31103785,31272453,33845412,37888421,42818102,44533579,45724546,52264378,59786858,67361479,73184900,73855792,77771460,77127457,82195429,92151697,101710175,108931851,113529657,122273327,130061062,135394341,137541069,147006502,154968520,166709810,176188946,184515218,193762300,207913543,221508159,236868678,239185620,239838904,243115569,248753127,251835695,253949465,254885438,252425961,233345469,240614098,252613008,262695512,269405574,278430785,293009255,303542921,312930491
"26000","Michigan","3","SA4","36","...","  Less: Contributions for government social insurance 5/",2087,2025,1889,1902,1593,1697,1712,1669,70166,70108,91345,106494,147313,147223,181997,183255,199954,206234,230913,240985,256957,277081,338639,358804,386772,430571,456785,506387,606918,560402,694808,824441,785770,888354,1038220,1076818,1121856,1571542,1652209,1853950,2205995,2195894,2449798,2904860,3799625,4082063,4090501,4793951,5491416,6390538,7194074,7174240,8185708,8240709,8953546,10356353,11665567,12550722,12895962,14305289,15142477,16052725,16558631,17546506,18603367,20421089,21539159,22020148,23098688,24261433,25631302,26849431,26634050,26929175,27315035,28254484,29144093,29868595,30229735,30279414,28301474,28673829,26646229,27755013,32183062,33313857,34761224,35826826,37264933
"26000","Michigan","3","SA4","37","...","    Employee and self-employed contributions for government social insurance",1763,1741,1686,1577,1431,1534,1509,1588,18507,15040,16351,18321,27579,35257,49809,60330,57967,58036,67723,68731,68766,100090,123697,136698,141525,177529,198825,216513,245321,225025,275070,331348,316102,347144,410299,435190,468369,693603,776879,894374,1032961,1035079,1153085,1319683,1727193,1869717,1879478,2144742,2432760,2785244,3177968,3229458,3726956,3767182,4033925,4561366,5273067,5730757,5995431,6694816,7247563,7699499,7997743,8411257,8910950,9811709,10438270,10840687,11421555,11990646,12752914,13336626,13380836,13666645,13824809,14286173,14799780,15266597,15541106,15677525,14784322,15016396,12367871,12814831,16865592,17631565,18473171,19203838,19980723
"26000","Michigan","3","SA4","38","...","    Employer contributions for government social insurance",324,284,203,325,162,163,203,81,51659,55068,74994,88173,119734,111966,132188,122925,141987,148198,163190,172254,188191,176991,214942,222106,245247,253042,257960,289874,361597,335377,419738,493093,469668,541210,627921,641628,653487,877939,875330,959576,1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13657433,14278358,14940182,15317470,15682292,16288053,16622988,17284210
"26000","Michigan","3","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-230,2686,6965,12000,17528,24221,27111,34858,44815,52958,30124,34441,36779,38099,41565,44502,49056,54403,63175,68025,76515,108696,112211,104977,113544,139915,139948,149579,191162,217323,260548,307254,353037,374936,377664,410603,476425,498326,485992,504294,512845,512047,457877,487261,552055,627608,753744,797049,822808,909683,993502,1081193,1098968,1191367,1009334,647946,1127478,1067905,1445890,1666235,1752083,1509305,1580798,1731590,1903689,1924250,2081098,2075543,2232477,2309927
