"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"31000","Nebraska","4","SA4","10","...","Personal income (thousands of dollars)",802603,703685,565693,419011,378161,364269,555956,535493,553668,532517,525411,578280,697189,1024357,1270746,1336381,1447465,1491333,1607414,1957358,1773084,2102154,2195318,2357533,2250265,2406175,2326694,2400843,2784392,2920655,2952376,3141354,3215128,3492509,3588498,3686850,4053582,4354014,4508401,4809948,5392547,5810184,6379847,7064041,8233786,8580634,9809330,10245780,11101506,12842775,13848556,14761594,17127803,18435447,19113083,21224174,22366484,23031245,24074574,25715284,27268495,29214345,30327262,32255233,33310646,35399363,37420622,40752615,41937191,44762109,46794157,49512086,51649982,52771054,56076719,58506442,60120755,62951389,67917175,72300017,71103994,74149336,82656406,85485324,85722866,91082845,93868240,95411344,96762103
"31000","Nebraska","4","SA4","11","...","  Nonfarm personal income 1/",555696,520586,472136,359107,324727,372875,394139,445511,444286,432203,445210,468041,520608,702260,889500,982936,1055565,1060130,1140357,1312836,1363642,1513585,1667468,1789205,1839763,1939868,2079101,2138187,2250800,2396228,2594171,2750858,2896874,3056443,3196179,3376117,3557616,3763860,4022411,4368099,4790570,5270204,5694525,6258264,7010098,7813973,8706877,9665321,10578333,11766576,13103422,14663590,16302962,17677678,18571976,20074087,20927133,21627806,22451506,23697217,25434783,27028279,28341955,30150428,31579530,33566914,36113311,38172085,40196415,43134265,45238730,48082809,49859943,51725785,53442449,55659332,57264550,61330917,65241008,69161108,68420560,70957134,76258590,80871776,79052241,85331200,88674466,90874466,93112478
"31000","Nebraska","4","SA4","12","...","  Farm income 2/",246907,183099,93557,59904,53434,-8606,161817,89982,109382,100314,80201,110239,176581,322097,381246,353445,391900,431203,467057,644522,409442,588569,527850,568328,410502,466307,247593,262656,533592,524427,358205,390496,318254,436066,392319,310733,495966,590154,485990,441849,601977,539980,685322,805777,1223688,766661,1102453,580459,523173,1076199,745134,98004,824841,757769,541107,1150087,1439351,1403439,1623068,2018067,1833712,2186066,1985307,2104805,1731116,1832449,1307311,2580530,1740776,1627844,1555427,1429277,1790039,1045269,2634270,2847110,2856205,1620472,2676167,3138909,2683434,3192202,6397816,4613548,6670625,5751645,5193774,4536878,3649625
"31000","Nebraska","4","SA4","20","...","Population (persons) 3/",1375000,1380000,1384000,1386000,1385000,1382000,1375000,1358000,1339000,1326000,1318000,1316000,1272000,1245000,1235000,1214000,1210000,1256000,1266000,1265000,1302000,1327000,1316000,1311000,1318000,1340000,1374000,1397000,1394000,1383000,1397000,1417000,1446000,1464000,1476000,1482000,1471000,1456000,1457000,1467000,1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076
"31000","Nebraska","4","SA4","30","...","Per capita personal income (dollars) 4/",584,510,409,302,273,264,404,394,413,402,399,439,548,823,1029,1101,1196,1187,1270,1547,1362,1584,1668,1798,1707,1796,1693,1719,1997,2112,2113,2217,2223,2386,2431,2488,2756,2990,3094,3279,3658,3905,4241,4653,5387,5580,6364,6615,7142,8228,8853,9389,10851,11655,12064,13360,14114,14629,15368,16364,17315,18471,19003,20013,20491,21598,22583,24348,24868,26396,27449,28890,30032,30534,32253,33444,34130,35512,38082,40248,39226,40520,44882,46087,45905,48425,49572,50016,50395
"31000","Nebraska","4","SA4","35","...","  Earnings by place of work",667463,582872,443365,327395,299084,285052,471069,431604,469050,454621,442078,483870,596532,909570,1155621,1210294,1301628,1296394,1385781,1682286,1491235,1764896,1872106,2003928,1914705,2032350,1931085,2012693,2325066,2376470,2376504,2547109,2584187,2826817,2867042,2931895,3231673,3529672,3656498,3903647,4437208,4696465,5160262,5717465,6702299,6836987,7719175,8062131,8678272,10192194,10926850,11129720,12707950,13110123,13514163,15330101,16349884,16923717,18055531,19566989,20557272,22209887,22990234,24576009,25325873,27088344,28256695,31061846,31830350,33808693,35733349,37568114,39459380,40321390,43145610,45643924,46801834,48356215,51428307,53925634,53963645,56350591,62909997,63759272,65799470,69587475,71143412,72354869,73084789
"31000","Nebraska","4","SA4","36","...","  Less: Contributions for government social insurance 5/",603,579,536,532,456,468,453,451,8793,9784,9153,8159,8102,12040,19556,23668,31243,35102,30825,25889,27418,29542,35676,37891,39641,45839,51180,58816,68263,74808,92867,116007,119444,127815,139661,145806,147708,195977,228329,245263,268894,288903,320511,364192,467698,541229,579697,661720,722444,831003,966441,1044440,1200899,1279035,1351035,1519758,1645456,1765833,1866729,2085844,2230599,2466361,2605788,2735261,2879929,3086002,3235447,3414813,3636744,3853126,4058765,4239261,4412232,4575796,4744242,4958975,5222178,5617305,5843132,6029156,6045080,6261824,5726689,5891248,6753788,7093106,7380624,7590008,7843514
"31000","Nebraska","4","SA4","37","...","    Employee and self-employed contributions for government social insurance",512,499,480,443,412,425,399,430,2739,2421,2566,2833,3062,4682,8792,12174,13594,9313,10509,11796,11827,15167,18040,20672,21826,24344,26985,33033,38004,39362,48362,63062,63805,66657,72704,76846,78825,105089,127264,135474,148542,158457,173831,192981,248528,283873,303449,332892,356035,409549,477319,521641,600785,645816,672965,743654,829034,890905,959857,1079236,1168454,1283705,1356776,1424665,1506860,1621971,1691618,1782382,1890524,2003401,2108228,2200302,2283029,2360824,2444688,2566155,2703241,2901760,3059070,3173582,3202254,3251006,2649818,2748345,3597575,3774100,3924327,4057999,4194285
"31000","Nebraska","4","SA4","38","...","    Employer contributions for government social insurance",91,80,56,89,44,43,54,21,6054,7363,6587,5326,5040,7358,10764,11494,17649,25789,20316,14093,15591,14375,17636,17219,17815,21495,24195,25783,30259,35446,44505,52945,55639,61158,66957,68960,68883,90888,101065,109789,120352,130446,146680,171211,219170,257356,276248,328828,366409,421454,489122,522799,600114,633219,678070,776104,816422,874928,906872,1006608,1062145,1182656,1249012,1310596,1373069,1464031,1543829,1632431,1746220,1849725,1950537,2038959,2129203,2214972,2299554,2392820,2518937,2715545,2784062,2855574,2842826,3010818,3076871,3142903,3156213,3319006,3456297,3532009,3649229
"31000","Nebraska","4","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-16589,-20198,-22221,-26153,-28483,-30681,-32353,-34535,-36149,-36767,-9004,-9298,-10994,-10844,-9980,-9512,-8698,-8139,-8140,-7919,-7667,-101630,-109519,-113206,-121461,-124618,-132940,-141910,-148987,-148095,-170539,-198213,-214303,-254359,-262112,-275710,-315815,-341867,-344006,-343414,-379472,-391677,-391016,-426864,-470869,-486455,-501852,-547463,-598931,-676621,-714287,-799588,-867471,-898964,-927543,-956012,-976140,-988937,-1007703,-990197,-968387,-954626,-883387,-937664,-954087,-922332,-897882,-974433,-1014818,-1045840
