"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"39000","Ohio","3","SA4","10","...","Personal income (thousands of dollars)",5114204,4422301,3772343,2704485,2608728,3083335,3521030,4061811,4435411,3866442,4269681,4601850,5760231,7191164,8741360,9213747,9415846,9961326,10882158,12183957,11655783,12905229,14895598,15974983,17532930,17595683,19004633,20289159,21328045,21148182,22598139,23510422,23960007,25242554,26287918,28063942,30356780,33134588,34708531,38274742,41814714,44121386,46947495,50934483,56459449,61841296,66118848,72483674,80273127,88755514,98036565,107027918,116356076,121686637,129000255,142456412,151328013,158445882,166010875,178043191,191552868,202826963,207192639,220961744,230239933,242927557,254378135,266568428,282349312,298353863,308082449,323964530,332936158,337415971,347533465,362702364,372826780,392059624,408126658,422401501,410538372,419569872,448119917,465139834,470745086,489250952,508379906,517918190,531810551
"39000","Ohio","3","SA4","11","...","  Nonfarm personal income 1/",4850798,4261468,3557324,2612503,2492452,2943474,3256881,3860675,4163205,3658349,4064364,4423867,5470228,6754348,8272885,8808542,8887889,9411442,10361847,11475413,11211936,12469587,14415962,15456868,17066287,17091285,18646471,19936130,21034148,20767162,22336605,23178524,23588773,24908751,25956170,27761214,30001558,32641324,34382832,37865931,41400601,43690103,46536380,50432709,55797977,61049873,65312168,71705662,79608481,88137983,97285666,106463326,116199322,121425564,129084170,141599153,150475006,157777352,165295757,177280388,190406290,201652700,206523135,219813787,229344419,241802985,253526735,265353726,280699044,297114483,307268544,322783843,331834330,336857926,346773063,361333701,371785278,391175909,407063681,421112519,408964591,418010075,445204902,463243244,467715077,487274030,507220844,517363585,531620400
"39000","Ohio","3","SA4","12","...","  Farm income 2/",263406,160833,215019,91982,116276,139861,264149,201136,272206,208093,205317,177983,290003,436816,468475,405205,527957,549884,520311,708544,443847,435642,479636,518115,466643,504398,358162,353029,293897,381020,261534,331898,371234,333803,331748,302728,355222,493264,325699,408811,414113,431283,411115,501774,661472,791423,806680,778012,664646,617531,750899,564592,156754,261073,-83915,857259,853007,668530,715118,762803,1146578,1174263,669504,1147957,895514,1124572,851400,1214702,1650268,1239380,813905,1180687,1101828,558045,760402,1368663,1041502,883715,1062977,1288982,1573781,1559797,2915015,1896590,3030009,1976922,1159062,554605,190151
"39000","Ohio","3","SA4","20","...","Population (persons) 3/",6626000,6662000,6694000,6717000,6740000,6751000,6787000,6801000,6809000,6837000,6886000,6929000,6958000,6970000,6866000,6928000,6915000,7516000,7705000,7876000,7973000,7980000,8061000,8275000,8591000,8873000,9017000,9207000,9410000,9599000,9671000,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609
"39000","Ohio","3","SA4","30","...","Per capita personal income (dollars) 4/",772,664,564,403,387,457,519,597,651,566,620,664,828,1032,1273,1330,1362,1325,1412,1547,1462,1617,1848,1931,2041,1983,2108,2204,2267,2203,2337,2415,2432,2542,2632,2784,2976,3208,3333,3640,3959,4136,4373,4739,5244,5744,6139,6741,7453,8222,9079,9909,10785,11312,12014,13267,14097,14766,15428,16488,17689,18669,18929,20034,20740,21782,22707,23710,25037,26376,27179,28509,29237,29577,30393,31671,32523,34148,35488,36681,35610,36360,38821,40282,40694,42200,43803,44561,45615
"39000","Ohio","3","SA4","35","...","  Earnings by place of work",4118512,3491814,2923251,2070331,2081234,2530944,2915490,3346187,3758508,3265111,3597536,3893940,4970368,6281884,7838371,8294848,8328318,8556948,9470950,10561256,10012332,11079980,13186347,14173679,15538393,15352898,16597142,17792950,18541184,17826830,19362939,20047257,20063057,21270040,22178909,23801826,25793920,28602091,29699977,32709835,35921385,37259215,39150727,42662308,47634431,51356993,53145210,58961646,65872101,73301326,80623158,84096494,89461167,90386072,95301614,106756116,113980785,119714258,126713859,137003111,145826684,153432546,156923154,168074501,175522863,186555907,194205283,202704817,214618549,227647782,238031966,249367479,255265100,259404755,268071530,281900298,287685485,299045437,306314694,311984947,299402978,305459828,322722553,335494974,345629371,355222792,367632924,375173631,387195571
"39000","Ohio","3","SA4","36","...","  Less: Contributions for government social insurance 5/",3426,3374,3241,3297,2926,5305,8160,43339,91165,95263,119372,128950,168486,159937,199770,240358,252456,300749,278869,265278,284196,344877,426346,461976,486380,539457,619130,686958,776983,699941,859949,1002751,984157,1124882,1236269,1354639,1408608,1864276,1958418,2133928,2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558505,26717486,27074853,27709526,27766753,28881259,30574160,31408003,32809150,33613532,34548165,33488527,33754355,31915447,33029997,36945064,38160180,39572890,40658809,42464427
"39000","Ohio","3","SA4","37","...","    Employee and self-employed contributions for government social insurance",2994,2995,2971,2867,2712,2878,2823,3127,25879,22559,25549,28590,36165,45584,62864,77148,79736,76958,92462,97472,95803,132459,161348,176050,182565,221527,251882,277979,317129,283431,336300,399988,394223,422512,478059,504384,535219,773258,875385,979667,1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453690,13088684,13554116,13780692,14108131,14379171,14936115,15552914,16355467,16910272,17303339,16622313,16878031,14103175,14629200,19085240,20071804,20897875,21647777,22618193
"39000","Ohio","3","SA4","38","...","    Employer contributions for government social insurance",432,379,270,430,214,2427,5337,40212,65286,72704,93823,100360,132321,114353,136906,163210,172720,223791,186407,167806,188393,212418,264998,285926,303815,317930,367248,408979,459854,416510,523649,602763,589934,702370,758210,850255,873389,1091018,1083033,1154261,1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834,13658622,14502088,15638045,15855089,16453683,16703260,17244826,16866214,16876324,17812272,18400797,17859824,18088376,18675015,19011032,19846234
"39000","Ohio","3","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-63014,-66957,-77100,-97158,-109422,-127433,-129152,-143427,-152811,-156646,-119880,-134381,-131676,-122041,-126746,-129352,-134472,-147308,-166359,-160776,-183806,-195030,-184176,-134979,-134139,-159581,-134708,-94226,-108975,-114901,-137027,-160292,-181925,-486337,-611479,-713604,-844656,-920790,-954073,-996839,-1043823,-1107025,-1094505,-1115585,-1231908,-1329947,-1453436,-1494446,-1550057,-1647827,-1824732,-1794634,-1755418,-1684200,-2494831,-2549104,-2323906,-2417484,-2197478,-1977076,-2192925,-1872227,-1793553,-1857766,-1764152,-2068691,-2288374,-2425380,-2380296,-2486036
