"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"42000","Pennsylvania","2","SA4","10","...","Personal income (thousands of dollars)",7544350,6914998,5868061,4441170,4135017,4768327,5120621,5938329,6299684,5676509,6030200,6519971,7794382,9375563,11014517,11763085,11983453,12907035,14071503,14846825,14644147,16384265,18060073,18958300,20389005,19947534,21148626,22861134,24069749,24195203,25389105,26277443,26847353,27998267,29039754,31058233,33298261,35898346,38413578,41721526,45363997,48814578,51789540,56519468,61911787,68004857,74306438,81081493,88973804,98097527,108546349,118970218,131279831,140158661,146951760,158681543,168466148,177342443,187911697,203518393,220428623,233194273,242826180,256368975,266038429,275115183,287783679,302668785,317899634,334828567,348998963,373211236,385683541,393464126,407904130,433338099,451274953,476162792,506357616,528853951,515485777,533929583,561012102,585851545,589491588,613658783,637183688,648694472,667117752
"42000","Pennsylvania","2","SA4","11","...","  Nonfarm personal income 1/",7355012,6765508,5726177,4362253,4030199,4657105,4959454,5787331,6115034,5532981,5891828,6379979,7619060,9136005,10716132,11447229,11655601,12519458,13700879,14418282,14305941,16080193,17695383,18620528,20068170,19654741,20893712,22591277,23855538,23854347,25137082,25980730,26546952,27781387,28780812,30791652,33022289,35635816,38057652,41411457,44995984,48431373,51458622,56176944,61432900,67548486,73888472,80573433,88514621,97600773,107914950,118556278,130654896,139607221,146603346,157847857,167634460,176470653,187044895,202792988,219451622,232216714,242118003,255193860,265038771,274226656,287175066,301582942,317164921,333963556,348203803,372131878,384704123,392859427,406697363,431838065,449918544,475095035,505124128,527692909,514742104,532789899,559386047,584056509,587492625,611358062,635707149,648244925,666406461
"42000","Pennsylvania","2","SA4","12","...","  Farm income 2/",189338,149490,141884,78917,104818,111222,161167,150998,184650,143528,138372,139992,175322,239558,298385,315856,327852,387577,370624,428543,338206,304072,364690,337772,320835,292793,254914,269857,214211,340856,252023,296713,300401,216880,258942,266581,275972,262530,355926,310069,368013,383205,330918,342524,478887,456371,417966,508060,459183,496754,631399,413940,624935,551440,348414,833686,831688,871790,866802,725405,977001,977559,708177,1175115,999658,888527,608613,1085843,734713,865011,795160,1079358,979418,604699,1206767,1500034,1356409,1067757,1233488,1161042,743673,1139684,1626055,1795036,1998963,2300721,1476539,449547,711291
"42000","Pennsylvania","2","SA4","20","...","Population (persons) 3/",9723000,9649000,9707000,9764000,9784000,9795000,9774000,9767000,9790000,9952000,9901000,9896000,9918000,9714000,9424000,9247000,9180000,9880000,10201000,10287000,10390000,10507000,10461000,10503000,10662000,10817000,10939000,10972000,10954000,11058000,11234000,11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
"42000","Pennsylvania","2","SA4","30","...","Per capita personal income (dollars) 4/",776,717,605,455,423,487,524,608,643,570,609,659,786,965,1169,1272,1305,1306,1379,1443,1409,1559,1726,1805,1912,1844,1933,2084,2197,2188,2260,2319,2357,2466,2542,2696,2866,3078,3289,3553,3864,4133,4358,4748,5209,5732,6245,6821,7488,8268,9142,10024,11070,11833,12414,13430,14312,15051,15910,17181,18577,19591,20266,21276,21951,22613,23592,24767,25998,27343,28458,30381,31359,31908,32963,34916,36247,38060,40302,41932,40696,42005,44026,45884,46132,47978,49815,50730,52096
"42000","Pennsylvania","2","SA4","35","...","  Earnings by place of work",5643874,5104424,4195226,3097271,2957473,3527452,3860301,4535687,5072019,4532605,4828068,5330344,6598936,8181153,9832586,10441864,10413179,10883724,11958976,13001829,12585090,13645723,15848360,16562652,17753332,17036429,18118521,19610328,20569141,20305487,21444068,22282240,22478798,23511146,24352210,26119028,27985587,30716105,32609203,35185756,38533607,40626717,42533400,46488561,51259684,55619881,59015871,64407727,70872534,78657465,86795845,92025426,98965112,101227570,105313059,114929315,121694592,128181220,138227514,150920225,161257097,170172999,174998416,186796052,194041803,201513296,208606824,217382792,228977732,242192335,255798764,271977326,282567051,289409180,300604390,322387028,335193404,346494628,362445642,373800621,361871752,374572243,389677575,403680153,416165192,429722696,445443006,450479692,463950369
"42000","Pennsylvania","2","SA4","36","...","  Less: Contributions for government social insurance 5/",5414,5354,5154,5302,4841,5059,5005,5323,137879,147456,169645,185016,227131,278947,333694,289465,303411,402196,374972,328782,345124,389492,530572,453908,503285,590615,698742,798722,832523,846395,1041870,1211151,1225327,1334340,1473609,1530298,1593733,2147688,2317082,2421001,2808608,2927585,3186387,3653555,4627117,5221801,5400222,6000335,6594781,7508284,8576034,9174588,10559221,10979573,11570469,13094861,14060444,14907990,15896180,17714604,18644742,19839386,20662218,21888879,23105320,24455796,25289772,25752041,26960467,28147510,29401994,30864614,31934185,32818784,33614426,35334681,37130992,39010549,40572741,41806173,41282397,42354620,39485992,40359692,46682882,48301835,50213296,51303098,53403540
"42000","Pennsylvania","2","SA4","37","...","    Employee and self-employed contributions for government social insurance",4791,4807,4766,4683,4533,4752,4622,5172,39661,34637,37964,42483,50429,63052,84295,103782,106365,101107,117362,125334,121520,166453,200691,213600,216669,256974,286434,303307,354730,342600,402887,478926,479027,503439,585828,610331,638381,924976,1046362,1163241,1276040,1336917,1451636,1624607,2039715,2305509,2401504,2591855,2821927,3170380,3659208,3991653,4660655,4899248,5117179,5683087,6355595,6830838,7405261,8358899,8992745,9622765,10108742,10675731,11246978,11898209,12407204,12684294,13344085,14002082,14768815,15483787,16110140,16687769,17077294,18092956,18902327,20008147,21031856,21755381,21557582,22062386,18164908,18477841,24139605,25033946,26021833,26731316,27820732
"42000","Pennsylvania","2","SA4","38","...","    Employer contributions for government social insurance",623,547,388,619,308,307,383,151,98218,112819,131681,142533,176702,215895,249399,185683,197046,301089,257610,203448,223604,223039,329881,240308,286616,333641,412308,495415,477793,503795,638983,732225,746300,830901,887781,919967,955352,1222712,1270720,1257760,1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20292234,21321084,21881851,22543277,23267889,24191463,24571782,25582808
"42000","Pennsylvania","2","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-24391,-44322,-50211,-64386,-69954,-72856,-64190,-64905,-66290,-71129,-50144,-62439,-81114,-86668,-104276,-113121,-136629,-155902,-202077,-232309,-269442,-430303,-400175,-371472,-373388,-342547,-349027,-362120,-337556,-321230,-320043,-341990,-359239,-331954,-161338,-22908,145017,280760,398979,528156,778860,971936,1039601,1052991,1227086,1341077,1654199,2169782,2436315,2876683,3278472,3565027,4065999,3961670,3664997,3888896,4804844,5917872,7237124,8492572,9418151,7756230,8417968,8365178,8832972,8807005,9670542,9481517,9647312,9895973
