"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"96000","Southwest","6","SA4","10","...","Personal income (thousands of dollars)",4220004,3622249,3052655,2299464,2280515,2629769,3016183,3435118,3898083,3743868,3888234,4138225,5098743,7284350,9622620,10453677,10575170,10919458,12101243,13327418,14251967,15345864,17599756,19151462,19748339,20254040,21784217,23399734,25064432,26223042,27790150,28795586,30411402,31948458,33303837,35662461,38264015,41617944,45276071,50362197,56317664,62299472,68126733,75820869,86197944,96984979,109351628,122529526,136751403,157846351,182351995,209353933,244571091,268060290,284818071,312574634,336276720,346922227,356238591,377972430,404425167,433568698,453708566,488716681,517870864,550165516,588912349,632152308,684747847,742822291,780761079,849541752,900816481,916158455,953682907,1006445855,1101283761,1208863893,1284243510,1394758130,1320228177,1374987775,1490647485,1592627183,1628012943,1743669781,1805564422,1816997833,1873065099
"96000","Southwest","6","SA4","11","...","  Nonfarm personal income 1/",3438700,3144977,2674693,2060500,1937547,2261157,2461011,2991139,3232730,3246115,3358727,3555645,4354362,6144051,8252930,9013692,9331849,9416688,10111174,11491985,12124903,13626975,15539041,17352810,18291916,18796196,20404577,22169028,23647860,24592809,26316924,27330732,28792779,30547647,32116591,34540362,36925726,40221175,43995619,48954157,54823821,60481657,66468315,73828165,82930858,94882321,107278671,120495986,134940449,156211746,179428298,207867767,241790552,265750636,282449976,309946369,333744368,344383882,352773667,373872739,400373085,428673930,449245251,483409670,511767527,544945090,584719888,628324909,679828938,738090755,774217835,844099862,894562159,909972390,946410729,998044183,1093190063,1203760796,1278335347,1390958303,1318487863,1369634930,1484014642,1585732606,1618981937,1734199399,1795205929,1811056531,1865236115
"96000","Southwest","6","SA4","12","...","  Farm income 2/",781304,477272,377962,238964,342968,368612,555172,443979,665353,497753,529507,582580,744381,1140299,1369690,1439985,1243321,1502770,1990069,1835433,2127064,1718889,2060715,1798652,1456423,1457844,1379640,1230706,1416572,1630233,1473226,1464854,1618623,1400811,1187246,1122099,1338289,1396769,1280452,1408040,1493843,1817815,1658418,1992704,3267086,2102658,2072957,2033540,1810954,1634605,2923697,1486166,2780539,2309654,2368095,2628265,2532352,2538345,3464924,4099691,4052082,4894768,4463315,5307011,6103337,5220426,4192461,3827399,4918909,4731536,6543244,5441890,6254322,6186065,7272178,8401672,8093698,5103097,5908163,3799827,1740314,5352845,6632843,6894577,9031006,9470382,10358493,5941302,7828984
"96000","Southwest","6","SA4","20","...","Population (persons) 3/",8984000,9106000,9175000,9222000,9281000,9333000,9418000,9489000,9540000,9604000,9700000,9780000,9858000,10036000,10341000,10061000,9968000,10510000,10751000,11009000,11086000,11450000,11823000,12110000,12168000,12287000,12682000,12962000,13324000,13598000,13874000,14235000,14572000,14930000,15108000,15278000,15414000,15567000,15734000,15998000,16328000,16621375,17076950,17502870,17942658,18354229,18789070,19269802,19710280,20180482,20776513,21426140,21985332,22791219,23405364,23776476,24165954,24584827,24747513,24859623,25083118,25411251,25917326,26491437,27115790,27772489,28419852,29019737,29625063,30239551,30827272,31380654,31891889,32430969,32923761,33475468,34098071,34944948,35624083,36269039,36899289,37472786,37972888,38521426,39030404,39619086,40243759,40820143,41339800
"96000","Southwest","6","SA4","30","...","Per capita personal income (dollars) 4/",470,398,333,249,246,282,320,362,409,390,401,423,517,726,931,1039,1061,1039,1126,1211,1286,1340,1489,1581,1623,1648,1718,1805,1881,1928,2003,2023,2087,2140,2204,2334,2482,2673,2878,3148,3449,3748,3989,4332,4804,5284,5820,6359,6938,7822,8777,9771,11124,11762,12169,13146,13915,14111,14395,15204,16123,17062,17506,18448,19098,19810,20722,21784,23114,24565,25327,27072,28246,28249,28966,30065,32298,34593,36050,38456,35779,36693,39256,41344,41711,44011,44866,44512,45309
"96000","Southwest","6","SA4","35","...","  Earnings by place of work",3430159,2894532,2367208,1763744,1798395,2112076,2477048,2709278,3226379,3041785,3172174,3434479,4380763,6460295,8752458,9519632,9476045,9317258,10249834,11362386,12130189,12790319,15176719,16586804,16897629,17174299,18471829,19873761,21197568,21798345,23024315,23781282,24978532,26223339,27264385,29219858,31314839,34550727,37576984,41882860,46664679,50705727,54999861,61469704,70120119,77951460,86672164,98327075,110973873,128680807,149224416,168561600,195286043,209847765,219493246,240547873,257293665,263721235,271102858,289139621,305639050,329016871,345886090,372693688,397002279,420773178,447153050,481263670,526938345,578172258,615157694,670311317,713826939,724789104,749614078,791472090,851153627,933981447,977549610,1042115937,975458074,1012594067,1085697172,1160842667,1212107354,1290558100,1324918428,1324659766,1369497971
"96000","Southwest","6","SA4","36","...","  Less: Contributions for government social insurance 5/",3605,3465,3174,3258,2631,2834,2637,2618,61481,69936,73490,76761,80742,119791,196638,235107,314024,365786,288896,244490,266814,277511,333384,373192,390445,457810,518497,578109,680580,708932,847145,1005975,1040484,1131946,1276679,1330214,1400426,1881644,2185078,2456333,2887375,3103866,3500663,4085110,5305633,6213036,6830945,7904143,9029729,10775969,13007383,14995394,18607648,20498638,21388612,24037895,26108974,26713390,27113702,29976530,32058507,34446576,37064458,39437073,41952733,45127477,47841438,51061451,55114963,59737207,63263279,68048838,71645408,72973383,76112873,80606047,86239821,92853599,98915287,103199501,101639654,105016718,98836170,104166049,122343231,128947126,134289274,137778741,144512402
"96000","Southwest","6","SA4","37","...","    Employee and self-employed contributions for government social insurance",3006,2941,2800,2659,2332,2535,2264,2468,18723,18505,19262,21214,25724,45574,107564,129864,133970,89427,91311,91324,90489,126029,153223,172619,184512,219017,249512,278221,326639,344664,406221,490095,502933,534879,608960,641418,678641,933545,1117539,1257400,1465470,1573816,1763431,2019919,2638493,3095119,3391554,3811724,4346154,5143353,6254168,7301760,9144006,10097335,10430668,11487240,12877979,13278449,13567294,15089767,16404286,17594956,19019419,20200690,21494144,23209763,24921026,26416939,28586367,31013005,33002323,35434434,37277014,38040405,38927086,41330049,44552868,48504271,51898642,54683865,53945395,55175625,45784373,48001289,64222377,68116751,70749517,72811063,76323446
"96000","Southwest","6","SA4","38","...","    Employer contributions for government social insurance",599,524,374,599,299,299,373,150,42758,51431,54228,55547,55018,74217,89074,105243,180054,276359,197585,153166,176325,151482,180161,200573,205933,238793,268985,299888,353941,364268,440924,515880,537551,597067,667719,688796,721785,948099,1067539,1198933,1421905,1530050,1737232,2065191,2667140,3117917,3439391,4092419,4683575,5632616,6753215,7693634,9463642,10401303,10957944,12550655,13230995,13434941,13546408,14886763,15654221,16851620,18045039,19236383,20458589,21917714,22920412,24644512,26528596,28724202,30260956,32614404,34368394,34932978,37185787,39275998,41686953,44349328,47016645,48515636,47694259,49841093,53051797,56164760,58120854,60830375,63539757,64967678,68188956
"96000","Southwest","6","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-7246,-22060,-15450,-44985,-51907,-53229,-82098,-93013,-99261,-99821,2814,3880,4956,6400,8877,11693,13589,16443,17040,18673,24181,-72711,-87423,-91254,-108069,-121396,-83055,-48964,21651,-224254,-362476,-353876,-453299,-168192,-228765,-159253,-157154,-124131,-6222,85800,182927,266159,359839,318226,360051,412745,431670,412229,424903,421898,432567,543649,610645,486405,-1226263,-1590726,-2011804,543627,268132,1545786,955704,778382,735145,581425,549861,500426,607436,668205,1034508,1053920
