"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"53000","Washington","8","SA4","10","...","Personal income (thousands of dollars)",1149998,1030198,844183,636976,598403,711943,799446,942178,1009574,989908,1058985,1160586,1586482,2348054,3046474,3328255,3248244,3295214,3408755,3759189,3775527,4263776,4714111,5020152,5305857,5449786,5733651,6022918,6406226,6540174,6938333,7188674,7557735,8153252,8345104,8741072,9424718,10654118,11666598,12985787,14189188,14963601,15755947,16989715,19127287,21698528,24547939,27219877,30214671,35172996,40388261,45791768,51106487,54139646,57662556,61887083,65734074,70366088,74684332,81318656,89962254,98856108,105798375,114253674,120065517,126288890,133508969,143601196,154903989,169763415,181382731,194093106,198547288,202782060,210413123,226511608,236271199,257104210,279088841,293949341,278991093,284523758,301567633,326408854,333168842,358988169,379950931,397772297,416816311
"53000","Washington","8","SA4","11","...","  Nonfarm personal income 1/",1029983,934620,771603,592691,545978,634817,699729,848056,914126,905032,974259,1082804,1446936,2130826,2768359,3033233,2938399,2918577,3030458,3422569,3551314,3990729,4423875,4725448,5013101,5167791,5495862,5780282,6142452,6319262,6707625,6934923,7313565,7884692,8073526,8493639,9157127,10292562,11343292,12649432,13795987,14622041,15369745,16488697,18378381,20816389,23654822,26483075,29628371,34437913,39668665,44949776,50263126,53390023,56615183,60884435,65003409,69327168,73624449,80327956,88845520,97698880,104578580,112780427,118392208,124926960,132122054,141739967,153435155,168115404,179993573,192469613,197086463,201234480,208349298,224474729,234508080,255400000,277008282,291878011,277015696,282132282,298458695,323138720,329895391,356051796,375519534,393350202,413035466
"53000","Washington","8","SA4","12","...","  Farm income 2/",120015,95578,72580,44285,52425,77126,99717,94122,95448,84876,84726,77782,139546,217228,278115,295022,309845,376637,378297,336620,224213,273047,290236,294704,292756,281995,237789,242636,263774,220912,230708,253751,244170,268560,271578,247433,267591,361556,323306,336355,393201,341560,386202,501018,748906,882139,893117,736802,586300,735083,719596,841992,843361,749623,1047373,1002648,730665,1038920,1059883,990700,1116734,1157228,1219795,1473247,1673309,1361930,1386915,1861229,1468834,1648011,1389158,1623493,1460825,1547580,2063825,2036879,1763119,1704210,2080559,2071330,1975397,2391476,3108938,3270134,3273451,2936373,4431397,4422095,3780845
"53000","Washington","8","SA4","20","...","Population (persons) 3/",1555000,1568000,1581000,1584000,1592000,1610000,1629000,1653000,1681000,1698000,1715000,1740000,1793000,1904000,2022000,2138000,2238000,2300000,2225000,2255000,2294000,2387000,2424000,2448000,2466000,2516000,2604000,2668000,2724000,2773000,2821000,2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743
"53000","Washington","8","SA4","30","...","Per capita personal income (dollars) 4/",740,657,534,402,376,442,491,570,601,583,617,667,885,1233,1507,1557,1451,1433,1532,1667,1646,1786,1945,2051,2152,2166,2202,2257,2352,2359,2460,2518,2622,2771,2824,2952,3177,3485,3676,3971,4244,4379,4571,4929,5501,6116,6783,7376,8009,9051,10065,11022,12066,12660,13409,14248,14939,15803,16480,17526,18954,20162,21052,22139,22745,23495,24358,25782,27297,29424,31045,32839,33170,33505,34471,36660,37759,40357,43192,44794,41844,42206,44224,47368,47846,50942,53119,54632,56283
"53000","Washington","8","SA4","35","...","  Earnings by place of work",942556,840970,670318,499951,478522,587592,668887,785045,860241,854823,898562,983901,1370532,2122829,2821135,3091406,2969328,2941162,2977162,3224268,3194775,3495725,3983590,4241021,4430861,4522616,4760164,4999436,5292675,5360016,5713146,5883965,6160091,6685958,6827301,7096416,7627950,8855745,9659084,10746490,11709158,11860178,12287376,13357674,15196639,17106761,19066251,21369078,23959236,28233187,32582133,35915320,39207389,40444957,42712567,45622251,48366565,52247486,55930623,61452990,67196049,74671557,80120498,87505891,91424690,95384881,99542785,106702613,115813679,128814952,139834336,148913049,151243855,153890089,158729185,167762290,177317079,190723716,203409049,210053082,199095886,202844516,212203841,228667022,238880790,251652030,265267263,279909495,295114052
"53000","Washington","8","SA4","36","...","  Less: Contributions for government social insurance 5/",1137,1117,1024,994,846,884,856,11424,21182,24070,22213,25601,35057,59430,87820,104811,118011,166405,121602,100061,116824,124402,134614,137362,142503,163055,184637,193868,218656,239517,281481,313280,327495,357714,394876,394285,417539,592936,688058,770385,908827,911359,978715,1114784,1434928,1656005,1837154,2136936,2456833,2973069,3561299,3898199,4585056,4812246,5113987,5647155,6086761,6584809,7024733,7929320,8669433,9822715,10637496,11580257,12079083,12803680,13403631,14014304,14810180,16246199,17002548,18407665,18148607,18548365,19317401,20546648,21862179,23188776,24430835,25013166,24789343,25472700,23974809,24800353,28993258,30508530,32171271,33536406,35761113
"53000","Washington","8","SA4","37","...","    Employee and self-employed contributions for government social insurance",1031,1024,957,887,792,830,788,876,5563,5413,6143,6802,9550,17107,30755,40676,42639,31509,28848,24072,23059,32159,38715,43000,44530,53171,59955,66471,78108,84734,103539,120071,126238,138194,154480,155827,162150,246600,292897,325972,374954,380858,408114,456489,589919,687177,765408,859618,964757,1152714,1386952,1543841,1841274,1956988,2058018,2216878,2496607,2743142,2950202,3371750,3777738,4297958,4670719,5030938,5172897,5516089,5832364,6189957,6770439,7369567,7848154,8401194,8318550,8580981,8832812,9297507,9953945,10821667,11590001,12065669,11882741,11983275,9814994,10239026,13813504,14532072,15391772,16216353,17306714
"53000","Washington","8","SA4","38","...","    Employer contributions for government social insurance",106,93,67,107,54,54,68,10548,15619,18657,16070,18799,25507,42323,57065,64135,75372,134896,92754,75989,93765,92243,95899,94362,97973,109884,124682,127397,140548,154783,177942,193209,201257,219520,240396,238458,255389,346336,395161,444413,533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057,9967384,10484589,11249141,11908234,12367109,12840834,12947497,12906602,13489425,14159815,14561327,15179754,15976458,16779499,17320053,18454399
"53000","Washington","8","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2,951,20493,35874,37956,29818,26604,28762,36474,33195,16628,20984,25636,29055,34682,42591,52406,63082,72095,83374,99850,82860,62135,60548,71141,87482,130476,200356,248923,232087,272631,328677,395345,432237,468421,494561,544472,572180,616581,672367,756214,846762,925390,997688,1108873,1203709,1259281,1417535,1638757,1796912,1905810,1971737,2296989,2409621,2493068,2473253,2918770,3140915,3175085,3550226,3457895,3252695,3074234,3332341,3379391,3273032,3203285,3535744,3716515,3794954
