"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona","6","SA50","10","...","Personal income (thousands of dollars)",927803,951113,1056623,1309095,1489845,1581777,1639837,1799680,2028630,2220164,2358531,2599848,2833481,3086456,3322188,3493419,3746979,3977948,4336766,4719704,5413703,6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117552632,124514127,135372547,141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255696365,270258279,280120037
"04000","Arizona","6","SA50","15","...","  Less: Personal current taxes",70928,58117,77990,110974,151112,141301,140558,158167,188606,209163,218426,256092,292648,303772,339913,355188,323833,344370,396472,453530,555792,736740,807654,838497,1044245,1106004,1312465,1144772,1376449,1657249,2098087,2611559,2928384,3582460,3668500,3750242,4182164,4844485,5224229,5721799,5875202,6565586,6937203,7164369,7360744,8035359,8991270,9875000,11630727,12903928,14569132,15601148,17239718,17281428,14892767,14608692,16155740,19989867,22826785,23962711,22287821,16330519,17413313,21066139,21589943,23872066,25091425,27888788,28464751
"04000","Arizona","6","SA50","16","...","Equals: Disposable personal income",856875,892996,978633,1198121,1338733,1440476,1499279,1641513,1840024,2011001,2140105,2343756,2540833,2782684,2982275,3138231,3423146,3633578,3940294,4266174,4857911,5573140,6372458,7367526,8360088,9754095,10929660,12016840,13285391,14822939,17340297,20274362,23434802,26536230,28216329,31279632,35517129,39209530,43070564,46504335,50389817,53921389,56445825,59411097,63627230,68395330,74868700,81407721,87317887,94533284,102983500,108912979,118132829,123867047,131639436,140597621,153291241,168541698,186413942,196540635,202030064,197727710,197639292,204772746,214630362,218309438,230604940,242369491,251655286
"04000","Arizona","6","SA50","20","...","Population (persons) 1/",690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642
"04000","Arizona","6","SA50","30","...","Per capita personal income (dollars) 2/",1345,1332,1398,1668,1769,1769,1758,1823,1927,1973,1977,2062,2145,2194,2258,2297,2408,2511,2687,2867,3219,3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24072,24785,26232,26766,27154,28166,29978,32288,34705,35751,35717,33746,33565,34930,36096,36605,38127,39731,40546
"04000","Arizona","6","SA50","50","...","Per capita disposable personal income (dollars) 3/",1242,1251,1294,1526,1590,1611,1607,1663,1747,1788,1794,1859,1923,1978,2027,2063,2200,2294,2441,2592,2888,3208,3550,3886,4162,4590,4914,5256,5658,6107,6887,7684,8560,9443,9764,10536,11580,12316,13019,13530,14254,14886,15321,15682,16249,16824,17637,18366,19036,19956,21089,21679,22891,23489,24395,25515,27120,28864,30919,31866,32169,31172,30847,31672,32797,32997,34386,35631,36426
"04000","Arizona","6","SA50","60","...","Personal current taxes",70928,58117,77990,110974,151112,141301,140558,158167,188606,209163,218426,256092,292648,303772,339913,355188,323833,344370,396472,453530,555792,736740,807654,838497,1044245,1106004,1312465,1144772,1376449,1657249,2098087,2611559,2928384,3582460,3668500,3750242,4182164,4844485,5224229,5721799,5875202,6565586,6937203,7164369,7360744,8035359,8991270,9875000,11630727,12903928,14569132,15601148,17239718,17281428,14892767,14608692,16155740,19989867,22826785,23962711,22287821,16330519,17413313,21066139,21589943,23872066,25091425,27888788,28464751
"04000","Arizona","6","SA50","70","...","  Federal government 4/",65907,52714,71755,103024,141918,131691,130909,147711,175736,195503,204741,238394,270843,278724,310476,326938,291418,307923,349241,397746,487479,644654,688487,719265,889912,947639,1089645,927336,1127036,1375370,1765208,2220547,2525779,3035097,3092616,3107274,3417574,3971386,4241925,4709495,4764652,5334208,5608839,5585828,5807414,6404320,7261631,8160096,9687654,10868970,12358797,13219931,14548098,14668658,12401831,11972046,13119282,16589246,18729596,19584358,18363137,13379806,14290279,17608513,17935288,19894342,20977778,23396211,23793528
"04000","Arizona","6","SA50","80","...","    Income taxes (net of refunds) 4/",65907,52714,71755,103024,141918,131691,130909,147711,175736,195503,204741,238394,270843,278724,310476,326938,291418,307923,349241,397746,487479,644654,688487,719265,889912,947639,1089645,927336,1127036,1375370,1765208,2220547,2525779,3035097,3092616,3107274,3417574,3971386,4241925,4709495,4764652,5334208,5608839,5585828,5807414,6404320,7261631,8160096,9687654,10868970,12358797,13219931,14548098,14668658,12401831,11972046,13119282,16589246,18729596,19584358,18363137,13379806,14290279,17608513,17935288,19894342,20977778,23396211,23793528
"04000","Arizona","6","SA50","81","...","      Income taxes (gross) 4/",71752,61193,77564,110178,150485,143797,143115,161920,191301,213441,225748,261789,297969,311455,346721,368834,337534,345552,393910,458782,564581,733446,816385,873521,1056031,1214191,1383532,1347222,1466547,1730045,2150339,2631466,3090397,3677359,3849310,3969375,4243904,4920696,5246351,5704529,5823018,6283394,6619720,6646362,6876397,7389879,8286460,9353873,10957993,12235658,13837536,15115344,16620429,17038556,15301335,14882067,16142004,19603246,22114825,23394696,23853434,18574059,19002012,21798835,22208576,23993689,25041590,27485524,28223713
"04000","Arizona","6","SA50","82","...","      Less: Refunds",5845,8479,5809,7154,8567,12106,12206,14209,15565,17938,21007,23395,27126,32731,36245,41896,46116,37629,44669,61036,77102,88792,127898,154256,166119,266552,293887,419886,339511,354675,385131,410919,564618,642262,756694,862101,826330,949310,1004426,995034,1058366,949186,1010881,1060534,1068983,985559,1024829,1193777,1270339,1366688,1478739,1895413,2072331,2369898,2899504,2910021,3022722,3014000,3385229,3810338,5490297,5194253,4711733,4190322,4273288,4099347,4063812,4089313,4430185
"04000","Arizona","6","SA50","120","...","  State governments",3517,3730,4444,6035,7127,7384,7270,7926,10421,11317,11074,13064,16499,19138,20851,18706,22335,25586,35690,42801,53997,75989,100817,97986,130218,133058,196368,187971,219303,252368,297086,352307,360856,500930,523713,582906,703861,802737,894108,918099,1001583,1107357,1208522,1452400,1419369,1492623,1577144,1573056,1778097,1853418,2027257,2160245,2459238,2317986,2180756,2325098,2692392,3030133,3670977,3897839,3468948,2552429,2745077,3106568,3320513,3630343,3740454,4086339,4250460
"04000","Arizona","6","SA50","130","...","    Income taxes",2772,2895,3428,4634,5271,5289,5144,5662,7794,8583,8106,9458,12375,14443,15301,12290,15004,15201,24819,28528,39858,57862,81056,75910,105225,103694,163488,151625,173748,204653,246560,298291,303220,427634,428675,476779,576464,662364,745061,799890,886257,978325,1082185,1336741,1324111,1397946,1476268,1468889,1673352,1743263,1922330,2049521,2344077,2203617,2060223,2203952,2563449,2889644,3504481,3715700,3299810,2396545,2581688,2942171,3156992,3459850,3563874,3898936,4056184
"04000","Arizona","6","SA50","150","...","    Motor vehicle licenses",492,544,600,756,1037,1181,1237,1359,1710,1955,2139,2519,2993,3485,4172,4767,5429,8395,8923,9659,11133,13947,15681,17574,19912,23068,26220,30149,35936,38641,41581,42681,45220,59656,75508,85549,98172,113831,123119,87357,95662,109115,109391,94789,71573,71630,75126,82131,84957,88725,88828,94312,97133,94199,99625,102419,108900,119544,139241,148439,140021,126632,130791,132428,132010,139127,143373,152437,159871
"04000","Arizona","6","SA50","160","...","    Other taxes 5/",253,291,416,645,819,914,889,905,917,779,829,1087,1131,1210,1378,1649,1902,1990,1948,4614,3006,4180,4080,4502,5081,6296,6660,6197,9619,9074,8945,11335,12416,13640,19530,20578,29225,26542,25928,30852,19664,19917,16946,20870,23685,23047,25750,22036,19788,21430,16099,16412,18028,20170,20908,18727,20043,20945,27255,33700,29117,29252,32598,31969,31511,31366,33207,34966,34405
