"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"09000","Connecticut","1","SA50","10","...","Personal income (thousands of dollars)",3504895,3414883,3862330,4437134,4850281,5259471,5362905,5778919,6315039,6733835,6527864,6974994,7266881,7693260,8218293,8675920,9318293,10018325,11007189,12063735,12816784,14693141,15678607,16511886,17800682,19365980,21132528,22706406,24501978,27001855,30063404,33793836,38457972,43173687,46616812,49858707,55856174,59950829,64560716,70594722,77854455,84525768,86968737,87599501,94263265,97514376,100067779,105446951,110588370,117944101,127447466,134862911,147686418,155411804,155702576,158426538,166799800,176139627,190614991,204296045,217101744,215234464,222404940,229211506,233710888,230614799,239069549,244940968,247886635
"09000","Connecticut","1","SA50","15","...","  Less: Personal current taxes",377081,294099,381013,536961,657976,675822,630114,664907,758423,780508,764901,831122,918622,947077,1021728,1118514,1045557,1183324,1376494,1593481,1893284,2259604,2045410,1928873,2303013,2399969,2629426,2529161,3014360,3317560,3957163,4684445,5517592,6360663,6924827,6319696,6794444,7760548,8670901,10065671,10228067,11030202,11151287,11194544,12857915,13633486,14029302,15411521,17774818,20216706,22779604,24365948,27607578,28746223,23254849,22104202,23636631,27353308,30287749,34614703,34048443,25831611,27875739,31892281,32837133,36650912,38004507,39431767,38789483
"09000","Connecticut","1","SA50","16","...","Equals: Disposable personal income",3127814,3120784,3481317,3900173,4192305,4583649,4732791,5114012,5556616,5953327,5762963,6143872,6348259,6746183,7196565,7557406,8272736,8835001,9630695,10470254,10923500,12433537,13633197,14583013,15497669,16966011,18503102,20177245,21487618,23684295,26106241,29109391,32940380,36813024,39691985,43539011,49061730,52190281,55889815,60529051,67626388,73495566,75817450,76404957,81405350,83880890,86038477,90035430,92813552,97727395,104667862,110496963,120078840,126665581,132447727,136322336,143163169,148786319,160327242,169681342,183053301,189402853,194529201,197319225,200873755,193963887,201065042,205509201,209097152
"09000","Connecticut","1","SA50","20","...","Population (persons) 1/",2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580171,3591927,3597705,3602470,3600188,3593862,3587685
"09000","Connecticut","1","SA50","30","...","Per capita personal income (dollars) 2/",1740,1681,1916,2188,2331,2426,2385,2513,2727,2855,2669,2765,2856,2975,3105,3181,3330,3507,3792,4110,4324,4898,5160,5393,5799,6310,6871,7361,7940,8742,9714,10902,12353,13799,14851,15766,17565,18728,20027,21740,23794,25743,26418,26522,28558,29468,30176,31722,33143,35214,37870,39825,43287,45272,45017,45468,47710,50226,54191,57919,61232,60428,62121,63813,64961,64016,66405,68155,69094
"09000","Connecticut","1","SA50","50","...","Per capita disposable personal income (dollars) 3/",1553,1536,1727,1923,2015,2114,2104,2223,2399,2524,2356,2435,2495,2609,2719,2771,2957,3092,3317,3567,3685,4145,4486,4763,5049,5528,6016,6541,6963,7668,8435,9390,10581,11766,12645,13768,15428,16304,17337,18640,20669,22384,23031,23133,24663,25348,25946,27085,27816,29178,31102,32630,35195,36898,38294,39124,40949,42426,45580,48106,51629,53176,54335,54934,55834,53842,55848,57183,58282
"09000","Connecticut","1","SA50","60","...","Personal current taxes",377081,294099,381013,536961,657976,675822,630114,664907,758423,780508,764901,831122,918622,947077,1021728,1118514,1045557,1183324,1376494,1593481,1893284,2259604,2045410,1928873,2303013,2399969,2629426,2529161,3014360,3317560,3957163,4684445,5517592,6360663,6924827,6319696,6794444,7760548,8670901,10065671,10228067,11030202,11151287,11194544,12857915,13633486,14029302,15411521,17774818,20216706,22779604,24365948,27607578,28746223,23254849,22104202,23636631,27353308,30287749,34614703,34048443,25831611,27875739,31892281,32837133,36650912,38004507,39431767,38789483
"09000","Connecticut","1","SA50","70","...","  Federal government 4/",363514,279414,365235,519770,639503,656073,608342,643577,737582,758197,741401,798501,882761,908024,981833,1074057,999590,1134761,1326826,1541580,1837538,2197325,1966439,1839989,2169131,2272510,2535354,2434958,2872079,3152275,3766081,4474783,5292331,6100381,6657373,5954295,6369418,7279319,8089983,9404164,9606374,10266083,10240775,9970668,10452065,11120526,11357541,12718509,14462319,16917760,18952118,20473548,23273272,24040515,19198258,17860430,18721444,21606209,24060450,28205774,26750105,19348931,21428884,24547478,24889445,28221437,29537993,30860971,30416805
"09000","Connecticut","1","SA50","80","...","    Income taxes (net of refunds) 4/",363514,279414,365235,519770,639503,656073,608342,643577,737582,758197,741401,798501,882761,908024,981833,1074057,999590,1134761,1326826,1541580,1837538,2197325,1966439,1839989,2169131,2272510,2535354,2434958,2872079,3152275,3766081,4474783,5292331,6100381,6657373,5954295,6369418,7279319,8089983,9404164,9606374,10266083,10240775,9970668,10452065,11120526,11357541,12718509,14462319,16917760,18952118,20473548,23273272,24040515,19198258,17860430,18721444,21606209,24060450,28205774,26750105,19348931,21428884,24547478,24889445,28221437,29537993,30860971,30416805
"09000","Connecticut","1","SA50","81","...","      Income taxes (gross) 4/",398688,326465,396242,556290,682836,711048,668815,710084,805920,833863,823531,883915,970190,1005063,1084061,1183686,1117901,1230083,1442680,1697271,2027549,2401060,2232148,2108024,2423545,2660888,2944387,3002914,3270448,3589326,4174895,4893189,5816875,6694777,7344809,6849144,7292150,8278171,9184434,10529026,10763131,11455781,11487632,11314403,11758894,12394025,12612805,14085974,15795301,18290825,20382912,22252782,25149184,26077749,21800981,20380737,21422174,24042979,26703425,30947602,30571335,23135115,24736305,27481700,27873908,31187778,32884184,34191198,33967424
