"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"10000","Delaware","2","SA50","10","...","Personal income (thousands of dollars)",525480,571135,669777,720012,773312,830174,861395,994216,1146463,1154808,1187445,1240584,1302373,1344573,1427126,1528141,1652820,1815568,1910996,2035756,2220336,2445633,2606227,2852424,3133305,3467373,3755784,4049435,4413098,4749267,5211883,5722077,6428975,7076416,7625571,8163545,8995632,9806074,10431043,11269736,12318653,13716907,14403323,15238119,15927657,16547403,17201929,18222617,19495317,20362927,22627811,24409278,27074544,29773066,30513129,31236735,32401002,33357539,35524883,36468376,36974073,36843966,36971906,39687435,39953950,40565882,42175123,44438426,45574410
"10000","Delaware","2","SA50","15","...","  Less: Personal current taxes",89824,89715,115867,124752,139167,145400,144510,179047,185496,192012,183199,198312,206254,205659,232418,238049,255092,282554,291865,303855,344594,414799,426727,443086,494510,555552,590934,586077,694567,743233,813791,936641,1059660,1212786,1216986,1211093,1285600,1393839,1500104,1572479,1661997,1868055,1978165,1962672,2021968,2120544,2293196,2420512,2720830,3054794,3309199,3448034,3611724,3824336,3353499,3218327,3442299,3997512,4258109,4470892,4418961,3557126,3663287,4309651,4289599,4587038,4741933,5161592,5113593
"10000","Delaware","2","SA50","16","...","Equals: Disposable personal income",435656,481420,553910,595260,634145,684774,716885,815169,960967,962796,1004246,1042272,1096119,1138914,1194708,1290092,1397728,1533014,1619131,1731901,1875742,2030834,2179500,2409338,2638795,2911821,3164850,3463358,3718531,4006034,4398092,4785436,5369315,5863630,6408585,6952452,7710032,8412235,8930939,9697257,10656656,11848852,12425158,13275447,13905689,14426859,14908733,15802105,16774487,17308133,19318612,20961244,23462820,25948730,27159630,28018408,28958703,29360027,31266774,31997484,32555112,33286840,33308619,35377784,35664351,35978844,37433190,39276834,40460817
"10000","Delaware","2","SA50","20","...","Population (persons) 1/",312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899712,907884,916868,925114,934805,944107,952698
"10000","Delaware","2","SA50","30","...","Per capita personal income (dollars) 2/",1684,1807,2087,2175,2268,2365,2341,2556,2810,2711,2742,2813,2901,2917,3043,3164,3326,3581,3703,3878,4158,4529,4736,5047,5460,5988,6441,6878,7445,7984,8713,9555,10806,11874,12727,13483,14709,15860,16622,17693,19021,20838,21511,22308,22920,23426,23973,24972,26310,27097,29643,31496,34430,37417,37850,38187,39000,39469,41343,41834,41832,41317,41093,43714,43577,43850,45116,47069,47837
"10000","Delaware","2","SA50","50","...","Per capita disposable personal income (dollars) 3/",1396,1523,1726,1798,1860,1951,1948,2096,2355,2260,2319,2363,2441,2471,2547,2671,2812,3024,3138,3299,3513,3761,3960,4263,4599,5028,5427,5883,6273,6735,7352,7991,9025,9839,10696,11483,12607,13606,14231,15225,16455,18000,18557,19435,20010,20424,20777,21655,22638,23032,25308,27047,29837,32611,33690,34252,34856,34739,36388,36705,36832,37328,37021,38967,38898,38891,40044,41602,42470
"10000","Delaware","2","SA50","60","...","Personal current taxes",89824,89715,115867,124752,139167,145400,144510,179047,185496,192012,183199,198312,206254,205659,232418,238049,255092,282554,291865,303855,344594,414799,426727,443086,494510,555552,590934,586077,694567,743233,813791,936641,1059660,1212786,1216986,1211093,1285600,1393839,1500104,1572479,1661997,1868055,1978165,1962672,2021968,2120544,2293196,2420512,2720830,3054794,3309199,3448034,3611724,3824336,3353499,3218327,3442299,3997512,4258109,4470892,4418961,3557126,3663287,4309651,4289599,4587038,4741933,5161592,5113593
"10000","Delaware","2","SA50","70","...","  Federal government 4/",86741,83648,106770,117045,134414,137228,131378,163573,168908,173364,158698,169380,177044,172663,189506,199802,213438,240332,233408,246898,279215,341428,344303,339649,381028,427489,446678,423119,506394,535343,582559,684030,782085,906716,886703,835969,878730,986440,1051724,1178932,1216221,1382930,1453822,1453206,1462984,1541540,1659359,1765482,2003116,2284078,2458694,2609482,2863074,2957086,2558969,2407322,2532394,2976109,3121943,3292184,3251956,2436296,2542403,3062793,3079309,3381526,3552748,3907209,3855445
"10000","Delaware","2","SA50","80","...","    Income taxes (net of refunds) 4/",86741,83648,106770,117045,134414,137228,131378,163573,168908,173364,158698,169380,177044,172663,189506,199802,213438,240332,233408,246898,279215,341428,344303,339649,381028,427489,446678,423119,506394,535343,582559,684030,782085,906716,886703,835969,878730,986440,1051724,1178932,1216221,1382930,1453822,1453206,1462984,1541540,1659359,1765482,2003116,2284078,2458694,2609482,2863074,2957086,2558969,2407322,2532394,2976109,3121943,3292184,3251956,2436296,2542403,3062793,3079309,3381526,3552748,3907209,3855445
"10000","Delaware","2","SA50","81","...","      Income taxes (gross) 4/",93987,95126,116229,128269,144888,149430,144644,178536,186663,191484,178089,188308,196133,192845,210277,222730,238733,264377,256256,271794,306078,368256,378514,378603,420310,485760,511901,510160,572763,608666,669999,772475,883119,1013975,1013103,995838,1066369,1177586,1246071,1364192,1412978,1590477,1655551,1679633,1688670,1755738,1878346,2012281,2258473,2549106,2741307,2962413,3238686,3363237,3109731,2917998,3076712,3492668,3691064,3906136,4087846,3226559,3274712,3725139,3756842,4040077,4186583,4546260,4544969
