"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"18000","Indiana","3","SA50","10","...","Personal income (thousands of dollars)",5633771,5387298,6066758,7063436,7428067,8191306,7745502,8358483,9000159,9300580,9302174,9899157,10410433,10727293,11481116,12057812,12837067,14189771,15317093,16041431,17415283,19196644,19957960,21704434,23747835,27244965,29138385,31453320,34953336,38692559,43178542,47589948,51176800,56129291,58057065,60856657,67573875,71325420,75220555,79856399,85438311,93122680,98288101,101120415,109582337,115567139,122830283,128383921,135673335,142738061,154164390,160634031,171538788,175890307,178158904,182215699,189976741,195121894,207376568,215098965,225759917,220157359,227692069,242797724,253770962,257170310,266902076,276730346,285863662
"18000","Indiana","3","SA50","15","...","  Less: Personal current taxes",452653,413356,444879,681224,786926,868960,737281,819167,907169,962391,874876,987084,1108854,1081891,1220102,1345519,1317336,1473094,1717397,1838756,2128004,2570140,2457349,2470690,2926271,3139278,3762849,3543326,4285711,4876516,5611246,6371591,6525198,7391402,7194901,7166186,7696722,8351486,8619000,9411076,10006780,11294715,11838212,11936958,12488319,13432533,14737714,15598767,16870402,18326028,20029160,20687519,21253061,21644479,19495704,18471066,18676020,20434250,22377875,24356696,24383756,19048146,20552370,24042102,24134049,26183908,26982860,29340518,29698736
"18000","Indiana","3","SA50","16","...","Equals: Disposable personal income",5181118,4973942,5621879,6382212,6641141,7322346,7008221,7539316,8092990,8338189,8427298,8912073,9301579,9645402,10261014,10712293,11519731,12716677,13599696,14202675,15287279,16626504,17500611,19233744,20821564,24105687,25375536,27909994,30667625,33816043,37567296,41218357,44651602,48737889,50862164,53690471,59877153,62973934,66601555,70445323,75431531,81827965,86449889,89183457,97094018,102134606,108092569,112785154,118802933,124412033,134135230,139946512,150285727,154245828,158663200,163744633,171300721,174687644,184998693,190742269,201376161,201109213,207139699,218755622,229636913,230986402,239919216,247389828,256164926
"18000","Indiana","3","SA50","20","...","Population (persons) 1/",3877000,3958000,3967000,4096000,4148000,4182000,4264000,4363000,4458000,4529000,4583000,4613000,4674000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490029,6515358,6535665,6567484,6593182,6610596,6634007
"18000","Indiana","3","SA50","30","...","Per capita personal income (dollars) 2/",1453,1361,1529,1724,1791,1959,1816,1916,2019,2054,2030,2146,2227,2268,2424,2513,2644,2883,3064,3175,3419,3733,3835,4134,4484,5112,5447,5878,6507,7159,7928,8692,9321,10242,10618,11166,12380,13065,13792,14591,15558,16859,17685,18005,19311,20137,21201,21940,22972,23968,25699,26573,28159,28704,28941,29406,30479,31077,32747,33717,35139,34084,35083,37265,38829,39158,40482,41862,43091
"18000","Indiana","3","SA50","50","...","Per capita disposable personal income (dollars) 3/",1336,1257,1417,1558,1601,1751,1644,1728,1815,1841,1839,1932,1990,2039,2167,2232,2372,2584,2720,2811,3002,3233,3363,3664,3931,4523,4743,5216,5709,6256,6898,7529,8132,8893,9302,9851,10970,11535,12211,12871,13735,14814,15555,15879,17110,17797,18657,19275,20116,20891,22360,23151,24670,25172,25774,26425,27483,27823,29213,29899,31344,31135,31917,33575,35136,35171,36389,37423,38614
"18000","Indiana","3","SA50","60","...","Personal current taxes",452653,413356,444879,681224,786926,868960,737281,819167,907169,962391,874876,987084,1108854,1081891,1220102,1345519,1317336,1473094,1717397,1838756,2128004,2570140,2457349,2470690,2926271,3139278,3762849,3543326,4285711,4876516,5611246,6371591,6525198,7391402,7194901,7166186,7696722,8351486,8619000,9411076,10006780,11294715,11838212,11936958,12488319,13432533,14737714,15598767,16870402,18326028,20029160,20687519,21253061,21644479,19495704,18471066,18676020,20434250,22377875,24356696,24383756,19048146,20552370,24042102,24134049,26183908,26982860,29340518,29698736
"18000","Indiana","3","SA50","70","...","  Federal government 4/",431023,389533,417334,651158,754743,834450,701451,782656,869627,923805,832677,927461,1043560,1010811,1141210,1208527,1113426,1272776,1481743,1590663,1872517,2283171,2172889,2157943,2569176,2738604,3259877,3018294,3710081,4195220,4849392,5538128,5795274,6505798,6284303,5947020,6203704,6775098,6988888,7640793,7769526,8751195,9210062,9198881,9552002,10386898,11449021,12032290,13174326,14398407,15818989,16229681,16781199,17089329,14556273,13480351,13423039,14874439,16467551,17978917,17764757,13203644,14289731,17256825,17497013,19465294,20278441,22289184,22503885
"18000","Indiana","3","SA50","80","...","    Income taxes (net of refunds) 4/",431023,389533,417334,651158,754743,834450,701451,782656,869627,923805,832677,927461,1043560,1010811,1141210,1208527,1113426,1272776,1481743,1590663,1872517,2283171,2172889,2157943,2569176,2738604,3259877,3018294,3710081,4195220,4849392,5538128,5795274,6505798,6284303,5947020,6203704,6775098,6988888,7640793,7769526,8751195,9210062,9198881,9552002,10386898,11449021,12032290,13174326,14398407,15818989,16229681,16781199,17089329,14556273,13480351,13423039,14874439,16467551,17978917,17764757,13203644,14289731,17256825,17497013,19465294,20278441,22289184,22503885
"18000","Indiana","3","SA50","81","...","      Income taxes (gross) 4/",474755,445772,459869,693890,809007,899773,778030,860171,952700,1013587,932708,1024303,1145763,1127257,1258263,1339042,1251576,1383653,1619118,1776088,2085117,2508623,2471553,2476766,2890348,3236053,3793734,3802900,4295166,4847696,5602054,6332657,6840292,7573579,7536979,7292698,7636531,8229340,8564691,9238764,9438524,10332011,10852259,10929344,11284198,12048715,13190858,14000721,15232700,16556164,18115336,19110066,19850680,20444542,18503831,17353700,17446792,18780332,20656878,22316876,23672526,18685977,19365155,21942994,22279807,24152125,24881599,26907660,27435247
