"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"21000","Kentucky","5","SA50","10","...","Personal income (thousands of dollars)",2827749,2689872,2943586,3460626,3680910,3868245,3819265,3997020,4225583,4435856,4642493,4878696,5033959,5359676,5687602,5979565,6237923,6765611,7396649,8001690,8737484,9702046,10517373,11444607,12654522,14211061,16007267,17446401,19488702,21868067,24357691,27351774,29770590,33114794,35287385,36629766,40882623,42685414,43905007,46333321,50389911,54151355,57482504,60643068,65371767,67907191,71377080,74798939,79385813,84293663,89291011,93068131,100491384,103880570,106192366,109033108,115700799,121353573,128434393,134438098,141421812,139458607,143617957,150669444,155996922,156589351,163278651,170266901,172713808
"21000","Kentucky","5","SA50","15","...","  Less: Personal current taxes",188107,159237,194994,274427,345979,363375,339000,359276,394794,459237,432154,455555,479014,481202,549289,566753,557412,618254,747519,774996,923050,1177403,1179720,1189701,1466134,1508397,1969360,1809762,2109422,2539688,2913062,3293293,3457655,4017006,4185515,4143506,4276888,4633683,4765545,5235477,5506308,6248306,6740201,6791144,7281136,7635522,8182395,8831298,9531150,10511483,11341428,11839669,12457224,12959493,11589711,11223486,11259009,12537201,13321928,14558868,15132438,12208954,12946452,14665373,14797288,15991349,16859507,18421233,18745023
"21000","Kentucky","5","SA50","16","...","Equals: Disposable personal income",2639642,2530635,2748592,3186199,3334931,3504870,3480265,3637744,3830789,3976619,4210339,4423141,4554945,4878474,5138313,5412812,5680511,6147357,6649130,7226694,7814434,8524643,9337653,10254906,11188388,12702664,14037907,15636639,17379280,19328379,21444629,24058481,26312935,29097788,31101870,32486260,36605735,38051731,39139462,41097844,44883603,47903049,50742303,53851924,58090631,60271669,63194685,65967641,69854663,73782180,77949583,81228462,88034160,90921077,94602655,97809622,104441790,108816372,115112465,119879230,126289374,127249653,130671505,136004071,141199634,140598002,146419144,151845668,153968785
"21000","Kentucky","5","SA50","20","...","Population (persons) 1/",2817000,2849000,2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000,2961000,2999000,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113
"21000","Kentucky","5","SA50","30","...","Per capita personal income (dollars) 2/",1004,944,1003,1177,1261,1332,1316,1374,1458,1515,1568,1627,1655,1755,1847,1931,1994,2155,2350,2523,2735,3034,3256,3470,3793,4215,4685,5030,5520,6117,6745,7507,8125,9022,9580,9915,11063,11553,11905,12579,13693,14726,15561,16292,17361,17813,18544,19241,20254,21325,22405,23162,24819,25535,25965,26483,27906,29013,30440,31583,32966,32304,33031,34490,35586,35596,37021,38504,38934
"21000","Kentucky","5","SA50","50","...","Per capita disposable personal income (dollars) 3/",937,888,936,1083,1142,1207,1199,1250,1322,1358,1422,1475,1498,1597,1669,1748,1815,1958,2113,2278,2446,2666,2890,3109,3354,3768,4108,4508,4923,5407,5938,6603,7181,7928,8444,8793,9906,10299,10613,11158,12197,13027,13736,14467,15427,15810,16418,16969,17822,18666,19559,20216,21742,22350,23131,23757,25190,26016,27283,28163,29439,29476,30054,31133,32210,31960,33198,34338,34708
"21000","Kentucky","5","SA50","60","...","Personal current taxes",188107,159237,194994,274427,345979,363375,339000,359276,394794,459237,432154,455555,479014,481202,549289,566753,557412,618254,747519,774996,923050,1177403,1179720,1189701,1466134,1508397,1969360,1809762,2109422,2539688,2913062,3293293,3457655,4017006,4185515,4143506,4276888,4633683,4765545,5235477,5506308,6248306,6740201,6791144,7281136,7635522,8182395,8831298,9531150,10511483,11341428,11839669,12457224,12959493,11589711,11223486,11259009,12537201,13321928,14558868,15132438,12208954,12946452,14665373,14797288,15991349,16859507,18421233,18745023
"21000","Kentucky","5","SA50","70","...","  Federal government 4/",170870,138604,170288,244710,310800,326348,293901,307098,336138,389583,360814,375487,395421,404648,467160,476449,452896,500557,608982,624562,751203,973057,956317,943783,1192754,1178051,1589422,1389971,1615826,1987773,2277340,2576121,2712115,3172630,3270236,3183018,3249046,3520315,3589302,3950357,4010129,4616962,4799585,4779759,4975353,5308717,5688395,6110933,6697805,7418162,8033343,8305982,8825027,9232375,7789060,7268895,7265485,8237908,9094925,10050759,10164029,7736854,8383906,9838148,9813527,10759390,11454324,12628305,12713900
"21000","Kentucky","5","SA50","80","...","    Income taxes (net of refunds) 4/",170870,138604,170288,244710,310800,326348,293901,307098,336138,389583,360814,375487,395421,404648,467160,476449,452896,500557,608982,624562,751203,973057,956317,943783,1192754,1178051,1589422,1389971,1615826,1987773,2277340,2576121,2712115,3172630,3270236,3183018,3249046,3520315,3589302,3950357,4010129,4616962,4799585,4779759,4975353,5308717,5688395,6110933,6697805,7418162,8033343,8305982,8825027,9232375,7789060,7268895,7265485,8237908,9094925,10050759,10164029,7736854,8383906,9838148,9813527,10759390,11454324,12628305,12713900
"21000","Kentucky","5","SA50","81","...","      Income taxes (gross) 4/",188346,160892,185611,261887,331240,353077,323937,339341,368841,424261,402612,417246,438004,451286,517399,535424,515177,553324,674038,718254,858157,1091246,1121702,1127967,1379034,1480204,1900380,1890356,2018094,2396401,2729983,3034674,3384701,3845411,4020441,3970569,4071290,4327662,4448931,4801306,4928018,5517970,5754672,5806159,6004259,6262965,6661671,7230045,7885797,8668701,9376381,9967829,10629274,11181560,10096960,9530706,9609443,10540563,11586858,12640890,13725867,11059603,11533748,12792528,12835576,13724425,14325991,15521203,15789257
