"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24000","Maryland","2","SA50","10","...","Personal income (thousands of dollars)",3511304,3585348,4005631,4621476,5092687,5425315,5456784,5878647,6423191,6837619,6971540,7361845,7740647,8240291,8904690,9541251,10406343,11347454,12521403,13632167,15059507,17270064,19210265,21174070,23219752,25571575,27927911,30272447,32913004,35682786,39666413,43606569,48538857,53951891,58495108,62780435,69611724,75637475,81682411,88108956,96766594,104489827,110720316,114751265,120564540,125464844,131220905,136887889,143275374,151291853,163085559,173346881,188470846,198998650,205604275,214734120,230472764,242159114,257913392,267773656,280994770,279900870,288737386,304387669,314159795,312369522,322608872,337212412,349266576
"24000","Maryland","2","SA50","15","...","  Less: Personal current taxes",354854,339888,380920,572984,686153,674827,582598,645065,750528,781568,795614,894728,958226,971296,1140745,1251321,1229835,1373663,1666645,1837722,2372066,2760607,2763358,2785842,3367493,3607924,4139044,4054561,4442162,5096675,5715417,6538483,7096243,8416365,8789195,8738200,9806631,10368788,11114088,12923628,13138016,15041582,15688249,15462177,15738934,16520022,17636172,18926340,20525328,23698138,24594567,26264092,29007808,30227631,27425020,26891039,28377565,31919330,34785326,38051271,37754263,31645781,32952090,37830140,38434773,41533052,43154225,46472796,47237930
"24000","Maryland","2","SA50","16","...","Equals: Disposable personal income",3156450,3245460,3624711,4048492,4406534,4750488,4874186,5233582,5672663,6056051,6175926,6467117,6782421,7268995,7763945,8289930,9176508,9973791,10854758,11794445,12687441,14509457,16446907,18388228,19852259,21963651,23788867,26217886,28470842,30586111,33950996,37068086,41442614,45535526,49705913,54042235,59805093,65268687,70568323,75185328,83628578,89448245,95032067,99289088,104825606,108944822,113584733,117961549,122750046,127593715,138490992,147082789,159463038,168771019,178179255,187843081,202095199,210239784,223128066,229722385,243240507,248255089,255785296,266557529,275725022,270836470,279454647,290739616,302028646
"24000","Maryland","2","SA50","20","...","Population (persons) 1/",2271000,2329000,2355000,2441000,2500000,2567000,2685000,2742000,2811000,2873000,2982000,3066000,3113000,3176000,3263000,3386000,3492000,3600000,3695000,3757000,3815000,3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788099,5843115,5891680,5932654,5970245,6000561,6024752
"24000","Maryland","2","SA50","30","...","Per capita personal income (dollars) 2/",1546,1539,1701,1893,2037,2113,2032,2144,2285,2380,2338,2401,2487,2595,2729,2818,2980,3152,3389,3628,3947,4465,4878,5264,5690,6223,6757,7282,7889,8507,9418,10325,11481,12659,13658,14555,15947,17139,18204,19299,20775,22103,23068,23574,24488,25235,26124,26999,28027,29335,31336,32990,35487,37025,37792,39069,41550,43302,45832,47365,49428,48845,49885,52093,53323,52653,54036,56197,57972
"24000","Maryland","2","SA50","50","...","Per capita disposable personal income (dollars) 3/",1390,1393,1539,1659,1763,1851,1815,1909,2018,2108,2071,2109,2179,2289,2379,2448,2628,2770,2938,3139,3326,3751,4176,4571,4864,5345,5755,6307,6824,7292,8061,8777,9803,10684,11606,12529,13700,14790,15727,16468,17954,18922,19799,20398,21291,21912,22613,23266,24012,24740,26610,27992,30025,31401,32751,34176,36434,37594,39651,40634,42787,43323,44192,45619,46799,45652,46808,48452,50131
"24000","Maryland","2","SA50","60","...","Personal current taxes",354854,339888,380920,572984,686153,674827,582598,645065,750528,781568,795614,894728,958226,971296,1140745,1251321,1229835,1373663,1666645,1837722,2372066,2760607,2763358,2785842,3367493,3607924,4139044,4054561,4442162,5096675,5715417,6538483,7096243,8416365,8789195,8738200,9806631,10368788,11114088,12923628,13138016,15041582,15688249,15462177,15738934,16520022,17636172,18926340,20525328,23698138,24594567,26264092,29007808,30227631,27425020,26891039,28377565,31919330,34785326,38051271,37754263,31645781,32952090,37830140,38434773,41533052,43154225,46472796,47237930
"24000","Maryland","2","SA50","70","...","  Federal government 4/",332139,314687,355099,544523,655155,640623,544226,590143,684848,718412,718516,796912,855029,861473,1014713,1108278,1072826,1199149,1434380,1530746,1858980,2161477,2098320,2101485,2577713,2673710,3133831,2915352,3187753,3754991,4260740,4927230,5407213,6492438,6671376,6450165,7289327,7666775,8105340,9338210,9554653,10830800,11163355,10942531,10940462,11509198,12390030,13088770,14790174,17247454,17885419,19141833,21465413,22259759,19441028,18579087,19354687,21836456,24119110,26450028,26240423,20786192,22210891,26501084,26136018,28520078,29775504,32315168,32593487
"24000","Maryland","2","SA50","80","...","    Income taxes (net of refunds) 4/",332139,314687,355099,544523,655155,640623,544226,590143,684848,718412,718516,796912,855029,861473,1014713,1108278,1072826,1199149,1434380,1530746,1858980,2161477,2098320,2101485,2577713,2673710,3133831,2915352,3187753,3754991,4260740,4927230,5407213,6492438,6671376,6450165,7289327,7666775,8105340,9338210,9554653,10830800,11163355,10942531,10940462,11509198,12390030,13088770,14790174,17247454,17885419,19141833,21465413,22259759,19441028,18579087,19354687,21836456,24119110,26450028,26240423,20786192,22210891,26501084,26136018,28520078,29775504,32315168,32593487
"24000","Maryland","2","SA50","81","...","      Income taxes (gross) 4/",362950,357431,388948,580282,700242,696914,603339,649987,747283,788451,795987,879250,943063,958400,1115932,1227056,1203583,1309971,1570346,1720174,2077359,2401405,2404429,2433632,2915621,3211013,3701136,3735433,3800184,4380056,4980604,5638181,6299386,7424118,7806319,7821086,8699739,9164790,9733896,10997031,11094956,12371459,12739943,12715106,12688773,13162849,14096614,14928785,16687618,19214282,20069215,21731781,24242376,25377307,23233486,22307996,23319145,25596950,28231800,30823480,32261138,26397567,27263327,31086958,30827611,33077147,34305173,36917565,37547799
"24000","Maryland","2","SA50","82","...","      Less: Refunds",30811,42744,33849,35759,45087,56291,59113,59844,62435,70039,77471,82338,88034,96927,101219,118778,130757,110822,135966,189428,218379,239928,306109,332147,337908,537303,567305,820081,612431,625065,719864,710951,892173,931680,1134943,1370921,1410412,1498015,1628556,1658821,1540303,1540659,1576588,1772575,1748311,1653651,1706584,1840015,1897444,1966828,2183796,2589948,2776963,3117548,3792458,3728909,3964458,3760494,4112690,4373452,6020715,5611375,5052436,4585874,4691593,4557069,4529669,4602397,4954312
"24000","Maryland","2","SA50","120","...","  State governments",22243,24706,25268,27921,30475,33716,37903,54168,64750,61840,76067,95532,100604,107559,123056,137485,149881,166269,193618,232512,390986,428407,474572,489077,540759,669790,662727,748511,824974,920896,1002390,1113125,1202107,1344276,1463871,1594603,1772078,1931360,2102644,2683856,2287212,2836149,3077793,3090273,3219163,3353845,3472478,3945041,3800419,4309488,4332805,4454030,4698860,5249875,4996554,5218217,5767681,6262575,6787186,7157696,7121221,6780755,6764977,7320487,7775581,8419688,8591051,9168020,9387998
