"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"36000","New York","2","SA50","10","...","Personal income (thousands of dollars)",25974386,26016787,27905469,30202259,31676251,33737099,34861019,37148463,39476869,41918835,43604040,46206770,48288166,50449273,53148456,55348870,59120726,62756914,67354557,72614806,80125413,83912716,90165190,96393345,103115394,109639324,118077927,127411999,134872187,145585536,158660143,173524889,193182470,215239003,233470201,251847877,279011598,298868264,318949769,340487199,373992930,404342796,432392237,432623921,457406830,469767241,484813019,511629875,538196850,568314287,599910544,635108291,682613900,709589003,709926775,723980267,759622890,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1109516679,1155937626,1176080244
"36000","New York","2","SA50","15","...","  Less: Personal current taxes",2845361,2549884,2789299,3780980,4305101,4473855,4257727,4536030,4911166,5222031,5271215,5886820,6221341,6704616,7025360,7302424,7078664,7705648,8636991,9844711,11334553,13081878,12636638,12310046,14142950,14649188,16132217,15718036,17250234,19106155,21406786,24501841,27969845,32973591,36225097,35314191,38369939,42799858,45949889,51884842,53138254,59430290,60298874,58401063,61122562,64340815,66411230,70951199,78649184,86438622,95996090,104643968,114506740,125547821,101073305,96424814,104333900,118250236,136998919,156999464,158413221,120858027,130381806,149289212,151728389,172847046,183716438,197556784,199117029
"36000","New York","2","SA50","16","...","Equals: Disposable personal income",23129025,23466903,25116170,26421279,27371150,29263244,30603292,32612433,34565703,36696804,38332825,40319950,42066825,43744657,46123096,48046446,52042062,55051266,58717566,62770095,68790860,70830838,77528552,84083299,88972444,94990136,101945710,111693963,117621953,126479381,137253357,149023048,165212625,182265412,197245104,216533686,240641659,256068406,272999880,288602357,320854676,344912506,372093363,374222858,396284268,405426426,418401789,440678676,459547666,481875665,503914454,530464323,568107160,584041182,608853470,627555453,655288990,674925835,712173268,751163484,769475214,784943322,803888456,842063095,901932394,899278059,925800241,958380842,976963215
"36000","New York","2","SA50","20","...","Population (persons) 1/",14497000,14892000,14865000,14890000,15192000,15527000,15814000,15966000,16112000,16374000,16601000,16685000,16838000,17061000,17301000,17461000,17589000,17734000,17843000,17935000,18051000,18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19405185,19526372,19625409,19712514,19773580,19819347,19836286
"36000","New York","2","SA50","30","...","Per capita personal income (dollars) 2/",1792,1747,1877,2028,2085,2173,2204,2327,2450,2560,2627,2769,2868,2957,3072,3170,3361,3539,3775,4049,4439,4635,4935,5249,5619,6026,6533,7066,7503,8155,8954,9841,10997,12252,13273,14239,15723,16798,17885,19055,20845,22485,23994,23872,25068,25566,26264,27620,28953,30462,31985,33634,35924,37185,37096,37755,39622,41457,44448,47467,48296,46916,48145,50770,53689,54388,56111,58324,59289
"36000","New York","2","SA50","50","...","Per capita disposable personal income (dollars) 3/",1595,1576,1690,1774,1802,1885,1935,2043,2145,2241,2309,2417,2498,2564,2666,2752,2959,3104,3291,3500,3811,3912,4243,4578,4848,5221,5641,6194,6544,7085,7745,8451,9405,10375,11214,12243,13561,14393,15308,16151,17884,19180,20648,20650,21718,22064,22666,23789,24722,25829,26867,28093,29898,30606,31814,32726,34180,35276,37278,39261,40051,40656,41426,43124,45957,45620,46820,48356,49251
"36000","New York","2","SA50","60","...","Personal current taxes",2845361,2549884,2789299,3780980,4305101,4473855,4257727,4536030,4911166,5222031,5271215,5886820,6221341,6704616,7025360,7302424,7078664,7705648,8636991,9844711,11334553,13081878,12636638,12310046,14142950,14649188,16132217,15718036,17250234,19106155,21406786,24501841,27969845,32973591,36225097,35314191,38369939,42799858,45949889,51884842,53138254,59430290,60298874,58401063,61122562,64340815,66411230,70951199,78649184,86438622,95996090,104643968,114506740,125547821,101073305,96424814,104333900,118250236,136998919,156999464,158413221,120858027,130381806,149289212,151728389,172847046,183716438,197556784,199117029
"36000","New York","2","SA50","70","...","  Federal government 4/",2649760,2258565,2493701,3441968,3918948,4068190,3829715,4033253,4364018,4631158,4636059,5076825,5332376,5676039,5933229,6184629,5787612,6315717,7020889,7961157,9219796,10222882,9799564,9351837,10422633,10557847,11879129,11154938,12142525,13516257,15340016,18067638,20591376,24205728,26621805,24914768,26254173,29452842,31750676,36039327,37067408,40868798,41950295,40095275,41594915,43921815,45453356,48875218,56315825,63041600,69889546,76145628,83092447,92245476,72876775,67271994,70261298,80912581,93436950,111293479,109229239,79684498,86320268,102170280,102805519,119082185,129258653,139371193,139123619
"36000","New York","2","SA50","80","...","    Income taxes (net of refunds) 4/",2649760,2258565,2493701,3441968,3918948,4068190,3829715,4033253,4364018,4631158,4636059,5076825,5332376,5676039,5933229,6184629,5787612,6315717,7020889,7961157,9219796,10222882,9799564,9351837,10422633,10557847,11879129,11154938,12142525,13516257,15340016,18067638,20591376,24205728,26621805,24914768,26254173,29452842,31750676,36039327,37067408,40868798,41950295,40095275,41594915,43921815,45453356,48875218,56315825,63041600,69889546,76145628,83092447,92245476,72876775,67271994,70261298,80912581,93436950,111293479,109229239,79684498,86320268,102170280,102805519,119082185,129258653,139371193,139123619
"36000","New York","2","SA50","81","...","      Income taxes (gross) 4/",2914679,2603570,2741955,3695981,4207496,4407278,4205864,4454360,4795653,5084847,5139116,5610929,5899459,6291421,6610434,6903303,6542598,6937507,7758650,8924113,10390734,11470594,11308125,10967013,11997748,12845835,14229693,14425558,14625939,16020957,17896252,20744697,23645401,27534943,30395368,29801595,31101389,34607279,37410089,41854159,42487761,46103950,47834192,46512131,48050615,50108712,51626752,55656752,63113392,70007491,77211965,85275235,92889252,103217231,86389132,80465940,84036613,93818065,107346096,125809472,129579406,98777264,104041654,118603627,119381712,135170843,147186603,157630648,158693810
"36000","New York","2","SA50","82","...","      Less: Refunds",264919,345005,248254,254013,288548,339088,376149,421107,431635,453689,503057,534104,567083,615382,677205,718674,754986,621790,737761,962956,1170938,1247712,1508561,1615176,1575115,2287988,2350564,3270620,2483414,2504700,2556236,2677059,3054025,3329215,3773563,4886827,4847216,5154437,5659413,5814832,5420353,5235152,5883897,6416856,6455700,6186897,6173396,6781534,6797567,6965891,7322419,9129607,9796805,10971755,13512357,13193946,13775315,12905484,13909146,14515993,20350167,19092766,17721386,16433347,16576193,16088658,17927950,18259455,19570191
"36000","New York","2","SA50","120","...","  State governments",191302,288003,290357,335090,383722,402745,424964,498319,543269,586486,632197,803872,884156,1022954,1084968,1112232,1288234,1370581,1607821,1728112,1945072,2650918,2624174,2642372,3234462,3627002,3713313,3969825,4399832,4846302,5289860,5613264,6544855,7652307,8366369,9067399,10582560,11552806,12319062,13778965,13471518,15810991,15360860,15005007,15788239,16681017,17128621,17911348,17921458,18304729,20446141,22623120,25370523,27677031,23470442,23926483,27574095,29730241,35247389,36396781,40016198,33692356,35858948,38559501,39695679,43547738,43838314,47117671,48451463
"36000","New York","2","SA50","130","...","    Income taxes",152517,242009,244903,284120,326527,342254,359553,422796,464380,504287,540955,705608,788645,928175,993699,1023448,1200909,1282827,1487879,1611210,1825427,2521520,2489625,2502325,3086956,3462721,3546378,3803989,4224485,4672422,5106475,5384085,6310732,7472349,8173935,8809201,10284991,11264902,12039946,13498644,13190621,15463657,15013800,14651030,15361095,16240454,16659504,17438197,17490332,17868498,20035658,22204159,24985109,27239876,22985703,23331382,26968546,29130439,34620963,35752515,39389537,33027450,35053142,37662632,38774948,42648381,42950549,46219205,47543138
"36000","New York","2","SA50","150","...","    Motor vehicle licenses",34199,40853,41995,47292,53131,56357,61408,71376,74709,78165,86854,93458,89938,88947,85562,82820,81140,81439,113359,110083,113809,122546,127106,130847,137937,153482,156049,152682,161784,162650,171293,215098,221345,166267,170670,238786,276148,267067,256615,255491,252586,319567,318732,322221,396433,408137,437757,434598,398475,406162,385554,390385,362861,410418,448531,557669,563907,560217,585244,597142,583431,602007,743960,844110,866555,849324,842249,854226,865014
"36000","New York","2","SA50","160","...","    Other taxes 5/",4586,5141,3459,3678,4064,4134,4003,4147,4180,4034,4388,4806,5573,5832,5707,5964,6185,6315,6583,6819,5836,6852,7443,9200,9569,10799,10886,13154,13563,11230,12092,14081,12778,13691,21764,19412,21421,20837,22501,24830,28311,27767,28328,31756,30711,32426,31360,38553,32651,30069,24929,28576,22553,26737,36208,37432,41642,39585,41182,47124,43230,62899,61846,52759,54176,50033,45516,44240,43311
"36000","New York","2","SA50","180","...","  Local governments",4299,3316,5241,3922,2431,2920,3048,4458,3879,4387,2959,6123,4809,5623,7163,5563,2818,19350,8281,155442,169685,208078,212900,315837,485855,464339,539775,593273,707877,743596,776910,820939,833614,1115556,1236923,1332024,1533206,1794210,1880151,2066550,2599328,2750501,2987719,3300781,3739408,3737983,3829253,4164633,4411901,5092293,5660403,5875220,6043770,5625314,4726088,5226337,6498507,7607414,8314580,9309204,9167784,7481173,8202590,8559431,9227191,10217123,10619471,11067920,11541947
"36000","New York","2","SA50","190","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141566,156218,193053,197120,299739,467846,446127,512105,556895,663006,699326,724906,770091,773846,1036454,1143397,1226635,1407831,1649905,1756838,1919028,2423478,2568250,2796070,3118688,3578674,3562585,3652173,3977227,4228752,4896729,5435507,5596460,5733924,5318344,4420632,4891082,6110933,7193118,7877102,9023441,8906451,7232153,7946285,8277248,8904874,9884507,10236770,10666518,11120746
"36000","New York","2","SA50","200","...","    Motor vehicle licenses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,1853,1932,2974,4685,6597,11177,14796,17714,19455,18052,17086,17849,21238,18197,20727,26848,25616,25628,35205,37121,53354,50278,52214,56529,59608,58177,60552,63177,64117,63587,76238,74264,75273,70317,67745,60009,61199,60461,61381,61582,67974,77463,76267,72281,67922,69661,71674
"36000","New York","2","SA50","210","...","    Other taxes",4299,3316,5241,3922,2431,2920,3048,4458,3879,4387,2959,6123,4809,5623,7163,5563,2818,19350,8281,13876,13467,12904,13927,14166,15035,13527,21073,25201,30075,26556,32549,32796,42682,61253,72288,87192,104648,117457,97697,121894,140645,145130,138295,131815,108520,118869,117472,129229,122597,132387,160779,215173,233608,232706,230183,264938,319829,354287,376279,225302,199952,187438,188331,204720,246050,260335,314779,331741,349527
