"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"39000","Ohio","3","SA50","10","...","Personal income (thousands of dollars)",12183957,11655783,12905229,14895598,15974983,17532930,17595683,19004633,20289159,21328045,21148182,22598139,23510422,23960007,25242554,26287918,28063942,30356780,33134588,34708531,38274742,41814714,44121386,46947495,50934483,56459449,61841296,66118848,72483674,80273127,88755514,98036565,107027918,116356076,121686637,129000255,142456412,151328013,158445882,166010875,178043191,191552868,202826963,207192639,220961744,230239933,242927557,254378135,266568428,282349312,298353863,308082449,323964530,332936158,337415971,347533465,362702364,372826780,392059624,408126658,422401501,410538372,419569872,448119917,465139834,470745086,489250952,508379906,517918190
"39000","Ohio","3","SA50","15","...","  Less: Personal current taxes",1136992,950203,1055639,1650532,1960248,2190591,1780649,2097929,2286952,2393254,2175738,2391307,2631110,2554728,2784855,2934658,2774495,3179676,3611852,3816936,4615404,5552779,5304524,4992645,6117424,6742209,7544425,7532392,8670737,10055930,11342825,13138904,13802413,15620621,15031984,15742059,16628175,18069759,18633243,20715917,21488679,23918886,25028020,24992183,26039169,27666488,29596661,31751254,35082286,37943877,41043056,42047916,44885640,45231048,40647690,38375600,39317036,42571515,45838975,48969728,48697261,37981737,40788439,47492927,48907407,52279315,53823027,57222231,57233841
"39000","Ohio","3","SA50","16","...","Equals: Disposable personal income",11046965,10705580,11849590,13245066,14014735,15342339,15815034,16906704,18002207,18934791,18972444,20206832,20879312,21405279,22457699,23353260,25289447,27177104,29522736,30891595,33659338,36261935,38816862,41954850,44817059,49717240,54296871,58586456,63812937,70217197,77412689,84897661,93225505,100735455,106654653,113258196,125828237,133258254,139812639,145294958,156554512,167633982,177798943,182200456,194922575,202573445,213330896,222626881,231486142,244405435,257310807,266034533,279078890,287705110,296768281,309157865,323385328,330255265,346220649,359156930,373704240,372556635,378781433,400626990,416232427,418465771,435427925,451157675,460684349
"39000","Ohio","3","SA50","20","...","Population (persons) 1/",7876000,7973000,7980000,8061000,8275000,8591000,8873000,9017000,9207000,9410000,9599000,9671000,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539282,11543332,11546969,11567845,11593741,11606027,11622554
"39000","Ohio","3","SA50","30","...","Per capita personal income (dollars) 2/",1547,1462,1617,1848,1931,2041,1983,2108,2204,2267,2203,2337,2415,2432,2542,2632,2784,2976,3208,3333,3640,3959,4136,4373,4739,5244,5744,6139,6741,7453,8222,9079,9909,10785,11312,12014,13267,14097,14766,15428,16488,17689,18669,18929,20034,20740,21782,22707,23710,25037,26376,27179,28509,29237,29577,30393,31671,32523,34148,35488,36681,35610,36360,38821,40282,40694,42200,43803,44561
"39000","Ohio","3","SA50","50","...","Per capita disposable personal income (dollars) 3/",1403,1343,1485,1643,1694,1786,1782,1875,1955,2012,1977,2089,2145,2172,2262,2339,2509,2664,2858,2966,3201,3433,3638,3908,4170,4617,5044,5440,5935,6519,7171,7862,8631,9337,9915,10548,11718,12414,13030,13503,14498,15480,16366,16646,17673,18248,19129,19873,20590,21672,22748,23469,24559,25265,26014,27037,28238,28810,30155,31230,32453,32315,32825,34706,36047,36175,37557,38873,39637
"39000","Ohio","3","SA50","60","...","Personal current taxes",1136992,950203,1055639,1650532,1960248,2190591,1780649,2097929,2286952,2393254,2175738,2391307,2631110,2554728,2784855,2934658,2774495,3179676,3611852,3816936,4615404,5552779,5304524,4992645,6117424,6742209,7544425,7532392,8670737,10055930,11342825,13138904,13802413,15620621,15031984,15742059,16628175,18069759,18633243,20715917,21488679,23918886,25028020,24992183,26039169,27666488,29596661,31751254,35082286,37943877,41043056,42047916,44885640,45231048,40647690,38375600,39317036,42571515,45838975,48969728,48697261,37981737,40788439,47492927,48907407,52279315,53823027,57222231,57233841
"39000","Ohio","3","SA50","70","...","  Federal government 4/",1107182,918691,1020101,1610120,1914073,2139237,1717882,2023437,2204588,2303394,2071415,2269232,2500615,2415124,2619375,2766279,2575084,2963087,3372106,3566258,4305279,5243920,4959962,4609625,5380647,5865732,6494945,6357515,7389428,8635930,9682422,11304254,11837352,13343173,12371975,12151555,12627193,13886719,14149221,15886070,15976916,17842355,18524053,18406364,18841116,20165865,21671201,23261847,25653220,28096429,30235303,30880086,32355793,32868973,28137515,25744040,25840632,28314393,31311577,34134649,34235171,25260489,27542861,33697203,34486118,37561694,39928163,43037851,43066499
"39000","Ohio","3","SA50","80","...","    Income taxes (net of refunds) 4/",1107182,918691,1020101,1610120,1914073,2139237,1717882,2023437,2204588,2303394,2071415,2269232,2500615,2415124,2619375,2766279,2575084,2963087,3372106,3566258,4305279,5243920,4959962,4609625,5380647,5865732,6494945,6357515,7389428,8635930,9682422,11304254,11837352,13343173,12371975,12151555,12627193,13886719,14149221,15886070,15976916,17842355,18524053,18406364,18841116,20165865,21671201,23261847,25653220,28096429,30235303,30880086,32355793,32868973,28137515,25744040,25840632,28314393,31311577,34134649,34235171,25260489,27542861,33697203,34486118,37561694,39928163,43037851,43066499
"39000","Ohio","3","SA50","81","...","      Income taxes (gross) 4/",1212967,1062723,1121620,1714217,2048039,2304541,1914207,2214463,2418379,2531048,2321176,2510540,2753104,2699282,2905578,3075691,2904032,3232522,3707190,4012718,4813721,5799973,5693064,5391669,6125727,6990486,7727474,8068714,8719601,10064970,11321371,13041879,14061797,15572933,14906486,14826280,15588548,16831475,17257269,18957919,19097717,20804056,21580694,21663668,22058957,23248838,24871817,26873573,29413780,32045218,34408559,36174466,37990959,39011156,35357237,32824235,33232540,35331619,38803661,41721600,44451995,34716711,36317046,41666089,42697707,45646205,47837913,50941150,51479261
