"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45000","South Carolina","5","SA50","10","...","Personal income (thousands of dollars)",1854870,1801144,1999414,2518270,2707106,2791587,2647079,2812485,2925819,3056540,3166839,3416870,3587318,3765899,4033887,4267167,4582591,5064811,5690280,6135098,6804411,7594623,8363608,9161152,10282871,11649849,13187997,14352868,16031619,17515221,19786882,22172253,24830814,27941168,29708074,32286069,35967206,38533651,41172834,44131715,47967404,52225817,56081923,58482729,62318342,65498742,69488391,73582134,78254085,83268712,89221438,93658381,100288596,103768987,106587924,110293923,117121439,123655488,133248360,142015184,148898634,145201638,149093360,157952965,166397814,168267898,178719703,189836135,196049325
"45000","South Carolina","5","SA50","15","...","  Less: Personal current taxes",107357,104101,121082,171594,223905,200056,179442,197065,216413,224246,223397,274931,290852,309976,354769,371931,366376,426243,524859,566336,677783,815849,815406,877307,1152890,1262002,1453752,1260416,1607104,1810425,2094749,2568690,2825791,3304731,3247264,3535295,3791878,4166809,4425920,4913408,5087290,5880914,6336707,6179547,6437617,6817263,7385841,8117082,8955822,9810709,10751165,11353057,11805557,12013050,10545570,10127456,10543645,12238166,13815321,15062288,14649287,11548858,12148147,14210501,14782404,16507325,17216575,19405180,19848186
"45000","South Carolina","5","SA50","16","...","Equals: Disposable personal income",1747513,1697043,1878332,2346676,2483201,2591531,2467637,2615420,2709406,2832294,2943442,3141939,3296466,3455923,3679118,3895236,4216215,4638568,5165421,5568762,6126628,6778774,7548202,8283845,9129981,10387847,11734245,13092452,14424515,15704796,17692133,19603563,22005023,24636437,26460810,28750774,32175328,34366842,36746914,39218307,42880114,46344903,49745216,52303182,55880725,58681479,62102550,65465052,69298263,73458003,78470273,82305324,88483039,91755937,96042354,100166467,106577794,111417322,119433039,126952896,134249347,133652780,136945213,143742464,151615410,151760573,161503128,170430955,176201139
"45000","South Carolina","5","SA50","20","...","Population (persons) 1/",1996000,2029000,2113000,2167000,2178000,2181000,2176000,2200000,2229000,2274000,2304000,2348000,2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635834,4672744,4719009,4765862,4824758,4892423,4959822
"45000","South Carolina","5","SA50","30","...","Per capita personal income (dollars) 2/",929,888,946,1162,1243,1280,1216,1278,1313,1344,1374,1455,1500,1563,1665,1735,1852,2031,2258,2422,2659,2955,3219,3442,3783,4197,4638,4949,5450,5860,6507,7183,7922,8789,9262,9983,10993,11666,12317,13055,14058,15108,16018,16380,17213,17880,18753,19629,20614,21574,22765,23564,24921,25527,25948,26575,27814,28958,30577,31956,32877,31635,32161,33803,35261,35307,37042,38802,39527
"45000","South Carolina","5","SA50","50","...","Per capita disposable personal income (dollars) 3/",876,836,889,1083,1140,1188,1134,1189,1216,1246,1278,1338,1378,1435,1518,1583,1704,1860,2050,2198,2394,2638,2905,3112,3359,3743,4127,4514,4904,5254,5818,6351,7020,7749,8249,8890,9834,10404,10993,11601,12567,13407,14208,14649,15435,16019,16760,17464,18255,19032,20022,20707,21988,22572,23381,24135,25310,26092,27406,28567,29642,29119,29541,30762,32129,31843,33474,34836,35526
"45000","South Carolina","5","SA50","60","...","Personal current taxes",107357,104101,121082,171594,223905,200056,179442,197065,216413,224246,223397,274931,290852,309976,354769,371931,366376,426243,524859,566336,677783,815849,815406,877307,1152890,1262002,1453752,1260416,1607104,1810425,2094749,2568690,2825791,3304731,3247264,3535295,3791878,4166809,4425920,4913408,5087290,5880914,6336707,6179547,6437617,6817263,7385841,8117082,8955822,9810709,10751165,11353057,11805557,12013050,10545570,10127456,10543645,12238166,13815321,15062288,14649287,11548858,12148147,14210501,14782404,16507325,17216575,19405180,19848186
"45000","South Carolina","5","SA50","70","...","  Federal government 4/",87666,82353,98387,146998,197740,172684,151437,166743,184009,191316,192095,232209,243652,264948,308892,320253,310431,358841,443936,478457,574449,695253,684197,730756,951412,1048410,1203796,999419,1271903,1437130,1651016,2056198,2218059,2600913,2505829,2697637,2853510,3190038,3354724,3723807,3772232,4417675,4653089,4595368,4741538,5070131,5544931,6113854,6787650,7498928,8264236,8623380,9018464,9250610,7820240,7335906,7559073,9037292,10314137,11252069,10893888,8265631,8923945,10717662,11021338,12514324,13071748,14935533,15239934
"45000","South Carolina","5","SA50","80","...","    Income taxes (net of refunds) 4/",87666,82353,98387,146998,197740,172684,151437,166743,184009,191316,192095,232209,243652,264948,308892,320253,310431,358841,443936,478457,574449,695253,684197,730756,951412,1048410,1203796,999419,1271903,1437130,1651016,2056198,2218059,2600913,2505829,2697637,2853510,3190038,3354724,3723807,3772232,4417675,4653089,4595368,4741538,5070131,5544931,6113854,6787650,7498928,8264236,8623380,9018464,9250610,7820240,7335906,7559073,9037292,10314137,11252069,10893888,8265631,8923945,10717662,11021338,12514324,13071748,14935533,15239934
"45000","South Carolina","5","SA50","81","...","      Income taxes (gross) 4/",96539,93858,107366,156962,210008,189632,167569,183423,201691,210278,212809,254273,269423,293249,340818,357925,350532,393184,487900,542575,650343,778896,794789,853006,1083375,1270938,1454173,1358585,1569162,1752905,1987480,2412045,2717517,3182029,3158450,3340365,3561580,3943717,4222898,4646836,4730191,5358846,5745152,5737771,5884324,6131417,6617073,7293568,8041625,8844659,9698788,10389033,10906043,11302139,10225632,9724584,10017168,11474403,12922127,13985798,14703205,11910435,12368018,13880970,14238149,15596784,16049596,17912287,18452567
