"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"95000","Southeast","5","SA50","10","...","Personal income (thousands of dollars)",32651279,32276668,36143919,41525566,44443554,46563757,46609097,50594674,54746544,57801711,60503413,64761282,67089689,70752176,75496719,80549556,86981242,94562527,103717168,112424052,124490739,138941326,152513470,168280550,189052896,214605429,239133335,262142313,290858891,322755735,366893447,411993497,464065619,524660525,562473435,607216888,674332275,726846141,774420542,826632289,898737368,978126156,1039642513,1087708873,1168823918,1235395303,1309931704,1394805064,1479935672,1570491534,1687840437,1772130068,1899680707,1988459313,2040822900,2127668458,2278077142,2437752631,2618199312,2760150189,2856698462,2769842417,2859182022,3017052452,3136007274,3148451483,3320968980,3501150321,3591918052
"95000","Southeast","5","SA50","15","...","  Less: Personal current taxes",2147765,1929266,2196223,3135203,3822154,3887156,3640936,4004178,4639066,5070327,4999042,5655682,6079177,6275537,7098288,7615904,7458028,8406095,9918757,10792942,13096558,16191183,16437577,17016027,21062205,23043165,26590176,24967061,29976733,34186822,40503138,47835804,54481863,63270749,65415886,66205573,69863785,79022462,83686607,92750700,96768638,108930473,113765168,113777266,120131208,128666308,139594876,151538362,168890286,187180527,207241402,219285562,236476647,242806816,212047041,201221161,212782503,250207194,279243684,301292436,298759844,231632239,246484672,286181398,295377581,324463593,345726228,379487332,386286095
"95000","Southeast","5","SA50","16","...","Equals: Disposable personal income",30503514,30347402,33947696,38390363,40621400,42676601,42968161,46590496,50107478,52731384,55504371,59105600,61010512,64476639,68398431,72933652,79523214,86156432,93798411,101631110,111394181,122750143,136075893,151264523,167990691,191562264,212543159,237175252,260882158,288568913,326390309,364157693,409583756,461389776,497057549,541011315,604468490,647823679,690733935,733881589,801968730,869195683,925877345,973931607,1048692710,1106728995,1170336828,1243266702,1311045386,1383311007,1480599035,1552844506,1663204060,1745652497,1828775859,1926447297,2065294639,2187545437,2338955628,2458857753,2557938618,2538210178,2612697350,2730871054,2840629693,2823987890,2975242752,3121662989,3205631957
"95000","Southeast","5","SA50","20","...","Population (persons) 1/",32275000,32803000,33860000,34421000,34661000,34681000,34830000,35399000,36071000,36874000,37435000,38115000,38885000,39544000,40179000,40742000,41349000,41857000,42257000,42611000,43042000,43440000,43973515,45013167,46019010,46991755,47954591,48787678,49513969,50311832,51113001,51976687,52881196,53627371,54248696,54856066,55514620,56198797,56861115,57536401,58120493,58733381,59516122,60500666,61508138,62530549,63574211,64601937,65611342,66655300,67626581,68569381,69497232,70317959,71151666,71961591,73019229,74148386,75065947,76122849,77057840,77814936,78575213,79260002,79953925,80585268,81304675,82104601,82935602
"95000","Southeast","5","SA50","30","...","Per capita personal income (dollars) 2/",1012,984,1067,1206,1282,1343,1338,1429,1518,1568,1616,1699,1725,1789,1879,1977,2104,2259,2454,2638,2892,3198,3468,3738,4108,4567,4987,5373,5874,6415,7178,7927,8776,9783,10368,11069,12147,12933,13620,14367,15463,16654,17468,17978,19003,19757,20605,21591,22556,23561,24958,25844,27335,28278,28683,29567,31198,32877,34879,36259,37072,35595,36388,38065,39223,39070,40846,42643,43310
"95000","Southeast","5","SA50","50","...","Per capita disposable personal income (dollars) 3/",945,925,1003,1115,1172,1231,1234,1316,1389,1430,1483,1551,1569,1631,1702,1790,1923,2058,2220,2385,2588,2826,3094,3360,3650,4077,4432,4861,5269,5736,6386,7006,7745,8604,9163,9862,10888,11527,12148,12755,13798,14799,15557,16098,17050,17699,18409,19245,19982,20753,21894,22646,23932,24825,25703,26770,28284,29502,31159,32301,33195,32619,33251,34455,35528,35043,36594,38021,38652
"95000","Southeast","5","SA50","60","...","Personal current taxes",2147765,1929266,2196223,3135203,3822154,3887156,3640936,4004178,4639066,5070327,4999042,5655682,6079177,6275537,7098288,7615904,7458028,8406095,9918757,10792942,13096558,16191183,16437577,17016027,21062205,23043165,26590176,24967061,29976733,34186822,40503138,47835804,54481863,63270749,65415886,66205573,69863785,79022462,83686607,92750700,96768638,108930473,113765168,113777266,120131208,128666308,139594876,151538362,168890286,187180527,207241402,219285562,236476647,242806816,212047041,201221161,212782503,250207194,279243684,301292436,298759844,231632239,246484672,286181398,295377581,324463593,345726228,379487332,386286095
"95000","Southeast","5","SA50","70","...","  Federal government 4/",1935217,1688248,1936658,2854636,3520424,3567319,3297027,3616310,4174428,4562259,4498140,5021133,5379188,5549290,6316570,6697125,6473147,7330634,8676293,9467861,11558339,14354095,14408767,14721567,18316030,19908776,23115108,21208145,25537913,29198812,34722563,41237464,47074634,54969329,56532400,56385346,58584247,66689279,70295091,77807412,80337090,90949588,94238323,93792653,98329667,105603365,114867817,124935746,140807180,156364427,172980468,182527074,197241922,202235298,173143740,161160411,170048127,203059086,228310908,245801950,242436668,181591162,197425931,233453782,240057242,265799935,286289113,315390116,319834156
"95000","Southeast","5","SA50","80","...","    Income taxes (net of refunds) 4/",1935217,1688248,1936658,2854636,3520424,3567319,3297027,3616310,4174428,4562259,4498140,5021133,5379188,5549290,6316570,6697125,6473147,7330634,8676293,9467861,11558339,14354095,14408767,14721567,18316030,19908776,23115108,21208145,25537913,29198812,34722563,41237464,47074634,54969329,56532400,56385346,58584247,66689279,70295091,77807412,80337090,90949588,94238323,93792653,98329667,105603365,114867817,124935746,140807180,156364427,172980468,182527074,197241922,202235298,173143740,161160411,170048127,203059086,228310908,245801950,242436668,181591162,197425931,233453782,240057242,265799935,286289113,315390116,319834156
"95000","Southeast","5","SA50","81","...","      Income taxes (gross) 4/",2127389,1940042,2121362,3050773,3758366,3870241,3626013,3976723,4557061,4989949,4988899,5537275,5937277,6167564,6980605,7459308,7296345,8032493,9553714,10692443,13009768,15971540,16602210,17188538,20882286,24043119,27675908,27798382,31160138,35148688,41167857,47994698,56406432,64998098,67971793,68937247,72136416,80666742,85894629,93974419,97567389,107815681,111778507,112739182,117251683,123533071,132967631,145413433,162476408,179643854,197731996,213127578,230229334,238533528,216608964,204679544,215506561,248098962,277884836,298130289,315114482,250662927,262129574,295103764,303606974,324726968,344394846,373744461,382993066
