"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"53000","Washington","8","SA50","10","...","Personal income (thousands of dollars)",3759189,3775527,4263776,4714111,5020152,5305857,5449786,5733651,6022918,6406226,6540174,6938333,7188674,7557735,8153252,8345104,8741072,9424718,10654118,11666598,12985787,14189188,14963601,15755947,16989715,19127287,21698528,24547939,27219877,30214671,35172996,40388261,45791768,51106487,54139646,57662556,61887083,65734074,70366088,74684332,81318656,89962254,98856108,105798375,114253674,120065517,126288890,133508969,143601196,154903989,169763415,181382731,194093106,198547288,202782060,210413123,226511608,236271199,257104210,279088841,293949341,278991093,284523758,301567633,326408854,333168842,358988169,379950931,397772297
"53000","Washington","8","SA50","15","...","  Less: Personal current taxes",329011,281254,311712,480253,553488,552218,509634,530510,582011,611745,672270,681000,723751,768413,843796,876311,759882,847352,1067894,1214285,1429082,1682761,1514553,1459981,1735289,2012388,2269385,2480971,2837781,3228019,4076448,5003687,5600663,6365467,5840879,5674632,5843490,6338693,6639770,7551182,7924077,9597556,10761808,11027054,11737409,12010575,12991859,13917447,16061634,18414404,21836430,25837868,26404054,24094543,20350320,19149464,19167951,22169689,25713186,29504822,28784754,21494635,23259491,28319324,29732968,33720416,37262496,41782114,43354203
"53000","Washington","8","SA50","16","...","Equals: Disposable personal income",3430178,3494273,3952064,4233858,4466664,4753639,4940152,5203141,5440907,5794481,5867904,6257333,6464923,6789322,7309456,7468793,7981190,8577366,9586224,10452313,11556705,12506427,13449048,14295966,15254426,17114899,19429143,22066968,24382096,26986652,31096548,35384574,40191105,44741020,48298767,51987924,56043593,59395381,63726318,67133150,73394579,80364698,88094300,94771321,102516265,108054942,113297031,119591522,127539562,136489585,147926985,155544863,167689052,174452745,182431740,191263659,207343657,214101510,231391024,249584019,265164587,257496458,261264267,273248309,296675886,299448426,321725673,338168817,354418094
"53000","Washington","8","SA50","20","...","Population (persons) 1/",2255000,2294000,2387000,2424000,2448000,2466000,2516000,2604000,2668000,2724000,2773000,2821000,2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741386,6819155,6890899,6963410,7046931,7152818,7280934
"53000","Washington","8","SA50","30","...","Per capita personal income (dollars) 2/",1667,1646,1786,1945,2051,2152,2166,2202,2257,2352,2359,2460,2518,2622,2771,2824,2952,3177,3485,3676,3971,4244,4379,4571,4929,5501,6116,6783,7376,8009,9051,10065,11022,12066,12660,13409,14248,14939,15803,16480,17526,18954,20162,21052,22139,22745,23495,24358,25782,27297,29424,31045,32839,33170,33505,34471,36660,37759,40357,43192,44794,41844,42206,44224,47368,47846,50942,53119,54632
"53000","Washington","8","SA50","50","...","Per capita disposable personal income (dollars) 3/",1521,1523,1656,1747,1825,1928,1963,1998,2039,2127,2116,2218,2264,2356,2485,2528,2695,2891,3136,3293,3534,3741,3936,4147,4426,4922,5476,6098,6607,7154,8002,8818,9674,10563,11294,12089,12902,13499,14312,14813,15818,16932,17967,18858,19865,20469,21078,21819,22899,24052,25639,26623,28371,29145,30142,31334,33558,34216,36321,38626,40408,38620,38755,40071,43053,43003,45655,47278,48678
"53000","Washington","8","SA50","60","...","Personal current taxes",329011,281254,311712,480253,553488,552218,509634,530510,582011,611745,672270,681000,723751,768413,843796,876311,759882,847352,1067894,1214285,1429082,1682761,1514553,1459981,1735289,2012388,2269385,2480971,2837781,3228019,4076448,5003687,5600663,6365467,5840879,5674632,5843490,6338693,6639770,7551182,7924077,9597556,10761808,11027054,11737409,12010575,12991859,13917447,16061634,18414404,21836430,25837868,26404054,24094543,20350320,19149464,19167951,22169689,25713186,29504822,28784754,21494635,23259491,28319324,29732968,33720416,37262496,41782114,43354203
"53000","Washington","8","SA50","70","...","  Federal government 4/",322501,273569,301271,469166,541561,539383,495995,515813,567012,595603,653908,658399,701669,746544,815334,845319,727857,813835,1020185,1161587,1373097,1622128,1446220,1390254,1664850,1941074,2193530,2393820,2744441,3129072,3959008,4868028,5445362,6214356,5676053,5491057,5661469,6137196,6449112,7331745,7678122,9330145,10449192,10671007,11339665,11617287,12523095,13416266,15530235,17854546,21236369,25225845,25922399,23656989,19924811,18679701,18653323,21619563,25110699,28868320,28154825,20852220,22540469,27573110,28887208,32728481,36260913,40772302,42315675
"53000","Washington","8","SA50","80","...","    Income taxes (net of refunds) 4/",322501,273569,301271,469166,541561,539383,495995,515813,567012,595603,653908,658399,701669,746544,815334,845319,727857,813835,1020185,1161587,1373097,1622128,1446220,1390254,1664850,1941074,2193530,2393820,2744441,3129072,3959008,4868028,5445362,6214356,5676053,5491057,5661469,6137196,6449112,7331745,7678122,9330145,10449192,10671007,11339665,11617287,12523095,13416266,15530235,17854546,21236369,25225845,25922399,23656989,19924811,18679701,18653323,21619563,25110699,28868320,28154825,20852220,22540469,27573110,28887208,32728481,36260913,40772302,42315675
"53000","Washington","8","SA50","81","...","      Income taxes (gross) 4/",353623,315551,331427,499971,580662,586282,546036,570534,622209,654141,718378,732911,775522,827077,904015,943214,830613,892423,1115770,1301200,1545441,1809254,1687565,1634075,1902108,2307402,2619484,3000289,3251030,3680003,4538239,5518204,6303376,7093567,6809924,6677067,6952847,7327142,7704051,8572444,8761590,10454288,11613678,12001011,12727184,12957850,14004005,15028718,17262282,19655247,23192061,27736045,28635852,26679204,23598203,22273489,22496784,25339680,29168055,33137565,34264697,26893151,27937680,32681702,34195865,37543239,41193297,45903877,47845890
