"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"55000","Wisconsin","3","SA50","10","...","Personal income (thousands of dollars)",4746567,4699026,5188088,5998374,6272128,6467459,6424622,6933417,7487898,7849064,7998093,8663702,8954993,9244954,9768533,10104244,10888858,11792611,12895782,13616395,14889700,16412939,17608648,18906602,20672925,23063852,25336188,27780259,30473081,34051662,38047473,42628337,47052952,51320993,54102808,56952258,62644454,66041717,69705474,73574026,78143063,85276226,90143238,93632279,101190913,106442538,113017540,118778601,125662960,133284392,142917963,149267176,159511065,167125085,171731780,175771213,183318375,189528086,201536159,210810973,219283413,215498897,219627970,232664321,243576466,245382484,255074816,265094105,270225982
"55000","Wisconsin","3","SA50","15","...","  Less: Personal current taxes",412861,375033,417225,613568,720409,742724,634300,735429,825549,877974,855572,956335,1056981,1020953,1121324,1196188,1179052,1314157,1544523,1730946,1902074,2335864,2295483,2241102,2653860,2925804,3334672,3385985,3888872,4447199,5244993,5792939,6229548,7071309,7013350,6812227,7323511,7701503,8118246,8960207,9440517,10432138,11163819,11436588,12247087,13061139,14137857,15124893,16713930,18405590,20173641,20855449,21884811,22173560,19584866,18828601,19120588,21108830,23456904,24818782,25850928,20746186,21464598,24876750,25732033,28101238,28663061,31349675,31792968
"55000","Wisconsin","3","SA50","16","...","Equals: Disposable personal income",4333706,4323993,4770863,5384806,5551719,5724735,5790322,6197988,6662349,6971090,7142521,7707367,7898012,8224001,8647209,8908056,9709806,10478454,11351259,11885449,12987626,14077075,15313165,16665500,18019065,20138048,22001516,24394274,26584209,29604463,32802480,36835398,40823404,44249684,47089458,50140031,55320943,58340214,61587228,64613819,68702546,74844088,78979419,82195691,88943826,93381399,98879683,103653708,108949030,114878802,122744322,128411727,137626254,144951525,152146914,156942612,164197787,168419256,178079255,185992191,193432485,194752711,198163372,207787571,217844433,217281246,226411755,233744430,238433014
"55000","Wisconsin","3","SA50","20","...","Population (persons) 1/",3314000,3391000,3438000,3439000,3469000,3506000,3608000,3679000,3742000,3791000,3843000,3891000,3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690403,5705812,5721075,5736673,5751272,5759744,5772917
"55000","Wisconsin","3","SA50","30","...","Per capita personal income (dollars) 2/",1432,1386,1509,1744,1808,1845,1781,1885,2001,2070,2081,2227,2260,2306,2413,2457,2614,2787,3017,3164,3427,3749,3979,4239,4596,5104,5583,6079,6647,7381,8214,9136,9986,10858,11441,12062,13228,13910,14657,15399,16204,17559,18379,18861,20136,20933,22015,22909,24027,25309,26978,27991,29682,30910,31538,32080,33246,34173,36133,37573,38873,38012,38596,40777,42575,42774,44351,46025,46809
"55000","Wisconsin","3","SA50","50","...","Per capita disposable personal income (dollars) 3/",1308,1275,1388,1566,1600,1633,1605,1685,1780,1839,1859,1981,1993,2051,2136,2166,2331,2476,2656,2762,2989,3215,3460,3737,4006,4457,4848,5338,5798,6417,7082,7895,8664,9362,9958,10620,11682,12288,12950,13523,14247,15411,16103,16557,17699,18364,19261,19992,20832,21814,23169,24080,25610,26809,27942,28643,29778,30367,31927,33149,34290,34352,34824,36417,38078,37876,39367,40582,41302
"55000","Wisconsin","3","SA50","60","...","Personal current taxes",412861,375033,417225,613568,720409,742724,634300,735429,825549,877974,855572,956335,1056981,1020953,1121324,1196188,1179052,1314157,1544523,1730946,1902074,2335864,2295483,2241102,2653860,2925804,3334672,3385985,3888872,4447199,5244993,5792939,6229548,7071309,7013350,6812227,7323511,7701503,8118246,8960207,9440517,10432138,11163819,11436588,12247087,13061139,14137857,15124893,16713930,18405590,20173641,20855449,21884811,22173560,19584866,18828601,19120588,21108830,23456904,24818782,25850928,20746186,21464598,24876750,25732033,28101238,28663061,31349675,31792968
"55000","Wisconsin","3","SA50","70","...","  Federal government 4/",365095,319276,354726,541143,642722,657778,543469,630910,700643,740740,713429,796654,884657,846256,917995,965138,891628,993702,1157564,1276203,1465533,1783618,1730647,1644374,1962162,2084041,2416665,2364507,2779612,3144934,3735616,4317196,4610143,5259705,5144714,4832769,4994663,5477280,5687711,6492722,6906402,7622808,8201447,8200722,8693424,9261379,10168140,10826436,12137231,13426548,14728920,15231242,16315560,16657596,14319389,13396878,13360882,15074662,17021597,18096605,18517869,14010094,15009127,17886120,18448394,20555188,21342718,23512910,23633980
"55000","Wisconsin","3","SA50","80","...","    Income taxes (net of refunds) 4/",365095,319276,354726,541143,642722,657778,543469,630910,700643,740740,713429,796654,884657,846256,917995,965138,891628,993702,1157564,1276203,1465533,1783618,1730647,1644374,1962162,2084041,2416665,2364507,2779612,3144934,3735616,4317196,4610143,5259705,5144714,4832769,4994663,5477280,5687711,6492722,6906402,7622808,8201447,8200722,8693424,9261379,10168140,10826436,12137231,13426548,14728920,15231242,16315560,16657596,14319389,13396878,13360882,15074662,17021597,18096605,18517869,14010094,15009127,17886120,18448394,20555188,21342718,23512910,23633980
"55000","Wisconsin","3","SA50","81","...","      Income taxes (gross) 4/",401680,367024,389872,577475,687957,713395,604278,691247,767460,813089,793704,879083,972688,945881,1017297,1072140,1004194,1084577,1267542,1425071,1641165,1967114,1972330,1907146,2217656,2478400,2839300,2971806,3242803,3650673,4302895,4952657,5406802,6166219,6129749,5846190,6017424,6829896,6972659,7625346,7991994,8581448,9320652,9424251,9939056,10437325,11424676,12265984,13635348,14986703,16396986,17406087,18618797,19200752,17413094,16405318,16493574,18091376,20261795,21471789,23115952,18453061,19102270,21560514,22186848,24230411,24999799,27146460,27558452
