"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"06000","California","8","SA5H 1/","10","...","Personal income (thousands of dollars)",5494405,5078934,4387152,3440813,3276354,3665944,4108634,4924301,5233067,5190461,5364362,5949822,7522670,10347944,13704031,14967541,15588877,16607451,17104898,18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338
"06000","California","8","SA5H 1/","20","...","Population (persons) 2/",5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7269000,7814000,8623000,9261000,9619000,9727000,9912000,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000
"06000","California","8","SA5H 1/","30","...","Per capita personal income (dollars) 3/",993,889,753,584,549,605,665,777,802,780,791,856,1035,1324,1589,1616,1621,1707,1726,1806,1790,1937,2156,2293,2335,2313,2468,2586,2672
"06000","California","8","SA5H 1/","35","...","  Total earnings",3954248,3713940,3113156,2429695,2381223,2767957,3152932,3731624,4127247,4036340,4212451,4687791,6135299,9031894,12386757,13567975,13898103,14534918,14612899,15288015,15261851,16847021,20164369,22569239,23998881,24320704,26789155,29570696,31441190
"06000","California","8","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",4165,4097,4023,4227,3940,4396,4376,53936,98185,106841,129885,132848,169261,242398,371682,444784,543024,732776,586149,454371,456197,532061,618034,671046,655129,763661,884481,962067,1097068
"06000","California","8","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",3786,3766,3783,3838,3743,4197,4124,7925,37610,41567,44180,47212,61055,100548,177244,232902,252876,196841,180834,164755,142233,188326,219046,249171,268787,326632,374225,414957,490223
"06000","California","8","SA5H 1/","38","...","    Employer contributions for government social insurance",379,331,240,389,197,199,252,46011,60575,65274,85705,85636,108206,141850,194438,211882,290148,535935,405315,289616,313964,343735,398988,421875,386342,437029,510256,547110,606845
"06000","California","8","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-6202,-19253,-9081,-32702,-37499,-39357,-65054,-72486,-75913,-75113
"06000","California","8","SA5H 1/","45","...","  Equals: Net earnings by place of residence",3950083,3709843,3109133,2425468,2377283,2763561,3148556,3677688,4029062,3929499,4082566,4554943,5966038,8789496,12015075,13123191,13355079,13802142,14026750,14827442,14786401,16305879,19513633,21860694,23304395,23491989,25832188,28532716,30269009
"06000","California","8","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",1473235,1294316,1134828,908702,799321,795865,827023,1040142,1055602,1072576,1061396,1132495,1303540,1323843,1461667,1550338,1744893,1967985,2146795,2484546,2662144,3078710,3414342,3687398,4101681,4670097,5120900,5368019,6019607
"06000","California","8","SA5H 1/","47","...","  Plus: Personal current transfer receipts",71087,74775,143191,106643,99750,106518,133055,206471,148403,188386,220400,262384,253092,234605,227289,294012,488905,837324,931353,868467,1054804,1294045,1079533,1128395,1196134,1318570,1452646,1565316,1825722
"06000","California","8","SA5H 1/","50","...","  Wages and salaries",3013011,2890196,2499771,2026409,1926409,2167878,2407605,2769889,3118314,3094391,3223518,3490591,4479043,6624970,9232474,10137508,10205936,10003830,10596068,11292464,11267166,12339600,14798963,16719333,18060840,18311005,20082403,22347822,23822735
"06000","California","8","SA5H 1/","60","...","  Supplements to wages and salaries",73875,76744,75810,69999,65411,70133,81554,140241,161247,173696,202612,229680,333065,530083,620548,654275,782662,1095109,951941,864653,924147,1110517,1402669,1621167,1657526,1731298,1915953,2133441,2391764
"06000","California","8","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",73496,76413,75570,69610,65214,69934,81302,94230,100672,108422,116907,144044,224859,388233,426110,442393,492514,559174,546626,575037,610183,766782,1003681,1199292,1271184,1294269,1405697,1586331,1784919
"06000","California","8","SA5H 1/","62","...","    Employer contributions for government social insurance",379,331,240,389,197,199,252,46011,60575,65274,85705,85636,108206,141850,194438,211882,290148,535935,405315,289616,313964,343735,398988,421875,386342,437029,510256,547110,606845
"06000","California","8","SA5H 1/","70","...","  Proprietors' income 8/",867362,747000,537575,333287,389403,529946,663773,821494,847686,768253,786321,967520,1323191,1876841,2533735,2776192,2909505,3435979,3064890,3130898,3070538,3396904,3962737,4228739,4280515,4278401,4790799,5089433,5226691
"06000","California","8","SA5H 1/","71","...","    Farm proprietors' income",241796,223464,142209,77032,138771,191479,239987,275568,256967,188796,160213,229390,361392,612699,886987,904198,905002,1104382,889086,700065,638105,718713,986600,1055234,923027,879330,970832,1024073,928596
"06000","California","8","SA5H 1/","72","...","    Nonfarm proprietors' income",625566,523536,395366,256255,250632,338467,423786,545926,590719,579457,626108,738130,961799,1264142,1646748,1871994,2004503,2331597,2175804,2430833,2432433,2678191,2976137,3173505,3357488,3399071,3819967,4065360,4298095
"06000","California","8","SA5H 1/","81","[01-02]","  Farm earnings",397961,379462,260966,160843,215564,276145,331529,376476,383518,314851,287481,350673,509712,819244,1171356,1225837,1252545,1477978,1287884,1124504,1038910,1130209,1428111,1509707,1381227,1318653,1415628,1494494,1403489
"06000","California","8","SA5H 1/","82","...","  Nonfarm earnings",3556287,3334478,2852190,2268852,2165659,2491812,2821403,3355148,3743729,3721489,3924970,4337118,5625587,8212650,11215401,12342138,12645558,13056940,13325015,14163511,14222941,15716812,18736258,21059532,22617654,23002051,25373527,28076202,30037701
"06000","California","8","SA5H 1/","90","...","    Private nonfarm earnings",3172447,2924454,2426646,1865344,1752271,2026384,2296467,2768476,3162437,3100442,3276906,3626531,4654498,6417102,8457504,9216067,9083422,10128587,10949582,11801911,11676681,12835692,14934480,16529301,17985507,18370849,20485974,22775604,24404062
"06000","California","8","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",22542,23057,22136,17892,16280,16678,21330,20479,27349,24299,24418,25642,28630,36584,40564,56068,60105,62222,81817,106273,114132,128492,143831,155292,161779,174576,171158,179420,177567
"06000","California","8","SA5H 1/","200","B","      Mining",70874,65458,47852,34732,35303,50904,57382,75572,81410,79233,79829,87042,90748,89136,97437,106963,109755,122003,145172,167893,164936,162279,188733,205907,226727,222407,238781,253681,257738
"06000","California","8","SA5H 1/","300","C","      Construction",229390,157856,102804,66686,73863,75015,95533,161769,163685,179362,187621,220017,364829,526828,549384,582153,578631,765014,987805,1156549,1044439,1249323,1407380,1477959,1670660,1636871,1819325,2025685,2072682
"06000","California","8","SA5H 1/","400","D","      Manufacturing",660745,601308,464276,330191,335759,423345,474434,572602,685171,628012,694895,782667,1238075,2298954,3501941,3584993,2887508,2368736,2546127,2861249,2825364,3296835,4251638,5012479,5548684,5683672,6398044,7293815,7931662
"06000","California","8","SA5H 1/","500","E","      Transportation and public utilities",396154,368258,317746,252808,230333,257038,278110,325587,381218,361849,388533,410808,470958,580107,747082,919507,997951,1114939,1207424,1272653,1274016,1329010,1537689,1676251,1799844,1807190,1967494,2170386,2306996
"06000","California","8","SA5H 1/","600","F-G","      Wholesale and retail trade",844987,833940,697144,523210,457417,567544,660347,801064,930502,939574,976124,1134700,1393080,1659338,2042365,2259955,2534223,3226005,3359625,3471803,3396388,3523572,3972429,4280716,4523291,4565336,4922152,5346769,5692852
"06000","California","8","SA5H 1/","700","H","      Finance, insurance, and real estate",268757,218837,186653,164445,175276,161276,173631,198109,211231,211848,219476,229149,251896,268394,301624,339200,406380,565854,600273,635536,675638,835187,887207,931595,1011444,1105648,1327358,1492267,1555442
"06000","California","8","SA5H 1/","800","I","      Services",678998,655740,588035,475380,428040,474584,535700,613294,681871,676265,706010,736506,816282,957761,1177107,1367228,1508869,1903814,2021339,2129955,2181768,2310994,2545573,2789102,3043078,3175149,3641662,4013581,4409123
"06000","California","8","SA5H 1/","900","...","    Government and government enterprises",383840,410024,425544,403508,413388,465428,524936,586672,581292,621047,648064,710587,971089,1795548,2757897,3126071,3562136,2928353,2375433,2361600,2546260,2881120,3801778,4530231,4632147,4631202,4887553,5300598,5633639
"06000","California","8","SA5H 1/","910","...","      Federal, civilian",65296,67970,68240,63739,76621,107894,114032,213784,184902,191428,197814,207078,256206,484946,842416,962356,1048676,1056022,817052,733444,783665,822634,1116676,1275210,1206473,1179683,1266130,1362604,1422622
"06000","California","8","SA5H 1/","920","...","      Military",45122,47620,48819,47576,44928,47620,51932,54621,58201,63630,74331,111128,283889,853506,1434785,1654273,1939654,1182251,694906,625495,628180,839172,1320512,1706546,1678091,1496191,1477215,1525216,1516142
"06000","California","8","SA5H 1/","930","...","      State and local",273422,294434,308485,292193,291839,309914,358972,318267,338189,365989,375919,392381,430994,457096,480696,509442,573806,690080,863475,1002661,1134415,1219314,1364590,1548475,1747583,1955328,2144208,2412778,2694875
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
