"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"10000","Delaware","2","SA5H 1/","10","...","Personal income (thousands of dollars)",243300,204960,187585,144734,140270,161668,177753,220417,242467,205682,238411,278904,325034,368251,418722,436880,443560,473835,513099,525480,571135,669777,720012,773312,830174,861395,994216,1146463,1154808
"10000","Delaware","2","SA5H 1/","20","...","Population (persons) 2/",236000,239000,242000,245000,248000,250000,252000,253000,254000,257000,263000,269000,276000,281000,281000,286000,286000,300000,306000,312000,316000,321000,331000,341000,351000,368000,389000,408000,426000
"10000","Delaware","2","SA5H 1/","30","...","Per capita personal income (dollars) 3/",1031,858,775,591,566,647,705,871,955,800,907,1037,1178,1311,1490,1528,1551,1579,1677,1684,1807,2087,2175,2268,2365,2341,2556,2810,2711
"10000","Delaware","2","SA5H 1/","35","...","  Total earnings",149105,131682,117451,91016,87427,101215,109388,128937,149557,138958,151833,176323,222636,275696,331365,350268,350431,359840,390723,419163,445220,509516,591846,651992,700065,700519,804346,929742,935232
"10000","Delaware","2","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",102,98,91,89,72,77,77,75,4263,4809,4785,5004,6695,6074,7411,8380,9077,9959,9658,9009,9709,11959,14636,15739,16192,19814,23528,27099,30249
"10000","Delaware","2","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",86,84,81,73,64,69,67,71,926,824,895,983,1276,1769,2723,3454,3468,2826,3333,3855,3771,5407,6645,7236,7651,9545,10936,12161,14228
"10000","Delaware","2","SA5H 1/","38","...","    Employer contributions for government social insurance",16,14,10,16,8,8,10,4,3337,3985,3890,4021,5419,4305,4688,4926,5609,7133,6325,5154,5938,6552,7991,8503,8541,10269,12592,14938,16021
"10000","Delaware","2","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-8083,-11133,-15221,-20134,-25877,-31476,-34078,-42399,-53576,-57251
"10000","Delaware","2","SA5H 1/","45","...","  Equals: Net earnings by place of residence",149003,131584,117360,90927,87355,101138,109311,128862,145294,134149,147048,171319,215941,269622,323954,341888,341354,349881,381065,402071,424378,482336,557076,610376,652397,646627,738419,849067,847732
"10000","Delaware","2","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",92072,71052,66044,50142,48889,56977,65199,86708,93937,68136,87206,103401,104883,94391,90769,90012,92306,105953,114455,107670,129585,163618,143864,142536,155455,188121,224512,262192,265617
"10000","Delaware","2","SA5H 1/","47","...","  Plus: Personal current transfer receipts",2225,2324,4181,3665,4026,3553,3243,4847,3236,3397,4157,4184,4210,4238,3999,4980,9900,18001,17579,15739,17172,23823,19072,20400,22322,26647,31285,35204,41459
"10000","Delaware","2","SA5H 1/","50","...","  Wages and salaries",123532,111080,99297,79511,75682,84985,89151,105761,120656,109976,122573,142661,175789,215843,264333,281891,269793,274091,312171,337841,354726,403885,474438,527385,575534,579819,655470,756874,769914
"10000","Delaware","2","SA5H 1/","60","...","  Supplements to wages and salaries",1375,1456,1558,1198,1096,1216,1466,1688,5111,5871,5891,6335,9224,9913,11289,13169,14700,15274,15043,14620,16552,20996,28385,31932,34598,39397,48440,57469,63589
"10000","Delaware","2","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",1359,1442,1548,1182,1088,1208,1456,1684,1774,1886,2001,2314,3805,5608,6601,8243,9091,8141,8718,9466,10614,14444,20394,23429,26057,29128,35848,42531,47568
"10000","Delaware","2","SA5H 1/","62","...","    Employer contributions for government social insurance",16,14,10,16,8,8,10,4,3337,3985,3890,4021,5419,4305,4688,4926,5609,7133,6325,5154,5938,6552,7991,8503,8541,10269,12592,14938,16021
"10000","Delaware","2","SA5H 1/","70","...","  Proprietors' income 8/",24198,19146,16596,10307,10649,15014,18771,21488,23790,23111,23369,27327,37623,49940,55743,55208,65938,70475,63509,66702,73942,84635,89023,92675,89933,81303,100436,115399,101729
"10000","Delaware","2","SA5H 1/","71","...","    Farm proprietors' income",8533,6599,6727,3625,4566,6279,8745,8987,10038,10180,8383,8892,12974,21294,21336,16873,26001,23390,18899,20372,25816,32551,31550,31531,25553,15768,24886,30089,18952
"10000","Delaware","2","SA5H 1/","72","...","    Nonfarm proprietors' income",15665,12547,9869,6682,6083,8735,10026,12501,13752,12931,14986,18435,24649,28646,34407,38335,39937,47085,44610,46330,48126,52084,57473,61144,64380,65535,75550,85310,82777
"10000","Delaware","2","SA5H 1/","81","[01-02]","  Farm earnings",14594,9607,9757,6675,6602,9324,11749,11997,14038,14196,12375,12886,17965,27252,29286,24829,30987,29351,24829,27605,32599,40018,39414,39092,34107,24686,32361,37561,26352
"10000","Delaware","2","SA5H 1/","82","...","  Nonfarm earnings",134511,122075,107694,84341,80825,91891,97639,116940,135519,124762,139458,163437,204671,248444,302079,325439,319444,330489,365894,391558,412621,469498,552432,612900,665958,675833,771985,892181,908880
"10000","Delaware","2","SA5H 1/","90","...","    Private nonfarm earnings",125544,112306,96770,74382,70311,80723,85702,103151,121792,109159,123778,147606,185147,222285,263699,274505,263421,299055,337923,362100,381520,432021,498992,551349,598753,596034,674752,781014,784754
"10000","Delaware","2","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",577,672,483,765,381,377,388,395,390,295,289,297,299,298,402,700,801,1201,1605,3277,2148,2293,2454,2762,2833,3148,3103,3414,3400
"10000","Delaware","2","SA5H 1/","200","B","      Mining",103,104,104,105,0,0,106,208,217,221,218,634,734,107,105,104,105,206,104,106,204,212,214,214,319,323,427,431,431
"10000","Delaware","2","SA5H 1/","300","C","      Construction",11731,8652,7443,7171,5239,5401,4919,7945,7500,5718,8695,12251,11459,16122,14561,9485,9296,19675,22710,22757,28775,39011,42078,44541,46520,48120,60637,102423,70448
"10000","Delaware","2","SA5H 1/","400","D","      Manufacturing",55077,49039,40745,28222,28701,32645,34714,40997,50246,43044,49550,63639,87670,112046,147135,150929,130376,132270,150930,167375,180334,210215,252470,287234,312484,299175,339704,377819,404026
"10000","Delaware","2","SA5H 1/","500","E","      Transportation and public utilities",14624,13726,12402,9597,9529,10943,11919,14550,16953,14059,15551,15500,18537,21719,22575,25032,28840,31476,39230,38763,34136,34855,39881,41125,45150,44251,46454,50508,53762
"10000","Delaware","2","SA5H 1/","600","F-G","      Wholesale and retail trade",18576,17280,14866,11197,9971,14289,15748,18472,22687,23130,24731,28578,36038,38492,43775,49092,52030,65288,69655,69616,72246,76105,85356,91455,98207,100671,109892,118252,122147
"10000","Delaware","2","SA5H 1/","700","H","      Finance, insurance, and real estate",7497,6394,6203,5400,5478,5058,5380,6408,6962,6792,7198,7976,8639,9217,10061,10681,11051,13145,14267,16092,16700,19006,21750,23851,26552,28936,32008,35434,32227
"10000","Delaware","2","SA5H 1/","800","I","      Services",17359,16439,14524,11925,11012,12010,12528,14176,16837,15900,17546,18731,21771,24284,25085,28482,30922,35794,39422,44114,46977,50324,54789,60167,66688,71410,82527,92733,98313
"10000","Delaware","2","SA5H 1/","900","...","    Government and government enterprises",8967,9769,10924,9959,10514,11168,11937,13789,13727,15603,15680,15831,19524,26159,38380,50934,56023,31434,27971,29458,31101,37477,53440,61551,67205,79799,97233,111167,124126
"10000","Delaware","2","SA5H 1/","910","...","      Federal, civilian",1839,1835,1832,1708,2005,2609,2983,4566,4079,5213,5143,5090,5508,6081,8541,8769,10363,9369,8416,7407,7996,9166,11486,13177,14190,15653,20791,24221,28540
"10000","Delaware","2","SA5H 1/","920","...","      Military",376,776,1429,495,469,734,1012,1143,1152,1162,1213,1318,4287,10454,20115,32138,34512,9288,4026,3991,3608,6339,15940,18177,19901,28256,38271,43401,46487
"10000","Delaware","2","SA5H 1/","930","...","      State and local",6752,7158,7663,7756,8040,7825,7942,8080,8496,9228,9324,9423,9729,9624,9724,10027,11148,12777,15529,18060,19497,21972,26014,30197,33114,35890,38171,43545,49099
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
