"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"21000","Kentucky","5","SA5H 1/","10","...","Personal income (thousands of dollars)",1010390,844362,760629,557851,549617,630438,726291,810839,942921,828269,860935,919364,1142066,1547972,1928651,2035539,2121413,2304077,2439168,2827749,2689872,2943586,3460626,3680910,3868245,3819265,3997020,4225583,4435856
"21000","Kentucky","5","SA5H 1/","20","...","Population (persons) 2/",2606000,2623000,2652000,2676000,2698000,2722000,2748000,2768000,2784000,2800000,2825000,2859000,2851000,2809000,2690000,2616000,2604000,2757000,2802000,2817000,2849000,2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000
"21000","Kentucky","5","SA5H 1/","30","...","Per capita personal income (dollars) 3/",388,322,287,208,204,232,264,293,339,296,305,322,401,551,717,778,815,836,871,1004,944,1003,1177,1261,1332,1316,1374,1458,1515
"21000","Kentucky","5","SA5H 1/","35","...","  Total earnings",826510,671759,594303,423553,435270,510232,598012,656450,821701,708492,734792,790871,1008201,1397523,1777989,1882392,1931818,2004653,2113776,2388128,2245760,2421566,2956715,3169720,3288467,3184315,3333648,3529381,3669358
"21000","Kentucky","5","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",833,797,729,764,605,624,614,589,16356,16774,20977,21505,27314,33233,40698,46481,60813,79737,68070,60315,63519,71618,82876,92357,97206,105910,118876,125904,145399
"21000","Kentucky","5","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",663,648,622,593,519,538,506,546,5960,5473,6549,7107,9502,11172,18375,19673,19513,18147,20332,22714,21624,29136,34775,38456,40506,46401,52373,54478,66177
"21000","Kentucky","5","SA5H 1/","38","...","    Employer contributions for government social insurance",170,149,107,171,86,86,108,43,10396,11301,14428,14398,17812,22061,22323,26808,41300,61590,47738,37601,41895,42482,48101,53901,56700,59509,66503,71426,79222
"21000","Kentucky","5","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",81704,84028,81551,82237,80030,94221,86717,87306,103065,97154
"21000","Kentucky","5","SA5H 1/","45","...","  Equals: Net earnings by place of residence",825677,670962,593574,422789,434665,509608,597398,655861,805345,691718,713815,769366,980887,1364290,1737291,1835911,1871005,1924916,2045706,2409517,2266269,2431499,2956076,3157393,3285482,3165122,3302078,3506542,3621113
"21000","Kentucky","5","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",165804,153666,127420,107484,91751,97351,104352,111525,113062,107746,118600,119853,130853,152482,160177,158054,168024,197045,225432,260600,243930,283395,312009,323959,369199,402211,430420,446612,494846
"21000","Kentucky","5","SA5H 1/","47","...","  Plus: Personal current transfer receipts",18909,19734,39635,27578,23201,23479,24541,43453,24514,28805,28520,30145,30326,31200,31183,41574,82384,182116,168030,157632,179673,228692,192541,199558,213564,251932,264522,272429,319897
"21000","Kentucky","5","SA5H 1/","50","...","  Wages and salaries",533845,481573,402489,311731,318138,361133,402417,454953,496912,470595,494102,536732,674967,900596,1171579,1263833,1270309,1227039,1379755,1542199,1497820,1678131,2020215,2211141,2329115,2215911,2371085,2497971,2629534
"21000","Kentucky","5","SA5H 1/","60","...","  Supplements to wages and salaries",9775,9888,9497,8804,8584,9285,10738,12455,23850,25322,29408,34390,51360,76978,84517,84753,100539,127352,112524,124687,128632,162234,209755,225830,236320,229142,248524,251107,278188
"21000","Kentucky","5","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",9605,9739,9390,8633,8498,9199,10630,12412,13454,14021,14980,19992,33548,54917,62194,57945,59239,65762,64786,87086,86737,119752,161654,171929,179620,169633,182021,179681,198966
"21000","Kentucky","5","SA5H 1/","62","...","    Employer contributions for government social insurance",170,149,107,171,86,86,108,43,10396,11301,14428,14398,17812,22061,22323,26808,41300,61590,47738,37601,41895,42482,48101,53901,56700,59509,66503,71426,79222
