"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"92000","Mideast","2","SA5H 1/","10","...","Personal income (thousands of dollars)",27420581,25567479,22222130,17385783,16068859,17858209,19257388,21930957,23007093,21459966,22691948,24312028,28360070,33923762,40006600,43044319,44541727,48203157,51245114,54600648,54681556,59788958,65797350,69649514,74312536,75238090,80011672,85943721,91012423
"92000","Mideast","2","SA5H 1/","20","...","Population (persons) 2/",28223000,28727000,29078000,29321000,29488000,29665000,29823000,29959000,30013000,30225000,30267000,30325000,30400000,30177000,29767000,29405000,29131000,31239000,32257000,32981000,33623000,33726000,33937000,34466000,35146000,35835000,36323000,36677000,37127000
"92000","Mideast","2","SA5H 1/","30","...","Per capita personal income (dollars) 3/",972,890,764,593,545,602,646,732,767,710,750,802,933,1124,1344,1464,1529,1543,1589,1656,1626,1773,1939,2021,2114,2100,2203,2343,2451
"92000","Mideast","2","SA5H 1/","35","...","  Total earnings",19632824,18166926,15404794,11690929,11000987,12726606,13980925,16092243,17629775,16535034,17548478,19191316,23251118,29057088,35249026,37978872,38626050,40904384,43357381,46969918,46505627,50177391,57131211,60439366,64291610,64188891,68225547,73317924,77371541
"92000","Mideast","2","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",28216,28426,28059,28133,25672,26380,26058,125424,463827,514399,569840,617543,755426,920613,1137551,1193833,1283821,1738163,1598574,1300303,1312695,1599608,1932048,1897665,1970744,2213454,2471085,2696342,3025845
"92000","Mideast","2","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",26368,26806,26906,26288,24752,25460,24908,27685,144301,140408,152286,168437,200662,259089,360016,448572,464107,413765,446886,417151,396863,551387,663646,715408,736914,883114,995374,1072462,1253844
"92000","Mideast","2","SA5H 1/","38","...","    Employer contributions for government social insurance",1848,1620,1153,1845,920,920,1150,97739,319526,373991,417554,449106,554764,661524,777535,745261,819714,1324398,1151688,883152,915832,1048221,1268402,1182257,1233830,1330340,1475711,1623880,1772001
"92000","Mideast","2","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-154712,-195027,-243309,-295942,-364138,-419297,-444172,-509246,-580874,-657791
"92000","Mideast","2","SA5H 1/","45","...","  Equals: Net earnings by place of residence",19604608,18138500,15376735,11662796,10975315,12700226,13954867,15966819,17165948,16020635,16978638,18573773,22495692,28136475,34111475,36785039,37342229,39166221,41758807,45514903,44997905,48334474,54903221,58177563,61901569,61531265,65245216,70040708,73687905
"92000","Mideast","2","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",7471466,7073502,6201967,5211113,4564229,4566952,4602945,5058470,5233090,4653337,4915051,4941907,5090365,5042552,5230217,5456620,5758102,6318717,6899582,6615970,7049891,7950855,8235825,8748692,9523044,10253928,10988989,11868242,12674859
"92000","Mideast","2","SA5H 1/","47","...","  Plus: Personal current transfer receipts",344507,355477,643428,511874,529315,591031,699576,905668,608055,785994,798259,796348,774013,744735,664908,802660,1441396,2718219,2586725,2469775,2633760,3503629,2658304,2723259,2887923,3452897,3777467,4034771,4649659
"92000","Mideast","2","SA5H 1/","50","...","  Wages and salaries",16330946,15352868,13140786,10226820,9579657,10894257,11748932,13390765,14526805,13541605,14402587,15638911,18805689,23276256,28218284,30462487,30597226,31688945,34885495,38369637,37966140,40846048,46466273,49420260,52800005,52469169,55583325,59827288,62847951
"92000","Mideast","2","SA5H 1/","60","...","  Supplements to wages and salaries",349120,354923,344868,314111,280128,293895,343293,501312,744611,818913,877467,960891,1185152,1540149,1846177,1965741,2127685,2707935,2595852,2473422,2612885,3040734,3730150,3956461,4211241,4387499,4760160,5273776,5890971
"92000","Mideast","2","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",347272,353303,343715,312266,279208,292975,342143,403573,425085,444922,459913,511785,630388,878625,1068642,1220480,1307971,1383537,1444164,1590270,1697053,1992513,2461748,2774204,2977411,3057159,3284449,3649896,4118970
"92000","Mideast","2","SA5H 1/","62","...","    Employer contributions for government social insurance",1848,1620,1153,1845,920,920,1150,97739,319526,373991,417554,449106,554764,661524,777535,745261,819714,1324398,1151688,883152,915832,1048221,1268402,1182257,1233830,1330340,1475711,1623880,1772001
"92000","Mideast","2","SA5H 1/","70","...","  Proprietors' income 8/",2952758,2459135,1919140,1149998,1141202,1538454,1888700,2200166,2358359,2174516,2268424,2591514,3260277,4240683,5184565,5550644,5901139,6507504,5876034,6126859,5926602,6290609,6934788,7062645,7280364,7332223,7882062,8216860,8632619
"92000","Mideast","2","SA5H 1/","71","...","    Farm proprietors' income",382136,314924,285380,162222,209988,226009,346866,313510,381435,288747,265467,273848,361396,562366,670573,700732,733003,886765,766507,896622,672377,645381,810640,769258,713573,596026,517543,594488,485464
"92000","Mideast","2","SA5H 1/","72","...","    Nonfarm proprietors' income",2570622,2144211,1633760,987776,931214,1312445,1541834,1886656,1976924,1885769,2002957,2317666,2898881,3678317,4513992,4849912,5168136,5620739,5109527,5230237,5254225,5645228,6124148,6293387,6566791,6736197,7364519,7622372,8147155
"92000","Mideast","2","SA5H 1/","81","[01-02]","  Farm earnings",539063,469729,412070,262982,297683,317525,444177,422509,506107,417983,390975,405434,517585,756855,904737,946012,989757,1178456,1077452,1200451,957226,935741,1113182,1065652,997828,863731,771206,848172,745719
"92000","Mideast","2","SA5H 1/","82","...","  Nonfarm earnings",19093761,17697197,14992724,11427947,10703304,12409081,13536748,15669734,17123668,16117051,17157503,18785882,22733533,28300233,34344289,37032860,37636293,39725928,42279929,45769467,45548401,49241650,56018029,59373714,63293782,63325160,67454341,72469752,76625822
"92000","Mideast","2","SA5H 1/","90","...","    Private nonfarm earnings",17438099,15955192,13171577,9661678,8950673,10441245,11389689,12993108,14555194,13420890,14487330,16053883,19611138,24039352,28371051,30050737,30259431,33616206,36971822,40124410,39434566,42951857,48322654,50596790,54303723,54201687,57889148,62279866,65688652
"92000","Mideast","2","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",25243,25590,25159,19466,17429,16501,20126,20213,26139,24671,25736,27494,32189,42606,49948,54842,56645,77667,87157,99308,108174,121151,134894,146810,157010,168102,167555,177964,177471
"92000","Mideast","2","SA5H 1/","200","B","      Mining",477881,433898,338218,237419,219452,294847,285658,313564,347653,282172,301130,347934,418913,489179,536245,583018,558818,635086,754715,817990,657795,724657,797305,719912,712359,563032,560674,622267,631867
"92000","Mideast","2","SA5H 1/","300","C","      Construction",1264393,1092013,781254,381889,257037,287874,369104,585839,612390,568410,675433,728421,899922,1242198,1068432,847347,910639,1504271,1918708,2294570,2339921,2775866,3157491,3185187,3374933,3499029,3752764,4152786,4338083
"92000","Mideast","2","SA5H 1/","400","D","      Manufacturing",5703135,5063077,3924743,2737486,2725544,3316319,3677107,4229655,4915652,4190473,4739248,5537874,7691702,10503688,13490755,14186710,13292507,12993731,14287920,15761053,14924066,16587486,19377809,20636632,22615558,21579485,22975956,24879168,25947227
"92000","Mideast","2","SA5H 1/","500","E","      Transportation and public utilities",1989417,1884684,1649098,1315988,1205615,1299192,1359334,1521360,1681587,1544102,1657723,1768667,2001455,2311531,2718552,3147014,3209489,3560977,3856093,4257355,4161879,4400937,4993643,5263934,5579731,5498514,5850693,6301441,6658764
"92000","Mideast","2","SA5H 1/","600","F-G","      Wholesale and retail trade",3726368,3502174,2968810,2112452,1902298,2442566,2705940,3021671,3405879,3390334,3543982,3928496,4626298,5148564,5783897,6102581,6644636,8306004,8962915,8989055,9041233,9428395,10296280,10557560,11071368,11424631,11936026,12698929,13458300
"92000","Mideast","2","SA5H 1/","700","H","      Finance, insurance, and real estate",1404098,1232918,1080065,918322,890594,874024,931104,1047858,1125923,1079480,1115595,1137451,1185632,1253517,1345552,1389199,1545982,1850786,1953808,2173187,2279851,2560930,2761170,2940818,3153656,3458685,3804863,4005435,4291014
"92000","Mideast","2","SA5H 1/","800","I","      Services",2847564,2720838,2404230,1938656,1732704,1909922,2041316,2252948,2439971,2341248,2428483,2577546,2755027,3048069,3377670,3740026,4040715,4687684,5150506,5731892,5921647,6352435,6804062,7145937,7639108,8010209,8840617,9441876,10185926
"92000","Mideast","2","SA5H 1/","900","...","    Government and government enterprises",1655662,1742005,1821147,1766269,1752631,1967836,2147059,2676626,2568474,2696161,2670173,2731999,3122395,4260881,5973238,6982123,7376862,6109722,5308107,5645057,6113835,6289793,7695375,8776924,8990059,9123473,9565193,10189886,10937170
"92000","Mideast","2","SA5H 1/","910","...","      Federal, civilian",426772,444233,449570,414353,427745,595577,695456,1319453,1140957,1170042,1115246,1093597,1273118,1838318,2596154,2602926,2530968,2654403,2192478,2217385,2386185,2354992,2980488,3342795,3330610,3209051,3407608,3565607,3829977
"92000","Mideast","2","SA5H 1/","920","...","      Military",91835,97225,92239,87457,74133,75635,86155,89709,92630,94897,102905,126815,307545,875675,1788706,2734189,3119331,1517328,807827,813118,890635,941093,1457246,1835844,1798198,1729554,1662565,1611232,1542229
