"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"27000","Minnesota","4","SA5H 1/","10","...","Personal income (thousands of dollars)",1528678,1409297,1193739,956101,828776,967632,1219270,1294506,1477208,1357304,1432474,1460595,1675858,2126394,2454717,2553234,2833892,3267502,3556826,4154321,3909750,4324200,4787152,4984619,5262770,5425650,5741618,6015113,6384595
"27000","Minnesota","4","SA5H 1/","20","...","Population (persons) 2/",2572000,2576000,2614000,2646000,2673000,2695000,2717000,2734000,2746000,2753000,2771000,2790000,2719000,2662000,2572000,2523000,2534000,2737000,2796000,2868000,2935000,2997000,3010000,3030000,3050000,3113000,3172000,3240000,3274000
"27000","Minnesota","4","SA5H 1/","30","...","Per capita personal income (dollars) 3/",594,547,457,361,310,359,449,473,538,493,517,524,616,799,954,1012,1118,1194,1272,1449,1332,1443,1590,1645,1725,1743,1810,1857,1950
"27000","Minnesota","4","SA5H 1/","35","...","  Total earnings",1258955,1155742,930868,748289,649038,770971,1017010,1029444,1258738,1147081,1207208,1214807,1422637,1864002,2192439,2269638,2483468,2797575,3061498,3587053,3302348,3576800,4110317,4258851,4462961,4567420,4783395,5045568,5327218
"27000","Minnesota","4","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",1445,1417,1375,1410,1265,1354,1368,1457,23752,26193,30373,29445,30819,36919,48084,54366,64236,80012,77465,70690,73550,80117,99199,102792,106258,123543,144918,164185,187782
"27000","Minnesota","4","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",1275,1269,1269,1240,1180,1269,1261,1414,7810,7380,7739,8578,9615,11489,14804,18443,20142,22186,26522,29184,29597,38894,46609,50983,52592,60755,70322,82575,96599
"27000","Minnesota","4","SA5H 1/","38","...","    Employer contributions for government social insurance",170,148,106,170,85,85,107,43,15942,18813,22634,20867,21204,25430,33280,35923,44094,57826,50943,41506,43953,41223,52590,51809,53666,62788,74596,81610,91183
"27000","Minnesota","4","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5926,6641,6449,6398,6377,5801,5819,4524,4025,2855
"27000","Minnesota","4","SA5H 1/","45","...","  Equals: Net earnings by place of residence",1257510,1154325,929493,746879,647773,769617,1015642,1027987,1234986,1120888,1176835,1185362,1391818,1827083,2144355,2215272,2419232,2717563,2984033,3522289,3235439,3503132,4017516,4162436,4362504,4449696,4643001,4885408,5142291
"27000","Minnesota","4","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",248257,230965,213273,172886,146840,157791,161601,191390,190733,177372,193667,209414,220584,239507,254259,270640,300597,346612,374091,445252,462899,538320,564803,603716,666615,705757,796451,806644,861242
"27000","Minnesota","4","SA5H 1/","47","...","  Plus: Personal current transfer receipts",22911,24007,50973,36336,34163,40224,42027,75129,51489,59044,61972,65819,63456,59804,56103,67322,114063,203327,198702,186780,211412,282748,204833,218467,233651,270197,302166,323061,381062
"27000","Minnesota","4","SA5H 1/","50","...","  Wages and salaries",872123,826454,733877,602572,539158,626046,677171,767633,842826,814047,846225,841265,946128,1141417,1373523,1477424,1570399,1695443,1958798,2202885,2238077,2439231,2738769,2939454,3172320,3226745,3435366,3627310,3890265
"27000","Minnesota","4","SA5H 1/","60","...","  Supplements to wages and salaries",16580,16522,15742,14514,13177,14971,16615,19523,35844,39545,43854,43354,46911,58188,74889,82492,98665,118153,116965,115177,125234,137255,170411,185652,202041,219698,244559,269105,306122
"27000","Minnesota","4","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",16410,16374,15636,14344,13092,14886,16508,19480,19902,20732,21220,22487,25707,32758,41609,46569,54571,60327,66022,73671,81281,96032,117821,133843,148375,156910,169963,187495,214939
"27000","Minnesota","4","SA5H 1/","62","...","    Employer contributions for government social insurance",170,148,106,170,85,85,107,43,15942,18813,22634,20867,21204,25430,33280,35923,44094,57826,50943,41506,43953,41223,52590,51809,53666,62788,74596,81610,91183
"27000","Minnesota","4","SA5H 1/","70","...","  Proprietors' income 8/",370252,312766,181249,131203,96703,129954,323224,242288,380068,293489,317129,330188,429598,664397,744027,709722,814404,983979,985735,1268991,939037,1000314,1201137,1133745,1088600,1120977,1103470,1149153,1130831
"27000","Minnesota","4","SA5H 1/","71","...","    Farm proprietors' income",203867,169719,65338,58908,32866,35575,207925,102839,231872,147150,156486,161817,223323,410401,439937,382126,466999,569481,582998,807648,472118,488989,646520,559964,493486,502844,422521,473493,408702
"27000","Minnesota","4","SA5H 1/","72","...","    Nonfarm proprietors' income",166385,143047,115911,72295,63837,94379,115299,139449,148196,146339,160643,168371,206275,253996,304090,327596,347405,414498,402737,461343,466919,511325,554617,573781,595114,618133,680949,675660,722129
"27000","Minnesota","4","SA5H 1/","81","[01-02]","  Farm earnings",251474,207943,97778,84414,55349,60014,234039,133045,266969,180377,189506,192829,262299,461097,499621,445830,529847,636078,654178,887030,546284,558357,714499,622560,550331,554984,471186,524082,457337
"27000","Minnesota","4","SA5H 1/","82","...","  Nonfarm earnings",1007481,947799,833090,663875,593689,710957,782971,896399,991769,966704,1017702,1021978,1160338,1402905,1692818,1823808,1953621,2161497,2407320,2700023,2756064,3018443,3395818,3636291,3912630,4012436,4312209,4521486,4869881
"27000","Minnesota","4","SA5H 1/","90","...","    Private nonfarm earnings",903804,841656,723529,558415,489371,572979,636567,720814,822519,779075,835436,845833,981190,1216029,1443268,1551301,1625514,1871451,2123777,2384612,2404910,2658093,2979958,3164441,3409657,3470122,3742794,3933570,4237308
"27000","Minnesota","4","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",4355,4135,4403,3609,3126,2712,3258,3200,4453,4203,4382,4829,5417,6438,7172,7057,6345,7532,7836,12884,14499,16532,18597,19927,20481,21664,21500,21289,21204
"27000","Minnesota","4","SA5H 1/","200","B","      Mining",24228,20456,11969,5028,5140,7522,9257,14418,24842,12501,14971,17648,24327,30487,38108,33680,34706,33410,45495,56221,53862,63183,81446,87969,119063,89816,97647,113956,133044
"27000","Minnesota","4","SA5H 1/","300","C","      Construction",53979,50916,41634,27776,16476,19335,24964,35133,37874,41365,50649,43957,59776,71153,47496,54452,67893,127591,164061,181988,180054,218112,250913,257499,271947,303150,358225,355770,369236
"27000","Minnesota","4","SA5H 1/","400","D","      Manufacturing",198880,186848,154370,118757,106326,128114,141546,159789,187946,159556,176910,187985,241269,380590,527517,557965,546092,502929,581738,648019,637553,723047,844984,930588,1017697,996297,1048194,1153070,1237831
"27000","Minnesota","4","SA5H 1/","500","E","      Transportation and public utilities",144842,135123,113291,89823,81191,88723,95710,105530,118088,111593,115801,118510,134704,157346,174777,201559,207793,249505,282643,320829,326160,344319,386726,407343,432053,435616,453965,479803,507401
"27000","Minnesota","4","SA5H 1/","600","F-G","      Wholesale and retail trade",270219,250074,226001,168459,150055,190459,217830,243186,273304,276420,290066,290310,326697,365105,422703,449014,489583,614917,673015,737630,735593,779044,860186,883633,913003,930930,985172,1000791,1089651
"27000","Minnesota","4","SA5H 1/","700","H","      Finance, insurance, and real estate",58693,54226,47913,45186,37960,38190,40455,43732,47798,47994,50962,51931,53460,55322,60096,63993,72204,89054,96259,115404,126019,148998,158185,173378,196395,224423,245983,248638,275702
"27000","Minnesota","4","SA5H 1/","800","I","      Services",148608,139878,123948,99777,89097,97924,103547,115826,128214,125443,131695,130663,135540,149588,165399,183581,200898,246513,272730,311637,331170,364858,378921,404104,439018,468226,532108,560253,603239
"27000","Minnesota","4","SA5H 1/","900","...","    Government and government enterprises",103677,106143,109561,105460,104318,137978,146404,175585,169250,187629,182266,176145,179148,186876,249550,272507,328107,290046,283543,315411,351154,360350,415860,471850,502973,542314,569415,587916,632573
"27000","Minnesota","4","SA5H 1/","910","...","      Federal, civilian",20657,21126,21334,20182,27840,44160,43933,85492,71041,82590,77381,70058,68659,58339,56143,52618,62878,92003,86268,83141,89464,86238,93227,111667,119189,122400,126119,122561,134917
"27000","Minnesota","4","SA5H 1/","920","...","      Military",2366,2354,2181,3827,2165,2356,2439,3026,3182,3059,3492,3627,5496,24572,86421,108499,141118,52190,22614,24067,32042,28624,52575,61535,60243,62570,63572,68012,66765
"27000","Minnesota","4","SA5H 1/","930","...","      State and local",80654,82663,86046,81451,74313,91462,100032,87067,95027,101980,101393,102460,104993,103965,106986,111390,124111,145853,174661,208203,229648,245488,270058,298648,323541,357344,379724,397343,430891
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
