"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"95000","Southeast","5","SA5H 1/","10","...","Personal income (thousands of dollars)",9864225,8477167,7446005,5615623,5733786,6926169,7625343,8788062,9564340,8881240,9580731,10447496,13872830,19301009,23857785,26241857,27153075,27844807,29109199,32651279,32276668,36143919,41525566,44443554,46563757,46609097,50594674,54746544,57801711
"95000","Southeast","5","SA5H 1/","20","...","Population (persons) 2/",27152000,27312000,27463000,27665000,27903000,28190000,28418000,28628000,28923000,29350000,29843000,30277000,31016000,31595000,31778000,31296000,30820000,31751000,32169000,32275000,32803000,33860000,34421000,34661000,34681000,34830000,35399000,36071000,36874000
"95000","Southeast","5","SA5H 1/","30","...","Per capita personal income (dollars) 3/",363,310,271,203,205,246,268,307,331,303,321,345,447,611,751,839,881,877,905,1012,984,1067,1206,1282,1343,1338,1429,1518,1568
"95000","Southeast","5","SA5H 1/","35","...","  Total earnings",8266938,6980901,5939479,4412115,4681886,5802316,6471673,7275198,8297052,7613117,8208896,9015221,12354811,17652990,22212864,24494000,25052533,24661862,25342178,28179611,27304755,30119777,35821781,38402820,40008328,39439513,42789658,46144828,48368547
"95000","Southeast","5","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",9637,9222,8490,8904,7261,7848,7698,8109,163564,176769,200671,214574,278551,398062,575406,695486,920402,1150955,865095,684431,711000,764679,918007,979563,1008437,1162069,1305920,1438092,1680755
"95000","Southeast","5","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",7880,7686,7387,7135,6372,6957,6579,7660,53662,49316,54005,60170,82180,142943,298243,360621,366596,262769,261287,253380,240771,326984,393516,426242,447162,525958,595018,654547,778826
"95000","Southeast","5","SA5H 1/","38","...","    Employer contributions for government social insurance",1757,1536,1103,1769,889,891,1119,449,109902,127453,146666,154404,196371,255119,277163,334865,553806,888186,603808,431051,470229,437695,524491,553321,561275,636111,710902,783545,901929
"95000","Southeast","5","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",179523,214807,251408,292785,347809,380298,382163,423572,457622,494656
"95000","Southeast","5","SA5H 1/","45","...","  Equals: Net earnings by place of residence",8257301,6971679,5930989,4403211,4674625,5794468,6463975,7267089,8133488,7436348,8008225,8800647,12076260,17254928,21637458,23798514,24132131,23510907,24477083,27674703,26808562,29606506,35196559,37771066,39380189,38659607,41907310,45164358,47182448
"95000","Southeast","5","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",1450651,1339876,1158894,966281,843370,910450,948383,1097198,1200738,1167976,1291232,1333104,1475056,1717556,1894686,1997469,2129796,2438426,2653635,3070116,3247243,3775810,4052142,4366915,4860336,5338661,5838629,6558585,7103724
"95000","Southeast","5","SA5H 1/","47","...","  Plus: Personal current transfer receipts",156273,165612,356122,246131,215791,221251,212985,423775,230114,276916,281274,313745,321514,328525,325641,445874,891148,1895474,1978481,1906460,2220863,2761603,2276865,2305573,2323232,2610829,2848735,3023601,3515539
"95000","Southeast","5","SA5H 1/","50","...","  Wages and salaries",5485665,5055093,4263448,3362337,3414099,4069389,4381864,5008092,5502957,5255765,5732230,6352577,8474691,12024555,15731423,17463587,17607387,16005173,17290776,19058300,19027177,21074361,24953826,27314048,28919297,28731539,30923029,33979779,35981734
"95000","Southeast","5","SA5H 1/","60","...","  Supplements to wages and salaries",100505,102314,99834,92324,90103,100260,115164,127771,245625,268296,303419,383997,751338,1223780,1240996,1274764,1476830,1834935,1472686,1377011,1500405,1768790,2332247,2580205,2706428,2805113,2989668,3291394,3706939
"95000","Southeast","5","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",98748,100778,98731,90555,89214,99369,114045,127322,135723,140843,156753,229593,554967,968661,963833,939899,923024,946749,868878,945960,1030176,1331095,1807756,2026884,2145153,2169002,2278766,2507849,2805010
