"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"47000","Tennessee","5","SA5H 1/","10","...","Personal income (thousands of dollars)",970887,841489,724554,525895,552287,674131,734887,844262,927750,840730,890841,994494,1310836,1684275,2188986,2527888,2662017,2709558,2840810,3127054,3112573,3457615,3855234,4033191,4327590,4382042,4629019,4964802,5194431
"47000","Tennessee","5","SA5H 1/","20","...","Population (persons) 2/",2604000,2619000,2657000,2711000,2747000,2784000,2798000,2791000,2795000,2821000,2874000,2935000,2976000,2953000,2939000,2877000,2875000,3077000,3168000,3216000,3236000,3315000,3372000,3352000,3319000,3359000,3415000,3415000,3434000
"47000","Tennessee","5","SA5H 1/","30","...","Per capita personal income (dollars) 3/",373,321,273,194,201,242,263,302,332,298,310,339,440,570,745,879,926,881,897,972,962,1043,1143,1203,1304,1305,1355,1454,1513
"47000","Tennessee","5","SA5H 1/","35","...","  Total earnings",817890,692348,580794,420291,455729,571408,631844,711601,823840,729500,769563,863913,1165407,1526183,2021011,2337200,2430212,2359352,2444178,2737033,2665563,2900128,3355106,3527827,3789821,3783565,4016853,4311039,4478519
"47000","Tennessee","5","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",817,777,715,755,613,750,742,727,14624,15705,19265,20162,27362,37347,52624,63181,75496,95746,78613,69526,71722,78377,95124,99674,105785,123510,137019,151992,174679
"47000","Tennessee","5","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",649,630,610,586,528,665,635,684,4849,4404,4672,5305,7279,10338,19411,23221,23124,21453,23623,25615,24915,33300,40004,42772,44683,53148,59464,65377,77195
"47000","Tennessee","5","SA5H 1/","38","...","    Employer contributions for government social insurance",168,147,105,169,85,85,107,43,9775,11301,14593,14857,20083,27009,33213,39960,52372,74293,54990,43911,46807,45077,55120,56902,61102,70362,77555,86615,97484
"47000","Tennessee","5","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-3325,-4297,2189,15289,17845,9832,6466,9982,-5761,-3571
"47000","Tennessee","5","SA5H 1/","45","...","  Equals: Net earnings by place of residence",817073,691571,580079,419536,455116,570658,631102,710874,809216,713795,750298,843751,1138045,1488836,1968387,2274019,2354716,2263606,2365565,2664182,2589544,2823940,3275271,3445998,3693868,3666521,3889816,4153286,4300269
"47000","Tennessee","5","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",136392,131584,107859,81012,76151,80986,80887,91386,95815,96489,110091,115446,138312,159527,184438,205713,214009,233011,258112,251143,282940,347435,350331,371417,411367,452016,460481,524815,570529
"47000","Tennessee","5","SA5H 1/","47","...","  Plus: Personal current transfer receipts",17422,18334,36616,25347,21020,22487,22898,42002,22719,30446,30452,35297,34479,35912,36161,48156,93292,212941,217133,211729,240089,286240,229632,215776,222355,263505,278722,286701,323633
"47000","Tennessee","5","SA5H 1/","50","...","  Wages and salaries",531513,495935,404268,312796,327658,403133,434017,491393,531012,496138,539769,599727,782832,1003087,1372728,1612063,1653526,1517702,1652431,1838560,1840111,2040332,2342551,2517906,2729096,2741379,2904947,3167120,3292758
"47000","Tennessee","5","SA5H 1/","60","...","  Supplements to wages and salaries",7608,7600,7191,6573,6372,7875,9106,9545,19499,21001,25420,28191,50165,71826,95764,106005,119868,143575,121697,119293,130190,147976,186361,205358,220477,233750,251732,282910,315860
"47000","Tennessee","5","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",7440,7453,7086,6404,6287,7790,8999,9502,9724,9700,10827,13334,30082,44817,62551,66045,67496,69282,66707,75382,83383,102899,131241,148456,159375,163388,174177,196295,218376
"47000","Tennessee","5","SA5H 1/","62","...","    Employer contributions for government social insurance",168,147,105,169,85,85,107,43,9775,11301,14593,14857,20083,27009,33213,39960,52372,74293,54990,43911,46807,45077,55120,56902,61102,70362,77555,86615,97484
"47000","Tennessee","5","SA5H 1/","70","...","  Proprietors' income 8/",278769,188813,169335,100922,121699,160400,188721,210663,273329,212361,204374,235995,332410,451270,552519,619132,656818,698075,670050,779180,695262,711820,826194,804563,840248,808436,860174,861009,869901
"47000","Tennessee","5","SA5H 1/","71","...","    Farm proprietors' income",171629,94288,104735,58908,77604,88938,109793,111825,168634,115685,101530,117363,157531,229399,262134,266992,302001,352875,347854,392298,309140,285593,345411,307264,303276,235904,270472,228124,202014
"47000","Tennessee","5","SA5H 1/","72","...","    Nonfarm proprietors' income",107140,94525,64600,42014,44095,71462,78928,98838,104695,96676,102844,118632,174879,221871,290385,352140,354817,345200,322196,386882,386122,426227,480783,497299,536972,572532,589702,632885,667887
"47000","Tennessee","5","SA5H 1/","81","[01-02]","  Farm earnings",182740,104314,112815,65008,84731,97058,119806,122863,179634,126730,113506,129340,171504,247275,283015,288888,327933,382690,381465,433944,348091,321051,382092,341266,337214,269878,304025,262483,237847
"47000","Tennessee","5","SA5H 1/","82","...","  Nonfarm earnings",635150,588034,467979,355283,370998,474350,512038,588738,644206,602770,656057,734573,993903,1278908,1737996,2048312,2102279,1976662,2062713,2303089,2317472,2579077,2973014,3186561,3452607,3513687,3712828,4048556,4240672
"47000","Tennessee","5","SA5H 1/","90","...","    Private nonfarm earnings",575563,525245,404951,294816,306216,390141,419258,482754,545250,497115,541847,603192,810732,1034240,1302081,1544099,1590518,1609592,1764010,1976236,1944588,2178630,2481960,2638696,2884856,2933552,3117403,3402556,3551921
"47000","Tennessee","5","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",1318,1302,1341,2425,1053,852,1164,1185,1565,1483,1573,1596,1897,2107,2314,2710,2706,2501,3006,5264,6076,6314,7308,8356,9285,9801,10425,10874,11329
"47000","Tennessee","5","SA5H 1/","200","B","      Mining",12025,10660,8465,6167,6694,8080,8113,10353,13328,11907,12302,16371,21655,25588,24910,25413,24969,27095,35051,44729,35051,40206,42657,38111,35533,33923,37216,43855,38392
"47000","Tennessee","5","SA5H 1/","300","C","      Construction",37301,44174,19113,8936,10362,23264,16606,33084,36237,25706,29242,32686,90332,134470,202173,249648,205912,108247,133881,166562,159443,207237,257916,246736,307207,323362,272541,276367,256969
"47000","Tennessee","5","SA5H 1/","400","D","      Manufacturing",156287,135803,105659,74981,86658,109889,119932,139074,163759,142488,166052,186893,252503,343638,445332,519389,549016,527595,590768,665522,635320,733764,853699,929363,1052458,1020664,1138394,1242691,1295257
"47000","Tennessee","5","SA5H 1/","500","E","      Transportation and public utilities",84444,77526,65764,49890,47577,51404,55385,61733,69136,64988,69303,72461,86104,109317,131321,156423,160229,181617,192637,212631,207806,222347,249537,266313,278732,276558,283599,310256,323699
