"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"02000","Alaska","8","SA5N 1/","10","...","Personal income (thousands of dollars)",17836325,18429969,19875476,20981151,22013624,23077755,24255862,25928163,27582437,29744447,32853999,32731783,34711427,37151409,38490699,37916014,40242478,41701086,41283275,41459811
"02000","Alaska","8","SA5N 1/","20","...","Population (persons) 2/",619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
"02000","Alaska","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",28771,29498,31651,33108,34271,35591,36791,38876,40845,43723,47791,46834,48614,51438,52667,51463,54621,56507,55674,56042
"02000","Alaska","8","SA5N 1/","35","...","  Earnings by place of work",14519350,14908493,15928388,17061743,18054090,19000737,19955449,21195738,22355764,23442665,24697744,25663436,26788736,28296561,29441252,29563427,30431683,31285703,30751138,30435231
"02000","Alaska","8","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",1548458,1569951,1644167,1737867,1827347,1891089,2014551,2155217,2362291,2461487,2543376,2587408,2678077,2549052,2699527,3124631,3125095,3179349,3107952,3109530
"02000","Alaska","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",732101,745534,783715,840321,885322,919586,976316,1038882,1146401,1214894,1263214,1284489,1338753,1100807,1146353,1516641,1551003,1601098,1588312,1587595
"02000","Alaska","8","SA5N 1/","38","...","    Employer contributions for government social insurance",816357,824417,860452,897546,942025,971503,1038235,1116335,1215890,1246593,1280162,1302919,1339324,1448245,1553174,1607990,1574092,1578251,1519640,1521935
"02000","Alaska","8","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",-861611,-860100,-917888,-982378,-889504,-722606,-551824,-384412,-342308,-281484,-174706,-180600,-182597,-200988,-215658,-217065,-252107,-259014,-211111,-208176
"02000","Alaska","8","SA5N 1/","45","...","  Equals: Net earnings by place of residence",12109281,12478442,13366333,14341498,15337239,16387042,17389074,18656109,19651165,20699694,21979662,22895428,23928062,25546521,26526067,26221731,27054481,27847340,27432075,27117525
"02000","Alaska","8","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",3256321,3236069,3431739,3420202,3369667,3444989,3658733,3881209,4338504,4969613,5422891,5097582,5493322,6068524,6557774,6286156,6671928,7176974,7235774,7426735
"02000","Alaska","8","SA5N 1/","47","...","  Plus: Personal current transfer receipts",2470723,2715458,3077404,3219451,3306718,3245724,3208055,3390845,3592768,4075140,5451446,4738773,5290043,5536364,5406858,5408127,6516069,6676772,6615426,6915551
"02000","Alaska","8","SA5N 1/","50","...","  Wages and salaries",10328924,10482804,11077295,11733847,12331495,12801278,13463175,14257925,15123763,16129296,17033186,17540259,18013163,18791486,19595302,19960409,20642637,21227555,20529085,20196115
"02000","Alaska","8","SA5N 1/","60","...","  Supplements to wages and salaries",2551098,2670141,2842352,3162501,3382836,3759474,4035465,4373352,4505786,4699768,4797299,5045034,5237370,5772090,6233812,6385148,6604344,6725580,6689909,6644678
"02000","Alaska","8","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",1734741,1845724,1981900,2264955,2440811,2787971,2997230,3257017,3289896,3453175,3517137,3742115,3898046,4323845,4680638,4777158,5030252,5147329,5170269,5122743
"02000","Alaska","8","SA5N 1/","62","...","    Employer contributions for government social insurance",816357,824417,860452,897546,942025,971503,1038235,1116335,1215890,1246593,1280162,1302919,1339324,1448245,1553174,1607990,1574092,1578251,1519640,1521935
"02000","Alaska","8","SA5N 1/","70","...","  Proprietors' income 8/",1639328,1755548,2008741,2165395,2339759,2439985,2456809,2564461,2726215,2613601,2867259,3078143,3538203,3732985,3612138,3217870,3184702,3332568,3532144,3594438
"02000","Alaska","8","SA5N 1/","71","...","    Farm proprietors' income",9608,9183,13946,13108,12665,5734,8137,7942,3765,2668,-9943,-11010,-7757,-8228,-2970,-5726,-5209,-4508,-1616,-3299
"02000","Alaska","8","SA5N 1/","72","...","    Nonfarm proprietors' income",1629720,1746365,1994795,2152287,2327094,2434251,2448672,2556519,2722450,2610933,2877202,3089153,3545960,3741213,3615108,3223596,3189911,3337076,3533760,3597737
"02000","Alaska","8","SA5N 1/","81","111-112","  Farm earnings",17181,19320,20863,20006,19491,11795,14520,14058,10052,9367,3006,7631,10441,9115,16640,14039,15043,14428,18899,18031
"02000","Alaska","8","SA5N 1/","82","...","  Nonfarm earnings",14502169,14889173,15907525,17041737,18034599,18988942,19940929,21181680,22345712,23433298,24694738,25655805,26778295,28287446,29424612,29549388,30416640,31271275,30732239,30417200
"02000","Alaska","8","SA5N 1/","90","113-814","    Private nonfarm earnings",9826755,10090525,10905459,11780733,12328593,12865627,13536651,14390040,15231536,16008693,17005057,17438336,18246133,19284225,20030120,20417542,20920468,21682439,21064951,20756551
"02000","Alaska","8","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",254412,275629,329625,"(D)",270996,302267,292074,327332,353309,321650,317563,318452,463730,445455,443387,437865,437652,505421,482607,481148
"02000","Alaska","8","SA5N 1/","101","113","        Forestry and logging",57590,59015,60403,40159,35887,33893,"(D)",39008,28316,19876,16877,23046,"(D)","(D)",25371,34327,42949,55346,38587,"(NA)"
"02000","Alaska","8","SA5N 1/","102","114","        Fishing, hunting and trapping",194330,214635,266832,"(D)","(D)",264158,250258,283588,"(D)","(D)","(D)",289820,419383,396857,412968,398070,389652,443571,438336,"(NA)"
"02000","Alaska","8","SA5N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)","(D)","(D)",4216,"(D)",4736,"(D)","(D)","(D)",5586,"(D)","(D)",5048,5468,5051,6504,5684,"(NA)"
"02000","Alaska","8","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",883268,700226,906642,"(D)",953851,903425,1093793,1216801,1513365,1742826,2109691,2036723,2132563,2383570,2493816,2586096,2775079,2858635,2468863,2228861
"02000","Alaska","8","SA5N 1/","201","211","        Oil and gas extraction",342238,314222,353727,416395,412664,377492,426602,461765,511637,598910,721100,724862,754964,813517,926804,1003512,1117927,1159748,1040317,"(NA)"
"02000","Alaska","8","SA5N 1/","202","212","        Mining (except oil and gas)",113325,104780,109260,"(D)",109645,116316,117608,140299,176057,201978,224063,203408,234925,281546,294093,278815,283372,314434,333617,"(NA)"
"02000","Alaska","8","SA5N 1/","203","213","        Support activities for mining",427705,281224,443655,491243,431542,409617,549583,614737,825671,941938,1164528,1108453,1142674,1288507,1272919,1303769,1373780,1384453,1094929,"(NA)"
"02000","Alaska","8","SA5N 1/","300","22","      Utilities",100956,104883,110072,132267,148526,153944,163070,168219,178412,184924,209140,222652,236675,263691,257697,278518,314042,320402,311883,315093
"02000","Alaska","8","SA5N 1/","400","23","      Construction",1095176,1174994,1238895,1375313,1505709,1654634,1740060,1864546,1921819,1956657,2037383,2157273,2219362,2217975,2268261,2143416,2279149,2370032,2220524,2025637
"02000","Alaska","8","SA5N 1/","401","236","        Construction of buildings",313789,331390,329529,357406,409350,482294,487965,535186,568593,648287,709718,784975,756190,786504,743666,622991,606703,607445,580022,"(NA)"
