"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"04000","Arizona","6","SA5N 1/","10","...","Personal income (thousands of dollars)",117552632,124514127,135372547,141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255696365,270258279,280120037,292108028
"04000","Arizona","6","SA5N 1/","20","...","Population (persons) 2/",4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
"04000","Arizona","6","SA5N 1/","30","...","Per capita personal income (dollars) 3/",24072,24785,26232,26766,27154,28166,29978,32288,34705,35751,35717,33746,33565,34930,36096,36605,38127,39731,40546,41633
"04000","Arizona","6","SA5N 1/","35","...","  Earnings by place of work",86383467,92652182,101421670,105608604,109045678,114564429,124797156,137468241,152622726,158820464,157537700,147722984,145698241,151754723,158853517,165509987,172298811,180784963,189044317,198374314
"04000","Arizona","6","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",9784924,10486179,11417314,11946096,12350254,12830700,13897568,15254256,16728805,17695906,17901056,17067080,17258018,15992375,16540013,19323855,20020524,21084967,22028368,23370841
"04000","Arizona","6","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",5028861,5430306,5905053,6151764,6363146,6642746,7219625,7987320,8785233,9233500,9326152,8998036,9145084,7577842,7819761,10320591,10826972,11411100,11981533,12706597
"04000","Arizona","6","SA5N 1/","38","...","    Employer contributions for government social insurance",4756063,5055873,5512261,5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,8112934,8414533,8720252,9003264,9193552,9673867,10046835,10664244
"04000","Arizona","6","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",409613,470075,529067,581224,587691,585636,623469,710172,814165,1059378,1293777,1230677,1250897,1243529,1334383,1288846,1386150,1493270,1529981,1576373
"04000","Arizona","6","SA5N 1/","45","...","  Equals: Net earnings by place of residence",77008156,82636078,90533423,94243732,97283115,102319365,111523057,122924157,136708086,142183936,140930421,131886581,129691120,137005877,143647887,147474978,153664437,161193266,168545930,176579846
"04000","Arizona","6","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",25414441,25762440,27811236,27589592,27754529,29408921,32222484,36869960,41107475,44201440,43631202,37749699,37045381,40510085,44501619,44902312,48622509,52672343,53502140,55363824
