"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"06000","California","8","SA5N 1/","10","...","Personal income (thousands of dollars)",957671894,1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1986025976,2133664158,2212691221,2303870496
"06000","California","8","SA5N 1/","20","...","Population (persons) 2/",32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
"06000","California","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",29031,30474,33095,33671,33901,35234,37551,39521,42334,43692,44162,42224,43323,45854,48359,48555,51317,54664,56308,58272
"06000","California","8","SA5N 1/","35","...","  Earnings by place of work",730421067,792289380,882511189,905963223,921921851,967010872,1045749755,1096239417,1160775669,1192383465,1194454934,1149102541,1182344787,1245166969,1317828505,1353565445,1425688101,1518146072,1584871378,1654959283
"06000","California","8","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",75084912,81356074,90069271,94914950,97817094,102878176,112446011,117533982,120861208,122663444,124914063,120967559,121805697,114658159,119297591,139506234,147648940,156514833,163470239,173314244
"06000","California","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",39102919,42473103,47153058,49335714,50390872,52003543,56116838,59231723,62097475,64052881,66573942,65498076,66275569,56064824,57745638,75918418,80407361,85072092,89379456,94742569
"06000","California","8","SA5N 1/","38","...","    Employer contributions for government social insurance",35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58610563,58340121,55469483,55530128,58593335,61551953,63587816,67241579,71442741,74090783,78571675
"06000","California","8","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",-59488,-68807,-240981,-226412,1903225,2138882,2516848,1851453,1111473,-330667,-1767362,-1718584,-1855582,-2024418,-2109155,-2175639,-2325310,-2578375,-2760376,-2917456
"06000","California","8","SA5N 1/","45","...","  Equals: Net earnings by place of residence",655276667,710864499,792200937,810821861,826007982,866271578,935820592,980556888,1041025934,1069389354,1067773509,1026416398,1058683508,1128484392,1196421759,1211883572,1275713851,1359052864,1418640763,1478727583
"06000","California","8","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",190669879,192614245,210465558,214567129,210462070,221897558,238713460,265782148,301610379,321668021,330544297,293107685,291582767,330202209,370567697,367755446,409832839,450755494,459386914,477981186
"06000","California","8","SA5N 1/","47","...","  Plus: Personal current transfer receipts",111725348,117385478,122177543,135575639,145704785,153929412,161337196,169601786,182283309,192794171,218212631,241125245,266867975,268746978,271577706,282317496,300479286,323855800,334663544,347161727
"06000","California","8","SA5N 1/","50","...","  Wages and salaries",517592617,565624705,638455163,648050300,646099056,666180133,705817557,742559187,791483995,834428905,842860549,799344874,814462982,848495011,903681066,934399366,992196893,1067528735,1116921813,1169628463
"06000","California","8","SA5N 1/","60","...","  Supplements to wages and salaries",107906704,116457039,129730291,139903003,148940043,163411750,180348072,189395632,194469921,200565620,204734415,197073594,203203651,219017675,220999140,231051338,241377763,253612384,261253823,272108148
"06000","California","8","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",71924711,77574068,86814078,94323767,101513821,112537117,124018899,131093373,135706188,141955057,146394294,141604111,147673523,160424340,159447187,167463522,174136184,182169643,187163040,193536473
"06000","California","8","SA5N 1/","62","...","    Employer contributions for government social insurance",35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58610563,58340121,55469483,55530128,58593335,61551953,63587816,67241579,71442741,74090783,78571675
"06000","California","8","SA5N 1/","70","...","  Proprietors' income 8/",104921746,110207636,114325735,118009920,126882752,137418989,159584126,164284598,174821753,157388940,146859970,152684073,164678154,177654283,193148299,188114741,192113445,197004953,206695742,213222672
"06000","California","8","SA5N 1/","71","...","    Farm proprietors' income",3719014,3769374,3601763,3174570,3991871,5145182,6881209,6493342,4855992,7474744,4986567,5767103,6340477,9292976,9974994,11780281,13253144,12442909,9531557,7185778
"06000","California","8","SA5N 1/","72","...","    Nonfarm proprietors' income",101202732,106438262,110723972,114835350,122890881,132273807,152702917,157791256,169965761,149914196,141873403,146916970,158337677,168361307,183173305,176334460,178860301,184562044,197164185,206036894
"06000","California","8","SA5N 1/","81","111-112","  Farm earnings",8216972,8987138,8893289,8428698,8957683,10149143,12322433,12293563,10502902,12862117,10766257,11973440,12433312,14373226,15953332,18381388,19463549,18661343,15872000,13802801
"06000","California","8","SA5N 1/","82","...","  Nonfarm earnings",722204095,783302242,873617900,897534525,912964168,956861729,1033427322,1083945854,1150272767,1179521348,1183688677,1137129101,1169911475,1230793743,1301875173,1335184057,1406224552,1499484729,1568999378,1641156482
"06000","California","8","SA5N 1/","90","113-814","    Private nonfarm earnings",604556802,658098729,737017597,747806787,752234759,785850910,852602856,895586173,952065585,967856947,961742692,914000752,942402873,998681394,1070368910,1099302965,1159673232,1241241272,1298568117,1362006971
"06000","California","8","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",3567896,3665504,3973156,3931999,4035333,4466065,5106781,5198747,5833348,6094846,6089767,6147847,6566707,6854997,7638250,8068569,8511313,9351456,10160466,10423106
"06000","California","8","SA5N 1/","101","113","        Forestry and logging",227614,226071,233174,232698,228902,223218,246187,248090,227135,181302,177923,158934,216421,214419,211664,193543,198033,284697,352611,"(NA)"
"06000","California","8","SA5N 1/","102","114","        Fishing, hunting and trapping",72605,73365,71462,51518,47820,45927,50402,60516,81098,117930,120972,121918,104326,111798,180306,206712,207734,122941,45110,"(NA)"
"06000","California","8","SA5N 1/","103","115","        Support activities for agriculture and forestry",3267677,3366068,3668520,3647783,3758611,4196920,4810192,4890141,5525115,5795614,5790872,5866995,6245960,6528780,7246280,7668314,8105546,8943818,9762745,"(NA)"
"06000","California","8","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1793341,1656292,1804259,2065152,1871446,2133003,2924911,3848051,5211109,5194458,7140140,4119811,4514175,5106115,6001577,6428622,6628561,5727684,4231333,3380186
"06000","California","8","SA5N 1/","201","211","        Oil and gas extraction",842932,776484,864021,1061165,1041471,1283299,1974986,2783379,3898054,3755958,5531859,2780969,3053117,3407023,4220346,4687034,4756255,4233353,2991588,"(NA)"
"06000","California","8","SA5N 1/","202","212","        Mining (except oil and gas)",440039,471657,460494,470366,424642,442699,467657,499425,570829,576087,577013,506992,510344,479569,477861,485419,546808,525758,457566,"(NA)"
"06000","California","8","SA5N 1/","203","213","        Support activities for mining",510370,408151,479744,533621,405333,407005,482268,565247,742226,862413,1031268,831850,950714,1219523,1303370,1256169,1325498,968573,782179,"(NA)"
"06000","California","8","SA5N 1/","300","22","      Utilities",5116907,5184177,5502250,6814294,6589967,6579417,6323709,6999060,8357045,8110199,7881340,8045421,8191095,9015831,8794773,9460801,9598890,10186825,10605955,10763960
