"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"93000","Great Lakes","3","SA5N 1/","10","...","Personal income (thousands of dollars)",1232322421,1284847578,1370321856,1409803336,1426994929,1459125790,1515557416,1562011796,1645887046,1717580638,1774681948,1707107118,1750077094,1855242063,1932715487,1962255576,2044875262,2130088923,2176707324,2230467739
"93000","Great Lakes","3","SA5N 1/","20","...","Population (persons) 2/",44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46437641,46502999,46568813,46661624,46735308,46756588,46798649,46885244
"93000","Great Lakes","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27552,28572,30306,31052,31328,31923,33059,33994,35725,37187,38351,36826,37687,39895,41502,42053,43754,45557,46512,47573
"93000","Great Lakes","3","SA5N 1/","35","...","  Earnings by place of work",940470363,995749472,1057972481,1086039084,1103849144,1129799228,1175413848,1202342504,1250083276,1282305638,1300431832,1232110106,1259290009,1326143651,1379686733,1422791269,1467138142,1519602799,1561063512,1605562808
"93000","Great Lakes","3","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",104858104,110200040,114562258,116267169,117881304,121238091,127508467,132694871,138389302,142461786,145209745,138999156,141111337,132269966,137381881,157293693,162664303,168867625,173126036,180116092
"93000","Great Lakes","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",52543735,55485800,57926227,58987173,60376644,61591452,64224429,66881324,70420533,73149580,74961523,72004072,73044193,60114515,62013635,81585297,85250283,88909362,92013620,95756310
"93000","Great Lakes","3","SA5N 1/","38","...","    Employer contributions for government social insurance",52314369,54714240,56636031,57279996,57504660,59646639,63284038,65813547,67968769,69312206,70248222,66995084,68067144,72155451,75368246,75708396,77414020,79958263,81112416,84359782
"93000","Great Lakes","3","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",3024564,3453256,3794669,4008059,2105583,1264644,2413200,2234627,3709121,5807260,6388616,5689283,5668223,5731262,6190323,6191995,6623730,7140588,7279810,7400624
"93000","Great Lakes","3","SA5N 1/","45","...","  Equals: Net earnings by place of residence",838636823,889002688,947204892,973779974,988073423,1009825781,1050318581,1071882260,1115403095,1145651112,1161610703,1098800233,1123846895,1199604947,1248495175,1271689571,1311097569,1357875762,1395217286,1432847340
"93000","Great Lakes","3","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",238146213,234185586,251887485,248093814,239328364,240921068,248067090,256637051,284931631,306490800,314045366,275659834,270260641,302419814,330633039,328684002,357878523,378283701,381079585,391902418
"93000","Great Lakes","3","SA5N 1/","47","...","  Plus: Personal current transfer receipts",155539385,161659304,171229479,187929548,199593142,208378941,217171745,233492485,245552320,265438726,299025879,332647051,355969558,353217302,353587273,361882003,375899170,393929460,400410453,405717981
"93000","Great Lakes","3","SA5N 1/","50","...","  Wages and salaries",703086091,742124523,782688148,791356051,798649033,815205134,847365841,872337369,906517166,939294422,949484540,894538281,909557082,949850030,989787305,1012058171,1054598066,1104145084,1131176425,1162127414
"93000","Great Lakes","3","SA5N 1/","60","...","  Supplements to wages and salaries",154613548,162983200,174010934,182044046,188795903,198164476,209648411,219808059,227790101,232990410,235979385,230133826,232805476,240967742,247447523,250667380,255141317,260651355,271311989,280735223
"93000","Great Lakes","3","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",102299179,108268960,117374903,124764050,131291243,138517837,146364373,153994512,159821332,163678204,165731163,163138742,164738332,168812291,172079277,174958984,177727297,180693092,190199573,196375441
"93000","Great Lakes","3","SA5N 1/","62","...","    Employer contributions for government social insurance",52314369,54714240,56636031,57279996,57504660,59646639,63284038,65813547,67968769,69312206,70248222,66995084,68067144,72155451,75368246,75708396,77414020,79958263,81112416,84359782
"93000","Great Lakes","3","SA5N 1/","70","...","  Proprietors' income 8/",82770724,90641749,101273399,112638987,116404208,116429618,118399596,110197076,115776009,110020806,114967907,107437999,116927451,135325879,142451905,160065718,157398759,154806360,158575098,162700171
"93000","Great Lakes","3","SA5N 1/","71","...","    Farm proprietors' income",3346523,2440839,3123790,3332649,1440100,3893473,7506915,4417963,4097863,5832763,8437660,4720323,6259319,14116768,8530637,18719037,9825154,3791389,3514912,541511
"93000","Great Lakes","3","SA5N 1/","72","...","    Nonfarm proprietors' income",79424201,88200910,98149609,109306338,114964108,112536145,110892681,105779113,111678146,104188043,106530247,102717676,110668132,121209111,133921268,141346681,147573605,151014971,155060186,162158660
"93000","Great Lakes","3","SA5N 1/","81","111-112","  Farm earnings",5584646,4564946,5401826,5654985,3751660,6277150,10208103,6862707,6461771,9030368,11442311,7658505,8833334,16941775,11904048,21946515,13289446,7233797,7443356,4618260
"93000","Great Lakes","3","SA5N 1/","82","...","  Nonfarm earnings",934885717,991184526,1052570655,1080384099,1100097484,1123522078,1165205745,1195479797,1243621505,1273275270,1288989521,1224451601,1250456675,1309201876,1367782685,1400844754,1453848696,1512369002,1553620156,1600944548
"93000","Great Lakes","3","SA5N 1/","90","113-814","    Private nonfarm earnings",806626069,855510889,908852555,928611778,940124276,955636122,989134378,1013560929,1057178686,1081011006,1090063218,1020358726,1039188660,1099078618,1156753997,1190153682,1240296012,1293950108,1331504797,1373634786
"93000","Great Lakes","3","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",1397732,1379999,1622175,1729540,1653746,1561276,1440839,1512152,1734457,1686918,1625619,1526903,1808600,1726275,2146455,2276274,2606989,2902789,3134239,3233982
"93000","Great Lakes","3","SA5N 1/","101","113","        Forestry and logging",302567,295155,341342,"(D)",328224,358094,451936,477112,482226,418020,380821,328603,397413,"(D)","(D)","(D)",706318,"(D)","(D)","(NA)"
"93000","Great Lakes","3","SA5N 1/","102","114","        Fishing, hunting and trapping",15378,16547,18040,"(D)",15246,12514,4927,273,2242,-2399,-7311,-3835,4887,"(D)","(D)","(D)",5487,"(D)","(D)","(NA)"
"93000","Great Lakes","3","SA5N 1/","103","115","        Support activities for agriculture and forestry",1079787,1068297,1262793,1378597,1310276,1190668,983976,1034767,1249989,1271297,1252109,1202135,1406300,1316762,1599458,1680642,1895184,2061223,2200786,"(NA)"
"93000","Great Lakes","3","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",4198368,4079903,5086111,6817614,6790031,6970234,6202573,5703749,5482240,4638822,7283736,4349496,4849582,5846234,5503486,5458653,5756323,5404822,4716438,4661354
"93000","Great Lakes","3","SA5N 1/","201","211","        Oil and gas extraction",2202267,2100722,3157865,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"93000","Great Lakes","3","SA5N 1/","202","212","        Mining (except oil and gas)",1790615,1789340,1718390,1732965,1600214,1607428,1777215,1832846,1949350,1977478,1939589,1843500,1767217,2150263,2362411,2493652,2561920,2741145,2849623,"(NA)"
"93000","Great Lakes","3","SA5N 1/","203","213","        Support activities for mining",205486,189841,209856,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"93000","Great Lakes","3","SA5N 1/","300","22","      Utilities",7684922,8151098,8439480,10044631,9783830,9487394,10018106,10097766,11145481,10867987,12533536,11516935,11585446,11964236,11636887,12153484,12815623,13231347,13870664,14146864
"93000","Great Lakes","3","SA5N 1/","400","23","      Construction",53979841,60733082,66184139,67273842,68474480,70342426,73456400,74547149,76482670,74492587,70910819,61096603,59406939,61773237,66869554,70783867,75924162,80618295,85714698,91314656
"93000","Great Lakes","3","SA5N 1/","401","236","        Construction of buildings",13357870,15149295,16534798,17095052,18034739,18577356,18988849,18882227,18812862,18222590,17238539,13748409,14025177,14479140,16311661,18549075,19468737,19904491,21135875,"(NA)"
"93000","Great Lakes","3","SA5N 1/","402","237","        Heavy and civil engineering construction",5614133,6217668,6803227,6699707,6718785,6995577,7378989,7582071,7937300,8275533,8631462,8336430,7422103,7428212,7711780,8247525,9192038,10032084,10207659,"(NA)"
"93000","Great Lakes","3","SA5N 1/","403","238","        Specialty trade contractors",35007838,39366119,42846114,43479083,43720956,44769493,47088562,48082851,49732508,47994464,45040818,39011764,37959659,39865885,42846113,43987267,47263387,50681720,54371164,"(NA)"
"93000","Great Lakes","3","SA5N 1/","500","31-33","      Manufacturing",209938442,213756574,220388543,213291989,207369949,207827795,212685288,214229507,218026424,218798698,212585639,181044668,185573310,200741966,213719731,215443663,223653643,230980208,232089305,237455293
"93000","Great Lakes","3","SA5N 1/","510","321,327-339","        Durable goods manufacturing",153664014,155242563,160256221,151555149,146920170,146242186,149683476,151257454,154104070,153973547,147870257,120750053,123217673,134855438,143336099,144680996,148843584,154717470,155312306,158681543
"93000","Great Lakes","3","SA5N 1/","511","321","          Wood product manufacturing",3648050,3893296,3865610,3622382,3534776,3661422,3768875,3791644,3723399,3559852,3345160,2630326,2539416,2684602,2874653,3184588,3406818,3518380,3578894,"(NA)"
"93000","Great Lakes","3","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",5174386,5507649,5700442,5536450,5439439,5425089,5459032,5564966,5591472,5459054,5152716,4290919,4408954,4610651,4682791,4836172,5106330,5317005,5562776,"(NA)"
"93000","Great Lakes","3","SA5N 1/","513","331","          Primary metal manufacturing",14189309,14244119,14077276,13096642,12189484,11941625,12416226,12666312,12862245,12786485,12936509,9045580,9764511,11361629,11703289,11394216,11948657,12174525,11634355,"(NA)"
"93000","Great Lakes","3","SA5N 1/","514","332","          Fabricated metal product manufacturing",23341305,24174728,24957306,23450751,22785126,22671872,23914281,24849519,25986257,26473675,26377533,21477580,22334637,25214192,27041709,26569275,27783759,28490664,28233363,"(NA)"
"93000","Great Lakes","3","SA5N 1/","515","333","          Machinery manufacturing",26721924,26878406,27058412,25733208,24053893,22931551,23659227,25149570,26112754,26377162,26793166,23439818,23336912,25811603,27642998,27865012,28824721,29420431,28920329,"(NA)"
"93000","Great Lakes","3","SA5N 1/","516","334","          Computer and electronic product manufacturing",10262071,10078197,10402719,10345624,9351788,8976253,9073965,9279933,9504721,9948436,10183613,8992949,8836624,8576214,9074708,8794989,8055507,8088532,7844309,"(NA)"
"93000","Great Lakes","3","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",8002912,8347839,8583423,8179402,7927449,7790023,7976586,8024861,8186556,7877283,8025170,7246537,7578976,7913686,8156714,8600924,8598448,9027397,8988231,"(NA)"
"93000","Great Lakes","3","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",46750470,46004066,48735233,44425164,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",36538398,"(D)","(NA)"
"93000","Great Lakes","3","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",3805230,3905681,4081537,4318505,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5533272,"(D)","(NA)"
"93000","Great Lakes","3","SA5N 1/","521","337","          Furniture and related product manufacturing",5315737,5507685,5805594,5535839,5232858,5160059,5322728,5390710,5457827,5633148,5456106,4466221,4340044,4530107,4618777,4870540,5121393,5438588,5710324,"(NA)"
"93000","Great Lakes","3","SA5N 1/","522","339","          Miscellaneous manufacturing",6452620,6700897,6988669,7311182,7429168,7616518,8275648,8558990,8991815,9225707,9759384,9059245,9116723,9390438,9831295,10020978,10365705,11170278,11548804,"(NA)"
"93000","Great Lakes","3","SA5N 1/","530","311-316,322-326","        Nondurable goods manufacturing",56274428,58514011,60132322,61736840,60449779,61585609,63001812,62972053,63922354,64825151,64715382,60294615,62355637,65886528,70383632,70762667,74810059,76262738,76776999,78773750
"93000","Great Lakes","3","SA5N 1/","531","311","          Food manufacturing",10974936,11520732,11927834,12195551,12902587,12980594,13135533,13298647,13353675,13817681,14224589,14723509,15083359,15208535,15979095,16264114,17531792,17858565,18544683,"(NA)"
"93000","Great Lakes","3","SA5N 1/","532","312","          Beverage and tobacco product manufacturing",1299170,1441803,1434198,1502252,1543322,1486759,1614813,1608372,1625109,1693493,1667906,1549744,1626046,1657059,1687202,1734245,1868281,1954625,2126203,"(NA)"
"93000","Great Lakes","3","SA5N 1/","533","313","          Textile mills",394543,393513,388540,352346,354570,358544,375062,373463,371063,380729,363562,311695,319082,345272,365345,366124,372039,349614,345301,"(NA)"
"93000","Great Lakes","3","SA5N 1/","534","314","          Textile product mills",628688,650487,691268,641892,646726,639175,628909,633180,636294,642227,581885,496805,516720,533210,575729,567608,614037,610035,606252,"(NA)"
"93000","Great Lakes","3","SA5N 1/","535","315","          Apparel manufacturing",588263,559401,550943,497648,492261,467732,439833,442431,471703,455430,426911,343889,329088,338793,377936,366622,403416,415637,466138,"(NA)"
"93000","Great Lakes","3","SA5N 1/","536","316","          Leather and allied product manufacturing",455760,464968,430285,423045,279782,273144,270278,262510,266435,250289,273905,237439,267115,254800,278846,281998,297748,346782,306480,"(NA)"
"93000","Great Lakes","3","SA5N 1/","537","322","          Paper manufacturing",7487219,7671253,7777889,7638454,7580079,7400877,7355954,7375095,7307157,7461854,7355882,6996837,6895267,7129151,6979140,7340947,7585967,7681690,7543023,"(NA)"
"93000","Great Lakes","3","SA5N 1/","538","323","          Printing and related support activities",7748905,7917903,8139024,7898224,7624084,7644755,7624943,7705637,7795141,7897471,7603968,6546169,6355227,6474640,6480503,6534647,6579475,6641610,6771938,"(NA)"
"93000","Great Lakes","3","SA5N 1/","539","324","          Petroleum and coal products manufacturing",2184494,1925339,2083696,3487072,1764048,2219374,2359248,2796642,2699693,2348425,2398734,2404136,2534074,3740397,5355855,3946747,3301330,3317710,3531534,"(NA)"
"93000","Great Lakes","3","SA5N 1/","541","325","          Chemical manufacturing",13471595,14166128,14517950,15632223,15980267,16538481,17100684,16241704,17059370,17876880,18192477,16767712,17726575,18917749,20503175,21131535,23289924,23514916,22360924,"(NA)"
"93000","Great Lakes","3","SA5N 1/","542","326","          Plastics and rubber products manufacturing",11040855,11802484,12190695,11468133,11282053,11576174,12096555,12234372,12336714,12000672,11625563,9916680,10703084,11286922,11800806,12228080,12966050,13571554,14174523,"(NA)"
"93000","Great Lakes","3","SA5N 1/","600","42","      Wholesale trade",53722497,55829304,59622523,61897777,61989075,61481480,62955260,65814479,69603209,73251064,74602394,68853667,69907868,74983518,78835566,80949385,84209464,87459261,88304938,91132784
"93000","Great Lakes","3","SA5N 1/","700","44-45","      Retail trade",65157136,69274458,72983952,70951817,72862296,74495995,74785546,75128496,76476242,77794232,75468471,73411745,74177899,77604533,79101679,81078988,83321351,87072613,89617586,91730948
