"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"30000","Montana","7","SA5N 1/","10","...","Personal income (thousands of dollars)",19278739,19763448,21071643,22053487,22725980,24262268,26159065,27982487,30304534,32610254,34611922,33768763,35125691,37698478,40027400,40074179,41676292,43844378,44772870,46123674
"30000","Montana","7","SA5N 1/","20","...","Population (persons) 2/",892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
"30000","Montana","7","SA5N 1/","30","...","Per capita personal income (dollars) 3/",21602,22020,23315,24316,24928,26383,28128,29765,31809,33803,35448,34318,35462,37817,39887,39602,40862,42637,43107,43907
"30000","Montana","7","SA5N 1/","35","...","  Earnings by place of work",13099926,13688247,14402995,15025873,15709558,16749223,18201356,19703129,20966066,22332155,23266926,22695662,23562634,25008161,26264646,26866710,27579720,28862783,29223605,30006075
"30000","Montana","7","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",1642600,1692480,1792627,1907727,2021543,2123792,2259185,2457001,2655717,2856554,2925173,2872463,2945879,2793390,2880606,3338953,3491849,3613953,3697941,3856713
"30000","Montana","7","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",819146,850469,892478,962603,1006734,1049462,1124995,1224944,1321793,1420994,1466553,1450237,1480390,1239017,1283845,1695384,1774496,1862831,1938598,2024805
"30000","Montana","7","SA5N 1/","38","...","    Employer contributions for government social insurance",823454,842011,900149,945124,1014809,1074330,1134190,1232057,1333924,1435560,1458620,1422226,1465489,1554373,1596761,1643569,1717353,1751122,1759343,1831908
"30000","Montana","7","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",18568,22025,26925,33207,29388,15130,29282,22580,20451,36064,27639,30324,45956,90728,150486,165195,191986,158316,114517,115646
"30000","Montana","7","SA5N 1/","45","...","  Equals: Net earnings by place of residence",11475894,12017792,12637293,13151353,13717403,14640561,15971453,17268708,18330800,19511665,20369392,19853523,20662711,22305499,23534526,23692952,24279857,25407146,25640181,26265008
"30000","Montana","7","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",4750691,4714993,5044889,5230084,5206323,5652768,5939770,6178091,7056216,7851149,8272392,7448605,7405403,8397759,9295779,9001499,9687153,10352730,10470687,10783720
