"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"91000","New England","1","SA5N 1/","10","...","Personal income (thousands of dollars)",444886128,472325899,521202209,546199664,550768521,565304556,594374175,620465114,667514335,702558135,735337998,727915987,753281178,785316268,812577266,812475360,843685854,883903327,903272776,927575829
"91000","New England","1","SA5N 1/","20","...","Population (persons) 2/",13733828,13837653,13949721,14041043,14122441,14182454,14206683,14216656,14245540,14279205,14340115,14403575,14468393,14528782,14584723,14643033,14696147,14726156,14757573,14810001
"91000","New England","1","SA5N 1/","30","...","Per capita personal income (dollars) 3/",32393,34133,37363,38900,39000,39859,41838,43644,46858,49201,51278,50537,52064,54052,55714,55485,57409,60023,61207,62632
"91000","New England","1","SA5N 1/","35","...","  Earnings by place of work",331262126,358762544,397822839,417114761,420217148,428551618,451967711,467381856,492676813,513516884,532646558,530162262,548166102,561291175,571389691,577539350,596535646,622942444,637620101,655721252
"91000","New England","1","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",35667673,37880947,41128496,42478565,43130291,44065616,47119854,49083298,51049749,53404540,55057987,54136490,55113101,51284663,52804052,61097323,63644897,66068128,68046396,70896406
"91000","New England","1","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",18247559,19508840,21141378,21914642,22323106,22855753,24111551,25253368,26572245,27988380,28895895,28292466,28686061,23552099,24147665,31947515,33485375,35051707,36282577,37753216
"91000","New England","1","SA5N 1/","38","...","    Employer contributions for government social insurance",17420114,18372107,19987118,20563923,20807185,21209863,23008303,23829930,24477504,25416160,26162092,25844024,26427040,27732564,28656387,29149808,30159522,31016421,31763819,33143190
"91000","New England","1","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",6566814,6525698,6779341,6073678,6646019,7753561,7539877,8320029,9450067,10032592,10872801,10266051,12348172,12910470,14750242,13891533,14378886,14640740,15496490,16034583
"91000","New England","1","SA5N 1/","45","...","  Equals: Net earnings by place of residence",302161267,327407295,363473684,380709874,383732876,392239563,412387734,426618587,451077131,470144936,488461372,486291823,505401173,522916982,533335881,530333560,547269635,571515056,585070195,600859429
"91000","New England","1","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",87629349,88030991,97682084,100277460,96843702,99674554,104655990,111785109,130038411,140887206,142349520,127192870,127314958,140842164,156767719,157960364,167769663,176835741,178524901,184047810
