"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"39000","Ohio","3","SA5N 1/","10","...","Personal income (thousands of dollars)",298353863,308082449,323964530,332936158,337415971,347533465,362702364,372826780,392059624,408126658,422401501,410538372,419569872,448119917,465139834,470745086,489250952,508379906,517918190,531810551
"39000","Ohio","3","SA5N 1/","20","...","Population (persons) 2/",11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609
"39000","Ohio","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",26376,27179,28509,29237,29577,30393,31671,32523,34148,35488,36681,35610,36360,38821,40282,40694,42200,43803,44561,45615
"39000","Ohio","3","SA5N 1/","35","...","  Earnings by place of work",227647782,238031966,249367479,255265100,259404755,268071530,281900298,287685485,299045437,306314694,311984947,299402978,305459828,322722553,335494974,345629371,355222792,367632924,375173631,387195571
"39000","Ohio","3","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",25558505,26717486,27074853,27709526,27766753,28881259,30574160,31408003,32809150,33613532,34548165,33488527,33754355,31915447,33029997,36945064,38160180,39572890,40658809,42464427
"39000","Ohio","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",12453690,13088684,13554116,13780692,14108131,14379171,14936115,15552914,16355467,16910272,17303339,16622313,16878031,14103175,14629200,19085240,20071804,20897875,21647777,22618193
"39000","Ohio","3","SA5N 1/","38","...","    Employer contributions for government social insurance",13104815,13628802,13520737,13928834,13658622,14502088,15638045,15855089,16453683,16703260,17244826,16866214,16876324,17812272,18400797,17859824,18088376,18675015,19011032,19846234
"39000","Ohio","3","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",-1824732,-1794634,-1755418,-1684200,-2494831,-2549104,-2323906,-2417484,-2197478,-1977076,-2192925,-1872227,-1793553,-1857766,-1764152,-2068691,-2288374,-2425380,-2380296,-2486036
"39000","Ohio","3","SA5N 1/","45","...","  Equals: Net earnings by place of residence",200264545,209519846,220537208,225871374,229143171,236641167,249002232,253859998,264038809,270724086,275243857,264042224,269911920,288949340,300700825,306615616,314774238,325634654,332134526,342245108
"39000","Ohio","3","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",55906845,55041541,57160231,56599144,54440584,54473227,54732928,56553464,62203426,67370691,68180363,60498138,58918372,65917152,72986611,70765799,76665644,80969552,81772092,83964882
"39000","Ohio","3","SA5N 1/","47","...","  Plus: Personal current transfer receipts",42182473,43521062,46267091,50465640,53832216,56419071,58967204,62413318,65817389,70031881,78977281,85998010,90739580,93253425,91452398,93363671,97811070,101775700,104011572,105600561
"39000","Ohio","3","SA5N 1/","50","...","  Wages and salaries",170532031,178845011,187374685,190021284,192247457,197097617,205029425,210428781,218062958,224980743,226708681,215444735,218721328,228418124,239295918,244494111,255151476,265214325,270998829,279373191
"39000","Ohio","3","SA5N 1/","60","...","  Supplements to wages and salaries",38301817,39885252,41486111,44044451,45319860,48089211,50864895,52672039,55750401,56653169,57519704,55063161,56893828,58920336,59736217,62692634,63548676,65236438,65786733,67816723
