"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"94000","Plains","4","SA5N 1/","10","...","Personal income (thousands of dollars)",502075417,522532705,559567086,579316979,590968302,616756181,650501082,673097683,715168105,761922035,811473761,786346384,808918918,867752130,916941239,926813561,963741056,994108836,1008513288,1026110639
"94000","Plains","4","SA5N 1/","20","...","Population (persons) 2/",18988053,19130836,19275412,19374967,19468009,19569167,19687933,19802730,19956982,20105697,20248815,20392583,20535719,20638502,20749482,20872827,20984812,21082599,21179519,21294107
"94000","Plains","4","SA5N 1/","30","...","Per capita personal income (dollars) 3/",26442,27314,29030,29900,30356,31517,33041,33990,35835,37896,40075,38560,39391,42045,44191,44403,45926,47153,47617,48188
"94000","Plains","4","SA5N 1/","35","...","  Earnings by place of work",380941538,401826263,428995220,443436787,453676196,475061606,504316855,521459602,544713288,572544999,603675466,582202297,596841232,633829114,665838743,689038245,708885237,727697828,737992306,750191163
"94000","Plains","4","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",43754885,46125281,48641954,50180329,51460002,53402010,56028769,58723210,62091125,64924769,67534126,66203984,67441220,62855277,65088881,75726528,78697907,81849691,83780379,86705048
"94000","Plains","4","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",22548321,23838300,25077967,25946949,26688078,27532647,28944383,30388211,32311908,34105145,35544922,34920238,35304032,29083021,30097436,39676715,41488066,43228905,44553586,46121614
"94000","Plains","4","SA5N 1/","38","...","    Employer contributions for government social insurance",21206564,22286981,23563987,24233380,24771924,25869363,27084386,28334999,29779217,30819624,31989204,31283746,32137188,33772256,34991445,36049813,37209841,38620786,39226793,40583434
"94000","Plains","4","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",-3932871,-4240341,-4541046,-4646883,-5478405,-5626638,-5217957,-5485148,-5121322,-4829121,-6502307,-5388650,-5161430,-5172261,-5357842,-5535135,-6045590,-6480075,-6654257,-6821058
"94000","Plains","4","SA5N 1/","45","...","  Equals: Net earnings by place of residence",333253782,351460641,375812220,388609575,396737789,416032958,443070129,457251244,477500841,502791109,529639033,510609663,524238582,565801576,595392020,607776582,624141740,639368062,647557670,656665057
"94000","Plains","4","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",105255929,104560602,112585463,112439903,110088976,113445408,116045713,118872654,132728171,146385315,154339341,138048702,137377822,152164914,171293946,165194219,179729809,187839941,189394323,194623297
"94000","Plains","4","SA5N 1/","47","...","  Plus: Personal current transfer receipts",63565706,66511462,71169403,78267501,84141537,87277815,91385240,96973785,104939093,112745611,127495387,137688019,147302514,149785640,150255273,153842760,159869507,166900833,171561295,174822285
"94000","Plains","4","SA5N 1/","50","...","  Wages and salaries",278627435,295033309,313938351,323892371,330151581,339201484,356062752,369353233,388762364,410366145,426206972,411255402,418291793,433919886,456094090,468810249,490618039,512293062,522621273,534246628
"94000","Plains","4","SA5N 1/","60","...","  Supplements to wages and salaries",59589432,63325674,68316870,71632245,75271349,80438964,85757406,90445667,92609140,97418906,102011775,100992105,103803518,106893535,108348127,111778598,116351859,119340506,123055829,126479732
"94000","Plains","4","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",38382868,41038693,44752883,47398865,50499425,54569601,58673020,62110668,62829923,66599282,70022571,69708359,71666330,73121279,73356682,75728785,79142018,80719720,83829036,85896298
"94000","Plains","4","SA5N 1/","62","...","    Employer contributions for government social insurance",21206564,22286981,23563987,24233380,24771924,25869363,27084386,28334999,29779217,30819624,31989204,31283746,32137188,33772256,34991445,36049813,37209841,38620786,39226793,40583434
"94000","Plains","4","SA5N 1/","70","...","  Proprietors' income 8/",42724671,43467280,46739999,47912171,48253266,55421158,62496697,61660702,63341784,64759948,75456719,69954790,74745921,93015693,101396526,108449398,101915339,96064260,92315204,89464803
"94000","Plains","4","SA5N 1/","71","...","    Farm proprietors' income",7095069,5944727,7439645,6721957,3976981,10267285,14315591,13584811,8564272,12277633,18410919,12382127,15300804,27831073,24983275,32502646,22379083,16604138,12390608,7177947
"94000","Plains","4","SA5N 1/","72","...","    Nonfarm proprietors' income",35629602,37522553,39300354,41190214,44276285,45153873,48181106,48075891,54777512,52482315,57045800,57572663,59445117,65184620,76413251,75946752,79536256,79460122,79924596,82286856
"94000","Plains","4","SA5N 1/","81","111-112","  Farm earnings",9202604,7942957,9612644,9071581,6243896,12630224,16790313,15860895,10790069,15367670,21413024,15361329,18120388,30638138,28736565,35639702,25936869,19841286,15872656,10791136
"94000","Plains","4","SA5N 1/","82","...","  Nonfarm earnings",371738934,393883306,419382576,434365206,447432300,462431382,487526542,505598707,533923219,557177329,582262442,566840968,578720844,603190976,637102178,653398543,682948368,707856542,722119650,739400027
"94000","Plains","4","SA5N 1/","90","113-814","    Private nonfarm earnings",313583821,332456819,354172007,365681110,374825696,385880315,406912514,421851814,446233048,465327512,485607179,466371941,475602901,499776095,533334988,547846274,574653379,596511565,607933068,622971471
"94000","Plains","4","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",1116751,1097250,1263900,1329402,1276572,1216362,1453960,1395726,1516225,1462127,1527183,1604403,2081450,1994176,2391557,2357811,2432333,2521679,2653116,2731343
"94000","Plains","4","SA5N 1/","101","113","        Forestry and logging",125555,126365,139539,122288,120992,131958,161938,178080,174947,152418,151799,156079,189411,190451,216942,210370,232753,"(D)",253573,"(NA)"
"94000","Plains","4","SA5N 1/","102","114","        Fishing, hunting and trapping",17389,18911,22107,6361,5367,4947,-2282,-6501,-3158,-8361,-12428,-16442,-5225,-7992,-5009,-3759,-1092,"(D)",8307,"(NA)"
"94000","Plains","4","SA5N 1/","103","115","        Support activities for agriculture and forestry",973807,951974,1102254,1200753,1150213,1079457,1294304,1224147,1344436,1318070,1387812,1464766,1897264,1811717,2179624,2151200,2200672,2267685,2391236,"(NA)"
"94000","Plains","4","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1558734,1481583,1579061,1608948,1486122,1633435,1842440,2355636,2785671,2765781,4463952,2949083,4331810,6672834,7622865,7950352,8438831,7047446,5424477,5746337
"94000","Plains","4","SA5N 1/","201","211","        Oil and gas extraction",244532,207592,265410,297108,"(D)",367337,514595,786565,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2986936,2455020,"(NA)"
"94000","Plains","4","SA5N 1/","202","212","        Mining (except oil and gas)",1139137,1124130,1127094,1091129,"(D)",1058425,1067728,1229899,1196304,1232966,1471719,1288655,1654163,1944216,2035186,"(D)","(D)",1633847,1451883,"(NA)"
"94000","Plains","4","SA5N 1/","203","213","        Support activities for mining",175065,149861,186557,220711,203914,207673,260117,339172,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2426663,1517574,"(NA)"
"94000","Plains","4","SA5N 1/","300","22","      Utilities",2457013,2590523,2750990,3773066,3806619,3638763,4174596,3824665,4678709,5125400,6227337,6088653,6521621,6941373,6828800,6670856,6711441,7150602,8715264,8848108
"94000","Plains","4","SA5N 1/","400","23","      Construction",24113734,27371406,29356628,30063104,30913180,32166062,33818996,34538020,36236124,36186066,36378682,34527055,33565781,35505590,39258867,40451358,42973601,44962355,47036774,46604294
"94000","Plains","4","SA5N 1/","401","236","        Construction of buildings",5831484,6619351,7077889,7249117,"(D)",7795068,7994475,8068816,8454096,8790421,9356023,9009913,8512564,9153285,10467651,10312996,10678744,10996040,11620907,"(NA)"
"94000","Plains","4","SA5N 1/","402","237","        Heavy and civil engineering construction",3289318,3664138,3754540,3776239,"(D)",4092237,4269166,4383100,4502306,4694877,5136230,5748163,5837631,6217098,6502946,6524823,6738092,6866912,6878802,"(NA)"
