"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"01000","Alabama","5","SA5 1/","10","...","Personal income (thousands of dollars)",4758455,5002900,5216067,5387725,5656779,6009180,6520994,7078644,7591766,8015446,8753294,9726212,10605131,11670926,12964387,14582799,16175869,18038463,20228589,22281919,25197261,27992382,30864240,34263541,36197910,38771851,42649118,45942335,48627446,51486400,55388090,60312581,64070364,67662101,72847428,76199461,80680540,85362072,89084446,93822199,99767737,103105812,108000944,111693478
"01000","Alabama","5","SA5 1/","20","...","Population (persons) 2/",3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634
"01000","Alabama","5","SA5 1/","30","...","Per capita personal income (dollars) 3/",1504,1561,1593,1625,1702,1790,1921,2056,2192,2318,2540,2827,3074,3337,3662,4073,4459,4901,5413,5890,6572,7234,7913,8744,9222,9855,10792,11565,12183,12823,13765,14965,15820,16506,17537,18082,18938,19866,20569,21480,22650,23274,24258,25001
"01000","Alabama","5","SA5 1/","35","...","  Earnings by place of work",4061479,4263762,4432024,4531596,4743646,5060031,5498358,5968834,6498978,6831280,7424555,8124619,8642408,9418993,10514227,11879715,12980829,14068546,16000948,17741930,20195503,22238706,23747087,25839713,26642948,28596646,31650197,34197397,36354172,38846980,41998045,44659532,47470037,50141761,53865814,56328938,59341516,61805539,64530102,67614408,72210828,75412678,77875908,80155199
"01000","Alabama","5","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",135631,159491,186835,193951,219382,259687,265276,273378,375983,429418,473338,550477,590084,654716,765219,983117,1136054,1221733,1422114,1596131,1840176,2102819,2277099,2643783,2782701,3052643,3427427,3739449,3972444,4194481,4668481,4970123,5365690,5681030,6061549,6419065,6848877,7217259,7463783,7830286,8228053,8592735,8886022,9189154
"01000","Alabama","5","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",64954,75006,88397,90856,98954,118126,123155,130675,186360,219230,238845,278249,299197,324778,375810,481602,556428,600020,690110,773441,884508,1015058,1111903,1301190,1377735,1515205,1668423,1872955,1958336,2086193,2343608,2543296,2734802,2911923,3093937,3281705,3516155,3739291,3864234,4057820,4251044,4466025,4612471,4806639
"01000","Alabama","5","SA5 1/","38","...","    Employer contributions for government social insurance",70677,84485,98438,103095,120428,141561,142121,142703,189623,210188,234493,272228,290887,329938,389409,501515,579626,621713,732004,822690,955668,1087761,1165196,1342593,1404966,1537438,1759004,1866494,2014108,2108288,2324873,2426827,2630888,2769107,2967612,3137360,3332722,3477968,3599549,3772466,3977009,4126710,4273551,4382515
"01000","Alabama","5","SA5 1/","42","...","  Plus: Adjustment for residence 5/",632,1577,1950,2675,4430,6765,8202,11231,16983,23079,26564,129679,125423,132055,164764,183173,194531,200740,214697,246673,266679,295563,328119,421068,444317,435971,465237,473804,503109,513881,517204,539448,532759,563119,614132,665583,758646,840349,846383,949853,1066220,1133264,1259131,1280443
"01000","Alabama","5","SA5 1/","45","...","  Equals: Net earnings by place of residence",3926480,4105848,4247139,4340320,4528694,4807109,5241284,5706687,6139978,6424941,6977781,7703821,8177747,8896332,9913772,11079771,12039306,13047553,14793531,16392472,18622006,20431450,21798107,23616998,24304564,25979974,28688007,30931752,32884837,35166380,37846768,40228857,42637106,45023850,48418397,50575456,53251285,55428629,57912702,60733975,65048995,67953207,70249017,72246488
"01000","Alabama","5","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",488102,533753,584000,618328,660241,706231,766544,821255,852908,900051,974392,1130589,1330201,1490066,1619423,1821590,2125844,2390416,2585949,2884285,3305814,3752287,4587388,5621394,6340084,6780142,7609353,8302620,8762462,9186581,10090234,11661360,12158358,12381660,12776761,13257641,14309069,15739530,16171345,17410509,18731650,18499591,20002230,20240135
"01000","Alabama","5","SA5 1/","47","...","  Plus: Personal current transfer receipts",343873,363299,384928,429077,467844,495840,513166,550702,598880,690454,801121,891802,1097183,1284528,1431192,1681438,2010719,2600494,2849109,3005162,3269441,3808645,4478745,5025149,5553262,6011735,6351758,6707963,6980147,7133439,7451088,8422364,9274900,10256591,11652270,12366364,13120186,14193913,15000399,15677715,15987092,16653014,17749697,19206855
"01000","Alabama","5","SA5 1/","50","...","  Wages and salaries",3003560,3204787,3346824,3422064,3606233,3818118,4199131,4593931,5031497,5309492,5786029,6347816,6786634,7298361,8049959,9017810,10044231,10723389,12098401,13500537,15294538,16890020,18332264,19786163,20466314,21828864,23946136,25882503,27444304,29316229,31390146,33112347,35263994,36823951,39239403,40953828,43183005,45579212,47482734,50101304,52742568,55189942,57239267,58650321
"01000","Alabama","5","SA5 1/","60","...","  Supplements to wages and salaries",298823,325986,355432,373564,403733,438732,476980,504251,590496,653913,717971,823491,915881,1059326,1212948,1377796,1567164,1810393,2072947,2386640,2709490,3053428,3387314,3775887,4045082,4440836,4887496,5363513,5851765,6205705,6708187,7325678,7908790,8468916,9528590,9949889,10422304,10513334,10757171,11132911,11648054,12191523,12782770,13528528
