"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"08000","Colorado","7","SA5 1/","10","...","Personal income (thousands of dollars)",3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122141316,132118052,147226744,154592304
"08000","Colorado","7","SA5 1/","20","...","Population (persons) 2/",1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687
"08000","Colorado","7","SA5 1/","30","...","Per capita personal income (dollars) 3/",2246,2350,2432,2513,2573,2643,2748,2912,3099,3267,3514,3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29670,31263,34026,34931
"08000","Colorado","7","SA5 1/","35","...","  Earnings by place of work",3006206,3215331,3467666,3740272,3918864,4109162,4353799,4632730,5036288,5389900,6028673,6724983,7495076,8474660,9702455,11150187,12384129,13407359,14859586,16688001,19387462,22397060,25291786,28774344,31263055,33361250,36517512,38581940,40006327,41440001,44054666,46634670,49768210,53152418,58313435,63401162,67828060,72747004,78681110,85371755,95558909,105294527,118060570,123922272
"08000","Colorado","7","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",94910,108700,132799,149814,163483,190779,197359,197501,262835,294517,333654,387394,427041,498874,606017,797652,905460,967164,1104660,1260596,1506688,1838849,2106381,2598275,2908114,3129876,3538765,3834565,4020794,4121254,4530295,4887616,5333818,5856413,6358540,6986715,7557400,8074506,8625617,9300157,9709411,10548606,11702964,12313813
"08000","Colorado","7","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",43741,51964,64517,69981,74097,87637,89727,91288,125860,149819,168101,195227,213470,246644,294096,388514,443429,471553,521613,595302,705238,870349,1008675,1256414,1410146,1494050,1659891,1854568,1955555,2012234,2221551,2421020,2630014,2895071,3132118,3422470,3723448,4019368,4309512,4656255,5088644,5540744,6136327,6454529
"08000","Colorado","7","SA5 1/","38","...","    Employer contributions for government social insurance",51169,56736,68282,79833,89386,103142,107632,106213,136975,144698,165553,192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284
"08000","Colorado","7","SA5 1/","42","...","  Plus: Adjustment for residence 5/",1317,1183,1069,741,547,257,28,-308,-771,-1221,-1704,2273,1427,2509,3890,2825,3987,8213,8219,10925,19233,19141,27026,2954,8,-2354,6290,15127,20147,31466,46143,62974,85842,96995,112256,124263,142188,163372,181981,205465,231455,261164,288733,337637
"08000","Colorado","7","SA5 1/","45","...","  Equals: Net earnings by place of residence",2912613,3107814,3335936,3591199,3755928,3918640,4156468,4434921,4772682,5094162,5693315,6339862,7069462,7978295,9100328,10355360,11482656,12448408,13763145,15438330,17900007,20577352,23212431,26179023,28354949,30229020,32985037,34762502,36005680,37350213,39570514,41810028,44520234,47393000,52067151,56538710,60412848,64835870,70237474,76277063,86080953,95007085,106646339,111946096
"08000","Colorado","7","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",611075,652446,691164,741016,811119,859454,913218,970342,1040178,1130038,1207153,1417468,1647987,1826020,2013538,2311545,2665073,2948764,3186123,3565260,4143946,4778490,5802446,7166229,8100923,8836869,9800287,10492613,10886166,11131576,11755206,13549457,14076821,14355070,14846130,16032647,17916331,20007240,21700384,23274391,25341750,25707474,28531667,29480308
