"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"16000","Idaho","7","SA5 1/","10","...","Personal income (thousands of dollars)",1199919,1270179,1300838,1378431,1474754,1508399,1558259,1779102,1803244,1916558,2047057,2370184,2617230,2860176,3266891,3779304,4443190,4778028,5354633,5850825,6737815,7390444,8316840,9171608,9563932,10362783,11083457,11634316,11902464,12490918,13524893,14924453,16159229,16984993,18678773,20486623,21919319,23555311,25056014,26166890,28346699,30162818,32598344,34065858
"16000","Idaho","7","SA5 1/","20","...","Population (persons) 2/",646000,657000,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962
"16000","Idaho","7","SA5 1/","30","...","Per capita personal income (dollars) 3/",1857,1933,1939,2015,2131,2208,2292,2593,2617,2786,2945,3352,3649,3872,4280,4832,5499,5743,6248,6623,7396,7924,8773,9532,9822,10554,11186,11704,12020,12681,13722,15008,15962,16311,17429,18477,19141,20008,20827,21300,22635,23645,25087,25808
"16000","Idaho","7","SA5 1/","35","...","  Earnings by place of work",1003386,1061450,1085074,1144128,1227459,1252842,1291734,1492814,1512161,1603263,1710294,1944600,2114653,2276572,2630174,3063305,3603786,3766515,4248427,4633358,5391083,5843329,6392149,6873399,6848977,7548939,8052860,8396299,8552297,9111385,10019514,11018912,12086325,12678370,14038736,15451518,16510384,17438762,18366791,19041082,20718631,22362247,24356261,25121599
"16000","Idaho","7","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",37477,42887,50449,56437,62163,69248,70235,75753,92558,106725,121598,126332,136255,153561,182373,238902,280968,314170,368311,416175,485200,564114,605714,702940,719706,778536,870039,929479,954532,988115,1127824,1242930,1434851,1564329,1701435,1863330,2051306,2180092,2241917,2336612,2483455,2616310,2847621,2893822
"16000","Idaho","7","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",17887,19696,23576,25217,26575,31190,32083,33657,43158,52160,58933,58982,63411,70716,82633,108688,128015,143780,162561,180381,206255,244444,264886,309693,322297,343544,375291,414974,431398,451922,526941,592476,681939,747665,805462,871511,959109,1011162,1050398,1111822,1181938,1260531,1371459,1402679
"16000","Idaho","7","SA5 1/","38","...","    Employer contributions for government social insurance",19590,23191,26873,31220,35588,38058,38152,42096,49400,54565,62665,67350,72844,82845,99740,130214,152953,170390,205750,235794,278945,319670,340828,393247,397409,434992,494748,514505,523134,536193,600883,650454,752912,816664,895973,991819,1092197,1168930,1191519,1224790,1301517,1355779,1476162,1491143
"16000","Idaho","7","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-3105,-3149,-2789,-2695,-2748,-2076,-1702,-1757,-1076,-564,-331,13096,14434,15604,17083,19243,22610,28044,35187,35404,42564,47583,60670,52931,61575,62602,76204,84700,99858,107709,125909,141888,157313,178371,196131,217491,246400,285931,331296,378417,446988,511747,525886,553901
"16000","Idaho","7","SA5 1/","45","...","  Equals: Net earnings by place of residence",962804,1015414,1031836,1084996,1162548,1181518,1219797,1415304,1418527,1495974,1588365,1831364,1992832,2138615,2464884,2843646,3345428,3480389,3915303,4252587,4948447,5326798,5847105,6223390,6190846,6833005,7259025,7551520,7697623,8230979,9017599,9917870,10808787,11292412,12533432,13805679,14705478,15544601,16456170,17082887,18682164,20257684,22034526,22781678
"16000","Idaho","7","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",159012,169952,178875,191618,206481,217923,226420,243643,255612,265675,284428,345166,395702,452354,495663,584920,676284,773959,846811,969827,1119015,1281049,1532318,1874205,2140490,2226280,2475248,2637478,2680001,2690155,2821286,3172493,3371970,3478196,3667420,4014227,4384799,4896644,5270297,5628767,6066084,6082002,6419141,6649290
"16000","Idaho","7","SA5 1/","47","...","  Plus: Personal current transfer receipts",78103,84813,90127,101817,105725,108958,112042,120155,129105,154909,174264,193654,228696,269207,306344,350738,421478,523680,592519,628411,670353,782597,937417,1074013,1232596,1303498,1349184,1445318,1524840,1569784,1686008,1834090,1978472,2214385,2477921,2666717,2829042,3114066,3329547,3455236,3598451,3823132,4144677,4634890
