"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"92000","Mideast","2","SA5 1/","10","...","Personal income (thousands of dollars)",92879156,98282212,102576494,106829702,112938235,118009661,126392057,135184844,145683782,156842029,172049691,185263037,200277292,214940041,232423292,250879869,272391219,295144056,317191840,344780915,378807014,416647965,462431325,513575735,554161549,593173216,652854069,699219800,744898637,796334957,871731816,941653514,998789468,1017712189,1078194076,1112960022,1151638261,1212298549,1276068722,1347898945,1429575559,1505781712,1628168627,1694427028
"92000","Mideast","2","SA5 1/","20","...","Population (persons) 2/",37721000,38202000,38597000,39133000,39552000,40083000,40555000,41025000,41360000,41617000,41924000,42111000,42516918,42869509,42991563,42836999,42709177,42727721,42667403,42546619,42421484,42358101,42272235,42328543,42382098,42543638,42686518,42793973,42991120,43189888,43435353,43584907,43761704,44070941,44392469,44717161,44969670,45186033,45383860,45579719,45822025,46105834,46386027,46619373
"92000","Mideast","2","SA5 1/","30","...","Per capita personal income (dollars) 3/",2462,2573,2658,2730,2855,2944,3117,3295,3522,3769,4104,4399,4711,5014,5406,5857,6378,6908,7434,8104,8930,9836,10939,12133,13075,13943,15294,16339,17327,18438,20070,21605,22823,23093,24288,24889,25609,26829,28117,29572,31198,32659,35100,36346
"92000","Mideast","2","SA5 1/","35","...","  Earnings by place of work",77899303,82798922,86663606,89520907,94552107,98381808,104837940,111712591,121951797,130392858,142277311,154658159,164920230,175095685,189746966,206015623,220571391,232739302,251158290,273802344,303348720,334145410,362503482,394813397,416965707,446566581,492419050,530966610,570341915,619195752,681865637,723197011,764970717,769914147,820379200,846752699,875268473,912109985,957335617,1016556452,1084119037,1158678471,1253344087,1311961325
"92000","Mideast","2","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",3048846,3680339,4355014,4582163,5118124,5643624,5693310,5939694,7890909,8613963,9400314,11072149,11657905,12772414,14535218,18195054,20160077,20837235,22890348,24857740,28208020,32253956,35163698,40993062,43999028,47849358,54382837,59563909,64797930,69478871,77653276,81571576,84116081,86916901,91293163,94558202,99383742,102991137,106055989,110905648,116433978,122349488,130695759,136828914
"92000","Mideast","2","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",1255554,1490792,1790919,1839927,1950873,2260499,2361079,2463008,3506605,4018077,4457140,5121661,5416674,5915500,6571685,8198310,9138854,9518630,10150240,10962633,12313631,14211098,15697642,18530010,20053939,21637954,24061261,27323302,30098542,32674120,36859384,39431722,40720575,42407911,44303267,45812999,48242384,50559952,52356852,55004493,58095762,61609768,65613529,68738256
"92000","Mideast","2","SA5 1/","38","...","    Employer contributions for government social insurance",1793292,2189547,2564095,2742236,3167251,3383125,3332231,3476686,4384304,4595886,4943174,5950488,6241231,6856914,7963533,9996744,11021223,11318605,12740108,13895107,15894389,18042858,19466056,22463052,23945089,26211404,30321576,32240607,34699388,36804751,40793892,42139854,43395506,44508990,46989896,48745203,51141358,52431185,53699137,55901155,58338216,60739720,65082230,68090658
"92000","Mideast","2","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-593336,-633577,-761209,-790865,-804101,-840556,-901501,-932216,-1011010,-1182693,-1301087,-1737677,-1661844,-1759034,-1944700,-2080085,-2296514,-2641561,-2963181,-3355528,-3931594,-4581951,-5392071,-5867844,-6064033,-6160722,-6568545,-6951252,-6861487,-7207146,-7980152,-8365847,-8624271,-9010800,-10680749,-10448354,-10163939,-10956911,-11411070,-11768072,-13017686,-13290088,-11996861,-11592779
"92000","Mideast","2","SA5 1/","45","...","  Equals: Net earnings by place of residence",74257121,78485006,81547383,84147879,88629882,91897628,98243129,104840681,113049878,120596202,131575910,141848333,151600481,160564237,173267048,185740484,198114800,209260506,225304761,245589076,271209106,297309503,321947713,347952491,366902646,392556501,431467668,464451449,498682498,542509735,596232209,633259588,672230365,673986446,718405288,741746143,765720792,798161937,839868558,893882732,954667373,1023038895,1110651467,1163539632
"92000","Mideast","2","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",12906826,13862598,14910012,15688119,17158252,18519469,20287884,21939453,23233014,24643929,26602109,28157322,30571643,32637572,34737070,37837943,42468280,45416458,48138986,53112299,58734603,65715400,78739168,96002011,109952625,117042025,134421660,143374312,149637441,154611224,170131214,194396758,201675276,202345055,202985535,205664790,214426618,232806061,245882002,261597622,275910476,276145637,299562623,296252418
