"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"26000","Michigan","3","SA5 1/","10","...","Personal income (thousands of dollars)",17079633,18076327,18837597,18912124,20272536,21650297,23749771,26372945,28754364,29956184,33115209,35930901,37166325,40419874,44882437,50073719,53567368,57302941,64001599,71984775,80263659,87967096,94142514,100693108,103937962,110447808,122143721,132507384,141065411,146705873,156538879,168621581,176444356,180155777,191165165,201354672,216514159,228975422,241000500,253799739,269316721,283455635,302464029,307585685
"26000","Michigan","3","SA5 1/","20","...","Population (persons) 2/",7667000,7767000,7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120
"26000","Michigan","3","SA5 1/","30","...","Per capita personal income (dollars) 3/",2228,2327,2405,2396,2555,2687,2901,3156,3378,3471,3808,4092,4178,4505,4973,5520,5880,6292,7020,7861,8722,9511,10171,10934,11403,12207,13497,14599,15455,15968,16982,18223,18949,19165,20167,21106,22559,23664,24696,25874,27348,28640,30391,30786
"26000","Michigan","3","SA5 1/","35","...","  Earnings by place of work",14341864,15431796,16097157,15793039,17069593,18385710,20166790,22430648,24813706,25490563,28312740,31103785,31272453,33845412,37888421,42818102,44533579,45724546,52264378,59786858,67361479,73184900,73855792,77771460,77127457,82195429,92151697,101710175,108931851,113529657,122273327,130061062,135394341,137541069,147006502,154968520,166709810,176188946,184515218,193762300,207913543,221508159,236868678,239185620
"26000","Michigan","3","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",560402,694808,824441,785770,888354,1038220,1076818,1121856,1571542,1652209,1853950,2205995,2195894,2449798,2904860,3799625,4082063,4090501,4793951,5491416,6390538,7194074,7174240,8185708,8240709,8953546,10356353,11665567,12550722,12895962,14305289,15142477,16052725,16558631,17546506,18603367,20421089,21539159,22020148,23098688,24261433,25631302,26849431,26634050
"26000","Michigan","3","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",225025,275070,331348,316102,347144,410299,435190,468369,693603,776879,894374,1032961,1035079,1153085,1319683,1727193,1869717,1879478,2144742,2432760,2785244,3177968,3229458,3726956,3767182,4033925,4561366,5273067,5730757,5995431,6694816,7247563,7699499,7997743,8411257,8910950,9811709,10438270,10840687,11421555,11990646,12752914,13336626,13380836
"26000","Michigan","3","SA5 1/","38","...","    Employer contributions for government social insurance",335377,419738,493093,469668,541210,627921,641628,653487,877939,875330,959576,1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214
"26000","Michigan","3","SA5 1/","42","...","  Plus: Adjustment for residence 5/",30124,34441,36779,38099,41565,44502,49056,54403,63175,68025,76515,108696,112211,104977,113544,139915,139948,149579,191162,217323,260548,307254,353037,374936,377664,410603,476425,498326,485992,504294,512845,512047,457877,487261,552055,627608,753744,797049,822808,909683,993502,1081193,1098968,1191367
"26000","Michigan","3","SA5 1/","45","...","  Equals: Net earnings by place of residence",13811586,14771429,15309495,15045368,16222804,17391992,19139028,21363195,23305339,23906379,26535305,29006486,29188770,31500591,35097105,39158392,40591464,41783624,47661589,54512765,61231489,66298080,67034589,69960688,69264412,73652486,82271769,90542934,96867121,101137989,108480883,115430632,119799493,121469699,130012051,136992761,147042465,155446836,163317878,171573295,184645612,196958050,211118215,213742937
"26000","Michigan","3","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",2084612,2232048,2416436,2534759,2745306,2930949,3245133,3534035,3831698,4048248,4267843,4365669,4761910,5080960,5467540,5989898,6823186,7443975,8017243,8926876,9949401,11195729,13281480,16086785,18324612,19495598,22380934,23913783,25268818,26104318,27755702,31224893,32841896,32205159,33102621,34379941,39195520,41573530,44126170,46740973,49424493,48726042,52302601,50364333
"26000","Michigan","3","SA5 1/","47","...","  Plus: Personal current transfer receipts",1183435,1072850,1111666,1331997,1304426,1327356,1365610,1475715,1617327,2001557,2312061,2558746,3215645,3838323,4317792,4925429,6152718,8075342,8322767,8545134,9082769,10473287,13826445,14645635,16348938,17299724,17491018,18050667,18929472,19463566,20302294,21966056,23802967,26480919,28050493,29981970,30276174,31955056,33556452,35485471,35246616,37771543,39043213,43478415
"26000","Michigan","3","SA5 1/","50","...","  Wages and salaries",11311014,12297152,12871109,12501190,13540370,14636973,16061824,17937955,19656107,20351103,22679952,24900897,25164893,27111922,30162596,34128907,35470173,35805471,41050282,46642105,52622293,57351604,57680294,60966818,60132841,63593630,70652302,77899950,83073273,86695736,93085075,98275315,102151560,103145265,109232997,114797106,124341280,132149084,139053421,146790512,156280307,165325888,174162418,171959344
"26000","Michigan","3","SA5 1/","60","...","  Supplements to wages and salaries",1165800,1254852,1384133,1355894,1543007,1698384,1864109,2135627,2614374,2594338,2911623,3408177,3438326,3949307,4603254,5277905,5529867,6251504,7190567,8543374,9866345,10875837,11448809,12104956,12597182,13812508,15404362,17357296,19192824,19323136,21630251,22853064,24316272,25542570,28705999,30145525,31854651,32261507,32629985,33261562,35202155,37207464,40797244,41868946
"26000","Michigan","3","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",830423,835114,891040,886226,1001797,1070463,1222481,1482140,1736435,1719008,1952047,2235143,2277511,2652594,3018077,3205473,3317521,4040481,4541358,5484718,6261051,6859731,7504027,7646204,8123655,8892887,9609375,10964796,12372859,12422605,14019778,14958150,15963046,16981682,19570750,20453108,21245271,21160618,21450524,21584429,22931368,24329076,27284439,28615732
