"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"37000","North Carolina","5","SA5 1/","10","...","Personal income (thousands of dollars)",6766466,7244945,7646397,8092589,8681181,9128592,9884726,10688561,11869478,12821047,14122068,15814399,17266010,18795809,21242006,24057505,26520910,28819441,31951060,35004010,39496334,43638467,48934688,55093632,59016015,64310265,72718393,78721174,84796696,91333783,100022056,109070662,115754709,120936223,131824817,140620670,149734601,160530377,171935317,184820214,197751256,207864019,221218690,227904776
"37000","North Carolina","5","SA5 1/","20","...","Population (persons) 2/",4376000,4458000,4573000,4663000,4707000,4742000,4802000,4863000,4896000,4952000,5004000,5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122
"37000","North Carolina","5","SA5 1/","30","...","Per capita personal income (dollars) 3/",1546,1625,1672,1735,1844,1925,2058,2198,2424,2589,2822,3143,3386,3614,4011,4470,4856,5207,5712,6175,6881,7522,8295,9249,9805,10582,11797,12587,13414,14263,15434,16613,17370,17826,19113,19967,20833,21857,22923,24138,25323,26149,27373,27759
"37000","North Carolina","5","SA5 1/","35","...","  Earnings by place of work",5808335,6244634,6591637,6905213,7401589,7799448,8443413,9126029,10294851,11134393,12321448,13722251,14693985,15939332,18155239,20698176,22395722,23404429,26240666,28793801,32732070,36056312,39311669,43526725,45617822,49875321,56798047,61584061,66702589,72784569,79669256,85600975,90527678,93784394,102701681,109067309,116437359,123365252,130744954,140719961,150921959,160202861,170718456,174215310
"37000","North Carolina","5","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",213855,257267,306570,314427,346622,411813,435339,467306,616969,715527,826161,899596,971110,1101758,1308568,1677889,1900990,1977755,2272099,2513226,2920385,3389734,3716782,4380076,4634635,5172677,5969047,6588701,7293905,7869376,8838251,9490095,10256596,10747215,11649212,12434952,13398810,14227993,14926161,15977772,17207394,18335505,19427854,20100040
"37000","North Carolina","5","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",99144,114541,141333,147322,158202,188967,202665,217662,297454,353428,398086,445354,482025,542867,635069,820243,933541,969839,1083707,1190324,1378784,1610023,1785717,2127014,2287689,2515309,2842704,3239543,3614822,3937906,4460474,4868311,5247344,5533830,5968314,6380100,6910684,7400280,7757739,8307389,8928990,9531498,10088985,10403048
"37000","North Carolina","5","SA5 1/","38","...","    Employer contributions for government social insurance",114711,142726,165237,167105,188420,222846,232674,249644,319515,362099,428075,454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992
"37000","North Carolina","5","SA5 1/","42","...","  Plus: Adjustment for residence 5/",9403,9475,9661,10006,10794,11085,11777,11181,10600,10247,12508,19744,16408,13406,8133,6780,12523,15118,14029,19085,18143,12910,17229,-29639,-40583,-59285,-94561,-156802,-218612,-300424,-362774,-417741,-457576,-440104,-464503,-481287,-546494,-618024,-682280,-760032,-738030,-807177,-921356,-829780
"37000","North Carolina","5","SA5 1/","45","...","  Equals: Net earnings by place of residence",5603883,5996842,6294728,6600792,7065761,7398720,8019851,8669904,9688482,10429113,11507795,12842399,13739283,14850980,16854804,19027067,20507255,21441792,23982596,26299660,29829828,32679488,35612116,39117010,40942604,44643359,50734439,54838558,59190072,64614769,70468231,75693139,79813506,82597075,90587966,96151070,102492055,108519235,115136513,123982157,132976535,141060179,150369246,153285490
"37000","North Carolina","5","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",762243,817730,895010,967860,1063174,1135090,1241453,1339420,1442860,1533104,1633252,1864674,2189183,2375649,2630693,2992042,3480461,3855184,4170085,4697017,5351851,6026101,7424813,9178585,10505463,11512262,13369008,14645861,15779577,16498736,18477146,21010349,22267515,22614854,23827691,25335462,27334344,29706576,32583319,35419891,38349967,38742056,40823209,41116731
