"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"45000","South Carolina","5","SA5 1/","10","...","Personal income (thousands of dollars)",3166839,3416870,3587318,3765899,4033887,4267167,4582591,5064811,5690280,6135098,6804411,7594623,8363608,9161152,10282871,11649849,13187997,14352868,16031619,17515221,19786882,22172253,24830814,27941168,29708074,32286069,35967206,38533651,41172834,44131715,47967404,52225817,56081923,58482729,62318342,65498742,69488391,73582134,78254085,83268712,89221438,93658381,100288596,103768987
"45000","South Carolina","5","SA5 1/","20","...","Population (persons) 2/",2304000,2348000,2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995
"45000","South Carolina","5","SA5 1/","30","...","Per capita personal income (dollars) 3/",1374,1455,1500,1563,1665,1735,1852,2031,2258,2422,2659,2955,3219,3442,3783,4197,4638,4949,5450,5860,6507,7183,7922,8789,9262,9983,10993,11666,12317,13055,14058,15108,16018,16380,17213,17880,18753,19629,20614,21574,22765,23564,24921,25527
"45000","South Carolina","5","SA5 1/","35","...","  Earnings by place of work",2699088,2923700,3071230,3190140,3416580,3626066,3906959,4312928,4922365,5303703,5892313,6459513,6955680,7580165,8542846,9726256,10869462,11341480,12868266,14115082,16023468,17919123,19523662,21625185,22418171,24420962,27469020,29248636,31345507,34003479,37241305,39860073,42894514,44229317,46934886,49257297,51810661,54502940,57323745,60905627,65330679,69446522,73656202,75337240
"45000","South Carolina","5","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",94654,113224,134716,138213,153231,188969,202659,220854,289954,341652,387489,416658,448797,509407,599659,773251,898149,927583,1088867,1199178,1388996,1608122,1773764,2091176,2195836,2469826,2849921,3096372,3425294,3665138,4150738,4513388,4973794,5191871,5480184,5823798,6195331,6554573,6771413,7187058,7735019,8169845,8623635,8877254
"45000","South Carolina","5","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",43783,53000,63348,65102,71152,86606,93919,102560,138423,166708,185385,201954,216763,243266,283049,369136,429346,441909,505137,555147,642151,748550,834918,995999,1062678,1177980,1333735,1496934,1672935,1797136,2048403,2266112,2487146,2610922,2748238,2916839,3133868,3350774,3472573,3689831,3952595,4192771,4400842,4563751
"45000","South Carolina","5","SA5 1/","38","...","    Employer contributions for government social insurance",50871,60224,71368,73111,82079,102363,108740,118294,151531,174944,202104,214704,232034,266141,316610,404115,468803,485674,583730,644031,746845,859572,938846,1095177,1133158,1291846,1516186,1599438,1752359,1868002,2102335,2247276,2486648,2580949,2731946,2906959,3061463,3203799,3298840,3497227,3782424,3977074,4222793,4313503
"45000","South Carolina","5","SA5 1/","42","...","  Plus: Adjustment for residence 5/",13141,15791,17534,19312,22585,26063,30106,35320,43829,49743,57914,127605,125994,137445,154220,166739,180493,191746,225783,247395,265313,289757,321628,348043,380774,392320,425283,477502,543323,586223,610976,571867,507846,494637,504201,520597,637265,768603,879351,1037800,1117451,1205721,1432022,1426644
"45000","South Carolina","5","SA5 1/","45","...","  Equals: Net earnings by place of residence",2617575,2826267,2954048,3071239,3285934,3463160,3734406,4127394,4676240,5011794,5562738,6170460,6632877,7208203,8097407,9119744,10151806,10605643,12005182,13163299,14899785,16600758,18071526,19882052,20603109,22343456,25044382,26629766,28463536,30924564,33701543,35918552,38428566,39532083,41958903,43954096,46252595,48716970,51431683,54756369,58713111,62482398,66464589,67886630
"45000","South Carolina","5","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",360094,391324,423706,456569,494797,532205,563783,627299,672273,722250,770385,887484,1061716,1174167,1309220,1486134,1718028,1933239,2099349,2338821,2677303,3022158,3656797,4474859,5169607,5746436,6498130,7109655,7651218,8007768,8716902,9884767,10537242,10791893,11182803,11709792,12548296,13435709,14519163,15624433,16960692,16801787,18372279,18644074
