"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"95000","Southeast","5","SA5 1/","10","...","Personal income (thousands of dollars)",60503413,64761282,67089689,70752176,75496719,80549556,86981242,94562527,103717168,112424052,124490739,138941326,152513470,168280550,189052896,214605429,239133335,262142313,290858891,322755735,366893447,411993497,464065619,524660525,562473435,607216888,674332275,726846141,774420542,826632289,898737368,978126156,1039642513,1087708873,1168823918,1235395303,1309931704,1394805064,1479935672,1570491534,1687840437,1772130068,1899680707,1988459313
"95000","Southeast","5","SA5 1/","20","...","Population (persons) 2/",37435000,38115000,38885000,39544000,40179000,40742000,41349000,41857000,42257000,42611000,43042000,43440000,43973515,45013167,46019010,46991755,47954591,48787678,49513969,50311832,51113001,51976687,52881196,53627371,54248696,54856066,55514620,56198797,56861115,57536401,58120493,58733381,59516122,60500666,61508138,62530549,63574211,64601937,65611342,66655300,67626581,68569381,69497232,70317959
"95000","Southeast","5","SA5 1/","30","...","Per capita personal income (dollars) 3/",1616,1699,1725,1789,1879,1977,2104,2259,2454,2638,2892,3198,3468,3738,4108,4567,4987,5373,5874,6415,7178,7927,8776,9783,10368,11069,12147,12933,13620,14367,15463,16654,17468,17978,19003,19757,20605,21591,22556,23561,24958,25844,27335,28278
"95000","Southeast","5","SA5 1/","35","...","  Earnings by place of work",50007757,53646414,55322247,57637741,61508624,65773311,71102107,77136945,85817639,92561378,102520514,113755464,122295771,133976699,151389420,172505575,188873692,200259062,224515856,250305910,285667047,319153778,348520468,386467458,406049165,436773030,488443364,526099713,562381814,607720727,663258474,706058184,749136717,781192949,843212300,891654472,946447460,999404747,1058584087,1125859266,1219643610,1299091109,1391880941,1452980874
"95000","Southeast","5","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",1739841,2107325,2446845,2512681,2805507,3286864,3443836,3677442,4914336,5667575,6409601,7214317,7778744,8837478,10454465,13506097,15478905,16286323,18675128,20914020,24374540,28418406,31419925,37261171,39941367,43697927,49933607,54899468,59996670,64248885,72102385,77510309,83396499,87897585,94074148,100057796,107407968,113546319,118968351,126227845,135207179,143370055,151848931,158517459
"95000","Southeast","5","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",809701,955791,1134864,1163422,1259269,1499398,1604944,1722983,2386562,2837230,3172150,3602538,3888497,4380879,5118782,6620482,7610549,7992111,8929501,9950704,11519837,13528747,15155826,18156386,19657676,21297849,23884897,27104098,29811698,32183163,36381142,39778138,42596856,45130176,48129155,51279021,55367895,58974537,61687605,65530861,70030773,74518195,78737417,82527022
"95000","Southeast","5","SA5 1/","38","...","    Employer contributions for government social insurance",930140,1151534,1311981,1349259,1546238,1787466,1838892,1954459,2527774,2830345,3237451,3611779,3890247,4456599,5335683,6885615,7868356,8294212,9745627,10963316,12854703,14889659,16264099,19104785,20283691,22400078,26048710,27795370,30184972,32065722,35721243,37732171,40799643,42767409,45944993,48778775,52040073,54571782,57280746,60696984,65176406,68851860,73111514,75990437
"95000","Southeast","5","SA5 1/","42","...","  Plus: Adjustment for residence 5/",497924,538602,588613,615849,675935,736931,801089,898940,999887,1159801,1257747,1171145,1058786,1048654,1117664,1197431,1298971,1570544,1773792,1990861,2344522,2705574,3247399,3562831,3764400,3795432,4057543,4239026,4439774,4635061,5105659,5484974,6130342,6615970,7052781,7335100,7235853,7498135,7168012,7983864,8006891,9818272,8278357,8600965
"95000","Southeast","5","SA5 1/","45","...","  Equals: Net earnings by place of residence",48765840,52077691,53464015,55740909,59379052,63223378,68459360,74358443,81903190,88053604,97368660,107712292,115575813,126187875,142052619,160196909,174693758,185543283,207614520,231382751,263637029,293440946,320347942,352769118,369872198,396870535,442567300,475439271,506824918,548106903,596261748,634032849,671870560,699911334,756190933,798931776,846275345,893356563,946783748,1007615285,1092443322,1165539326,1248310367,1303064380
"95000","Southeast","5","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",7674383,8336238,9022943,9715984,10562015,11425272,12364380,13481518,14473617,15624587,17022152,19839218,23159259,25813512,28580059,32579071,38048669,42345623,45791602,51496876,59604496,68215854,83619567,103160644,116347347,127297538,144256578,157985759,167984612,174807398,191177192,220361213,231946893,234200734,239286302,250775836,266393926,288756083,307799743,328972990,354807468,355477991,383173088,389818947
