"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"47000","Tennessee","5","SA5 1/","10","...","Personal income (thousands of dollars)",5410311,5799558,5956103,6304094,6689397,7094602,7627113,8311902,9153121,9794966,10911875,11816751,12843600,14182933,15960357,18114084,20047468,21881351,24475271,27121191,30914798,34460508,38000362,42287567,44963374,48000072,53410068,57236417,61284468,66008117,71769376,77069823,81934674,86089981,94249674,100336091,106695942,114573451,121011953,128174369,140429185,146049690,154881000,159025404
"47000","Tennessee","5","SA5 1/","20","...","Population (persons) 2/",3471000,3522000,3575000,3622000,3673000,3718000,3771000,3798000,3822000,3859000,3878000,3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789
"47000","Tennessee","5","SA5 1/","30","...","Per capita personal income (dollars) 3/",1559,1647,1666,1741,1821,1908,2023,2188,2395,2538,2814,3032,3262,3537,3904,4377,4771,5135,5654,6161,6929,7602,8260,9138,9678,10301,11396,12138,12933,13801,14882,15876,16740,17334,18664,19530,20395,21508,22341,23308,25211,25901,27154,27653
"47000","Tennessee","5","SA5 1/","35","...","  Earnings by place of work",4586703,4955667,5079176,5328346,5658666,6036257,6501101,7087375,7946593,8442444,9366256,10255309,10899174,11963376,13583681,15443930,16770345,17606956,19910278,22286275,25622587,28391937,30280910,33093597,34248700,36644254,41097805,44211892,47591506,51888323,56438448,59912551,63352486,66390618,72955781,77998364,83436797,88840121,93570570,99905071,110531776,115849611,122156246,124579635
"47000","Tennessee","5","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",174719,207504,242512,247305,273227,323495,338809,362982,501821,564358,634962,659469,695644,789480,938033,1211394,1384092,1430974,1640450,1847276,2151910,2481583,2668465,3135502,3331308,3652120,4190326,4589484,5066132,5474066,6108061,6568783,7002062,7455393,8066921,8654092,9401251,10015290,10377117,11007811,11708155,12361335,12928151,13336813
"47000","Tennessee","5","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",76502,92081,111909,112488,121455,145714,153344,163473,234318,275472,306615,329880,349040,394705,461436,592503,679337,703637,783291,880793,1009829,1174034,1282126,1521280,1632529,1767609,1984475,2246580,2499828,2735597,3077057,3373524,3596009,3856476,4147677,4454778,4853546,5214405,5404716,5740175,6106961,6479157,6769875,7040087
"47000","Tennessee","5","SA5 1/","38","...","    Employer contributions for government social insurance",98217,115423,130603,134817,151772,177781,185465,199509,267503,288886,328347,329589,346604,394775,476597,618891,704755,727337,857159,966483,1142081,1307549,1386339,1614222,1698779,1884511,2205851,2342904,2566304,2738469,3031004,3195259,3406053,3598917,3919244,4199314,4547705,4800885,4972401,5267636,5601194,5882178,6158276,6296726
"47000","Tennessee","5","SA5 1/","42","...","  Plus: Adjustment for residence 5/",35493,31699,31273,30873,30527,30748,29793,32091,33504,50652,49587,-146011,-146682,-156523,-183832,-167035,-177058,-180791,-173642,-230735,-294554,-344974,-412465,-447242,-404772,-417595,-443606,-468747,-504899,-534095,-546178,-571214,-629016,-622235,-483011,-596092,-687442,-767861,-785410,-1031450,-1175930,-1360242,-1551335,-1641671
"47000","Tennessee","5","SA5 1/","45","...","  Equals: Net earnings by place of residence",4447477,4779862,4867937,5111914,5415966,5743510,6192085,6756484,7478276,7928738,8780881,9449829,10056848,11017373,12461816,14065501,15209195,15995191,18096186,20208264,23176123,25565380,27199980,29510853,30512620,32574539,36463873,39153661,42020475,45880162,49784209,52772554,55721408,58312990,64405849,68748180,73348104,78056970,82408043,87865810,97647691,102128034,107676760,109601151
"47000","Tennessee","5","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",593056,633508,683831,733012,796217,848722,909889,977160,1039119,1103616,1255981,1389082,1589675,1769011,1959692,2231784,2617586,2952316,3172018,3546267,4065296,4619437,5641349,6930415,8036241,8537870,9734820,10418670,11035582,11460602,12668591,14040432,14859294,14862997,15314448,16005743,17000021,18590173,19728037,20684577,22289123,22544840,24009198,24135104
"47000","Tennessee","5","SA5 1/","47","...","  Plus: Personal current transfer receipts",369778,386188,404335,459168,477214,502370,525139,578258,635726,762612,875013,977840,1197077,1396549,1538849,1816799,2220687,2933844,3207067,3366660,3673379,4275691,5159033,5846299,6414513,6887663,7211375,7664086,8228411,8667353,9316576,10256837,11353972,12913994,14529377,15582168,16347817,17926308,18875873,19623982,20492371,21376816,23195042,25289149
"47000","Tennessee","5","SA5 1/","50","...","  Wages and salaries",3318126,3617396,3784731,3932172,4224747,4519667,4922522,5372901,6052841,6481312,7239650,7990044,8519078,9269980,10411701,11716780,12937818,13508573,15057893,16905670,19331572,21491098,23200309,25363506,26286620,28048523,31010873,33378646,35854069,39094808,42070176,44557486,47084668,48961060,52847210,56076410,60156653,64101944,67049593,71565206,76348383,80562188,84731811,86150248
"47000","Tennessee","5","SA5 1/","60","...","  Supplements to wages and salaries",317673,355422,381378,402746,437880,486191,531316,583663,700746,772126,873223,958437,1047145,1206880,1436471,1633513,1850250,2108403,2402224,2790157,3254828,3683886,4033806,4502462,4797068,5274898,5841882,6393851,7107687,7656142,8366577,9203346,9952176,10662601,12090001,12866315,13669036,14023613,14451670,15284413,16121790,17258143,18527840,19220467
"47000","Tennessee","5","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",219456,239999,250775,267929,286108,308410,345851,384154,433243,483240,544876,628848,700541,812105,959874,1014622,1145495,1381066,1545065,1823674,2112747,2376337,2647467,2888240,3098289,3390387,3636031,4050947,4541383,4917673,5335573,6008087,6546123,7063684,8170757,8667001,9121331,9222728,9479269,10016777,10520596,11375965,12369564,12923741
"47000","Tennessee","5","SA5 1/","62","...","    Employer contributions for government social insurance",98217,115423,130603,134817,151772,177781,185465,199509,267503,288886,328347,329589,346604,394775,476597,618891,704755,727337,857159,966483,1142081,1307549,1386339,1614222,1698779,1884511,2205851,2342904,2566304,2738469,3031004,3195259,3406053,3598917,3919244,4199314,4547705,4800885,4972401,5267636,5601194,5882178,6158276,6296726
"47000","Tennessee","5","SA5 1/","70","...","  Proprietors' income 8/",950904,982849,913067,993428,996039,1030399,1047263,1130811,1193006,1189006,1253383,1306828,1332951,1486516,1735509,2093637,1982277,1989980,2450161,2590448,3036187,3216953,3046795,3227629,3165012,3320833,4245050,4439395,4629750,5137373,6001695,6151719,6315642,6766957,8018570,9055639,9611108,10714564,12069307,13055452,18061603,18029280,18896595,19208920
"47000","Tennessee","5","SA5 1/","71","...","    Farm proprietors' income",278848,264075,203491,251135,212004,224127,185728,204921,193741,162937,170945,205149,208926,207364,263020,424523,239156,172323,289254,200245,224377,237340,87655,252650,179033,-149275,297607,221997,136266,201407,275100,320622,302849,378098,535998,457688,525646,300742,257649,237558,50185,-99616,186964,296639
"47000","Tennessee","5","SA5 1/","72","...","    Nonfarm proprietors' income",672056,718774,709576,742293,784035,806272,861535,925890,999265,1026069,1082438,1101679,1124025,1279152,1472489,1669114,1743121,1817657,2160907,2390203,2811810,2979613,2959140,2974979,2985979,3470108,3947443,4217398,4493484,4935966,5726595,5831097,6012793,6388859,7482572,8597951,9085462,10413822,11811658,12817894,18011418,18128896,18709631,18912281
"47000","Tennessee","5","SA5 1/","81","[01-02]","  Farm earnings",315382,305465,246182,294340,254175,277541,238343,253769,257591,218574,224795,255610,269342,266539,326024,492641,318182,250132,371318,299620,319043,341758,196751,359846,302296,-33160,412290,335350,241404,304881,388971,442943,443073,510327,665437,592983,655158,441006,393001,381171,205307,57148,327715,460653
"47000","Tennessee","5","SA5 1/","82","...","  Nonfarm earnings",4271321,4650202,4832994,5034006,5404491,5758716,6262758,6833606,7689002,8223870,9141461,9999699,10629832,11696837,13257657,14951289,16452163,17356824,19538960,21986655,25303544,28050179,30084159,32733751,33946404,36677414,40685515,43876542,47350102,51583442,56049477,59469608,62909413,65880291,72290344,77405381,82781639,88399115,93177569,99523900,110326469,115792463,121828531,124118982
"47000","Tennessee","5","SA5 1/","90","...","    Private nonfarm earnings",3552770,3887448,4034307,4177582,4487910,4775790,5180702,5655995,6388696,6817518,7555702,8239832,8701831,9519249,10790406,12278858,13481675,14018008,15923720,17910180,20604151,22893915,24413152,26634245,27734912,30204381,33836551,36405782,39466757,43069831,46879045,49881335,52455464,54987113,60860249,65325721,69868753,75116743,79439166,85585014,95816186,100526768,105650724,106990959
"47000","Tennessee","5","SA5 1/","100","[07-08]","      Agricultural services, forestry, and fishing",11898,12058,14805,15718,19716,17233,21510,24567,26090,27947,33424,36391,34981,38018,42661,52747,57800,60200,70906,65114,82572,94083,110082,122894,132070,152995,176470,175892,175544,244682,242801,241670,265584,275500,293736,318405,358519,378826,405249,443571,540006,574745,622316,672719
"47000","Tennessee","5","SA5 1/","110","07","        Agricultural services",10398,11429,14186,15065,18913,16220,19446,21513,22984,24305,29949,32499,30814,33630,37897,47997,52923,55128,64850,59775,76169,86465,100814,112982,125333,141078,161693,162482,157074,231819,229720,230491,255353,265485,282981,304448,335153,361953,395790,432091,502448,525901,575656,"(NA)"
"47000","Tennessee","5","SA5 1/","120","...","        Forestry and fishing",1500,629,619,653,803,1013,2064,3054,3106,3642,3475,3892,4167,4388,4764,4750,4877,5072,6056,5339,6403,7618,9268,9912,6737,11917,14777,13410,18470,12863,13081,11179,10231,10015,10755,13957,23366,16873,9459,11480,37558,48844,46660,"(NA)"
"47000","Tennessee","5","SA5 1/","121","08","          Forestry",1153,275,299,331,404,645,1633,2585,2530,2978,3074,3408,3622,3791,4015,4098,3940,4129,4756,4159,4872,5353,6467,7322,5381,10097,12651,9303,9256,5635,7019,6685,6593,6403,7040,10203,19396,12789,5089,6893,31935,41715,"(D)","(NA)"
"47000","Tennessee","5","SA5 1/","122","...","          Fishing",347,354,320,322,399,368,431,469,576,664,401,484,545,597,749,652,937,943,1300,1180,1531,2265,2801,2590,1356,1820,2126,4107,9214,7228,6062,4494,3638,3612,3715,3754,3970,4084,4370,4587,5623,7129,"(D)","(NA)"
"47000","Tennessee","5","SA5 1/","200","B","      Mining",34465,36379,35782,35139,36152,37517,39685,42415,43460,47895,54453,54212,61782,70113,77063,88287,147255,183558,164337,294595,316530,326600,316337,346437,336991,275953,298784,296984,149861,151134,377535,306954,299026,302303,281116,257117,246276,246035,268666,297127,310970,301465,290919,315019
