"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"98000","Far West","8","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",871303547,946299166,1050890299,1076598128,1089440393,1137114906,1214176583,1281095154,1358617192,1432272550,1455730628,1390492109,1416655740,1480626198,1557920412,1612399036,1705210389,1818308915,1899515177,1986407875
"98000","Far West","8","SA6N","5","...","  Wages and salaries",716888052,780820956,868257072,881885289,883602845,912019279,966883807,1021001328,1091441254,1154271000,1170532518,1113670258,1130442162,1177346437,1248382400,1291711242,1370298550,1467420372,1537377343,1609046400
"98000","Far West","8","SA6N","6","...","  Supplements to wages and salaries",154415495,165478210,182633227,194712839,205837548,225095627,247292776,260093826,267175938,278001550,285198110,276821851,286213578,303279761,309538012,320687794,334911839,350888543,362137834,377361475
"98000","Far West","8","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",100330700,107926478,119913627,129326203,138117383,153013813,168235507,177681734,182753227,192785824,200337268,195275463,203619291,216230376,218326144,226409261,235541057,245748568,253414243,262256814
"98000","Far West","8","SA6N","8","...","    Employer contributions for government social insurance",54084795,57551732,62719600,65386636,67720165,72081814,79057269,82412092,84422711,85215726,84860842,81546388,82594287,87049385,91211868,94278533,99370782,105139975,108723591,115104661
"98000","Far West","8","SA6N","9","...","Average compensation per job (dollars) 3/",41442,43796,47330,48259,49072,51144,53958,55947,58140,60619,62103,62690,64967,67200,68318,68786,70712,73343,74819,"(NA)"
"98000","Far West","8","SA6N","81","111-112","  Farm compensation",6401612,7368987,7473438,7431160,7023099,7122342,7624956,8281970,8047853,7919886,8685313,9194723,8828121,7700618,9154034,9869722,9456834,9303049,9844568,10253429
"98000","Far West","8","SA6N","82","...","  Nonfarm compensation",864901935,938930179,1043416861,1069166968,1082417294,1129992564,1206551627,1272813184,1350569339,1424352664,1447045315,1381297386,1407827619,1472925580,1548766378,1602529314,1695753555,1809005866,1889670609,1976154446
"98000","Far West","8","SA6N","90","113-814","    Private nonfarm compensation",695531678,759048883,848896283,858110410,856230653,889198478,951587783,1006983372,1071606017,1126873153,1133676982,1062617484,1082034205,1140937035,1215906961,1264948945,1343795565,1441802369,1506296177,1579860912
"98000","Far West","8","SA6N","100","113-115","      Forestry, fishing, and related activities",4675651,4892488,5167918,"(D)",5365954,5590048,6248727,6290636,7113329,7399465,7487585,7465289,7734410,8279916,9195583,9620204,10246982,11100304,11850723,12199108
"98000","Far West","8","SA6N","101","113","        Forestry and logging",871391,914584,905270,868399,"(D)","(D)",977900,"(D)","(D)","(D)","(D)","(D)",758634,818322,"(D)","(D)","(D)",982918,"(D)","(NA)"
"98000","Far West","8","SA6N","102","114","        Fishing, hunting and trapping",282787,321122,300982,238942,258308,"(D)","(D)","(D)",315460,313874,334313,"(D)","(D)","(D)","(D)","(D)","(D)",295623,"(D)","(NA)"
