"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"19000","Iowa","4","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",46570506,48964934,51562242,53092568,54161245,56195693,59718005,62579542,65728584,69254312,71921854,70902308,72124958,74390293,78084408,79968961,84243648,87178636,90283490,91672412
"19000","Iowa","4","SA6N","5","...","  Wages and salaries",38197432,40182058,41958028,42987825,43747887,45217567,47894120,50009201,52642497,55506496,57456064,56106972,57257622,59438594,62195718,64024751,67147663,70070123,71816743,72636488
"19000","Iowa","4","SA6N","6","...","  Supplements to wages and salaries",8373074,8782876,9604214,10104743,10413358,10978126,11823885,12570341,13086087,13747816,14465790,14795336,14867336,14951699,15888690,15944210,17095985,17108513,18466747,19035924
"19000","Iowa","4","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",5336942,5614057,6313947,6763531,7017527,7402836,8091764,8673810,8994114,9473924,9994136,10399869,10239358,10063199,10882875,10855521,11910745,11836599,12895789,13288984
"19000","Iowa","4","SA6N","8","...","    Employer contributions for government social insurance",3036132,3168819,3290267,3341212,3395831,3575290,3732121,3896531,4091973,4273892,4471654,4395467,4627978,4888500,5005815,5088689,5185240,5271914,5570958,5746940
"19000","Iowa","4","SA6N","9","...","Average compensation per job (dollars) 3/",31036,32190,33607,34882,35911,37436,39193,40430,41829,43737,45215,45819,46922,47900,49688,50189,52385,53576,55191,"(NA)"
"19000","Iowa","4","SA6N","81","111-112","  Farm compensation",365626,354373,354540,392016,373392,486490,542811,451993,410877,694507,602220,594297,607689,577055,776361,678309,799763,674027,684723,711892
"19000","Iowa","4","SA6N","82","...","  Nonfarm compensation",46204880,48610561,51207702,52700552,53787853,55709203,59175194,62127549,65317707,68559805,71319634,70308011,71517269,73813238,77308047,79290652,83443885,86504609,89598767,90960520
"19000","Iowa","4","SA6N","90","113-814","    Private nonfarm compensation",37947155,39893497,41960752,42916449,43688466,45089800,48032771,50495736,53181061,55822463,57815330,55947538,56710186,59070174,62438733,63944465,67539722,70059266,72650638,73587335
"19000","Iowa","4","SA6N","100","113-115","      Forestry, fishing, and related activities",66127,71868,78076,78174,80512,96860,128171,130058,148714,158772,173481,201358,220009,228888,278103,288612,290439,292944,306562,327944
"19000","Iowa","4","SA6N","101","113","        Forestry and logging",1668,1364,2077,1193,1346,1001,1022,1077,1208,1351,1155,1023,988,1168,"(D)",1618,1690,1887,1735,"(NA)"
"19000","Iowa","4","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",298,314,336,381,389,408,421,354,372,379,385,"(D)",491,903,1018,1042,"(NA)"
"19000","Iowa","4","SA6N","103","115","        Support activities for agriculture and forestry",62545,68352,73492,76683,78852,95523,126768,128592,147098,157000,171972,199963,218642,227335,276063,286503,287846,290039,303785,"(NA)"
"19000","Iowa","4","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",84687,89512,89223,97153,92239,92612,105844,111298,116088,117643,122875,119554,118562,123922,129956,133855,143492,152021,161145,171160
"19000","Iowa","4","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"19000","Iowa","4","SA6N","202","212","        Mining (except oil and gas)",82487,87118,85795,96498,"(D)",91943,105221,110166,115186,116840,120905,117735,116681,121830,128377,131700,140869,148423,158039,"(NA)"
"19000","Iowa","4","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)",669,623,1132,902,803,1970,1819,1881,2092,1579,2155,2623,3598,3106,"(NA)"
"19000","Iowa","4","SA6N","300","22","      Utilities",514204,558610,554157,647433,707230,636548,685782,630645,665396,717830,746300,739858,717572,732933,723223,713717,771005,771427,809815,804223
"19000","Iowa","4","SA6N","400","23","      Construction",2468823,2675841,2682744,2733101,2812759,2934235,3163405,3450175,3764243,3826618,4028333,3594566,3428257,3559397,3854437,4135448,4865977,5347867,5839964,5111933
"19000","Iowa","4","SA6N","401","236","        Construction of buildings",591918,645221,644814,639070,677106,685643,744824,826901,874728,906585,978918,793036,728947,787796,812379,861243,1076102,1155656,1194321,"(NA)"
"19000","Iowa","4","SA6N","402","237","        Heavy and civil engineering construction",467600,497256,460063,455862,470301,512053,542110,622787,642015,626427,651601,617722,591180,646616,712934,728943,885096,1112204,1242345,"(NA)"
"19000","Iowa","4","SA6N","403","238","        Specialty trade contractors",1409305,1533364,1577867,1638169,1665352,1736539,1876471,2000487,2247500,2293606,2397814,2183808,2108130,2124985,2329124,2545262,2904779,3080007,3403298,"(NA)"
"19000","Iowa","4","SA6N","500","31-33","      Manufacturing",10302710,10633399,11104424,11118960,10861190,11030702,11819871,12435894,12857721,13301522,13544571,12193313,12530026,13126334,13829278,14101198,14774773,14964570,15044910,15728178
"19000","Iowa","4","SA6N","510","321,327-339","        Durable goods manufacturing",6594401,6749967,7155145,7097635,6832796,6934785,7587676,8053372,8429885,8684228,8667761,7458893,7668303,8301602,8793832,8944065,9327735,9378400,9154613,9505653
"19000","Iowa","4","SA6N","511","321","          Wood product manufacturing",345050,404231,451308,467225,478539,492003,530520,594511,579859,595255,566215,455288,438342,434848,429690,458606,485246,506377,539992,"(NA)"
"19000","Iowa","4","SA6N","512","327","          Nonmetallic mineral product manufacturing",277647,296646,323446,341518,334766,311930,327676,326026,331677,316583,309066,263094,257239,270018,292214,296123,318759,367194,381359,"(NA)"
"19000","Iowa","4","SA6N","513","331","          Primary metal manufacturing",432459,471687,464079,450104,423874,416651,482188,513493,516136,538569,558555,449321,492834,565532,596894,602681,612017,594789,571534,"(NA)"
"19000","Iowa","4","SA6N","514","332","          Fabricated metal product manufacturing",893746,903681,941702,896896,866679,854882,910717,958961,1038243,1081997,1112395,945533,939973,1017560,1128968,1177209,1227567,1260101,1248621,"(NA)"
"19000","Iowa","4","SA6N","515","333","          Machinery manufacturing",1926233,1838793,1919270,1901868,1782609,1826728,2073712,2234532,2405302,2575109,2701109,2457955,2550623,2888745,3136429,3130037,3231619,3190072,2950802,"(NA)"
"19000","Iowa","4","SA6N","516","334","          Computer and electronic product manufacturing",734060,752858,755244,832667,787371,798413,875228,1000101,1059268,1168752,1173615,1095560,1148890,1245151,1237474,1238997,1290745,1318986,1309709,"(NA)"
"19000","Iowa","4","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",552603,650159,737988,714941,667848,673376,657206,639912,687539,616429,522470,435259,439251,404914,393139,401629,410226,437726,468252,"(NA)"
"19000","Iowa","4","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",819625,749616,814804,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",801607,843200,904215,808560,"(D)","(NA)"
"19000","Iowa","4","SA6N","519","3364-3369","          Other transportation equipment manufacturing",41501,66618,60395,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",172063,177758,208196,236236,241430,"(NA)"
"19000","Iowa","4","SA6N","521","337","          Furniture and related product manufacturing",328006,351131,403497,374157,390035,405448,431981,467865,481304,491592,454099,336276,332124,339208,362058,376058,397686,411353,424337,"(NA)"
"19000","Iowa","4","SA6N","522","339","          Miscellaneous manufacturing",243471,264547,283412,264743,231602,273475,281497,284328,280276,254368,272885,244396,234752,233781,243296,241767,241459,247006,"(D)","(NA)"
"19000","Iowa","4","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",3708309,3883432,3949279,4021325,4028394,4095917,4232195,4382522,4427836,4617294,4876810,4734420,4861723,4824732,5035446,5157133,5447038,5586170,5890297,6222525
"19000","Iowa","4","SA6N","531","311","          Food manufacturing",1877041,1976893,2018998,2095151,2146188,2214958,2315300,2397085,2398486,2506323,2628530,2678148,2742751,2733657,2845354,2900266,3033403,3158219,3343713,"(NA)"
"19000","Iowa","4","SA6N","532","312","          Beverage and tobacco product manufacturing",59613,60083,55561,57486,56832,65294,64474,64241,65474,66371,67097,71938,75822,78773,83370,85923,91963,98665,104423,"(NA)"
"19000","Iowa","4","SA6N","533","313","          Textile mills","(T)","(T)","(T)",7141,7093,7144,6412,5661,5489,5656,6083,5578,5116,5079,5292,5509,6474,6119,6027,"(NA)"
"19000","Iowa","4","SA6N","534","314","          Textile product mills",23118,24204,26387,25570,24783,25249,22831,21335,19140,20880,21794,21821,23213,23719,26281,25438,25603,25300,25017,"(NA)"
"19000","Iowa","4","SA6N","535","315","          Apparel manufacturing",84675,92387,77562,71454,61840,58756,63075,58537,56009,54868,55684,46119,44619,43205,42725,41353,43005,43163,45870,"(NA)"
"19000","Iowa","4","SA6N","536","316","          Leather and allied product manufacturing",26348,29163,32070,30748,27054,22040,21853,18709,15514,15091,13650,8129,8091,9402,9674,9722,10749,9633,9899,"(NA)"
"19000","Iowa","4","SA6N","537","322","          Paper manufacturing",214357,254086,226980,270285,240269,243648,253337,255879,250141,249683,256557,237381,244437,246132,247825,249590,255893,253193,263127,"(NA)"
"19000","Iowa","4","SA6N","538","323","          Printing and related support activities",376338,384573,392745,380593,355447,351288,349729,364887,366863,378221,382791,338624,330566,323184,331587,333849,335585,322075,332217,"(NA)"
"19000","Iowa","4","SA6N","539","324","          Petroleum and coal products manufacturing",20244,21193,24327,32780,27199,29827,21642,27486,27317,23794,27246,30947,28950,37229,45439,41918,39585,36254,36578,"(NA)"
"19000","Iowa","4","SA6N","541","325","          Chemical manufacturing",374631,386056,427390,440224,439310,450215,492581,511548,559992,650970,767939,754073,808682,741585,779449,829527,940756,984771,1024195,"(NA)"
"19000","Iowa","4","SA6N","542","326","          Plastics and rubber products manufacturing",645959,646971,658543,609893,642379,627498,620961,657154,663411,645437,649439,541662,549476,582767,618450,634038,664022,648778,699231,"(NA)"
"19000","Iowa","4","SA6N","600","42","      Wholesale trade",2749548,2953463,2900152,2994225,3046385,3045419,3238039,3477648,3604797,3816476,4069605,3954760,4020449,4273447,4568237,4660976,4824754,4813810,4871954,4983808
"19000","Iowa","4","SA6N","700","44-45","      Retail trade",3937141,4112276,4365290,4241151,4323893,4429360,4529197,4574596,4656044,4740410,4860123,4826840,4774609,4950872,5114647,5147861,5312203,5484012,5765774,5887560
"19000","Iowa","4","SA6N","701","441","        Motor vehicle and parts dealers",720788,784748,808863,852547,864733,880140,893136,892050,896936,921367,920495,863670,910998,975185,1037723,1085873,1133885,1182300,1244932,"(NA)"
"19000","Iowa","4","SA6N","702","442","        Furniture and home furnishings stores",131099,138708,153011,146654,152678,160716,167877,169100,170814,171824,168465,148204,141007,141686,145758,148359,152326,158081,170242,"(NA)"
"19000","Iowa","4","SA6N","703","443","        Electronics and appliance stores",236696,202547,213560,222481,226537,220866,206983,212940,223387,209231,217879,222052,224806,243088,244831,238354,233079,230909,241865,"(NA)"
"19000","Iowa","4","SA6N","704","444","        Building material and garden equipment and supplies dealers",454630,492576,511873,489010,500521,510812,517488,501721,524356,522762,532013,515090,497716,508468,520581,531131,551097,559056,583814,"(NA)"
"19000","Iowa","4","SA6N","705","445","        Food and beverage stores",674953,696390,723197,690079,682710,692023,692389,703262,725129,756476,802887,827007,804386,832528,868527,894079,935378,1005033,1058346,"(NA)"
"19000","Iowa","4","SA6N","706","446","        Health and personal care stores",208517,222129,244088,245695,263816,277671,294627,304439,302735,314147,327295,334816,336284,340091,348324,355123,354494,349582,374965,"(NA)"
"19000","Iowa","4","SA6N","707","447","        Gasoline stations",295955,314239,334757,311467,316967,310417,321695,317040,318384,331550,338112,339738,350439,362543,377887,391748,413351,457111,496937,"(NA)"
"19000","Iowa","4","SA6N","708","448","        Clothing and clothing accessories stores",203765,205584,221382,206503,205818,211806,216425,220639,224760,226539,229391,219919,216722,180726,191475,194727,193920,195452,197052,"(NA)"
"19000","Iowa","4","SA6N","709","451","        Sporting goods, hobby, musical instrument, and book stores",115997,147962,139205,126511,131876,137459,145322,150572,151004,144981,145227,140628,137123,135423,136958,140214,141504,146979,147790,"(NA)"
