"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"18000","Indiana","3","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",105680855,111579510,117518007,118809187,121029977,124796186,131056236,135591047,141287068,145751142,147851612,138752332,142855641,148426125,155441843,158013704,165376946,170838801,178130767,184597143
"18000","Indiana","3","SA6N","5","...","  Wages and salaries",87044130,91587831,95775772,96496186,98009747,100524218,105582202,108670096,113132985,116663683,118169279,111500175,114449316,119250104,124676083,127567645,132309103,138703704,142978048,147631602
"18000","Indiana","3","SA6N","6","...","  Supplements to wages and salaries",18636725,19991679,21742235,22313001,23020230,24271968,25474034,26920951,28154083,29087459,29682333,27252157,28406325,29176021,30765760,30446059,33067843,32135097,35152719,36965541
"18000","Indiana","3","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",12319427,13382184,14846343,15365849,15929519,16883693,17704189,18778823,19684526,20427111,20874554,18847729,19807275,20119002,21313264,20753001,23032331,21686064,24533266,25878606
"18000","Indiana","3","SA6N","8","...","    Employer contributions for government social insurance",6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8599050,9057019,9452496,9693058,10035512,10449033,10619453,11086935
"18000","Indiana","3","SA6N","9","...","Average compensation per job (dollars) 3/",35177,36461,37997,39213,40372,41737,43454,44674,46170,47379,48568,48191,49647,50828,52192,52477,54116,55005,56534,"(NA)"
"18000","Indiana","3","SA6N","81","111-112","  Farm compensation",275994,263293,261571,286869,268544,303997,342840,320697,301946,351027,331401,366035,390237,363656,431090,440878,476553,392297,412993,429265
"18000","Indiana","3","SA6N","82","...","  Nonfarm compensation",105404861,111316217,117256436,118522318,120761433,124492189,130713396,135270350,140985122,145400115,147520211,138386297,142465404,148062469,155010753,157572826,164900393,170446504,177717774,184167878
"18000","Indiana","3","SA6N","90","113-814","    Private nonfarm compensation",90960933,95909752,100810113,101381366,102896882,105578348,110697437,114412425,119777653,123339744,124452314,114757513,118578001,123909065,131000612,133966343,140465242,145554286,152092845,158230477
"18000","Indiana","3","SA6N","100","113-115","      Forestry, fishing, and related activities",67839,70735,74524,69505,65140,69481,84180,81848,96876,99958,86231,90887,93541,93601,105394,107072,155458,154889,173417,171564
"18000","Indiana","3","SA6N","101","113","        Forestry and logging",10022,10979,11729,"(D)",13083,13396,17542,17161,17628,18758,15691,13174,13447,"(D)","(D)","(D)",13356,"(D)","(D)","(NA)"
"18000","Indiana","3","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",744,751,774,526,509,430,426,464,322,"(D)","(D)","(D)",553,"(D)","(D)","(NA)"
"18000","Indiana","3","SA6N","103","115","        Support activities for agriculture and forestry",56286,58253,61248,55575,51313,55334,65864,64161,78739,80770,70114,77249,79772,82310,93503,95079,141549,138747,156484,"(NA)"
"18000","Indiana","3","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",381408,375478,386805,385307,380078,392956,412821,406239,454239,471821,471357,447044,474397,508800,537375,553719,585942,553308,507572,505581
"18000","Indiana","3","SA6N","201","211","        Oil and gas extraction",5148,4892,4777,5851,4384,4956,5689,5542,7400,12382,10183,9929,14428,15093,20388,19813,22659,20952,18336,"(NA)"
"18000","Indiana","3","SA6N","202","212","        Mining (except oil and gas)",370953,365727,377525,372985,368694,381762,399138,390880,439632,449147,445707,423461,445364,476020,493570,501222,521988,498357,458392,"(NA)"
"18000","Indiana","3","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)",6471,7000,6238,7994,9817,7207,10292,15467,13654,14605,17687,23417,32684,41295,33999,30844,"(NA)"
"18000","Indiana","3","SA6N","300","22","      Utilities",993688,1034557,1043809,1251745,1257062,1226604,1294310,1324851,1487509,1479037,1604312,1618284,1671473,1720095,1650837,1726572,1789402,1783169,1870015,1897410
"18000","Indiana","3","SA6N","400","23","      Construction",6165844,6505303,6785312,6799547,6846325,7061933,7369388,7605212,7910100,8428405,8498233,7110870,7225356,7737367,8466718,8256981,8210954,8560684,9058210,9709149
"18000","Indiana","3","SA6N","401","236","        Construction of buildings",1626444,1775472,1815249,1856940,1881066,1991604,2050200,2084263,2174743,2308373,2225004,1750119,1852064,1921908,2096753,1978728,1992551,2063493,2170177,"(NA)"
"18000","Indiana","3","SA6N","402","237","        Heavy and civil engineering construction",851099,900991,966269,916496,908644,942164,1002043,1016046,1067694,1172508,1258994,1250814,1201050,1358066,1415655,1304863,1309074,1357296,1442065,"(NA)"
"18000","Indiana","3","SA6N","403","238","        Specialty trade contractors",3688301,3828840,4003794,4026111,4056615,4128165,4317145,4504903,4667663,4947524,5014235,4109937,4172242,4457393,4954310,4973390,4909329,5139895,5445968,"(NA)"
"18000","Indiana","3","SA6N","500","31-33","      Manufacturing",32096213,33300033,34117703,32735756,32965077,33487043,34926635,35539917,36589494,36617997,35722330,30195811,31633874,33102991,35164387,35665683,38001074,39331816,40264926,41947520
"18000","Indiana","3","SA6N","510","321,327-339","        Durable goods manufacturing",24266967,25010644,25791283,24227790,24470177,24860876,25912282,26338629,26919162,26882381,25688118,20934861,21849846,23350232,25134805,25091809,26689560,28007744,28563185,29880880
"18000","Indiana","3","SA6N","511","321","          Wood product manufacturing",833891,927614,901720,823419,812830,812332,836684,867915,835785,784813,699391,507974,485793,521484,565047,578160,630092,676700,724242,"(NA)"
"18000","Indiana","3","SA6N","512","327","          Nonmetallic mineral product manufacturing",757026,811817,841233,833893,836350,841710,848022,865328,868047,874756,814893,673962,700288,736400,784653,834951,895024,924447,941148,"(NA)"
"18000","Indiana","3","SA6N","513","331","          Primary metal manufacturing",3977378,3990465,3960411,3733594,3582911,3610185,3654916,3701988,3722824,3803574,4015468,3107864,3286156,3638687,3893432,3818444,4019427,4022972,3920866,"(NA)"
