"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"20000","Kansas","4","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",45483494,48048668,50875763,52801886,53735567,54901822,57834200,60183311,63854314,68163092,71347438,68723029,70061672,72583965,74912512,77265734,80133820,82820105,83464346,84366223
"20000","Kansas","4","SA6N","5","...","  Wages and salaries",37317819,39438463,41766878,43269734,43922702,44528950,46698084,48529288,52067815,55404970,57582460,55603680,56102260,58121170,60590986,61872549,64442235,66672484,67216593,67940639
"20000","Kansas","4","SA6N","6","...","  Supplements to wages and salaries",8165675,8610205,9108885,9532152,9812865,10372872,11136116,11654023,11786499,12758122,13764978,13119349,13959412,14462795,14321526,15393185,15691585,16147621,16247753,16425584
"20000","Kansas","4","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",5222894,5543459,5885452,6199441,6424276,6882001,7439072,7811470,7734366,8610122,9427361,8899165,9539549,9896061,9580847,10532525,10690055,10859367,11166620,11294030
"20000","Kansas","4","SA6N","8","...","    Employer contributions for government social insurance",2942781,3066746,3223433,3332711,3388589,3490871,3697044,3842553,4052133,4148000,4337617,4220184,4419863,4566734,4740679,4860660,5001530,5288254,5081133,5131554
"20000","Kansas","4","SA6N","9","...","Average compensation per job (dollars) 3/",32677,34085,35782,36933,37934,39265,41144,42655,44503,46429,48295,48119,49733,51178,52263,53355,54439,55882,56303,"(NA)"
"20000","Kansas","4","SA6N","81","111-112","  Farm compensation",342647,317692,345115,384122,347251,368764,417721,354965,368628,496064,498641,409330,391746,475142,531094,432884,553975,511424,600632,622938
"20000","Kansas","4","SA6N","82","...","  Nonfarm compensation",45140847,47730976,50530648,52417764,53388316,54533058,57416479,59828346,63485686,67667028,70848797,68313699,69669926,72108823,74381418,76832850,79579845,82308681,82863714,83743285
"20000","Kansas","4","SA6N","90","113-814","    Private nonfarm compensation",36557327,38652592,40949298,42397714,42763603,43387598,45577458,47542364,50366513,53571527,55816520,52891159,53827972,55845414,58021422,60277148,62624916,65382582,65691874,66584863
"20000","Kansas","4","SA6N","100","113-115","      Forestry, fishing, and related activities",69696,71746,76098,72773,75315,77937,88077,89287,94643,95213,100684,111656,119711,125838,139211,147864,158897,173102,183453,175474
"20000","Kansas","4","SA6N","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)",344,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",194,252,116,"(D)","(NA)"
