"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"29000","Missouri","4","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",97030314,102685035,109097865,112150378,115136516,118681788,123827508,129614025,136026796,141768368,147708437,142788785,143413974,145432190,151086746,154831399,159386382,167201912,169737766,173566315
"29000","Missouri","4","SA6N","5","...","  Wages and salaries",80026069,84349291,89504202,91859770,93506501,95754230,99438536,103902707,108850824,113849300,118961245,113779984,114025700,116652991,121476667,123873462,128628249,134626856,138201062,141675755
"29000","Missouri","4","SA6N","6","...","  Supplements to wages and salaries",17004245,18335744,19593663,20290608,21630015,22927558,24388972,25711318,27175972,27919068,28747192,29008801,29388274,28779199,29610079,30957937,30758133,32575056,31536704,31890560
"29000","Missouri","4","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",11232204,12278169,13199370,13722488,14937082,15999887,17245323,18191576,19234103,19650883,20099402,20648085,21079022,20166652,20731429,21870765,21411984,22699226,21506412,21497098
"29000","Missouri","4","SA6N","8","...","    Employer contributions for government social insurance",5772041,6057575,6394293,6568120,6692933,6927671,7143649,7519742,7941869,8268185,8647790,8360716,8309252,8612547,8878650,9087172,9346149,9875830,10030292,10393462
"29000","Missouri","4","SA6N","9","...","Average compensation per job (dollars) 3/",34881,36365,38217,39612,40975,42359,44000,45599,47219,48903,50977,51177,52329,52945,54338,55083,56169,57863,57962,"(NA)"
"29000","Missouri","4","SA6N","81","111-112","  Farm compensation",278590,260165,254939,275624,256956,274651,227172,257551,216611,321175,288979,305185,291148,293197,437226,301017,388914,336930,374874,388476
"29000","Missouri","4","SA6N","82","...","  Nonfarm compensation",96751724,102424870,108842926,111874754,114879560,118407137,123600336,129356474,135810185,141447193,147419458,142483600,143122826,145138993,150649520,154530382,158997468,166864982,169362892,173177839
"29000","Missouri","4","SA6N","90","113-814","    Private nonfarm compensation",80638914,85123856,90442730,92603730,94606083,96932387,100992612,105861481,111196408,115624485,120266529,114190799,114470393,116674448,122236502,125930603,130346272,137504964,139549821,142823116
"29000","Missouri","4","SA6N","100","113-115","      Forestry, fishing, and related activities",88751,94629,104963,113301,123125,156801,154786,142108,150828,142811,156712,168711,165779,163667,179037,181349,191853,201641,208060,225095
"29000","Missouri","4","SA6N","101","113","        Forestry and logging",7211,8850,6989,"(D)",7019,7043,7930,8635,8780,8543,6984,5961,6203,7906,7197,6070,7197,8240,8935,"(NA)"
"29000","Missouri","4","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",305,309,422,375,473,454,380,341,330,393,641,697,930,989,619,"(NA)"
"29000","Missouri","4","SA6N","103","115","        Support activities for agriculture and forestry",81181,85357,97530,106151,115801,149449,146434,133098,141575,133814,149348,162409,159246,155368,171199,174582,183726,192412,198506,"(NA)"
"29000","Missouri","4","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",244829,257679,266853,264454,249251,284339,329790,435766,315125,382213,410383,303910,296267,329837,335903,325205,324639,332506,315111,334247
"29000","Missouri","4","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)",743,667,689,859,776,920,1001,1747,1755,2404,2382,1965,2191,2105,1823,1214,"(NA)"
"29000","Missouri","4","SA6N","202","212","        Mining (except oil and gas)",237410,249264,258770,261061,244114,274428,313646,416036,287196,319249,327402,280078,277628,306616,309604,299961,299620,311857,299962,"(NA)"
"29000","Missouri","4","SA6N","203","213","        Support activities for mining","(T)",7769,"(T)",2650,4470,9222,15285,18954,27009,61963,81234,22077,16235,20839,24334,23053,22914,18826,13935,"(NA)"
"29000","Missouri","4","SA6N","300","22","      Utilities",732176,781103,825348,1106425,1226171,993091,1055857,1056836,1185180,1230061,1325152,1363940,1412695,1428839,1359603,1438300,1464591,1477475,1504148,1551740
"29000","Missouri","4","SA6N","400","23","      Construction",5404468,6140999,6625437,6818729,6802903,6893190,7152919,7569413,7966020,8364186,8450038,7416812,6567041,6357385,6646968,6933911,7323439,7866911,8408760,8611521
"29000","Missouri","4","SA6N","401","236","        Construction of buildings",1317217,1500842,1564360,1543190,1566538,1591716,1697984,1794506,1926323,2050657,2042070,1699572,1509184,1391877,1452029,1497396,1638487,1789414,1917250,"(NA)"
"29000","Missouri","4","SA6N","402","237","        Heavy and civil engineering construction",803425,852226,931248,958182,925138,949770,944340,989909,1018939,1062929,1145897,1204701,1038478,1025159,1066711,1126918,1163162,1171225,1222525,"(NA)"
"29000","Missouri","4","SA6N","403","238","        Specialty trade contractors",3283826,3787931,4129829,4317357,4311227,4351704,4510595,4784998,5020758,5250600,5262071,4512539,4019379,3940349,4128228,4309597,4521790,4906272,5268985,"(NA)"
"29000","Missouri","4","SA6N","500","31-33","      Manufacturing",16061450,16241874,16815782,16571645,16448598,16581254,17296291,17687005,18225373,18351590,18670518,16365431,15823399,16091414,16847512,17402819,18271819,19182373,19041194,19257915
"29000","Missouri","4","SA6N","510","321,327-339","        Durable goods manufacturing",10285821,10272404,10654172,10385742,10340623,10550946,11169513,11487509,11807384,11731962,11181998,9868967,9413482,9760592,10039819,10635771,11355674,12002488,11914267,11982072
"29000","Missouri","4","SA6N","511","321","          Wood product manufacturing",289764,310713,316831,317107,315451,319512,330779,348741,376546,361346,342618,272904,281841,289569,303728,299832,323990,346461,360101,"(NA)"
"29000","Missouri","4","SA6N","512","327","          Nonmetallic mineral product manufacturing",473531,499253,524050,465007,454390,457060,472878,504793,536483,532857,525456,444025,442364,445615,457166,408085,427077,470309,466380,"(NA)"
"29000","Missouri","4","SA6N","513","331","          Primary metal manufacturing",559457,587992,592079,508797,483045,468587,498187,528784,556299,543298,524309,427341,399588,476927,509857,497539,501315,528114,460364,"(NA)"
"29000","Missouri","4","SA6N","514","332","          Fabricated metal product manufacturing",1522491,1578385,1614092,1535485,1518393,1541928,1662410,1716001,1761228,1863077,1909944,1729498,1712841,1763464,1844212,1910792,1728320,1779474,1790121,"(NA)"
"29000","Missouri","4","SA6N","515","333","          Machinery manufacturing",1371548,1429566,1554070,1436868,1377030,1399069,1425513,1510836,1645042,1658057,1681680,1472803,1519648,1589589,1652884,1614200,1633891,1734528,1784572,"(NA)"
"29000","Missouri","4","SA6N","516","334","          Computer and electronic product manufacturing",592770,522836,543822,553502,511271,500244,496946,550861,557882,630451,529912,451042,396631,389947,464968,527340,855830,891724,898741,"(NA)"
"29000","Missouri","4","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",789424,838257,857706,842411,789202,789793,801348,821542,846352,872842,801926,711782,699538,770410,797095,805345,791225,806147,795701,"(NA)"
"29000","Missouri","4","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",2381621,2283985,2492360,2408281,2427133,2545864,2495771,2493290,2406359,2288064,1891965,1448443,"(D)","(D)","(D)","(D)","(D)","(D)",1999434,"(NA)"
"29000","Missouri","4","SA6N","519","3364-3369","          Other transportation equipment manufacturing",1362734,1222480,1109403,1263085,1380795,1436277,1841304,1850957,1990454,1872851,1909491,1904213,"(D)","(D)","(D)","(D)","(D)","(D)",2472858,"(NA)"
"29000","Missouri","4","SA6N","521","337","          Furniture and related product manufacturing",467480,499535,545332,534819,532883,523914,551312,558041,555710,521604,480248,378951,370023,272773,281846,298021,308535,338672,348301,"(NA)"
"29000","Missouri","4","SA6N","522","339","          Miscellaneous manufacturing",475001,499402,504427,520380,551030,568698,593065,603663,575029,587515,584449,627965,532739,527745,480633,486847,536310,521133,537694,"(NA)"
"29000","Missouri","4","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",5775629,5969470,6161610,6185903,6107975,6030308,6126778,6199496,6417989,6619628,7488520,6496464,6409917,6330822,6807693,6767048,6916145,7179885,7126927,7275843
"29000","Missouri","4","SA6N","531","311","          Food manufacturing",1517894,1583278,1661036,1700476,1639734,1720830,1707718,1706148,1825560,1899597,1982335,2038440,2108505,1996315,2275361,2151501,2153707,2332487,2355439,"(NA)"
"29000","Missouri","4","SA6N","532","312","          Beverage and tobacco product manufacturing",289312,351915,388086,434500,501405,475922,489486,492966,481942,556371,1242858,543584,437457,453345,500107,514360,593584,580433,501014,"(NA)"
"29000","Missouri","4","SA6N","533","313","          Textile mills",19996,23781,25506,21407,20114,19439,23710,23307,26196,30425,34470,31473,29869,26330,22556,23281,26491,23567,25029,"(NA)"
"29000","Missouri","4","SA6N","534","314","          Textile product mills",73162,90339,92421,87940,89985,74095,78675,86102,94056,104882,108518,92131,83516,83912,77235,70396,70748,75205,77311,"(NA)"
"29000","Missouri","4","SA6N","535","315","          Apparel manufacturing",236318,207325,159955,133090,119932,118628,115026,104258,99503,97809,112706,74550,76249,69031,73224,75359,80827,74170,71368,"(NA)"
"29000","Missouri","4","SA6N","536","316","          Leather and allied product manufacturing",120343,121279,105747,114932,100795,129279,125579,125179,137561,154510,123170,126712,40167,45186,50949,54842,61914,60641,56331,"(NA)"
"29000","Missouri","4","SA6N","537","322","          Paper manufacturing",524959,546262,552495,554684,531624,522767,530194,511471,506482,512776,524226,498463,498133,492542,475094,468415,436338,479646,464651,"(NA)"
"29000","Missouri","4","SA6N","538","323","          Printing and related support activities",854326,873980,882470,847756,806484,778530,785684,804384,820624,831300,829971,697800,671201,660267,670694,689775,667379,644921,623000,"(NA)"
"29000","Missouri","4","SA6N","539","324","          Petroleum and coal products manufacturing",93283,99619,105944,113702,98950,108785,107351,118789,121756,108320,115092,131901,124127,123188,126551,132637,143099,148376,156568,"(NA)"
"29000","Missouri","4","SA6N","541","325","          Chemical manufacturing",1311251,1291274,1391283,1392896,1369292,1251321,1301640,1340297,1400331,1420377,1511949,1486670,1518157,1562607,1696157,1721500,1781908,1793979,1805542,"(NA)"
"29000","Missouri","4","SA6N","542","326","          Plastics and rubber products manufacturing",734785,780418,796667,784520,829660,830712,861715,886595,903978,903261,903225,774740,822536,818099,839765,864982,900150,966460,990674,"(NA)"
"29000","Missouri","4","SA6N","600","42","      Wholesale trade",5674313,5809890,6122921,6294519,6372739,6498323,6868471,7320009,7710175,8133859,8445743,7981166,8048631,8196152,8536446,8660202,9148268,9410777,9393119,9594189
"29000","Missouri","4","SA6N","700","44-45","      Retail trade",6941827,7450035,7809905,7753260,8118212,8472251,8623888,8930559,9181309,9354624,9465054,9253569,9235485,9317285,9547257,9723841,9899555,10464338,10658430,10776963
"29000","Missouri","4","SA6N","701","441","        Motor vehicle and parts dealers",1428815,1534179,1569551,1658891,1715304,1774889,1767684,1806655,1831980,1842856,1762236,1599884,1673129,1740442,1837572,1920555,1992377,2116442,2165526,"(NA)"
"29000","Missouri","4","SA6N","702","442","        Furniture and home furnishings stores",275810,292969,309578,293121,308218,330085,330079,340512,336035,331351,309543,255904,255009,273500,283749,295561,304417,308926,320102,"(NA)"
"29000","Missouri","4","SA6N","703","443","        Electronics and appliance stores",284317,302673,325882,330207,306920,311511,318463,325838,314977,306372,367164,346843,329388,323887,298657,302152,294227,370601,376192,"(NA)"
"29000","Missouri","4","SA6N","704","444","        Building material and garden equipment and supplies dealers",689118,749923,789838,787562,820510,862266,906209,936138,988651,1002250,972079,910737,901154,898242,909929,944152,974611,1022554,1072363,"(NA)"
"29000","Missouri","4","SA6N","705","445","        Food and beverage stores",991503,1013886,1036674,991911,1039950,1041756,1041296,1038709,1017626,1038994,1132048,1186086,1273047,1268722,1304252,1357803,1342123,1387213,1414125,"(NA)"
"29000","Missouri","4","SA6N","706","446","        Health and personal care stores",385524,417822,464819,479741,523591,571585,608962,650578,704835,731365,759082,766075,780274,784880,801028,819293,830462,864188,885836,"(NA)"
"29000","Missouri","4","SA6N","707","447","        Gasoline stations",458415,487770,504914,483169,494277,510410,510862,520554,532609,551087,564971,555396,564438,557083,586126,604161,627532,667862,700861,"(NA)"
"29000","Missouri","4","SA6N","708","448","        Clothing and clothing accessories stores",382437,408403,426930,395553,426613,454757,471219,482604,505278,513845,499257,463461,454380,448785,455436,474071,469870,487477,470645,"(NA)"
"29000","Missouri","4","SA6N","709","451","        Sporting goods, hobby, musical instrument, and book stores",205671,212610,219489,209268,230330,236087,229458,235778,245065,250814,253888,275723,265717,256095,260508,270121,278666,295159,279704,"(NA)"
"29000","Missouri","4","SA6N","711","452","        General merchandise stores",1191884,1307732,1410630,1389591,1514422,1606695,1657171,1771057,1809913,1853103,1903579,1969620,1838411,1863716,1860373,1771413,1809017,1870681,1907797,"(NA)"
"29000","Missouri","4","SA6N","712","453","        Miscellaneous store retailers",384766,414097,434684,415565,425385,437114,436226,432476,461110,489826,486293,477204,427308,419265,423080,433061,429512,455547,444342,"(NA)"
"29000","Missouri","4","SA6N","713","454","        Nonstore retailers",263567,307971,316916,318681,312692,335096,346259,389660,433230,442761,454914,446636,473230,482668,526547,531498,546741,617688,620937,"(NA)"
"29000","Missouri","4","SA6N","800","48-49","      Transportation and warehousing",4163217,4477096,4587633,4631706,4847299,4764592,4695736,4841920,5046659,5267436,5294166,4951545,4828495,4944298,5187759,5466357,5597368,6010123,6103155,6228364
"29000","Missouri","4","SA6N","801","481","        Air transportation",512165,605247,599067,656564,976406,864982,539471,461717,460534,490249,479137,381538,364435,321442,340691,388711,320922,336235,363954,"(NA)"
"29000","Missouri","4","SA6N","802","482","        Rail transportation",609207,621612,601306,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",777631,692620,"(D)","(D)",844839,840459,890079,"(D)","(D)","(NA)"
"29000","Missouri","4","SA6N","803","483","        Water transportation",14831,16172,16857,19959,21328,17162,34885,41127,56827,62971,69802,81103,55897,41877,42100,44856,45113,53904,44316,"(NA)"
"29000","Missouri","4","SA6N","804","484","        Truck transportation",1769855,1880140,1938284,1829451,1790152,1816777,1952119,2041476,2152575,2193778,2146192,2017776,1924127,1984892,2080983,2161873,2206937,2356491,2366701,"(NA)"
"29000","Missouri","4","SA6N","805","485","        Transit and ground passenger transportation",174699,193110,198400,188284,194015,188702,209861,205427,215034,222412,237596,238240,233677,245759,254864,258639,266244,280916,272824,"(NA)"
"29000","Missouri","4","SA6N","806","486","        Pipeline transportation",18592,17700,21239,17528,17261,21089,22134,25633,26242,25952,30096,30328,31356,32702,32603,35338,34517,36035,39353,"(NA)"
"29000","Missouri","4","SA6N","807","487","        Scenic and sightseeing transportation",5479,6468,6189,7295,8098,8208,7198,6985,8910,8864,9729,9342,9870,10503,9209,7992,8187,12423,13195,"(NA)"
"29000","Missouri","4","SA6N","808","488","        Support activities for transportation",382263,418668,440078,448494,386416,350225,335010,375816,402337,436430,456918,422074,456031,494674,525085,576135,629880,700659,742795,"(NA)"
"29000","Missouri","4","SA6N","809","492","        Couriers and messengers",315687,335646,342199,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",431351,435265,"(D)","(D)",440016,494183,513553,"(D)","(D)","(NA)"
