"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"36000","New York","2","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",412651511,437603167,478743504,493813461,487584314,500088736,531846109,558035470,597720074,645684777,662180649,626070613,652855360,675342218,695222515,711531934,749276162,780662150,793703173,815611434
"36000","New York","2","SA6N","5","...","  Wages and salaries",339066583,360177591,394830380,404771436,395049132,401331388,426400159,446776361,481693076,523001969,534261389,496999509,518423361,538194838,553894438,565156056,600987485,627391960,639447704,657368133
"36000","New York","2","SA6N","6","...","  Supplements to wages and salaries",73584928,77425576,83913124,89042025,92535182,98757348,105445950,111259109,116026998,122682808,127919260,129071104,134431999,137147380,141328077,146375878,148288677,153270190,154255469,158243301
"36000","New York","2","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",49442605,52383454,56801876,60708905,63596146,68833333,74072840,78731680,81895082,86886624,90809032,93335108,97725950,99100706,102043625,105461633,104881549,107999751,108255414,110346777
"36000","New York","2","SA6N","8","...","    Employer contributions for government social insurance",24142323,25042122,27111248,28333120,28939036,29924015,31373110,32527429,34131916,35796184,37110228,35735996,36706049,38046674,39284452,40914245,43407128,45270439,46000055,47896524
"36000","New York","2","SA6N","9","...","Average compensation per job (dollars) 3/",48711,50477,54152,56172,56270,58006,61280,63895,67764,72129,73432,71538,74881,76558,77766,78571,81194,83112,83492,"(NA)"
"36000","New York","2","SA6N","81","111-112","  Farm compensation",463506,427351,497443,520636,634663,584290,579940,482624,541498,668821,651104,593819,579557,503036,737516,739622,797571,665143,765313,791693
"36000","New York","2","SA6N","82","...","  Nonfarm compensation",412188005,437175816,478246061,493292825,486949651,499504446,531266169,557552846,597178576,645015956,661529545,625476794,652275803,674839182,694484999,710792312,748478591,779997007,792937860,814819741
"36000","New York","2","SA6N","90","113-814","    Private nonfarm compensation",334272238,354693180,391253569,402558163,392958795,400837663,426365248,448545396,484353014,526941808,537458856,496882571,517895923,540773828,559972212,571459200,607422907,636796399,648310920,667210327
"36000","New York","2","SA6N","100","113-115","      Forestry, fishing, and related activities",129330,130196,141286,130861,131777,130134,148817,147770,165583,167456,179066,196094,195297,200284,204405,203289,221983,245170,245962,263284
"36000","New York","2","SA6N","101","113","        Forestry and logging",33495,34527,40213,35648,34217,32933,39432,39061,41165,37905,34185,31788,32453,30146,30857,31032,32219,36621,34372,"(NA)"
"36000","New York","2","SA6N","102","114","        Fishing, hunting and trapping",7652,7850,7964,4857,5025,4010,6267,4367,4912,5472,5039,5503,5273,5552,6135,4965,5127,5368,4905,"(NA)"
"36000","New York","2","SA6N","103","115","        Support activities for agriculture and forestry",88183,87819,93109,90356,92535,93191,103118,104342,119506,124079,139842,158803,157571,164586,167413,167292,184637,203181,206685,"(NA)"
"36000","New York","2","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",226263,223581,231891,241411,223018,257261,280930,294457,332507,364915,415209,329050,334640,382084,371564,333804,371196,378613,355883,352468
"36000","New York","2","SA6N","201","211","        Oil and gas extraction",8846,9133,9058,12359,9835,12996,8396,15447,21883,27789,39378,38539,52606,99359,74686,57224,63534,54713,30153,"(NA)"
"36000","New York","2","SA6N","202","212","        Mining (except oil and gas)",202795,200832,204993,208632,193246,221806,246553,248798,271328,290542,294115,243512,237267,238225,240104,244511,272654,291540,297316,"(NA)"
"36000","New York","2","SA6N","203","213","        Support activities for mining",14622,13616,17840,20420,19937,22459,25981,30212,39296,46584,81716,46999,44767,44500,56774,32069,35008,32360,28414,"(NA)"
"36000","New York","2","SA6N","300","22","      Utilities",3508260,3407352,3512968,4077702,4469519,4365314,4405078,4390569,4761347,4888609,5074078,5033231,5197255,5336524,5190447,5189690,5487974,5689527,5880427,6070088
"36000","New York","2","SA6N","400","23","      Construction",14741657,16439733,18494000,19071226,18966484,19453795,19818814,20329542,21916988,24198489,26083150,24117603,23073242,23475304,24337782,25711715,27796364,30253040,32387372,32866974
"36000","New York","2","SA6N","401","236","        Construction of buildings",3282890,3758327,4284221,4444121,4461516,4563464,4686232,4963475,5448490,6130516,6619693,5954771,5666877,5684940,5848263,6175546,6803893,7562296,8300223,"(NA)"
"36000","New York","2","SA6N","402","237","        Heavy and civil engineering construction",1713060,1738256,1925765,2003462,2094187,2189686,2148599,2100831,2238888,2398388,2737835,2750323,2842992,2833952,2908199,2953187,3108132,3429959,3617066,"(NA)"
"36000","New York","2","SA6N","403","238","        Specialty trade contractors",9745707,10943150,12284014,12623643,12410781,12700645,12983983,13265236,14229610,15669585,16725622,15412509,14563373,14956412,15581320,16582982,17884339,19260785,20470083,"(NA)"
"36000","New York","2","SA6N","500","31-33","      Manufacturing",37972123,37168489,38869585,39474446,37676421,37444610,37807702,38153269,38231681,38888460,38479815,34631660,34390031,34579917,35341108,35034008,35277225,37440052,36293666,36158026
"36000","New York","2","SA6N","510","321,327-339","        Durable goods manufacturing",22303788,21780416,23086802,24150152,22832576,22405528,22745572,23068505,23628080,24178097,24100785,21685923,21207360,21802330,22300773,21999468,21999688,23442746,22793015,22497630
"36000","New York","2","SA6N","511","321","          Wood product manufacturing",352218,380253,409229,397541,391375,379682,405308,439804,435054,430484,404792,327359,318889,319062,344374,373767,411980,460216,455292,"(NA)"
"36000","New York","2","SA6N","512","327","          Nonmetallic mineral product manufacturing",1173769,1009908,1133636,1124029,1045344,1011221,1032707,1053769,1077779,1119590,1130858,982527,986455,994189,1021032,1034490,1059216,1110931,1141566,"(NA)"
"36000","New York","2","SA6N","513","331","          Primary metal manufacturing",931988,909710,930450,911718,830027,794837,820889,839773,869798,875787,927172,756941,737488,798610,827380,785984,828952,826142,820354,"(NA)"
"36000","New York","2","SA6N","514","332","          Fabricated metal product manufacturing",3022406,3059040,3204142,3125515,2961003,2911162,3014951,3045470,3159066,3292971,3375693,3025891,2997425,3121739,3324011,3353692,3414250,3493842,3523966,"(NA)"
"36000","New York","2","SA6N","515","333","          Machinery manufacturing",4196228,4080548,4041443,4083225,3764357,3523288,3570563,3588744,3648433,3747733,3873450,3542327,3523843,3796417,3735041,3731399,3752441,4097097,3638139,"(NA)"
