"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"40000","Oklahoma","6","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",46628106,48519385,52110589,54987014,56046222,57680212,60838470,64298910,70075356,73676419,77757302,75922091,78349281,82838144,87294540,90165222,94120148,96175820,94649660,96438499
"40000","Oklahoma","6","SA6N","5","...","  Wages and salaries",38191567,39820646,42486440,44622573,45171865,46249197,48469989,51110208,56336973,59578877,63280222,61188190,62413254,66233157,70175803,72329233,75592680,76954206,75613712,77030895
"40000","Oklahoma","6","SA6N","6","...","  Supplements to wages and salaries",8436539,8698739,9624149,10364441,10874357,11431015,12368481,13188702,13738383,14097542,14477080,14733901,15936027,16604987,17118737,17835989,18527468,19221614,19035948,19407604
"40000","Oklahoma","6","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",5562023,5774011,6503941,7000411,7382718,7783488,8413667,9038864,9355846,9547794,9772214,10118554,11189686,11322396,11433389,12006799,12675358,13415626,13234969,13391272
"40000","Oklahoma","6","SA6N","8","...","    Employer contributions for government social insurance",2874516,2924728,3120208,3364030,3491639,3647527,3954814,4149838,4382537,4549748,4704866,4615347,4746341,5282591,5685348,5829190,5852110,5805988,5800979,6016332
"40000","Oklahoma","6","SA6N","9","...","Average compensation per job (dollars) 3/",30749,31657,33320,34860,36007,37811,39369,40804,43290,44685,46347,46717,48748,50920,52643,53659,55342,56342,56055,"(NA)"
"40000","Oklahoma","6","SA6N","81","111-112","  Farm compensation",187300,212180,206220,233855,169027,196961,277805,266799,251550,349706,402028,298590,299009,320283,401777,336246,361486,223550,254500,264878
"40000","Oklahoma","6","SA6N","82","...","  Nonfarm compensation",46440806,48307205,51904369,54753159,55877195,57483251,60560665,64032111,69823806,73326713,77355274,75623501,78050272,82517861,86892763,89828976,93758662,95952270,94395160,96173621
"40000","Oklahoma","6","SA6N","90","113-814","    Private nonfarm compensation",35688239,36969862,39763383,41787695,42133951,43099393,45441702,48018410,52836634,55166145,58182654,55680791,57149068,61609622,66049034,68563283,71966383,73423043,71467777,73051257
"40000","Oklahoma","6","SA6N","100","113-115","      Forestry, fishing, and related activities",69197,73310,81281,75223,79934,86289,102413,103947,115115,113502,111914,116970,120207,119750,127028,133167,149034,159621,172613,197842
