"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"41000","Oregon","8","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",59764313,63273120,68917593,69628007,70143801,72602481,76943998,80751489,85731851,90163033,91763747,87804017,88720794,92195732,96881443,99728899,104850353,112266004,118195604,122747992
"41000","Oregon","8","SA6N","5","...","  Wages and salaries",47926280,50950564,55205663,55728283,55914034,57325280,60575685,64411219,69043132,72760324,73884899,69955678,70948929,74018783,77158018,80178775,85096007,91143548,96025538,99698993
"41000","Oregon","8","SA6N","6","...","  Supplements to wages and salaries",11838033,12322556,13711930,13899724,14229767,15277201,16368313,16340270,16688719,17402709,17878848,17848339,17771865,18176949,19723425,19550124,19754346,21122456,22170066,23048999
"41000","Oregon","8","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",7402970,7729608,8698728,8951256,9208561,10063202,10760388,10512174,10519437,11044126,11496787,11720748,11389012,11681111,12868737,12365723,12157816,13151743,13947548,14422296
"41000","Oregon","8","SA6N","8","...","    Employer contributions for government social insurance",4435063,4592948,5013202,4948468,5021206,5213999,5607925,5828096,6169282,6358583,6382061,6127591,6382853,6495838,6854688,7184401,7596530,7970713,8222518,8626703
"41000","Oregon","8","SA6N","9","...","Average compensation per job (dollars) 3/",36783,38277,40914,41623,42368,43556,45141,46179,47739,49526,50801,51453,52867,54271,56366,56937,58220,60589,62066,"(NA)"
"41000","Oregon","8","SA6N","81","111-112","  Farm compensation",636144,726345,740425,740161,692568,704166,778901,887894,886673,1020772,1026337,1127659,993967,977254,975115,1060846,1028701,871781,1023753,1062975
"41000","Oregon","8","SA6N","82","...","  Nonfarm compensation",59128169,62546775,68177168,68887846,69451233,71898315,76165097,79863595,84845178,89142261,90737410,86676358,87726827,91218478,95906328,98668053,103821652,111394223,117171851,121685017
"41000","Oregon","8","SA6N","90","113-814","    Private nonfarm compensation",47709149,50298065,55040324,55100833,55177941,57149996,60699477,64641628,69775271,73252607,73817643,68699852,69353111,72329855,77104871,79793464,84170880,90908686,95676863,99508148
"41000","Oregon","8","SA6N","100","113-115","      Forestry, fishing, and related activities",585247,600471,656705,647970,723638,736917,774186,778579,843382,867622,862410,788062,767419,818533,936872,969870,1036045,1121649,1094599,1119151
"41000","Oregon","8","SA6N","101","113","        Forestry and logging",339489,341008,360005,361705,384044,387171,431267,425668,430395,436950,412657,344102,320043,349684,399938,420159,450180,461022,438529,"(NA)"
"41000","Oregon","8","SA6N","102","114","        Fishing, hunting and trapping",43061,44276,48290,28740,30537,30857,33843,34498,36514,37725,38474,40324,35790,38567,40104,41813,43502,45710,49833,"(NA)"
"41000","Oregon","8","SA6N","103","115","        Support activities for agriculture and forestry",202697,215187,248410,257525,309057,318889,309076,318413,376473,392947,411279,403636,411586,430282,496830,507898,542363,614917,606237,"(NA)"
"41000","Oregon","8","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",85778,90341,93571,85620,85063,91659,99778,112149,126586,131417,120426,96517,90456,95194,98465,97650,98225,115170,127025,131319
"41000","Oregon","8","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",840,1156,663,291,393,478,"(D)","(D)","(D)","(D)","(D)","(NA)"
"41000","Oregon","8","SA6N","202","212","        Mining (except oil and gas)",79164,82982,85377,84022,83062,89699,98606,110548,122247,127419,116491,89183,83104,85270,91075,91058,93006,109751,121907,"(NA)"
"41000","Oregon","8","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",3499,2842,3272,7043,6959,9446,"(D)","(D)","(D)","(D)","(D)","(NA)"
"41000","Oregon","8","SA6N","300","22","      Utilities",350089,360215,382354,450763,470793,467003,502919,464758,524025,525793,550503,552737,533535,542889,548733,553758,570655,582187,625025,664296
