"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"97000","Rocky Mountain","7","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",154663049,167126963,184897109,192396504,194396963,199976527,211879176,226006750,244517664,261104449,269854636,261567497,265450403,275729459,289395112,300911323,318332938,334327409,346780374,363285637
"97000","Rocky Mountain","7","SA6N","5","...","  Wages and salaries",127635125,138045340,152762071,158114221,158951711,162403345,171596818,182615417,198157405,212644885,219729731,211472655,214307987,223192173,234944920,243601766,258728916,272688213,282361800,295626589
"97000","Rocky Mountain","7","SA6N","6","...","  Supplements to wages and salaries",27027924,29081623,32135038,34282283,35445252,37573182,40282358,43391333,46360259,48459564,50124905,50094842,51142416,52537286,54450192,57309557,59604022,61639196,64418574,67659048
"97000","Rocky Mountain","7","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",17536590,19006219,21123922,22747707,23306547,24974804,26684249,28788052,30505878,31798399,32999392,33653572,34311308,34557022,35626402,38049789,39129536,40346039,42505792,44439124
"97000","Rocky Mountain","7","SA6N","8","...","    Employer contributions for government social insurance",9491334,10075404,11011116,11534576,12138705,12598378,13598109,14603281,15854381,16661165,17125513,16441270,16831108,17980264,18823790,19259768,20474486,21293157,21912782,23219924
"97000","Rocky Mountain","7","SA6N","9","...","Average compensation per job (dollars) 3/",34799,36549,39158,40421,41155,42475,44172,45868,48013,49914,51286,52051,53447,54656,56137,56918,58526,59824,60719,"(NA)"
"97000","Rocky Mountain","7","SA6N","81","111-112","  Farm compensation",1018497,1039247,1155296,1185839,1325990,1196816,1298533,1457053,1421047,1667435,1613087,1760415,1551728,1529493,1831699,2012036,1996211,1662109,1959249,2035373
"97000","Rocky Mountain","7","SA6N","82","...","  Nonfarm compensation",153644552,166087716,183741813,191210665,193070973,198779711,210580643,224549697,243096617,259437014,268241549,259807082,263898675,274199966,287563413,298899287,316336727,332665300,344821125,361250264
"97000","Rocky Mountain","7","SA6N","90","113-814","    Private nonfarm compensation",122908241,133452840,148834728,153693800,152812554,156154225,165567877,177108552,193615418,207665572,213423401,202695397,204753207,214282610,226981592,237391396,252714397,266495661,276085718,290325426
"97000","Rocky Mountain","7","SA6N","100","113-115","      Forestry, fishing, and related activities",423836,433937,442469,428845,452133,459951,516742,511818,565741,576429,577584,593416,618243,654501,703093,743082,803635,865087,901730,983677
"97000","Rocky Mountain","7","SA6N","101","113","        Forestry and logging",150210,150159,152341,138907,"(D)","(D)","(D)",156680,159846,161431,134625,101255,"(D)","(D)","(D)",124324,"(D)",138983,"(D)","(NA)"
"97000","Rocky Mountain","7","SA6N","102","114","        Fishing, hunting and trapping",14801,16085,14110,9661,"(D)","(D)","(D)",6778,9964,11806,12322,12167,"(D)","(D)","(D)",17483,"(D)",18809,"(D)","(NA)"
"97000","Rocky Mountain","7","SA6N","103","115","        Support activities for agriculture and forestry",258825,267693,276018,280277,295438,317414,350039,348360,395931,403192,430637,479994,494808,525715,572601,601275,653846,707295,745926,"(NA)"
"97000","Rocky Mountain","7","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",2559784,2575674,2736197,3178337,2912965,3077095,3809403,4429952,5698637,6516421,7717350,6345369,6787080,7878619,8670717,8853210,9544816,8627582,6930260,7303694
"97000","Rocky Mountain","7","SA6N","201","211","        Oil and gas extraction",577608,561364,677275,"(D)","(D)","(D)","(D)","(D)",1423941,1655614,"(D)",1891606,2118411,2367616,2559986,2838237,3102648,3108284,2663757,"(NA)"
"97000","Rocky Mountain","7","SA6N","202","212","        Mining (except oil and gas)",1481422,1546860,1462264,1492329,1476996,1449066,1575768,1699030,2011123,2169224,2362471,2195733,2309577,2478847,2600350,2567930,2500267,2486849,2294749,"(NA)"
"97000","Rocky Mountain","7","SA6N","203","213","        Support activities for mining",500754,467450,596658,"(D)","(D)","(D)","(D)","(D)",2263573,2691583,"(D)",2258030,2359092,3032156,3510381,3447043,3941901,3032449,1971754,"(NA)"
"97000","Rocky Mountain","7","SA6N","300","22","      Utilities",1251061,1281594,1305894,"(D)","(D)",1588131,1711214,1761070,2160695,2022760,2162723,2174978,2345799,2452375,2423536,2400263,2501393,2574147,2680602,2704510
"97000","Rocky Mountain","7","SA6N","400","23","      Construction",10499384,11896155,13437715,13897230,"(D)",13274456,14045529,15699217,17991412,19812058,19282366,15762892,14571497,14440942,15288614,16659355,18856655,20172508,21559249,22853215
"97000","Rocky Mountain","7","SA6N","401","236","        Construction of buildings",2434682,2739899,3118571,3252901,"(D)",3128751,3334632,3736422,4335530,4641453,4321523,3484472,3033841,2954301,3129931,3476491,3968484,4387531,4810925,"(NA)"
"97000","Rocky Mountain","7","SA6N","402","237","        Heavy and civil engineering construction",1920972,2143594,2310576,2477648,2465796,2305936,2378206,2665373,3156452,3761316,3774944,3138044,3171692,3201383,3275630,3452723,3810951,3754116,3620120,"(NA)"
"97000","Rocky Mountain","7","SA6N","403","238","        Specialty trade contractors",6143730,7012662,8008568,8166681,7882389,7839769,8332691,9297422,10499430,11409289,11185899,9140376,8365964,8285258,8883053,9730141,11077220,12030861,13128204,"(NA)"
"97000","Rocky Mountain","7","SA6N","500","31-33","      Manufacturing",18174979,19096512,20775777,20783095,"(D)",19702066,20513702,21357102,22514437,23392844,23684040,21594963,21687689,22601015,23545051,24403900,25961845,26999574,27665889,29195135
"97000","Rocky Mountain","7","SA6N","510","321,327-339","        Durable goods manufacturing",12966077,13732515,15102210,14852000,"(D)","(D)","(D)",15035402,15921965,16587521,16420102,14634856,14631403,15381568,16102796,16549967,17520022,18255510,18587781,19826443
"97000","Rocky Mountain","7","SA6N","511","321","          Wood product manufacturing",799270,849533,865629,823698,814619,810459,867461,941991,1010252,1026346,897023,599938,"(D)","(D)",621440,688555,731212,763683,801570,"(NA)"
"97000","Rocky Mountain","7","SA6N","512","327","          Nonmetallic mineral product manufacturing",758743,807228,876212,891594,848913,849257,891720,957731,1063495,1156178,1102355,881629,875007,880360,964874,997666,1070023,1102403,1131220,"(NA)"
"97000","Rocky Mountain","7","SA6N","513","331","          Primary metal manufacturing",541898,437311,471185,460117,356185,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",471580,"(D)","(D)",583445,"(D)","(D)",541676,"(NA)"
"97000","Rocky Mountain","7","SA6N","514","332","          Fabricated metal product manufacturing",1380398,1451888,1524628,1534910,1490963,1461467,1543070,1619846,1773983,1899090,1963316,1776050,1723804,1834705,2001507,2123328,2257420,2339946,2368416,"(NA)"
"97000","Rocky Mountain","7","SA6N","515","333","          Machinery manufacturing",1000054,992665,1055001,1089448,1021417,966245,1006611,1083352,1184544,1303988,1411451,1320712,1328222,1459585,1554441,1544973,1621725,1717860,1736260,"(NA)"
"97000","Rocky Mountain","7","SA6N","516","334","          Computer and electronic product manufacturing",4785920,5425179,6371573,"(D)",5460295,4988877,5074754,5194361,5337676,5345257,5177474,4655192,4848243,5101948,5259692,"(D)","(D)",5600986,5584503,"(NA)"
"97000","Rocky Mountain","7","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",162041,179131,202944,256853,226451,228713,247131,253401,280562,294011,309204,295191,322087,355268,416331,433829,457409,473767,491311,"(NA)"
