"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"49000","Utah","7","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",35088657,37368289,40183871,42098649,42991189,44369253,47696110,51309312,56685563,61519657,63352763,61352845,62219626,65622763,68914596,72204493,75674954,80344091,85382994,89540577
"49000","Utah","7","SA6N","5","...","  Wages and salaries",28814471,30632372,32974823,34266548,34855773,35698404,38118249,40878126,45076805,49191003,50575794,48890584,49652799,52007828,55111673,57373060,60591619,64645373,68297905,71494189
"49000","Utah","7","SA6N","6","...","  Supplements to wages and salaries",6274186,6735917,7209048,7832101,8135416,8670849,9577861,10431186,11608758,12328654,12776969,12462261,12566827,13614935,13802923,14831433,15083335,15698718,17085089,18046388
"49000","Utah","7","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",4022177,4387566,4694518,5177338,5410197,5791540,6429686,7015428,7898243,8410754,8767446,8620666,8699023,9408960,9373048,10190282,10215732,10648849,11812069,12454922
"49000","Utah","7","SA6N","8","...","    Employer contributions for government social insurance",2252009,2348351,2514530,2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3867804,4205975,4429875,4641151,4867603,5049869,5273020,5591466
"49000","Utah","7","SA6N","9","...","Average compensation per job (dollars) 3/",32767,34056,35725,37231,38166,39348,41126,42686,44977,46960,48311,49183,50327,51901,52813,53763,54739,56196,57729,"(NA)"
"49000","Utah","7","SA6N","81","111-112","  Farm compensation",105007,107667,120535,125507,141601,129692,142528,162255,159745,188898,184601,200938,175757,172046,200427,220565,213347,181752,214334,222679
"49000","Utah","7","SA6N","82","...","  Nonfarm compensation",34983650,37260622,40063336,41973142,42849588,44239561,47553582,51147057,56525818,61330759,63168162,61151907,62043869,65450717,68714169,71983928,75461607,80162339,85168660,89317898
"49000","Utah","7","SA6N","90","113-814","    Private nonfarm compensation",27887866,29709667,31932146,33165432,33430931,34301626,36953368,39963620,44785434,48997565,50247713,47773261,48078234,51110079,54416146,57631879,60590597,64869520,69132524,72709840
"49000","Utah","7","SA6N","100","113-115","      Forestry, fishing, and related activities",37871,39486,38374,28506,25803,26484,28948,29923,37030,43125,43198,44828,45410,48135,51042,55601,61483,63606,69546,72697
"49000","Utah","7","SA6N","101","113","        Forestry and logging","(T)","(T)","(T)",2358,1988,1460,1226,1263,1589,2097,2217,1602,1850,2094,2143,"(D)",3099,"(D)",3662,"(NA)"
"49000","Utah","7","SA6N","102","114","        Fishing, hunting and trapping",12331,12522,10498,7791,4366,4311,2889,4045,6185,8066,8707,8507,9409,10150,11250,"(D)",13385,"(D)",15098,"(NA)"
"49000","Utah","7","SA6N","103","115","        Support activities for agriculture and forestry",21755,23155,23845,18357,19449,20713,24833,24615,29256,32962,32274,34719,34151,35891,37649,39971,44999,46586,50786,"(NA)"
"49000","Utah","7","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",396554,376303,411043,439161,397514,406179,472247,574962,768915,889715,1036404,846836,864139,1006877,1144143,1136191,1142267,996737,845834,807714
