"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"15000","Hawaii","8","SA6","1","...","Compensation of employees (thousands of dollars) 1/",981900,1090984,1220909,1318165,1403043,1516666,1658705,1818821,1999878,2159211,2453689,2810856,3231050,3449266,3772249,4208685,4617828,5101583,5465083,5894463,6568032,7300456,8150258,8820988,9395394,10050571,10751567,11470051,12262535,13277057,14610719,16154398,17881783,19073428,20421406,20753491,20965754,20870886,20762471,21276946,21741346,22424151,23673812,24635090
"15000","Hawaii","8","SA6","5","...","  Wages and salaries",846735,951104,1076199,1157992,1230951,1320406,1440726,1574843,1730399,1868210,2118668,2427859,2778630,2935296,3188460,3551052,3890840,4240611,4533106,4874342,5422253,6010042,6683532,7182294,7605755,8084545,8593972,9159852,9763673,10666456,11767357,12997873,14404760,15296012,16257213,16515923,16666378,16680133,16718142,17215868,17621036,18185436,19173030,19831092
"15000","Hawaii","8","SA6","6","...","  Supplements to wages and salaries",135165,139880,144710,160173,172092,196260,217979,243978,269479,291001,335021,382997,452420,513970,583789,657633,726988,860972,931977,1020121,1145779,1290414,1466726,1638694,1789639,1966026,2157595,2310199,2498862,2610601,2843362,3156525,3477023,3777416,4164193,4237568,4299376,4190753,4044329,4061078,4120310,4238715,4500782,4803998
"15000","Hawaii","8","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",113336,115049,116180,129258,139103,155054,171960,196785,209573,222121,253158,280980,332484,378923,424712,459040,500620,607453,650603,719827,804714,891267,1028204,1140632,1272834,1394279,1521624,1635919,1769920,1821866,1946911,2173654,2342980,2559788,2855147,2909168,2963009,2877915,2736380,2735531,2792917,2885389,3070357,3297837
"15000","Hawaii","8","SA6","8","...","    Employer contributions for government social insurance",21829,24831,28530,30915,32989,41206,46019,47193,59906,68880,81863,102017,119936,135047,159077,198593,226368,253519,281374,300294,341065,399147,438522,498062,516805,571747,635971,674280,728942,788735,896451,982871,1134043,1217628,1309046,1328400,1336367,1312838,1307949,1325547,1327393,1353326,1430425,1506161
"15000","Hawaii","8","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7620,8388,8865,9428,10056,10842,11743,12399,13130,13992,14951,16341,17765,19102,20027,21134,21990,23081,23943,25616,27054,28896,30302,32210,33175,33874,34120,34157,35049,35851,36889,37929,39227
"15000","Hawaii","8","SA6","81","[01-02]","  Farm compensation",52590,60197,62267,62882,65092,71063,75086,77474,81646,87059,87232,87956,99465,91407,91482,110234,126455,132707,139699,145738,137397,146416,148440,139602,161955,157544,166744,171091,162693,165153,194948,197627,196983,195228,197877,194714,193888,174758,175460,168752,180572,202388,201204,197565
"15000","Hawaii","8","SA6","82","...","  Nonfarm compensation",929310,1030787,1158642,1255283,1337951,1445603,1583619,1741347,1918232,2072152,2366457,2722900,3131585,3357859,3680767,4098451,4491373,4968876,5325384,5748725,6430635,7154040,8001818,8681386,9233439,9893027,10584823,11298960,12099842,13111904,14415771,15956771,17684800,18878200,20223529,20558777,20771866,20696128,20587011,21108194,21560774,22221763,23472608,24437525
"15000","Hawaii","8","SA6","90","...","    Private nonfarm compensation",478807,552367,633753,681345,708710,751164,827781,918237,1028562,1104605,1276135,1533127,1772823,1866945,2044734,2330938,2564706,2856538,3072063,3367855,3868485,4465065,5006763,5428734,5654890,6092024,6520080,7001748,7675384,8533150,9519407,10744458,12148318,12965829,13847009,14133423,14224429,14167402,14228118,14443935,14735647,15053979,16083866,16693572
"15000","Hawaii","8","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",2150,2212,2397,3165,3604,3622,3917,4855,4897,5068,5575,6321,7913,9106,10280,11677,12297,11896,15194,16991,22583,27845,32818,34896,32481,36952,43272,44063,51063,59383,70185,75579,88911,107548,113736,115328,109844,107352,101057,96419,96872,106131,114481,120270
