"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"37000","North Carolina","5","SA6","1","...","Compensation of employees (thousands of dollars) 1/",4521853,5027523,5307597,5563673,6045693,6461752,7016347,7763451,8783085,9577253,10785632,11984917,12955819,14078383,15999693,17969882,19709238,20701720,23154833,25758632,29090779,32645506,35915494,39718818,41796653,45849929,51490840,56110959,60828453,66352470,72184579,77437894,82166513,85079271,93129007,98490223,105150648,111276433,117615339,126726508,136382865,146066427,156097444,160396905
"37000","North Carolina","5","SA6","5","...","  Wages and salaries",4126051,4569357,4814235,5040908,5476005,5828645,6335341,6982122,7864084,8535708,9589679,10678236,11519637,12464559,14093152,15789440,17246446,17839115,19912388,22029899,24822062,27792729,30477141,33506548,35063163,38275115,43015059,46804283,50532171,55240969,60009984,64000782,67739520,69749903,75555747,79854116,85335123,91097636,96687395,104481312,112582392,120556775,129043477,132002644
"37000","North Carolina","5","SA6","6","...","  Supplements to wages and salaries",395802,458166,493362,522765,569688,633107,681006,781329,919001,1041545,1195953,1306681,1436182,1613824,1906541,2180442,2462792,2862605,3242445,3728733,4268717,4852777,5438353,6212270,6733490,7574814,8475781,9306676,10296282,11111501,12174595,13437112,14426993,15329368,17573260,18636107,19815525,20178797,20927944,22245196,23800473,25509652,27053967,28394261
"37000","North Carolina","5","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",281091,315440,328125,355660,381268,410261,448332,531685,599486,679446,767878,852439,947097,1054933,1233042,1322796,1495343,1854689,2054053,2405831,2727116,3073066,3507288,3959208,4386544,4917446,5349438,5957518,6617199,7180031,7796818,8815328,9417741,10115983,11892362,12581255,13327399,13351084,13759522,14574813,15522069,16705645,17715098,18697269
"37000","North Carolina","5","SA6","8","...","    Employer contributions for government social insurance",114711,142726,165237,167105,188420,222846,232674,249644,319515,362099,428075,454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992
"37000","North Carolina","5","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5714,6147,6647,7209,7739,8394,9167,9796,10505,11466,12408,13669,14996,16022,17100,18182,19282,20345,21335,22344,23397,24563,25811,27478,28240,29201,29981,31042,32448,34186,35809,37785,39325
"37000","North Carolina","5","SA6","81","[01-02]","  Farm compensation",80268,84935,85502,94716,97088,120404,122765,129729,135426,127513,126931,134776,141781,133442,126995,152330,174733,170562,229546,238869,256439,271902,270490,255976,279856,267265,267770,269607,249762,250231,284098,307707,363569,359965,358293,385857,384223,426576,421408,454115,493404,497879,444665,516547
"37000","North Carolina","5","SA6","82","...","  Nonfarm compensation",4441585,4942588,5222095,5468957,5948605,6341348,6893582,7633722,8647659,9449740,10658701,11850141,12814038,13944941,15872698,17817552,19534505,20531158,22925287,25519763,28834340,32373604,35645004,39462842,41516797,45582664,51223070,55841352,60578691,66102239,71900481,77130187,81802944,84719306,92770714,98104366,104766425,110849857,117193931,126272393,135889461,145568548,155652779,159880358
"37000","North Carolina","5","SA6","90","...","    Private nonfarm compensation",3441710,3871409,4106724,4259011,4628706,4938568,5393868,5991424,6785215,7351214,8297072,9209221,9935408,10768775,12277772,13905686,15084360,15589261,17702495,19765478,22505434,25552028,28030151,30974645,32390935,35955044,40689808,44279943,48157073,52844923,57550530,61541016,65123855,67085200,72886882,77552508,83266188,88435819,93932401,101686701,109718076,117763590,125793947,128227246
"37000","North Carolina","5","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",11209,11052,11277,11896,12333,12877,14281,15706,17408,19052,22601,28843,32505,35598,39882,46112,47567,48317,59937,67859,91903,109891,115783,111536,108423,124374,152518,187289,209933,240669,266556,277686,307901,326223,332319,367360,400085,439670,494009,556205,620903,712901,758178,841220
