"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"38000","North Dakota","4","SA6","1","...","Compensation of employees (thousands of dollars) 1/",536225,584388,618243,642789,704546,752524,808496,868626,910327,937844,1002519,1073343,1217281,1341740,1489087,1661192,1882610,2137350,2430699,2631254,3004120,3398518,3729676,4225793,4511398,4710776,4857049,4966570,5005210,5183646,5405669,5639652,6014480,6337660,6766419,7164112,7564538,7971910,8398569,8829274,9308456,9685499,10233340,10791911
"38000","North Dakota","4","SA6","5","...","  Wages and salaries",497624,538489,565214,583094,637468,675039,725090,775450,807331,827428,882433,947416,1068556,1168223,1288680,1432129,1620595,1832979,2086085,2251995,2572367,2907436,3183473,3598545,3828386,3960748,4065767,4139030,4148115,4294141,4471331,4636644,4924267,5163531,5480463,5785859,6120763,6480016,6853904,7238872,7635944,7968517,8359598,8782468
"38000","North Dakota","4","SA6","6","...","  Supplements to wages and salaries",38601,45899,53029,59695,67078,77485,83406,93176,102996,110416,120086,125927,148725,173517,200407,229063,262015,304371,344614,379259,431753,491082,546203,627248,683012,750028,791282,827540,857095,889505,934338,1003008,1090213,1174129,1285956,1378253,1443775,1491894,1544665,1590402,1672512,1716982,1873742,2009443
"38000","North Dakota","4","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",24154,28430,32887,38861,43047,48919,53875,62348,66912,70161,75466,78904,94745,111013,126499,137045,153756,180186,196755,218072,242256,270754,306049,342974,375273,417758,436530,472044,496109,514675,526555,578740,615746,663473,737275,777460,804015,816299,837545,866411,909724,943134,1057120,1201093
"38000","North Dakota","4","SA6","8","...","    Employer contributions for government social insurance",14447,17469,20142,20834,24031,28566,29531,30828,36084,40255,44620,47023,53980,62504,73908,92018,108259,124185,147859,161187,189497,220328,240154,284274,307739,332270,354752,355496,360986,374830,407783,424268,474467,510656,548681,600793,639760,675595,707120,723991,762788,773848,816622,808350
"38000","North Dakota","4","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5617,6144,6640,7182,7686,8322,9187,10009,10736,11670,12744,13904,15535,16580,17189,17657,18138,18641,19036,19543,20187,21206,21973,22898,23606,24347,24972,25713,26580,27660,28487,29888,31310
"38000","North Dakota","4","SA6","81","[01-02]","  Farm compensation",31140,29416,33476,29378,36686,33743,34032,39650,40684,38680,39114,38150,39684,43022,41875,46837,57781,62284,75714,68560,76572,81390,82042,77497,82987,80482,81380,83068,77439,78949,84465,86207,94744,86525,85123,90556,105177,104896,111464,121418,137958,130121,143486,161568
"38000","North Dakota","4","SA6","82","...","  Nonfarm compensation",505085,554972,584767,613411,667860,718781,774464,828976,869643,899164,963405,1035193,1177597,1298718,1447212,1614355,1824829,2075066,2354985,2562694,2927548,3317128,3647634,4148296,4428411,4630294,4775669,4883502,4927771,5104697,5321204,5553445,5919736,6251135,6681296,7073556,7459361,7867014,8287105,8707856,9170498,9555378,10089854,10630343
"38000","North Dakota","4","SA6","90","...","    Private nonfarm compensation",370414,403001,409365,414218,449596,475128,511707,538742,550940,575009,616760,661811,748886,820703,920993,1042116,1219611,1414485,1638288,1805045,2110202,2431917,2684371,3059049,3253931,3384487,3456999,3463274,3455447,3590730,3745720,3907608,4191474,4433076,4759866,5097530,5428781,5751542,6139235,6502610,6927539,7243265,7664182,8031761
"38000","North Dakota","4","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",2439,2321,1933,2017,2017,2104,2290,2519,2948,3296,3260,3666,4204,4969,5580,6921,8012,7530,8747,9018,11737,12892,13729,13718,13766,15375,17478,19241,22179,22557,23919,24441,27008,28651,29259,32496,34084,36190,37654,37899,40695,45942,46752,50430
"38000","North Dakota","4","SA6","110","07","        Agricultural services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",13306,14941,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",45189,45931,"(NA)"
"38000","North Dakota","4","SA6","120","...","        Forestry and fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",460,434,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",753,821,"(NA)"
"38000","North Dakota","4","SA6","121","08","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
