"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"91000","New England","1","SA6","1","...","Compensation of employees (thousands of dollars) 1/",17026632,18390638,19274860,20091741,21345600,22218279,23546646,25199623,27885751,30111710,32701893,35839418,38318593,40227416,43947624,48343754,51755238,54019386,58951799,65013131,73044690,82176839,91447885,100666628,108410809,118118474,132624056,144992586,158267131,173907084,190941256,200571561,205443657,205254098,215455157,223620832,232558583,244208663,257012588,275399950,295882993,317554042,350035947,361054859
"91000","New England","1","SA6","5","...","  Wages and salaries",15559827,16751853,17506067,18213269,19287727,20020301,21211885,22684936,24971282,26969392,29218594,31935408,34064897,35556564,38560782,42340307,45241306,46645185,50740389,55573449,62212823,69711792,77416514,84756065,90916567,98567769,110593349,120813737,131634282,145001024,159268696,166261771,170036922,169099385,176005939,182077214,189690027,200509780,212088409,228514518,246152313,264366232,291619018,299152717
"91000","New England","1","SA6","6","...","  Supplements to wages and salaries",1466805,1638785,1768793,1878472,2057873,2197978,2334761,2514687,2914469,3142318,3483299,3904010,4253696,4670852,5386842,6003447,6513932,7374201,8211410,9439682,10831867,12465047,14031371,15910563,17494242,19550705,22030707,24178849,26632849,28906060,31672560,34309790,35406735,36154713,39449218,41543618,42868556,43698883,44924179,46885432,49730680,53187810,58416929,61902142
"91000","New England","1","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",1055406,1135021,1184657,1267269,1333658,1408828,1526646,1682057,1847366,2012077,2224594,2515842,2801541,3090856,3534289,3667914,3948742,4774665,5210891,6078242,6895110,7909738,9074549,10138998,11247737,12556738,13715122,15272329,16918886,18457074,20029832,22402684,23299939,23953598,26615724,28091721,28670068,28861269,29404482,30431912,32310566,34815703,38429811,41338219
"91000","New England","1","SA6","8","...","    Employer contributions for government social insurance",411399,503764,584136,611203,724215,789150,808115,832630,1067103,1130241,1258705,1388168,1452155,1579996,1852553,2335533,2565190,2599536,3000519,3361440,3936757,4555309,4956822,5771565,6246505,6993967,8315585,8906520,9713963,10448986,11642728,11907106,12106796,12201115,12833494,13451897,14198488,14837614,15519697,16453520,17420114,18372107,19987118,20563923
"91000","New England","1","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7241,7760,8272,8860,9409,9996,10798,11523,12312,13220,14369,15780,17282,18740,20025,21342,22722,24152,25785,27673,29112,30740,32328,34245,35065,35919,37026,38411,40283,42337,44595,48063,49517
"91000","New England","1","SA6","81","[01-02]","  Farm compensation",131224,110499,112409,110848,113238,115762,116294,119484,119052,119417,117860,118235,123331,119544,119802,139839,149197,160472,169053,198779,196474,210868,214803,204354,216769,212681,219719,226318,216116,221364,247686,267019,313431,308228,297569,332687,329888,371713,385468,404753,410018,379554,440096,460730
"91000","New England","1","SA6","82","...","  Nonfarm compensation",16895408,18280139,19162451,19980893,21232362,22102517,23430352,25080139,27766699,29992293,32584033,35721183,38195262,40107872,43827822,48203915,51606041,53858914,58782746,64814352,72848216,81965971,91233082,100462274,108194040,117905793,132404337,144766268,158051015,173685720,190693570,200304542,205130226,204945870,215157588,223288145,232228695,243836950,256627120,274995197,295472975,317174488,349595851,360594129
"91000","New England","1","SA6","90","...","    Private nonfarm compensation",14054708,15319345,16066206,16652769,17747919,18421098,19483473,20911216,23236509,25031917,27025918,29619132,31358892,32508842,35381667,39096278,42142788,43562443,47906169,52989071,59967294,68037243,76121985,84247402,90968403,99407746,112307752,122720998,134466526,148189352,162659808,169728076,172621348,171612707,180221453,186817674,194344414,204756057,216190802,233031188,251826831,270703316,300317945,307955152
"91000","New England","1","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",60166,55807,51189,56206,60873,62958,66360,72637,76842,79891,85128,92697,101133,109983,118599,135001,142632,155880,175348,185131,245677,287320,321250,326581,359515,408180,467180,525486,636182,754308,848216,885444,868949,838943,840066,843531,873242,906174,976169,1040131,1143421,1324446,1437003,1616921
"91000","New England","1","SA6","110","07","        Agricultural services",31795,29327,31600,34570,37803,38877,43233,46231,51867,56941,62997,68599,75882,83437,87229,100804,106212,107047,117475,125949,165720,192611,221200,213317,257438,298708,358918,432035,523337,622716,715668,743230,714253,678340,682994,712158,751983,777783,848248,909635,1012394,1165605,1264683,"(NA)"
"91000","New England","1","SA6","120","...","        Forestry and fishing",28371,26480,19589,21636,23070,24081,23127,26406,24975,22950,22131,24098,25251,26546,31370,34197,36420,48833,57873,59182,79957,94709,100050,113264,102077,109472,108262,93451,112845,131592,132548,142214,154696,160603,157072,131373,121259,128391,127921,130496,131027,158841,172320,"(NA)"
"91000","New England","1","SA6","121","08","          Forestry",848,614,567,634,865,1070,1289,1414,1399,1748,1401,1699,1854,2198,2337,2509,2607,4296,4554,5101,5690,9422,14273,16295,16628,14643,14276,11460,12863,14395,16601,18042,18155,18233,18421,18623,18669,21036,21721,22652,"(D)","(D)",30169,"(NA)"
"91000","New England","1","SA6","122","...","          Fishing",27523,25866,19022,21002,22205,23011,21838,24992,23576,21202,20730,22399,23397,24348,29033,31688,33813,44537,53319,54081,74267,85287,85777,96969,85449,94829,93986,81991,99982,117197,115947,124172,136541,142370,138651,112750,102590,107355,106200,107844,"(D)","(D)",142151,"(NA)"
"91000","New England","1","SA6","200","B","      Mining",21685,21864,22727,23591,24512,24204,25751,27842,28427,27779,31392,34010,36004,35893,37012,39894,42949,47908,49344,81640,88847,102623,124498,160835,135735,126146,130810,150694,173512,196396,216398,184062,152176,130506,139032,152135,155998,155340,156838,166632,180068,202024,201197,219638
"91000","New England","1","SA6","210","10","        Metal mining",825,566,518,411,419,653,742,1229,596,509,788,1110,1383,1256,1961,1609,1925,2224,2061,2180,912,3623,13907,14922,12067,5261,3923,1464,"(D)",1276,1050,18899,8966,5292,4162,5716,"(D)",933,"(D)",568,262,"(D)",396,"(NA)"
"91000","New England","1","SA6","220","12","        Coal mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",31062,26715,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",5831,5163,9170,"(D)",276,"(D)",0,0,0,0,"(NA)"
