"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"96000","Southwest","6","SA6","1","...","Compensation of employees (thousands of dollars) 1/",17486876,18695431,19471501,20352570,21635765,22701228,24369510,26043786,28934780,31830246,35513093,39828687,43297621,46871969,52087515,58875280,66691490,74284787,84476750,95982704,111796122,129843335,150184786,174930989,190105036,197181780,215245549,230530480,234683356,240659935,255593840,271216828,291944443,309295818,329845351,347496499,368191401,391180017,417627341,453603866,496709228,528440718,576479367,603033235
"96000","Southwest","6","SA6","5","...","  Wages and salaries",15843024,16901147,17567529,18326545,19464843,20381683,21881469,23364194,25785962,28308057,31597121,35326838,38294183,41151308,45462855,51303113,57956565,63902729,72581054,82066968,95608338,110800367,128112789,149039948,161414078,166423824,181491555,194028598,196152850,201220480,213070945,224181374,240686164,253604643,269237037,283374262,300457531,321644408,344829353,376616056,413345338,440229257,480035685,499767920
"96000","Southwest","6","SA6","6","...","  Supplements to wages and salaries",1643852,1794284,1903972,2026025,2170922,2319545,2488041,2679592,3148818,3522189,3915972,4501849,5003438,5720661,6624660,7572167,8734925,10382058,11895696,13915736,16187784,19042968,22071997,25891041,28690958,30757956,33753994,36501882,38530506,39439455,42522895,47035454,51258279,55691175,60608314,64122237,67733870,69535609,72797988,76987810,83363890,88211461,96443682,103265315
"96000","Southwest","6","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",1279584,1353360,1388092,1488474,1573855,1651826,1799245,1957807,2200719,2454650,2717039,3079944,3473388,3983429,4559469,4905027,5617008,6942667,7803277,9232161,10555168,12289753,14378363,16427399,18289655,19800012,21203339,23270887,25095565,25893047,27636132,31381233,34406659,37646136,41371931,43663648,45816156,46615197,48153476,50459214,54639688,57950505,63829278,68896921
"96000","Southwest","6","SA6","8","...","    Employer contributions for government social insurance",364268,440924,515880,537551,597067,667719,688796,721785,948099,1067539,1198933,1421905,1530050,1737232,2065191,2667140,3117917,3439391,4092419,4683575,5632616,6753215,7693634,9463642,10401303,10957944,12550655,13230995,13434941,13546408,14886763,15654221,16851620,18045039,19236383,20458589,21917714,22920412,24644512,26528596,28724202,30260956,32614404,34368394
"96000","Southwest","6","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6590,7085,7539,8044,8587,9378,10328,11220,12140,13273,14642,16317,18177,19547,20430,21296,22218,22876,23460,24456,25365,26599,27846,29215,29871,30576,31333,32508,34018,35925,37409,39680,41160
"96000","Southwest","6","SA6","81","[01-02]","  Farm compensation",372821,380875,387694,409906,410749,382586,379796,375855,388722,385318,413539,445453,450218,438536,466749,501522,541712,551565,606197,706203,807231,866707,881281,847748,928793,904068,917296,941353,890239,916409,1008592,1066115,1218878,1169697,1088966,1216391,1248445,1406019,1380192,1505312,1484958,1609244,1621423,1762733
"96000","Southwest","6","SA6","82","...","  Nonfarm compensation",17114055,18314556,19083807,19942664,21225016,22318642,23989714,25667931,28546058,31444928,35099554,39383234,42847403,46433433,51620766,58373758,66149778,73733222,83870553,95276501,110988891,128976628,149303505,174083241,189176243,196277712,214328253,229589127,233793117,239743526,254585248,270150713,290725565,308126121,328756385,346280108,366942956,389773998,416247149,452098554,495224270,526831474,574857944,601270502
"96000","Southwest","6","SA6","90","...","    Private nonfarm compensation",12805451,13845769,14378982,14947819,15902369,16681652,17968410,19222416,21272451,23325826,26126063,29503046,31794539,34061406,38003552,43428657,49843456,55680719,63916609,73713486,87428235,103094011,120501945,141501371,153046581,157156650,172393074,183697101,185678530,189479140,201073294,212616829,229023215,242674329,257926288,272179295,289378945,308730918,332314866,364486018,403119912,429272418,470239278,489257423
"96000","Southwest","6","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",33180,36451,40624,46060,54325,62765,74398,84197,90748,106697,121093,140414,158389,175945,196343,229041,260770,279903,330743,378731,494258,608058,685333,693203,739347,789141,881115,1008679,1058105,1118128,1177823,1192885,1291686,1412129,1476403,1591527,1685668,1796888,1893197,2053298,2247532,2621990,2751546,3002334
"96000","Southwest","6","SA6","110","07","        Agricultural services",23921,27752,34188,39110,45840,53614,65240,72848,79458,94101,109328,128666,146523,160693,176847,206231,240426,253767,293654,342039,453204,559369,639963,655824,701930,746069,847796,965280,1016156,1078419,1132361,1142674,1237091,1356756,1417889,1531441,1621125,1731604,1826083,1985947,2177571,2545562,2668204,"(NA)"
"96000","Southwest","6","SA6","120","...","        Forestry and fishing",9259,8699,6436,6950,8485,9151,9158,11349,11290,12596,11765,11748,11866,15252,19496,22810,20344,26136,37089,36692,41054,48689,45370,37379,37417,43072,33319,43399,41949,39709,45462,50211,54595,55373,58514,60086,64543,65284,67114,67351,69961,76428,83342,"(NA)"
"96000","Southwest","6","SA6","121","08","          Forestry",60,"(L)",73,603,822,914,1024,1118,822,1087,1273,1387,1016,1061,1554,1847,1228,1674,5573,10034,12756,14199,16879,18357,16660,17423,20577,21675,20823,16409,19361,22194,23410,24044,28059,26665,28171,30910,33183,32872,33843,38882,44392,"(NA)"
"96000","Southwest","6","SA6","122","...","          Fishing",9199,8650,6363,6347,7663,8237,8134,10231,10468,11509,10492,10361,10850,14191,17942,20963,19116,24462,31516,26658,28298,34490,28491,19022,20757,25649,12742,21724,21126,23300,26101,28017,31185,31329,30455,33421,36372,34374,33931,34479,36118,37546,38950,"(NA)"
"96000","Southwest","6","SA6","200","B","      Mining",1264403,1321610,1335638,1373767,1396386,1385940,1420422,1447092,1508894,1531333,1620835,1794004,1897822,1973227,2124805,2392580,3019269,3633739,4140075,4947013,6220935,7590603,10043216,13946585,15158759,13416706,14029436,13964664,11850963,10881449,11218539,11230055,12047329,12956432,13076937,13094949,13101330,12920292,13488163,14683218,15153408,14395609,15781990,17145615
"96000","Southwest","6","SA6","210","10","        Metal mining",123866,127438,160203,167099,170597,164795,175811,180903,194591,168549,208068,262012,302909,315053,356342,401578,487728,511840,589837,628922,658749,832475,895940,1113382,807048,616622,578773,517794,441184,447409,561258,560514,614292,642322,659557,643715,656683,742258,922415,892404,875661,"(D)","(D)","(NA)"
"96000","Southwest","6","SA6","220","12","        Coal mining",6365,7112,6374,5400,5035,5105,5159,5271,5262,5671,8267,10231,14293,16142,18569,21433,29387,44732,58013,83371,121896,148104,183584,221825,"(D)",219554,247967,254753,401576,396886,360041,365181,386902,405431,431271,397620,388984,386937,391040,403531,"(D)",394051,398938,"(NA)"
"96000","Southwest","6","SA6","230","13","        Oil and gas extraction",1062741,1111881,1091539,1123496,1147651,1141272,1163139,1176975,1223615,1268470,1319030,1428525,1483166,1543087,1642967,1852474,2369341,2927361,3330724,4044067,5225104,6361104,8667012,12270929,13765278,12243364,12863518,12867215,10691618,9705483,9960162,9973259,10713169,11580722,11633753,11707286,11689791,11395095,11747992,12938805,"(D)","(D)","(D)","(NA)"
"96000","Southwest","6","SA6","240","14","        Nonmetallic minerals, except fuels",71431,75179,77522,77772,73103,74768,76313,83943,85426,88643,85470,93236,97454,98945,106927,117095,132813,149806,161501,190653,215186,248920,296680,340449,"(D)",337166,339178,324902,316585,331671,337078,331101,332966,327957,352356,346328,365872,396002,426716,448478,480892,514284,523973,"(NA)"
"96000","Southwest","6","SA6","300","C","      Construction",1114151,1227487,1250406,1336131,1405519,1438679,1582942,1654164,1884788,2053198,2297851,2669003,2896548,3211040,3605516,4214557,4880089,5298846,6187574,7297327,8988844,10771463,11669134,12690869,13284534,13740752,14968792,15651045,15012450,13321717,13266443,13378076,14391251,15047898,15950257,16760930,18996156,20981259,22878360,24660058,27733847,30545976,34075214,36025470
