"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"48000","Texas","6","SA6","1","...","Compensation of employees (thousands of dollars) 1/",11963586,12742705,13193281,13789319,14616972,15341944,16519071,17737895,19838563,22012534,24645398,27707614,29948864,32135986,35469666,40038563,45663156,51514729,59007903,67052424,78088126,90564202,105178603,123283586,134518427,139339356,152000525,162657849,163782821,166852759,177167932,188356334,203687731,216623107,230867455,242594720,255543264,271348907,289562290,316679358,348390645,371586290,405962517,424053811
"48000","Texas","6","SA6","5","...","  Wages and salaries",10848783,11527243,11904685,12419743,13155626,13792502,14855718,15934696,17701195,19623553,22000111,24602959,26527508,28264757,31012589,34943548,39741330,44349763,50739049,57352824,66817199,77335616,89813168,105151471,114339863,117750664,128356023,137178977,137106021,139650478,147836680,155785270,168183809,177884983,189215516,198740136,209454924,223953353,240191189,264047825,291035692,310514965,339022925,352372323
"48000","Texas","6","SA6","6","...","  Supplements to wages and salaries",1114803,1215462,1288596,1369576,1461346,1549442,1663353,1803199,2137368,2388981,2645287,3104655,3421356,3871229,4457077,5095015,5921826,7164966,8268854,9699600,11270927,13228586,15365435,18132115,20178564,21588692,23644502,25478872,26676800,27202281,29331252,32571064,35503922,38738124,41651939,43854584,46088340,47395554,49371101,52631533,57354953,61071325,66939592,71681488
"48000","Texas","6","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",881495,929346,953661,1020056,1079465,1128254,1221101,1336421,1516986,1691755,1871247,2110014,2358957,2678077,3046835,3276225,3784015,4782823,5405298,6422088,7329738,8512157,9981610,11464874,12817403,13870267,14802071,16191490,17416631,17976848,19216025,21948341,24194587,26599150,28703806,30145475,31459971,31903245,32876069,34661566,37744592,40320331,44575100,48203148
"48000","Texas","6","SA6","8","...","    Employer contributions for government social insurance",233308,286116,334935,349520,381881,421188,442252,466778,620382,697226,774040,994641,1062399,1193152,1410242,1818790,2137811,2382143,2863556,3277512,3941189,4716429,5383825,6667241,7361161,7718425,8842431,9287382,9260169,9225433,10115227,10622723,11309335,12138974,12948133,13709109,14628369,15492309,16495032,17969967,19610361,20750994,22364492,23478340
"48000","Texas","6","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6585,7071,7495,7997,8532,9362,10373,11320,12272,13461,14858,16575,18468,19895,20844,21726,22685,23308,23908,24954,25928,27269,28534,29967,30617,31245,32105,33397,35070,37170,38815,41211,42706
"48000","Texas","6","SA6","81","[01-02]","  Farm compensation",234337,249455,253199,276756,284088,256756,254381,243431,250839,236459,255888,274864,277642,270200,286521,305452,320718,324592,354016,416653,492871,525856,530751,507531,557341,541512,550805,565466,534474,549900,612907,656348,759097,736372,678326,742797,683911,781634,765192,796534,785468,884212,851930,956720
"48000","Texas","6","SA6","82","...","  Nonfarm compensation",11729249,12493250,12940082,13512563,14332884,15085188,16264690,17494464,19587724,21776075,24389510,27432750,29671222,31865786,35183145,39733111,45342438,51190137,58653887,66635771,77595255,90038346,104647852,122776055,133961086,138797844,151449720,162092383,163248347,166302859,176555025,187699986,202928634,215886735,230189129,241851923,254859353,270567273,288797098,315882824,347605177,370702078,405110587,423097091
"48000","Texas","6","SA6","90","...","    Private nonfarm compensation",9010814,9679997,9965720,10356478,10974351,11541577,12499092,13474373,14973512,16613317,18679787,21121181,22640584,24002177,26549837,30254396,35030157,39760278,45977378,52960990,62707585,73701815,86478262,102190566,111118466,113930412,124628055,132567937,132501808,134218852,142303808,150766121,163318051,174030157,184645035,194015235,204784617,218245420,234717159,259296966,288089198,307493216,337152509,350744353
"48000","Texas","6","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",20557,22075,23077,26327,31649,36984,46064,50459,56167,67016,75111,86720,98878,111534,124494,144102,164029,185428,222606,252956,338105,419956,473693,475689,514460,543654,596497,689243,690917,722091,758734,759487,822548,895653,922204,994597,1056006,1126281,1172888,1291454,1415451,1674168,1763493,1919291
