"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"04000","Arizona","6","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",64289238,69372454,76583262,79484246,81188497,85029446,92180211,101142343,111494574,117280222,117203207,109729610,109289454,113662613,119041447,122681869,127825664,134092102,139320661,145908772
"04000","Arizona","6","SA7N 1/","81","111-112","  Farm wages and salaries",292826,285860,325355,329847,376491,324690,343081,386620,365410,414733,394747,442428,389109,393094,448939,506787,488280,423670,497958,516117
"04000","Arizona","6","SA7N 1/","82","...","  Nonfarm wages and salaries",63996412,69086594,76257907,79154399,80812006,84704756,91837130,100755723,111129164,116865489,116808460,109287182,108900345,113269519,118592508,122175082,127337384,133668432,138822703,145392655
"04000","Arizona","6","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",52969019,57434062,63836832,65760895,66345098,69305179,75588767,83436686,92644149,97156819,96129283,88602402,88546867,92819567,97951499,101356896,106167315,112004457,116799907,122570864
"04000","Arizona","6","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",195594,201522,200240,224896,228076,229541,246491,255306,277647,287238,266102,257647,278292,289717,287201,289061,315647,340827,361342,356310
"04000","Arizona","6","SA7N 1/","101","113","        Forestry and logging",7515,"(T)","(T)","(D)","(D)","(D)",3394,"(D)","(D)","(D)","(D)",3558,"(D)",3771,"(D)",4225,"(D)","(D)","(D)","(NA)"
"04000","Arizona","6","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",0,"(D)","(D)","(D)","(D)",127,"(D)",203,"(D)",164,"(D)","(D)","(D)","(NA)"
"04000","Arizona","6","SA7N 1/","103","115","        Support activities for agriculture and forestry",187913,195491,193457,221437,224209,225991,243097,251569,273901,283548,262301,253962,273932,285743,283114,284672,308958,331279,352731,"(NA)"
"04000","Arizona","6","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",573083,543443,464154,452999,411243,402772,446978,489635,589979,728025,916436,722872,735659,859074,964529,996608,974362,956003,872954,895826
"04000","Arizona","6","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",177,152,"(D)","(D)",189,167,418,892,"(D)",1750,6319,8451,6908,6526,5333,5205,"(NA)"
