"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"09000","Connecticut","1","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",68510384,72496956,78195987,80744831,79836332,81440706,85981990,89732775,94442932,100659186,101501573,96206697,97848445,101598704,104278374,105486854,109042429,112426318,113106402,113232053
"09000","Connecticut","1","SA7N 1/","81","111-112","  Farm wages and salaries",104763,97060,114580,119985,152944,135980,130777,104159,115245,131651,125352,120074,114862,100538,148063,152661,161596,135382,157797,163554
"09000","Connecticut","1","SA7N 1/","82","...","  Nonfarm wages and salaries",68405621,72399896,78081407,80624846,79683388,81304726,85851213,89628616,94327687,100527535,101376221,96086623,97733583,101498166,104130311,105334193,108880833,112290936,112948605,113068499
"09000","Connecticut","1","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",59359642,63036543,68085865,69894367,68451533,69814916,74026888,77404298,81698187,87105309,87287495,81830991,83730983,87333922,90056689,91055023,94176675,97115993,98017441,98212655
"09000","Connecticut","1","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",17683,17504,19272,14616,14722,15294,15950,15915,17309,17735,17161,17092,16543,16531,16817,17584,18664,19689,20083,19420
"09000","Connecticut","1","SA7N 1/","101","113","        Forestry and logging","(T)",1811,1821,789,793,934,1012,682,608,295,177,107,114,194,71,"(D)",96,165,214,"(NA)"
"09000","Connecticut","1","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)",3394,2430,2140,2173,2270,2216,2494,2588,2271,2687,2959,3348,3755,"(D)",3321,3352,3576,"(NA)"
"09000","Connecticut","1","SA7N 1/","103","115","        Support activities for agriculture and forestry",11412,12084,14057,11397,11789,12187,12668,13017,14207,14852,14713,14298,13470,12989,12991,13965,15247,16172,16293,"(NA)"
"09000","Connecticut","1","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",34810,39464,38192,36665,37585,39404,39531,40577,45268,43648,47281,40575,38841,37325,35751,35188,38427,39447,39968,39392
"09000","Connecticut","1","SA7N 1/","201","211","        Oil and gas extraction",413,379,521,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,"(NA)"
"09000","Connecticut","1","SA7N 1/","202","212","        Mining (except oil and gas)",31971,36407,35466,"(D)",36270,38493,37965,39442,42890,41282,43986,38226,35058,32148,31607,30818,33441,35432,37863,"(NA)"
"09000","Connecticut","1","SA7N 1/","203","213","        Support activities for mining","(T)","(T)",2205,"(D)",1315,911,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",5177,4144,4370,4986,4015,2105,"(NA)"
"09000","Connecticut","1","SA7N 1/","300","22","      Utilities",658247,684872,733372,722549,666350,706543,843153,752170,647830,702033,740439,708717,653301,688522,651254,670566,661483,656083,630455,640824
"09000","Connecticut","1","SA7N 1/","400","23","      Construction",2516047,2733093,3060635,3261903,3176442,3089705,3387514,3505746,3665358,3945403,3887814,3254341,3027757,3100348,3149235,3278916,3507595,3827276,4043001,4009363
"09000","Connecticut","1","SA7N 1/","401","236","        Construction of buildings",553800,628297,670984,718462,725516,725128,789418,815348,854275,914200,876526,706979,642873,665313,671366,685180,729758,798856,809950,"(NA)"
"09000","Connecticut","1","SA7N 1/","402","237","        Heavy and civil engineering construction",329919,355227,423945,404168,395873,392379,397554,409012,427861,442423,419944,371173,407949,433153,462663,464186,504202,551446,619400,"(NA)"
"09000","Connecticut","1","SA7N 1/","403","238","        Specialty trade contractors",1632328,1749569,1965706,2139273,2055053,1972198,2200542,2281386,2383222,2588780,2591344,2176189,1976935,2001882,2015206,2129550,2273635,2476974,2613651,"(NA)"
"09000","Connecticut","1","SA7N 1/","500","31-33","      Manufacturing",12040087,12384211,12887027,12646580,11852484,11738205,12158764,12324138,12739886,13251037,13192917,12034706,12166448,12848447,13054491,13382462,13008026,12841213,12445040,13012910
"09000","Connecticut","1","SA7N 1/","510","321,327-339","        Durable goods manufacturing",9007914,9142962,9404171,9072987,8527729,8448230,8842952,9009956,9369126,9789500,9993855,9202363,9295992,9812457,10119392,10418833,10215703,10032033,10016387,10390193
"09000","Connecticut","1","SA7N 1/","511","321","          Wood product manufacturing",60392,64426,68106,70806,75567,72703,72741,78510,77063,75149,69610,51348,"(D)","(D)","(D)","(D)",54934,"(D)",54986,"(NA)"
"09000","Connecticut","1","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",127251,137816,142508,133670,130355,121999,129168,140138,144345,159269,152722,128652,117476,117317,122485,124334,128266,134154,139455,"(NA)"
"09000","Connecticut","1","SA7N 1/","513","331","          Primary metal manufacturing",314370,303192,322830,289135,268216,237342,237598,244968,250222,241779,243414,190835,207952,225757,248510,235621,240578,241961,"(D)","(NA)"
"09000","Connecticut","1","SA7N 1/","514","332","          Fabricated metal product manufacturing",1730886,1702413,1760926,1666748,1567705,1539941,1657897,1732631,1839463,1908766,1889480,1625302,1659745,1784554,1893943,1993379,1978889,1982847,1982232,"(NA)"
"09000","Connecticut","1","SA7N 1/","515","333","          Machinery manufacturing",1279732,1231237,1307347,1294595,1202543,1150611,1247665,1260146,1272448,1354151,1340357,1188728,1174681,1200074,1192157,1165962,1209892,1239410,1152777,"(NA)"
"09000","Connecticut","1","SA7N 1/","516","334","          Computer and electronic product manufacturing",1211254,1149810,1410840,1166566,983148,883577,892016,895657,906725,910383,936569,852288,875523,917835,922936,911028,928445,885050,860384,"(NA)"
"09000","Connecticut","1","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",741091,721892,787811,819080,701542,835984,792847,750984,760796,838923,918714,867915,836224,909776,962980,1065872,946287,724632,733646,"(NA)"
"09000","Connecticut","1","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",316113,326095,314963,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"09000","Connecticut","1","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",2448564,2499060,2510785,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3475900,3646343,3736214,3865700,3800515,3828546,3902809,"(NA)"
"09000","Connecticut","1","SA7N 1/","521","337","          Furniture and related product manufacturing",112494,121621,131817,131990,133785,130276,137806,141172,152077,155216,150546,118669,120058,115611,116131,117982,"(D)",132082,136429,"(NA)"
"09000","Connecticut","1","SA7N 1/","522","339","          Miscellaneous manufacturing",665767,885400,646238,637841,589520,598742,604374,626385,620445,618898,637742,601901,596047,653469,677265,679840,584524,575852,578427,"(NA)"
"09000","Connecticut","1","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",3032173,3241249,3482856,3573593,3324755,3289975,3315812,3314182,3370760,3461537,3199062,2832343,2870456,3035990,2935099,2963629,2792323,2809180,2428653,2622717
"09000","Connecticut","1","SA7N 1/","531","311","          Food manufacturing",238981,250207,260441,250777,258489,266132,269372,279009,284379,287618,272343,273424,291532,287307,293268,301690,309353,327242,342495,"(NA)"
"09000","Connecticut","1","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",61151,69598,77779,103758,116281,141408,97334,101090,106585,94175,53826,52298,56392,55321,59866,61692,60984,87933,95147,"(NA)"
"09000","Connecticut","1","SA7N 1/","533","313","          Textile mills",70759,73625,70464,57283,48975,44858,40221,38288,37349,40493,39894,34000,35631,38604,40681,36465,36716,44693,45762,"(NA)"
"09000","Connecticut","1","SA7N 1/","534","314","          Textile product mills",35211,37202,39166,39119,37504,41163,42485,44730,46118,48659,49590,41341,43659,46596,48807,54187,56585,63232,66300,"(NA)"
"09000","Connecticut","1","SA7N 1/","535","315","          Apparel manufacturing",85645,61297,51071,41170,37949,28840,17674,16241,"(D)",12271,9711,4633,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"09000","Connecticut","1","SA7N 1/","536","316","          Leather and allied product manufacturing",23817,17372,22003,19482,14015,36866,"(D)",49491,"(D)",56117,42844,18928,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"09000","Connecticut","1","SA7N 1/","537","322","          Paper manufacturing",314447,323836,353196,368763,366326,383830,344760,323650,309594,290794,281205,234507,233427,235360,235230,239268,235872,223162,206533,"(NA)"
"09000","Connecticut","1","SA7N 1/","538","323","          Printing and related support activities",464242,468181,485146,447304,400846,373815,396451,395230,409667,403444,380050,322413,313523,309681,299143,290083,281253,289105,311197,"(NA)"
"09000","Connecticut","1","SA7N 1/","539","324","          Petroleum and coal products manufacturing",20714,21525,17925,13147,21441,21121,"(D)",22049,23271,24672,24152,23579,22689,20614,20751,21709,24743,26971,31161,"(NA)"
