"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"15000","Hawaii","8","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",17621036,18185436,19173030,19831092,20873712,22012166,23663967,25181893,26866956,28382601,29184559,28530057,28625913,29489238,30684867,31538992,32848050,34618520,35883907,36885111
"15000","Hawaii","8","SA7N 1/","81","111-112","  Farm wages and salaries",156821,172808,172119,168468,171180,168842,174334,167562,160437,158127,178692,178067,169401,162419,241363,243945,248345,239482,258709,268141
"15000","Hawaii","8","SA7N 1/","82","...","  Nonfarm wages and salaries",17464215,18012628,19000911,19662624,20702532,21843324,23489633,25014331,26706519,28224474,29005867,28351990,28456512,29326819,30443504,31295047,32599705,34379038,35625198,36616970
"15000","Hawaii","8","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",12195967,12494362,13340586,13774598,14263425,15055689,16335407,17406867,18612325,19625190,19857745,18892058,18941986,19517376,20501274,21395646,22320384,23753853,24855472,25657711
"15000","Hawaii","8","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",32024,34586,35917,31422,32860,32961,30115,30385,30918,26300,27461,27335,28793,31854,33952,36836,37915,42405,45109,45533
"15000","Hawaii","8","SA7N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)",309,"(D)","(D)",242,242,422,508,852,612,405,472,442,820,"(D)",915,"(NA)"
"15000","Hawaii","8","SA7N 1/","102","114","        Fishing, hunting and trapping",8102,9043,9779,"(D)",7070,"(D)","(D)",5404,5336,4828,5533,4762,5164,5215,5667,6101,5229,"(D)",8056,"(NA)"
"15000","Hawaii","8","SA7N 1/","103","115","        Support activities for agriculture and forestry",23179,24766,25455,23310,25481,26546,24026,24739,25340,21050,21420,21721,23017,26234,27813,30293,31866,33925,36138,"(NA)"
"15000","Hawaii","8","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",13298,13132,14343,14284,14187,17737,22176,24986,24702,24942,27009,26475,24858,25677,24681,22524,23613,27031,21900,20503
"15000","Hawaii","8","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","202","212","        Mining (except oil and gas)",13298,13132,14343,14284,14187,"(D)","(D)","(D)","(D)","(D)",26597,25911,24508,25282,24225,22045,23186,26582,21346,"(NA)"
"15000","Hawaii","8","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","300","22","      Utilities",168276,171887,178504,175608,178736,190346,200497,207717,220494,228749,242011,256752,269562,294456,322400,348099,359828,381262,369211,372164
"15000","Hawaii","8","SA7N 1/","400","23","      Construction",1019101,1019764,1156491,1193756,1305991,1426763,1547396,1922232,2142438,2367316,2394920,2013953,1849313,1863464,1946667,2058685,2174021,2517677,2805717,2677189
"15000","Hawaii","8","SA7N 1/","401","236","        Construction of buildings",302565,305307,355047,376430,420420,465544,504487,613614,719189,788664,766060,635661,571971,579244,616542,662880,696178,820084,874091,"(NA)"
"15000","Hawaii","8","SA7N 1/","402","237","        Heavy and civil engineering construction",184096,192963,223402,228884,249806,258777,271551,347897,390101,408183,402293,339836,331801,336965,334494,334806,361853,413738,423365,"(NA)"
"15000","Hawaii","8","SA7N 1/","403","238","        Specialty trade contractors",532440,521494,578042,588442,635765,702442,771358,960721,1033148,1170469,1226567,1038456,945541,947255,995631,1060999,1115990,1283855,1508261,"(NA)"
"15000","Hawaii","8","SA7N 1/","500","31-33","      Manufacturing",421705,443460,475911,495395,468249,469956,504644,525605,550148,576441,577721,532168,507853,531940,534658,552965,575133,604382,631037,636317
"15000","Hawaii","8","SA7N 1/","510","321,327-339","        Durable goods manufacturing",124030,130004,151037,"(D)","(D)","(D)",169279,183463,195813,211028,217251,198637,182950,197967,180871,184716,191709,204040,214157,218573
"15000","Hawaii","8","SA7N 1/","511","321","          Wood product manufacturing",6624,9113,9875,"(D)","(D)","(D)","(D)",11036,13292,"(D)","(D)","(D)",8499,6917,6628,7130,"(D)",7224,6993,"(NA)"
"15000","Hawaii","8","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",35400,36856,40906,43363,46230,47927,54198,58848,63427,67123,64533,48390,43608,44058,43248,51998,57535,64008,65113,"(NA)"
"15000","Hawaii","8","SA7N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","514","332","          Fabricated metal product manufacturing",14387,11667,15312,14698,15870,18299,19840,22090,22059,22370,21671,"(D)",16720,16316,16999,17814,17580,17707,19023,"(NA)"
"15000","Hawaii","8","SA7N 1/","515","333","          Machinery manufacturing","(T)","(T)","(T)",1483,1397,1397,1452,1592,1739,1781,1923,2230,2975,3185,"(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","516","334","          Computer and electronic product manufacturing",8925,10012,14009,26006,"(D)","(D)","(D)",3907,3723,3494,7577,10341,8805,9303,8956,11745,13988,13937,11552,"(NA)"
"15000","Hawaii","8","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1251,2334,2169,"(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)",1429,1040,"(D)","(D)","(D)","(D)","(D)",301,346,"(D)",319,90,"(NA)"
"15000","Hawaii","8","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",13017,14063,18037,"(D)","(D)","(D)","(D)",23302,25007,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","521","337","          Furniture and related product manufacturing",15077,15826,19742,19981,19644,21548,25171,22064,23969,24215,24145,19520,16601,16615,16112,15833,15831,16029,16505,"(NA)"
"15000","Hawaii","8","SA7N 1/","522","339","          Miscellaneous manufacturing",26091,28081,28257,28998,28273,30860,31466,37517,39030,37924,36101,32942,34084,34286,35503,29499,29725,29262,29781,"(NA)"
"15000","Hawaii","8","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",297675,313456,324874,"(D)","(D)","(D)",335365,342142,354335,365413,360470,333531,324903,333973,353787,368249,383424,400342,416880,417744
"15000","Hawaii","8","SA7N 1/","531","311","          Food manufacturing",158699,164315,167388,160529,156733,158492,167910,170351,176333,176723,174068,163533,161626,162693,177281,186522,198198,208344,217439,"(NA)"
"15000","Hawaii","8","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",24246,27698,25212,27676,26715,26813,28492,32475,35677,38962,39180,39403,39594,39666,40838,41154,43373,43877,47474,"(NA)"
"15000","Hawaii","8","SA7N 1/","533","313","          Textile mills","(T)","(T)","(T)",955,"(D)",1063,1535,1531,1257,1422,1417,"(D)",1147,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","534","314","          Textile product mills","(T)","(T)","(T)",2035,2090,3581,3349,5028,5769,7133,6897,6177,5341,5476,6015,5907,6360,6753,7987,"(NA)"
"15000","Hawaii","8","SA7N 1/","535","315","          Apparel manufacturing",25323,24467,29213,33041,25633,24164,23663,17011,15723,14200,12816,10363,9657,12651,13497,14448,14409,15562,11954,"(NA)"
"15000","Hawaii","8","SA7N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)",597,647,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA7N 1/","537","322","          Paper manufacturing","(T)","(T)","(T)",6328,6574,7725,8381,8484,8883,9011,8698,3509,3064,3174,1370,1354,2805,4297,4733,"(NA)"
"15000","Hawaii","8","SA7N 1/","538","323","          Printing and related support activities",41613,41900,43592,41100,40367,40771,41653,40348,39885,40115,38222,31268,29303,29423,29841,29375,28834,27834,27585,"(NA)"
"15000","Hawaii","8","SA7N 1/","539","324","          Petroleum and coal products manufacturing",16991,23169,25910,"(D)",32225,32779,"(D)","(D)","(D)","(D)","(D)",52844,"(D)","(D)","(D)","(D)",54859,62899,66684,"(NA)"
"15000","Hawaii","8","SA7N 1/","541","325","          Chemical manufacturing",14541,16312,17225,20546,19334,12573,13984,13867,15446,18035,15673,15125,14374,16179,16007,16921,18515,13859,15424,"(NA)"
"15000","Hawaii","8","SA7N 1/","542","326","          Plastics and rubber products manufacturing","(T)","(T)","(T)",7284,6663,7077,8807,12460,12879,11219,11065,9723,10063,10619,12636,12730,13704,14645,15344,"(NA)"
"15000","Hawaii","8","SA7N 1/","600","42","      Wholesale trade",550114,575021,602952,630271,640549,683872,728491,769730,814458,876501,905892,863834,856559,872370,911164,937272,964944,1009435,1030707,1056949
"15000","Hawaii","8","SA7N 1/","700","44-45","      Retail trade",1326027,1364230,1441921,1478466,1481507,1568345,1669292,1764036,1848855,1904584,1908469,1843981,1876752,1909963,1970433,2023476,2088483,2161824,2229178,2300745
"15000","Hawaii","8","SA7N 1/","701","441","        Motor vehicle and parts dealers",195048,209428,227889,236041,257381,292264,307739,318725,328152,320521,298850,261917,261443,281960,297525,317157,334470,356792,374797,"(NA)"
"15000","Hawaii","8","SA7N 1/","702","442","        Furniture and home furnishings stores",31817,34131,38346,41099,42437,49040,54139,63992,64962,63640,59465,48648,46951,47193,47275,47708,50740,54336,56371,"(NA)"
"15000","Hawaii","8","SA7N 1/","703","443","        Electronics and appliance stores",36543,38901,41815,41324,40532,38630,43590,44147,46580,45938,51854,46078,48519,50596,50627,49568,56726,57673,54098,"(NA)"
"15000","Hawaii","8","SA7N 1/","704","444","        Building material and garden equipment and supplies dealers",77230,86568,92320,102781,111412,128037,146213,148767,156469,160814,154217,142075,132587,137221,132543,134616,141504,140799,143743,"(NA)"
"15000","Hawaii","8","SA7N 1/","705","445","        Food and beverage stores",245657,243825,247013,254614,263446,265501,274762,287153,301559,311764,323562,346468,352816,363717,357289,377104,393559,410299,431003,"(NA)"
"15000","Hawaii","8","SA7N 1/","706","446","        Health and personal care stores",113594,117051,123734,125904,129911,135941,138909,149116,158259,166734,171449,163443,158002,163593,169619,178764,184084,186499,194264,"(NA)"
